input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_self_signed,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,tls_subject_cn,tls_wildcard_certificate,final_url,tech_,csp_domains_,cdn_name,cdn
api.netflix.com,HTTP Status 404 – Not Found,404,431,api.netflix.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,,2022-11-29T00:00:00Z,2023-12-30T23:59:59Z,"CN=api.netflix.com, O=Netflix\, Inc., L=Los Gatos, ST=California, C=US","Netflix, Inc.",api-global-prefix.netflix.com,"CN=Netflix Public SHA2 RSA CA 3, O=Netflix\, Inc., C=US",Netflix Public SHA2 RSA CA 3,"Netflix, Inc.",973fbe9c0a2207bab929ba56bdfe6fe7,4f631998b73a006242c4044097694ca8085ed273569c25a6d7e32316334ac2dc,ctls,api.netflix.com,443,https://api.netflix.com:443,https,api-prod i-034e578b322171635,text/html,GET,54.229.82.20,/,-1840324437,2a01:578:3::34d5:bd1d,1,False,api.netflix.com,,,,,,
autodiscover.chrisoscivil.com.au,Sign in to Outlook,200,202269,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,,2023-02-24T00:00:00Z,2024-02-24T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,5a0c035fd36e190a9a002ffd08801cce,51cfd1c52666a532589d6759379eab229c80ad93cf9e47beb8519dd205096065,ctls,login.microsoftonline.com,80,http://autodiscover.chrisoscivil.com.au:80,http,,text/html,GET,40.99.157.24,/,-1249852061,2603:1026:c0d:c29::8,173,False,stamp2.login.microsoftonline.com,,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=bd2e69f3-38ab-ae27-171b-a2dfd75e2cbb&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=chrisoscivil.com.au&nonce=638200013411322117.e368a6d0-2379-4d8a-a4e2-31cad13532f9&state=DctNDsIgEEBh0Lu442dmEOii8SwTwEjShgQsXl8W39s9KYS4L7dF2hURPEW01gI5AEIECLqQj-yzVUhhUy5HVuwKKoLEGehJ-N7keo1pPzavXvg49_TpdbSR6qyHTu3UfD1m3vn6tlxHarP0Pw,HSTS,,,
blog.netflix.com,About Netflix  - Newsroom,200,231540,about.netflix.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-05-16T00:00:00Z,2024-05-15T18:22:43Z,"CN=about.netflix.com, O=Netflix\, Inc., L=Los Gatos, ST=California, C=US","Netflix, Inc.",about.netflix.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1ed0a3ec2192ce7979834d542d11c8e2,fc1d9076db7c268f20d765c39126ff76bd4e97288ec22a32d0e6489356bf9f2a,ctls,about.netflix.com,443,https://blog.netflix.com:443,https,Apache,text/html,GET,46.137.171.215,/,161494366,2a05:d018:76c:b680::de70,461,False,about.netflix.com,,https://about.netflix.com/en/newsroom,HSTS,,,
cdn.netflix.com,,404,10,cdn.netflix.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,,True,2022-06-28T00:00:00Z,2023-06-30T23:59:59Z,"CN=a248.e.akamai.net, O=Akamai Technologies\, Inc., L=Cambridge, ST=Massachusetts, C=US","Akamai Technologies, Inc.",*.akamaized.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b8cdc00e1dc897fa6768667f6f060486,a1ac71dd8fdaeb4aaf9b5e1952536ade1c8ffd70b5004556df9d51f82b227591,ctls,cdn.netflix.com,443,https://cdn.netflix.com:443,https,AkamaiNetStorage,,GET,95.101.54.106,/,-536011498,95.101.54.120,2,False,a248.e.akamai.net,True,,,,,
d2ajy4iry6zk4j.cloudfront.net,,200,,d2ajy4iry6zk4j.cloudfront.net,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2022-12-08T00:00:00Z,2023-12-07T23:59:59Z,CN=*.cloudfront.net,,*.cloudfront.net,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,3ce77498ac0d9db2c0fbac4ace488223,0e61dc9128a6d01c3583e46cb871e9590ca7636f3b394e60b910fdb249e90465,ctls,d2ajy4iry6zk4j.cloudfront.net,443,https://d2ajy4iry6zk4j.cloudfront.net:443,https,AmazonS3,application/x-directory,GET,108.138.2.192,/,-134670677,2600:9000:2490:2e00:17:a003:a8c0:21,1,False,*.cloudfront.net,True,,Amazon Web Services,,cloudfront,True
d2y7hce7cmhbmz.cloudfront.net,,200,,d2y7hce7cmhbmz.cloudfront.net,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2022-12-08T00:00:00Z,2023-12-07T23:59:59Z,CN=*.cloudfront.net,,*.cloudfront.net,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,3ce77498ac0d9db2c0fbac4ace488223,0e61dc9128a6d01c3583e46cb871e9590ca7636f3b394e60b910fdb249e90465,ctls,d2y7hce7cmhbmz.cloudfront.net,443,https://d2y7hce7cmhbmz.cloudfront.net:443,https,AmazonS3,application/x-directory,GET,52.222.250.44,/,1613029622,2600:9000:2251:4800:1f:9032:cac0:21,1,False,*.cloudfront.net,True,,Amazon Web Services,,cloudfront,True
dch-4-08-675.prod.ftl.netflix.com,HTTP Status 404 – Not Found,404,431,dch-4-08-675.prod.ftl.netflix.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,True,2023-04-24T00:00:00Z,2023-05-29T04:08:45Z,"CN=ftl.netflix.com, O=Netflix, L=Los Gatos, ST=California, C=US",Netflix,*.r.nflxso.net,"CN=DigiCert Secure Site ECC CA-1, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert Secure Site ECC CA-1,DigiCert Inc,da9102e085dcf326698c3f4c7efed1a0,a478ac5a0cf24b822e26cf7929f4ce9955f288e13182f85db9e7cc2313842b3e,ctls,dch-4-08-675.prod.ftl.netflix.com,443,https://dch-4-08-675.prod.ftl.netflix.com:443,https,api-prod i-0d7485fa609c2c79c,text/html,GET,45.57.41.1,/,-1840324437,2a00:86c0:2041::1,1,False,ftl.netflix.com,True,,,,,
developer.netflix.com,"Netflix Germany - Watch TV Shows Online, Watch Movies Online",200,423556,www.netflix.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2022-12-14T00:00:00Z,2024-01-14T23:59:59Z,"CN=www.netflix.com, O=Netflix\, Inc., L=Los Gatos, ST=California, C=US","Netflix, Inc.",embed.release-stage.netflix.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,fd2c4d90ba31c1c2fa9748fd9a9bc253,025666c9b9e193070fa4377fd4215f15011c075b10853c0aa055c2a31b917220,ctls,www.netflix.com,80,http://developer.netflix.com:80,http,nq_website_nonmember-prod-release 55344b3a-17ff-451e-821c-e0f2586b2de8,text/html,GET,46.137.171.215,/,902521196,2a05:d018:76c:b680::de70,14,False,www.netflix.com,,https://www.netflix.com/de-en/,Zipkin,,,
downloads.ctfassets.net,,404,109,downloads.ctfassets.net,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-02-28T00:00:00Z,2024-02-15T23:59:59Z,CN=assets.ctfassets.net,,downloads.ctfassets.net,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,4bed243019bfde6292f07dc2d4bfe757,07ddcc709d36e161b39289bcc8a108b0e3b05ed67bbb73e852363e76b18a0a22,ctls,downloads.ctfassets.net,443,https://downloads.ctfassets.net:443,https,CloudFront,application/json,GET,18.66.122.76,/,-1759937580,18.66.122.79,7,False,assets.ctfassets.net,,,Amazon Web Services,,cloudfront,True
https://aten-east.s3.amazonaws.com,,403,243,aten-east.s3.amazonaws.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,,2023-03-21T00:00:00Z,2023-12-19T23:59:59Z,CN=*.s3.amazonaws.com,,s3.amazonaws.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,5c786d7d836f7ec7d65e625b0bca2ab2,25b0a7826fcb8f6ae0c7bc14d8e53ea2741097aac08c7243810f2a739d63f6c4,ctls,aten-east.s3.amazonaws.com,443,https://aten-east.s3.amazonaws.com:443,https,AmazonS3,application/xml,GET,52.217.128.25,/,1653707590,52.217.88.244,2,False,*.s3.amazonaws.com,True,,Amazon Web Services,,,
