input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,final_url,tls_mismatched,csp_domains_,location
admin.bitwarden.com,Sign in ・ Cloudflare Access,200,30162,bitwarden.cloudflareaccess.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-11T00:00:00Z,2023-09-07T23:59:59Z,CN=ssl1075497.cloudflaressl.com,ssl1075497.cloudflaressl.com,,cloudflareaccess.com,"CN=COMODO ECC Domain Validation Secure Server CA 2, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,87713b38da05acdabfe6e7ca7d9d65a8,20a161d033636d125bfd59b23b1d246dc3535ed149333b3dba97497ed105e8ad,True,ctls,bitwarden.cloudflareaccess.com,cloudflare,443,https://admin.bitwarden.com:443,https,cloudflare,text/html,GET,104.18.12.33,/,-1996475474,2606:4700::6812:c21,HSTS,67,False,True,https://bitwarden.cloudflareaccess.com/cdn-cgi/access/login/admin.bitwarden.com?kid=08dd07e3d939555a05c78c88ba9e0c367e224358491716092ed7d92f24b860a6&redirect_url=%2F&meta=eyJraWQiOiI2NTMwMWRiMjk4MjljM2Q4MTliYTMyYzc2NjU0ZWQ1Zjc5ZGRlMjE2OWRiYTBjN2FhMDZlNzljYWEyNGE2ZTk4IiwiYWxnIjoiUlMyNTYiLCJ0eXAiOiJKV1QifQ.eyJzZXJ2aWNlX3Rva2VuX3N0YXR1cyI6ZmFsc2UsImlhdCI6MTY5MDY3Nzk0NCwic2VydmljZV90b2tlbl9pZCI6IiIsImF1ZCI6IjA4ZGQwN2UzZDkzOTU1NWEwNWM3OGM4OGJhOWUwYzM2N2UyMjQzNTg0OTE3MTYwOTJlZDdkOTJmMjRiODYwYTYiLCJob3N0bmFtZSI6ImFkbWluLmJpdHdhcmRlbi5jb20iLCJhcHBfc2Vzc2lvbl9oYXNoIjoiZDY4MmMzM2I3NzJkZGI2N2VjMzZmNGMwMmQ2YzRlY2YzNzBlNTNhNGRlNWRmZWQ3ZGNkNTc3Nzc3Y2QwMTA5MyIsIm5iZiI6MTY5MDY3Nzk0NCwiaXNfd2FycCI6ZmFsc2UsImlzX2dhdGV3YXkiOmZhbHNlLCJ0eXBlIjoibWV0YSIsInJlZGlyZWN0X3VybCI6IlwvIiwibXRsc19hdXRoIjp7ImNlcnRfaXNzdWVyX3NraSI6IiIsImNlcnRfcHJlc2VudGVkIjpmYWxzZSwiY2VydF9zZXJpYWwiOiIiLCJjZXJ0X2lzc3Vlcl9kbiI6IiIsImF1dGhfc3RhdHVzIjoiTk9ORSJ9LCJhdXRoX3N0YXR1cyI6Ik5PTkUifQ.ePAOUhgSuOKwR0zAau6piCtFFpPZsWw01iGcjxTx3OY_njT9mylRfU4bDjobKJwI4zSxGPVOV4NjENCl6k21dxyhoQgqoTtO0oKJPKrA7HgJsZOCcL0ti6MY7Idju9KX0cvVSxdzvEBG5MAX_fvKtBgfGbG9eDE4fb1cJ-rFIKMP-6vLZ9mesEdQsGvBAhv7_RspqJ1A4onj-u1fbIl043LqvhR4RSmDjvaedZN1RTCy4Gbt7M_afJrEx8TzzpqvlLtSFYqncHaw-SZ35LuMTP7xHA-zx-DmTQaLZGkE12MV-c6LHa9rqbNNbpV9Lr85lKBHKVJuSYiMm31gdvsAtw,,https:,
adr.bitwarden.com,ADRs | Bitwarden Contributing Documentation,200,31280,contributing.bitwarden.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-20T18:35:08Z,2023-10-18T18:35:07Z,CN=contributing.bitwarden.com,contributing.bitwarden.com,,contributing.bitwarden.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,d04763d192816b2c2f67aa3c1816e540,308c4b77f6b4f476167a19d775eed28e272b099531b76287f165a95be6679541,,ctls,contributing.bitwarden.com,cloudflare,443,https://adr.bitwarden.com:443,https,cloudflare,text/html,GET,104.18.12.33,/,-1236433012,2606:4700::6812:d21,webpack,26,False,True,https://contributing.bitwarden.com/architecture/adr/,,,
api.bitwarden.com,,404,,api.bitwarden.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-18T00:00:00Z,2024-04-17T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.bitwarden.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",046f5eac4c40567f96bc59d8ef040033,10d78bd1726d1ab5792d013e4e781144cc576a266b046633289b40db3f8e4eb1,True,ctls,api.bitwarden.com,cloudflare,443,https://api.bitwarden.com:443,https,cloudflare,,GET,104.18.12.33,/,-1840324437,2606:4700::6812:d21,HSTS,1,False,True,,,,
artifacts.bitwarden.com,Not Found,404,27242,artifacts.bitwarden.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-19T00:00:00Z,2023-10-19T23:59:59Z,"CN=artifacts.bitwarden.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",artifacts.bitwarden.com,"Cloudflare, Inc.",artifacts.bitwarden.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",048d4ef428fa940fd11fd25599b621ff,88936e6ecae33b935976d9f10356b8d3f5f49b79fde57e3caf516be58e3664cb,,ctls,artifacts.bitwarden.com,cloudflare,443,https://artifacts.bitwarden.com:443,https,cloudflare,text/html,GET,104.18.12.33,/,-513000580,2606:4700::6812:d21,HSTS,608,False,True,,,,
bitwarden.com,Bitwarden Open Source Password Manager | Bitwarden,200,444914,bitwarden.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-20T09:08:04Z,2023-09-18T09:08:03Z,CN=bitwarden.com,bitwarden.com,,bitwarden.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3aa894844deed919242293506692e8bb,3f22b0490c41bba3ce6f24909c8d1b95153d02607a19152dea9022d652ae6a1e,,ctls,bitwarden.com,fastly,443,https://bitwarden.com:443,https,GatsbyHosting,text/html,GET,199.232.194.22,/,-1714704066,199.232.194.22,webpack,29,False,True,,,https://*.algolia.net,
blog.bitwarden.com,The Bitwarden Blog | Bitwarden,200,741246,bitwarden.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-20T09:08:04Z,2023-09-18T09:08:03Z,CN=bitwarden.com,bitwarden.com,,bitwarden.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3aa894844deed919242293506692e8bb,3f22b0490c41bba3ce6f24909c8d1b95153d02607a19152dea9022d652ae6a1e,,ctls,bitwarden.com,cloudflare,443,https://blog.bitwarden.com:443,https,GatsbyHosting,text/html,GET,104.18.13.33,/,-1665208752,2606:4700::6812:d21,webpack,29,False,True,https://bitwarden.com/blog/,,https://js.hsadspixel.net,
calendar.bitwarden.com,Sign in - Google Accounts,200,1418,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-10T08:21:46Z,2023-10-02T08:21:45Z,CN=www.google.com,www.google.com,,www.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,531b6f0d6764795fb395fb7874cb00a6,9e39587ca471bdddb7c67a1e20d6b44c230f74a20a26c08a1b93762215747ac6,,ctls,www.google.com,cloudflare,443,https://calendar.bitwarden.com:443,https,GSE,text/html,GET,104.18.12.33,/,-1291419934,2606:4700::6812:d21,OpenGSE,32,False,True,https://www.google.com/a/bitwarden.com/ServiceLogin?service=cl&continue=https://calendar.google.com/calendar/&followup=https://calendar.google.com/calendar/&osid=1&passive=1209600,,url=https://www.google.com/accounts/AccountChooser?hd=bitwarden.com&continue=https%3A%2F%2Fcalendar.google.com%2Fcalendar%2F&followup=https%3A%2F%2Fcalendar.google.com%2Fcalendar%2F&osid=1&service=cl,
cdn.bitwarden.com,,400,351,cdn.bitwarden.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-18T00:00:00Z,2024-04-17T23:59:59Z,"CN=sni5b2bgl.wpc.edgecastcdn.net, O=Edgecast Inc., L=Los Angeles, ST=California, C=US",sni5b2bgl.wpc.edgecastcdn.net,Edgecast Inc.,cdn.bitwarden.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,971d2a0493857987d3917652c5ce57f8,40f7fb18106b3fc05189f4cf9a3bd6c32a583b1ee1957cfca90d0f6fde102137,,ctls,cdn.bitwarden.com,,443,https://cdn.bitwarden.com:443,https,Microsoft-HTTPAPI/2.0,application/xml,GET,152.199.21.175,/,-573050391,2606:2800:233:1cb7:261b:1f9c:2074:3c,Microsoft HTTPAPI:2.0,3,False,,,,,
community.bitwarden.com,Bitwarden Community Forums,200,194559,community.bitwarden.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-18T00:00:00Z,2024-04-17T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.bitwarden.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",046f5eac4c40567f96bc59d8ef040033,10d78bd1726d1ab5792d013e4e781144cc576a266b046633289b40db3f8e4eb1,True,ctls,community.bitwarden.com,cloudflare,80,http://community.bitwarden.com:80,http,cloudflare,text/html,GET,104.18.12.33,/,-1840324437,2606:4700::6812:d21,Ruby on Rails,606,False,True,https://community.bitwarden.com/,,https://community.bitwarden.com/sidekiq/,
company.bitwarden.com,Rebrandly,200,3761,company.bitwarden.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-18T00:00:00Z,2024-04-17T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.bitwarden.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",046f5eac4c40567f96bc59d8ef040033,10d78bd1726d1ab5792d013e4e781144cc576a266b046633289b40db3f8e4eb1,True,ctls,company.bitwarden.com,cloudflare,443,https://company.bitwarden.com:443,https,cloudflare,text/html,GET,104.18.12.33,/,-1787804681,2606:4700::6812:c21,HSTS,84,False,True,https://company.bitwarden.com/?rb.routing.mode=proxy&rb.routing.signature=173161,,,
