input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_subject_org_,final_url,csp_domains_,tls_expired,tls_mismatched,tls_self_signed
academy.hostgator.com.br,﻿,200,838,academy.hostgator.com.br,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-05T00:00:00Z,2024-03-05T23:59:59Z,CN=academy.hostgator.com.br,academy.hostgator.com.br,academy.hostgator.com.br,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,005b348694f3c18d47fc1d797fead29d,8d7126e652e41c5d08929cfad44831b8f5c577faaf48e802634ba6702b4a1465,,ctls,academy.hostgator.com.br,,80,http://academy.hostgator.com.br:80,http,nginx/1.20.1,text/html,GET,54.233.132.199,/,-1840324437,54.207.40.81,Node.js,25,False,,,https://academy.hostgator.com.br/,,,,
afiliados.hostgator.com.br,HostGator Brasil - Programa de Afiliados,200,17523,afiliados.hostgator.com.br,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-05T00:00:00Z,2023-11-05T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,113f252eebaa96e18b03633ba54a6f86,5e281976988c15d19ffbad7a1796758481d7174be465ce6cb9ddc4fb0d8d00db,True,ctls,afiliados.hostgator.com.br,cloudflare,443,https://afiliados.hostgator.com.br:443,https,cloudflare,text/html,GET,172.66.43.218,/,1840868525,2606:4700:3108::ac42:2bda,PHP:7.2.24,317,False,True,,,,,,
atendimento.hostgator.com.br,,523,,,,,,,,,,,,,,,,,,,,cloudflare,80,http://atendimento.hostgator.com.br:80,http,cloudflare,,GET,172.66.40.38,/,-1840324437,2606:4700:3108::ac42:2826,Cloudflare Bot Management,1,False,True,,,,,,
auth.hostgator.com.br,,200,1339,auth.hostgator.com.br,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-05T00:00:00Z,2023-11-05T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,113f252eebaa96e18b03633ba54a6f86,5e281976988c15d19ffbad7a1796758481d7174be465ce6cb9ddc4fb0d8d00db,True,ctls,auth.hostgator.com.br,cloudflare,443,https://auth.hostgator.com.br:443,https,cloudflare,text/html,GET,172.66.43.218,/,-449538870,2606:4700:3108::ac42:2826,HSTS,38,False,True,,,,,,
autodiscover.hostgator.com.br,Sign in to Outlook,200,38895,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-25T00:00:00Z,2024-05-25T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7c7414a61d2496accd312122c5241231,2c204118a10394b7abd4cd1f9d1a885acb273a1ebe0091f82e567b1137495fb7,,ctls,login.microsoftonline.com,,80,http://autodiscover.hostgator.com.br:80,http,,text/html,GET,52.97.188.72,/,-1249852061,2603:1026:c0d:c07::8,HSTS,95,False,,Microsoft Corporation,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=2d8565f5-3e44-0712-4f90-6f24166469fa&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=hostgator.com.br&nonce=638252483717277519.e81b5673-7cd0-4ac5-840e-8f8d030807da&state=DcvLDsIgEEBR0H9xJXR4dcZF47dMAR-JzSQU6-_L4tzd1Uqp83AaNIwonAP55CMFdOgRk7vZSm5NMwaDuYCJnJOhCNXQgwoEIMDCerzXSX483Vvlz7a8ZO9P7tJsls2u7XKUhb9dynvPctT2Bw,,,,
blog.hostgator.com.br,Tudo o que precisa saber sobre Hospedagem de Sites - HostGator Blog,200,148801,www.hostgator.com.br,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-05T00:00:00Z,2023-11-05T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,113f252eebaa96e18b03633ba54a6f86,5e281976988c15d19ffbad7a1796758481d7174be465ce6cb9ddc4fb0d8d00db,True,ctls,www.hostgator.com.br,cloudflare,443,https://blog.hostgator.com.br:443,https,cloudflare,text/html,GET,172.66.43.218,/,1640084384,2606:4700:3108::ac42:2bda,React,435,False,True,,https://www.hostgator.com.br/blog/,,,,
boleto.hostgator.com.br,,523,,boleto.hostgator.com.br,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-05T00:00:00Z,2023-11-05T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,113f252eebaa96e18b03633ba54a6f86,5e281976988c15d19ffbad7a1796758481d7174be465ce6cb9ddc4fb0d8d00db,True,ctls,boleto.hostgator.com.br,cloudflare,443,https://boleto.hostgator.com.br:443,https,cloudflare,,GET,172.66.40.38,/,-1840324437,2606:4700:3108::ac42:2826,Cloudflare Bot Management,1,False,True,,,,,,
boletos.hostgator.com.br,,523,,boletos.hostgator.com.br,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-05T00:00:00Z,2023-11-05T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,113f252eebaa96e18b03633ba54a6f86,5e281976988c15d19ffbad7a1796758481d7174be465ce6cb9ddc4fb0d8d00db,True,ctls,boletos.hostgator.com.br,cloudflare,443,https://boletos.hostgator.com.br:443,https,cloudflare,,GET,172.66.43.218,/,-1840324437,2606:4700:3108::ac42:2826,Cloudflare Bot Management,1,False,True,,,,,,
br10.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br10.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br10.hostgator.com.br,,443,https://br10.hostgator.com.br:443,https,Apache,text/html,GET,192.185.176.104,/,-1783708853,192.185.176.104,Bootstrap,44,False,,,,,,,
br100.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br100.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br100.hostgator.com.br,,443,https://br100.hostgator.com.br:443,https,Apache,text/html,GET,192.185.176.144,/,-1783708853,192.185.176.144,Bootstrap,44,False,,,,,,,
br1008.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br1008.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br1008.hostgator.com.br,,443,https://br1008.hostgator.com.br:443,https,Apache,text/html,GET,162.241.203.127,/,-1783708853,162.241.203.127,Bootstrap,44,False,,,,,,,
br1010.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br1010.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br1010.hostgator.com.br,,443,https://br1010.hostgator.com.br:443,https,Apache,text/html,GET,162.241.203.132,/,-1783708853,162.241.203.132,Bootstrap,44,False,,,,,,,
br1012.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br1012.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br1012.hostgator.com.br,,443,https://br1012.hostgator.com.br:443,https,Apache,text/html,GET,162.241.203.137,/,-1783708853,162.241.203.137,Bootstrap,44,False,,,,,,,
br1014.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br1014.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br1014.hostgator.com.br,,443,https://br1014.hostgator.com.br:443,https,Apache,text/html,GET,162.241.203.142,/,-1783708853,162.241.203.142,Bootstrap,44,False,,,,,,,
br1016.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br1016.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br1016.hostgator.com.br,,443,https://br1016.hostgator.com.br:443,https,Apache,text/html,GET,162.241.203.147,/,-1783708853,162.241.203.147,Bootstrap,44,False,,,,,,,
br1018.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br1018.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br1018.hostgator.com.br,,443,https://br1018.hostgator.com.br:443,https,Apache,text/html,GET,162.241.203.152,/,-1783708853,162.241.203.152,Bootstrap,44,False,,,,,,,
br102.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br102.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br102.hostgator.com.br,,443,https://br102.hostgator.com.br:443,https,Apache,text/html,GET,192.185.176.164,/,-1783708853,192.185.176.164,Bootstrap,44,False,,,,,,,
br1024.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br1024.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br1024.hostgator.com.br,,443,https://br1024.hostgator.com.br:443,https,Apache,text/html,GET,162.241.203.167,/,-1783708853,162.241.203.167,Bootstrap,44,False,,,,,,,
br1026.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br1026.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br1026.hostgator.com.br,,443,https://br1026.hostgator.com.br:443,https,Apache,text/html,GET,162.241.203.172,/,-1783708853,162.241.203.172,Bootstrap,44,False,,,,,,,
br1028.hostgator.com.br,Hospedagem de Site com Domínio Grátis - HostGator,404,2351,br1028.hostgator.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-10T00:00:00Z,2024-07-09T23:59:59Z,CN=*.hostgator.com.br,*.hostgator.com.br,hostgator.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0706cd7f557f2621056aa98930b6d43a,c7f524fbdc6b3cc5439ff00acb36bdb8b0f77cc6d90b9eb2b523fb69a9b9cc67,True,ctls,br1028.hostgator.com.br,,443,https://br1028.hostgator.com.br:443,https,Apache,text/html,GET,162.241.203.217,/,-1783708853,162.241.203.217,Bootstrap,44,False,,,,,,,
