input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_subject_org_,webserver,final_url,tls_wildcard_certificate,tls_expired,tls_emails_
dev.login.driveuconnect.com,Uconnect,200,11584,dev.login.driveuconnect.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-11-15T15:04:21Z,2025-11-14T15:04:21Z,"CN=dev.login.driveuconnect.com, OU=ICT, O=FCA US LLC, L=Auburn Hills, ST=Michigan, C=US",dev.login.driveuconnect.com,dev.login.driveuconnect.com,"CN=FCAUSCAM01, DC=cdroot, DC=net, DC=cdroot, DC=net",FCAUSCAM01,,9eea777d774ca553ac24b86cc8538704,8530c29868d11429add57c4396c8decf8f46d66cbf5223c519137ab9906f9714,ctls,dev.login.driveuconnect.com,,443,https://dev.login.driveuconnect.com:443,https,text/html,GET,129.9.176.34,/,-1014672792,129.9.176.34,,206,False,,FCA US LLC,,https://dev.login.driveuconnect.com/login/login.fcc?TYPE=33554433&REALMOID=06-0007ca7a-e72f-1df1-a725-c91097ab0000&GUID=&SMAUTHREASON=0&METHOD=GET&SMAGENTNAME=-SM-1Kmz9LNf9v%2fEXO1mCp5UXoO1yka8pvkTbxwCTRHsHofkDt1YYnO%2fhHVSTR65OV8zRcV3f6rOvB4IoMiGNuuUoQM0LZQIJfMv&TARGET=-SM-HTTP%3a%2f%2fdev%2elogin%2edriveuconnect%2ecom%2f,,,am_itm_wmw_webmn@chrysler.com
driveuconnect.com,503 Service Temporarily Unavailable,503,408,driveuconnect.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2018-02-27T00:00:00Z,2019-03-09T12:00:00Z,"CN=*.meap.me, OU=ITM, O=FCA US LLC, L=Auburn Hills, ST=Michigan, C=US",*.meap.me,*.meap.me,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7a5a91f0dc9f0c32a6270118a2700f73,c36c3e97026b3553f158ba34d2e85fed58f3ba51f92642043b352ac13460a6fe,ctls,driveuconnect.com,,443,https://driveuconnect.com:443,https,text/html,GET,206.198.145.71,/,1685898128,206.198.145.71,,12,False,,FCA US LLC,,,True,True,
driveuconnect.eu,App store,200,7554,www.driveuconnect.eu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-04-06T00:00:00Z,2024-05-06T23:59:59Z,"CN=www.driveuconnect.eu, O=Fiat Group Automobiles S.p.A., L=Torino, C=IT",www.driveuconnect.eu,driveuconnect.eu,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,175678e9c85495d6859fff42a33968d5,7d5fd6d1322f5cbdf8064f518bcb2daa478542bdadfe2f8ea514695e32721233,ctls,www.driveuconnect.eu,,443,https://driveuconnect.eu:443,https,text/html,GET,82.112.205.252,/,-189811434,82.112.205.252,HSTS,171,False,,Fiat Group Automobiles S.p.A.,Apache,https://www.driveuconnect.eu/UserPortal/?t=landing.app&app-theme=mopar,,,
e.driveuconnect.com,503 Service Temporarily Unavailable,503,410,e.driveuconnect.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2018-02-27T00:00:00Z,2019-03-09T12:00:00Z,"CN=*.meap.me, OU=ITM, O=FCA US LLC, L=Auburn Hills, ST=Michigan, C=US",*.meap.me,*.meap.me,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7a5a91f0dc9f0c32a6270118a2700f73,c36c3e97026b3553f158ba34d2e85fed58f3ba51f92642043b352ac13460a6fe,ctls,e.driveuconnect.com,,443,https://e.driveuconnect.com:443,https,text/html,GET,206.198.145.71,/,-1009211375,206.198.145.71,,12,False,,FCA US LLC,,,True,True,
ftp.driveuconnect.eu,,200,15,ftp.driveuconnect.eu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,True,2023-05-16T00:00:00Z,2024-06-15T23:59:59Z,"CN=connectedservices.driveuconnect.eu, O=Fiat Group Automobiles S.p.A., L=Torino, C=IT",connectedservices.driveuconnect.eu,connectedservices.driveuconnect.eu,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,441e4cbbfb6f0f0f4b290625ae63d664,b65079acd0fa8be9dc0351f099ea7763c7fcaf93bb8562f516330d0acd244800,ctls,ftp.driveuconnect.eu,,443,https://ftp.driveuconnect.eu:443,https,text/html,GET,82.112.205.252,/,-780928015,82.112.205.252,Apache,2,False,,Fiat Group Automobiles S.p.A.,Apache,,,,
login.driveuconnect.eu,,200,,login.driveuconnect.eu,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-01-19T00:00:00Z,2024-02-17T23:59:59Z,CN=login.driveuconnect.eu,login.driveuconnect.eu,login.driveuconnect.eu,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,c66974b570bb4f31f78e25e45827629c,0fca84ade10e39a4976a16004f8fbc6e914a48ec7f7cee6ef3ee6cc1d55b1ddd,ctls,login.driveuconnect.eu,cloudfront,443,https://login.driveuconnect.eu:443,https,text/html,GET,52.222.214.74,/,-1516177449,52.222.214.73,Amazon Web Services,1,False,True,,,,,,
m.driveuconnect.eu,,200,74,m.driveuconnect.eu,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-06-20T12:23:48Z,2023-09-18T12:23:47Z,CN=abarth.pt,abarth.pt,www.new.fiat.bg,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e46b6be51f6e42ab328cd6508d1cc0d3,099fa8c6d2415c0278de1edcab722fdb6eb30bec97462a4f3b8b5ffc3cdb25f0,ctls,m.driveuconnect.eu,azure,443,https://m.driveuconnect.eu:443,https,text/html,GET,20.47.97.150,/,-177105916,20.47.97.150,HSTS,1,False,True,,,,,,
test-aem-origin.driveuconnect.com,401 Unauthorized,401,381,test-aem-origin.driveuconnect.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-01-04T23:59:59Z,CN=*.adobecqms.net,*.adobecqms.net,*.adobecqms.net,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,83a82afea5b34a4c1a5ddfed075174fb,368e69d19345c43cfc47934790617d95d16a5ceaa2a7d77eb9a5cb1406abfba2,ctls,test-aem-origin.driveuconnect.com,,443,https://test-aem-origin.driveuconnect.com:443,https,text/html,GET,52.36.242.231,/,-392200610,34.223.133.238,Basic,13,False,,,Apache,,True,,
test-aem.driveuconnect.com,Access Denied,403,278,test-aem.driveuconnect.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-05-12T07:28:33Z,2023-08-10T07:28:32Z,CN=uat3.alfaromeousa.com,uat3.alfaromeousa.com,www-preview.ram.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,b5a98679498e32fe81c122851ea7e854,ab70f6f7a52df781d0f2115a95a6d7a9e91d84cfb6fddb6e18302bafd6ef5896,ctls,test-aem.driveuconnect.com,,443,https://test-aem.driveuconnect.com:443,https,text/html,GET,23.50.57.49,/,-887984316,2a02:26f0:e0::1732:3622,,10,False,,,AkamaiGHost,,,,
test.login.driveuconnect.com,Uconnect,200,36842,test.login.driveuconnect.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-12-14T17:13:30Z,2025-12-13T17:13:30Z,"CN=test.login.driveuconnect.com, OU=ICT, O=FCA US LLC, L=Auburn Hills, ST=Michigan, C=US",test.login.driveuconnect.com,test.login.driveuconnect.com,"CN=FCAUSCAM01, DC=cdroot, DC=net, DC=cdroot, DC=net",FCAUSCAM01,,83dce2b278a6b1e95940f3690fdd2891,66edfeba266eb5e9fa7c3114bf0846399e86a8943ddfbb1bdad5efab4c93ac0d,ctls,test.login.driveuconnect.com,,443,https://test.login.driveuconnect.com:443,https,text/html,GET,129.9.176.39,/,-780928015,129.9.176.39,Java,1082,False,,FCA US LLC,,https://test.login.driveuconnect.com/login/login.fcc?TYPE=33554433&REALMOID=06-bc5768c7-73a1-10a6-affb-84fb52890001&GUID=&SMAUTHREASON=0&METHOD=GET&SMAGENTNAME=-SM-oO%2bZJBBsikrHbl5l1fVXmRersqlhO6DIo6bL92eP0CB16CVl2zqVb2NAiCT9yriwtPbH%2bJCfmwmVMC0Q3ChI48A6csGQTFck&TARGET=-SM-HTTP%3a%2f%2ftest%2elogin%2edriveuconnect%2ecom%2f,,,
