new,host,ttl,soa,ns,status_code,a,aaaa,cname,cdn,cdn-name,txt,mx,caa,has_internal_ips,internal_ips,ptr
[x],155-9-62-7.epmgmt.checkpoint.com,300.0,"{'name': 'us-east-1.elb.amazonaws.com', 'ns': 'ns-1119.awsdns-11.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'us-east-1.elb.amazonaws.com', 'ns': 'ns-1119.awsdns-11.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'us-east-1.elb.amazonaws.com', 'ns': 'ns-1119.awsdns-11.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}","ns-1119.awsdns-11.org, ns-1793.awsdns-32.co.uk, ns-235.awsdns-29.com, ns-934.awsdns-52.net, ns-1377.awsdns-44.org, ns-147.awsdns-18.com, ns-1767.awsdns-28.co.uk, ns-798.awsdns-35.net",NOERROR,"34.197.170.228, 54.86.86.61, 34.236.162.35, 44.196.151.99, 100.24.133.198, 34.200.143.49",,"pointer-record-us-east-1.epmgmt.checkpoint.com, endpoint-management-prd-alb-2069962786.us-east-1.elb.amazonaws.com",,,,,,,,
[x],17-121-113-42.portal.checkpoint.com,300.0,"{'name': 'd2d1c6s1bpa9wb.cloudfront.net', 'ns': 'ns-1660.awsdns-15.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd2d1c6s1bpa9wb.cloudfront.net', 'ns': 'ns-1660.awsdns-15.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd2d1c6s1bpa9wb.cloudfront.net', 'ns': 'ns-1660.awsdns-15.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd2d1c6s1bpa9wb.cloudfront.net', 'ns': 'ns-1660.awsdns-15.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}","ns-1133.awsdns-13.org, ns-1660.awsdns-15.co.uk, ns-221.awsdns-27.com, ns-861.awsdns-43.net",NOERROR,"3.165.190.5, 3.165.190.107, 3.165.190.127, 3.165.190.81","2600:9000:28a6:fa00:8:7049:66c0:93a1, 2600:9000:28a6:4600:8:7049:66c0:93a1, 2600:9000:28a6:5a00:8:7049:66c0:93a1, 2600:9000:28a6:e800:8:7049:66c0:93a1, 2600:9000:28a6:a00:8:7049:66c0:93a1, 2600:9000:28a6:3a00:8:7049:66c0:93a1, 2600:9000:28a6:b400:8:7049:66c0:93a1, 2600:9000:28a6:d600:8:7049:66c0:93a1",d2d1c6s1bpa9wb.cloudfront.net,True,cloudfront,,,,,,
[x],af01p-or-dr03.portal.checkpoint.com,300.0,"{'name': 'd2d1c6s1bpa9wb.cloudfront.net', 'ns': 'ns-1660.awsdns-15.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd2d1c6s1bpa9wb.cloudfront.net', 'ns': 'ns-1660.awsdns-15.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd2d1c6s1bpa9wb.cloudfront.net', 'ns': 'ns-1660.awsdns-15.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}","ns-1133.awsdns-13.org, ns-1660.awsdns-15.co.uk, ns-221.awsdns-27.com, ns-861.awsdns-43.net",NOERROR,"143.204.215.65, 143.204.215.124, 143.204.215.7, 143.204.215.27","2600:9000:2251:1000:8:7049:66c0:93a1, 2600:9000:2251:1a00:8:7049:66c0:93a1, 2600:9000:2251:da00:8:7049:66c0:93a1, 2600:9000:2251:8200:8:7049:66c0:93a1, 2600:9000:2251:9000:8:7049:66c0:93a1, 2600:9000:2251:2400:8:7049:66c0:93a1, 2600:9000:2251:1c00:8:7049:66c0:93a1, 2600:9000:2251:5000:8:7049:66c0:93a1",d2d1c6s1bpa9wb.cloudfront.net,True,cloudfront,,,,,,
[x],anank-domain-2.dev.i2.checkpoint.com,300.0,"{'name': 'dev.i2.checkpoint.com', 'ns': 'ns-1577.awsdns-05.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'dev.i2.checkpoint.com', 'ns': 'ns-1577.awsdns-05.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'dev.i2.checkpoint.com', 'ns': 'ns-1577.awsdns-05.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'dev.i2.checkpoint.com', 'ns': 'ns-1577.awsdns-05.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'dev.i2.checkpoint.com', 'ns': 'ns-1577.awsdns-05.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}","ns-1000.awsdns-61.net, ns-122.awsdns-15.com, ns-1518.awsdns-61.org, ns-1577.awsdns-05.co.uk",NOERROR,169.254.169.254,,,,,,,,True,169.254.169.254,
[x],app-feb.portal.checkpoint.com,300.0,"{'name': 'd2d1c6s1bpa9wb.cloudfront.net', 'ns': 'ns-1660.awsdns-15.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd2d1c6s1bpa9wb.cloudfront.net', 'ns': 'ns-1660.awsdns-15.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd2d1c6s1bpa9wb.cloudfront.net', 'ns': 'ns-1660.awsdns-15.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd2d1c6s1bpa9wb.cloudfront.net', 'ns': 'ns-1660.awsdns-15.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}","ns-861.awsdns-43.net, ns-1133.awsdns-13.org, ns-1660.awsdns-15.co.uk, ns-221.awsdns-27.com",NOERROR,"13.32.99.45, 13.32.99.32, 13.32.99.112, 13.32.99.85","2600:9000:211a:e00:8:7049:66c0:93a1, 2600:9000:211a:4400:8:7049:66c0:93a1, 2600:9000:211a:d800:8:7049:66c0:93a1, 2600:9000:211a:2600:8:7049:66c0:93a1, 2600:9000:211a:6c00:8:7049:66c0:93a1, 2600:9000:211a:1000:8:7049:66c0:93a1, 2600:9000:211a:d200:8:7049:66c0:93a1, 2600:9000:211a:de00:8:7049:66c0:93a1",d2d1c6s1bpa9wb.cloudfront.net,True,cloudfront,,,,,,
[x],app.eu.sase.checkpoint.com,60.0,"{'name': 'eu.sase.checkpoint.com', 'ns': 'ns-1065.awsdns-05.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'eu.sase.checkpoint.com', 'ns': 'ns-1065.awsdns-05.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'eu.sase.checkpoint.com', 'ns': 'ns-1065.awsdns-05.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'eu.sase.checkpoint.com', 'ns': 'ns-1065.awsdns-05.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'eu.sase.checkpoint.com', 'ns': 'ns-1065.awsdns-05.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",,NOERROR,"18.245.46.70, 18.245.46.89, 18.245.46.91, 18.245.46.45",,,True,cloudfront,,,,,,
[x],applenordikcom.3fc3f6fe-8659-431f-8d9d-927d7007493b.us-east-1.c906f97edd45.i2.checkpoint.com,60.0,"{'name': 'd1vr4vt2v4t5x.cloudfront.net', 'ns': 'ns-527.awsdns-01.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd1vr4vt2v4t5x.cloudfront.net', 'ns': 'ns-527.awsdns-01.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd1vr4vt2v4t5x.cloudfront.net', 'ns': 'ns-527.awsdns-01.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd1vr4vt2v4t5x.cloudfront.net', 'ns': 'ns-527.awsdns-01.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",,NOERROR,"3.164.68.71, 3.164.68.101, 3.164.68.91, 3.164.68.126",,d1vr4vt2v4t5x.cloudfront.net,True,cloudfront,,,,,,
[x],appthermeaca.3fc3f6fe-8659-431f-8d9d-927d7007493b.us-east-1.89704128ebd1.i2.checkpoint.com,60.0,"{'name': 'd275y58le1wliz.cloudfront.net', 'ns': 'ns-1787.awsdns-31.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd275y58le1wliz.cloudfront.net', 'ns': 'ns-1787.awsdns-31.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd275y58le1wliz.cloudfront.net', 'ns': 'ns-1787.awsdns-31.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd275y58le1wliz.cloudfront.net', 'ns': 'ns-1787.awsdns-31.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd275y58le1wliz.cloudfront.net', 'ns': 'ns-1787.awsdns-31.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}","ns-1178.awsdns-19.org, ns-1787.awsdns-31.co.uk, ns-348.awsdns-43.com, ns-816.awsdns-38.net",NOERROR,"18.66.102.90, 18.66.102.19, 18.66.102.124, 18.66.102.33",,d275y58le1wliz.cloudfront.net,True,cloudfront,,,,,,
[x],asehubtest-claseclcomtw.21771f57-ea89-4f8c-b9f3-7c0718b90eb6.ap-northeast-3.7b08f375a54a.i2.checkpoint.com,60.0,"{'name': 'drh1dknfn3ve3.cloudfront.net', 'ns': 'ns-540.awsdns-03.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'drh1dknfn3ve3.cloudfront.net', 'ns': 'ns-540.awsdns-03.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'drh1dknfn3ve3.cloudfront.net', 'ns': 'ns-540.awsdns-03.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'drh1dknfn3ve3.cloudfront.net', 'ns': 'ns-540.awsdns-03.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'drh1dknfn3ve3.cloudfront.net', 'ns': 'ns-540.awsdns-03.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}","ns-1301.awsdns-34.org, ns-1537.awsdns-00.co.uk, ns-251.awsdns-31.com, ns-540.awsdns-03.net",NOERROR,"18.244.18.23, 18.244.18.77, 18.244.18.70, 18.244.18.122",,drh1dknfn3ve3.cloudfront.net,True,cloudfront,,,,,,
[x],aus.spark-management.checkpoint.com,300.0,"{'name': 'ap-southeast-2.elb.amazonaws.com', 'ns': 'ns-99.awsdns-12.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'ap-southeast-2.elb.amazonaws.com', 'ns': 'ns-99.awsdns-12.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'ap-southeast-2.elb.amazonaws.com', 'ns': 'ns-99.awsdns-12.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}","ns-1106.awsdns-10.org, ns-1717.awsdns-22.co.uk, ns-54.awsdns-06.com, ns-604.awsdns-11.net",NOERROR,"3.105.210.81, 13.55.213.12",,vsmp-prd-fe-alb-236155467.ap-southeast-2.elb.amazonaws.com,,,,,,,,
