input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn_name,cdn,tls_expired,final_url,csp_domains_,tls_mismatched,tls_subject_org_
1-zsrnmzhmri2jp5oh.developer-sg.tiktok.com,404 Not Found,404,146,1-zsrnmzhmri2jp5oh.developer-sg.tiktok.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-17T00:00:00Z,2024-08-16T23:59:59Z,CN=*.developer-sg.tiktok.com,*.developer-sg.tiktok.com,developer-sg.tiktok.com,"CN=RapidSSL ECC CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",RapidSSL ECC CA 2018,DigiCert Inc,b88e7f76789a5cb4223f7f02d47a5d82,7c8275acf18f711925fc081088df8007348bc838d187ca00e57bf727c1c854da,True,ctls,1-zsrnmzhmri2jp5oh.developer-sg.tiktok.com,443,https://1-zsrnmzhmri2jp5oh.developer-sg.tiktok.com:443,https,nginx,text/html,GET,2.20.142.187,/,1494302000,2.20.142.155,Nginx,8,False,,,,,,,
65-34.developer-sg.tiktok.com,404 Not Found,404,146,65-34.developer-sg.tiktok.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-17T00:00:00Z,2024-08-16T23:59:59Z,CN=*.developer-sg.tiktok.com,*.developer-sg.tiktok.com,developer-sg.tiktok.com,"CN=RapidSSL ECC CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",RapidSSL ECC CA 2018,DigiCert Inc,b88e7f76789a5cb4223f7f02d47a5d82,7c8275acf18f711925fc081088df8007348bc838d187ca00e57bf727c1c854da,True,ctls,65-34.developer-sg.tiktok.com,443,https://65-34.developer-sg.tiktok.com:443,https,nginx,text/html,GET,2.17.100.203,/,1494302000,2.17.100.138,Nginx,8,False,,,,,,,
94-226-156-79.developer-sg.tiktok.com,404 Not Found,404,146,94-226-156-79.developer-sg.tiktok.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-17T00:00:00Z,2024-08-16T23:59:59Z,CN=*.developer-sg.tiktok.com,*.developer-sg.tiktok.com,developer-sg.tiktok.com,"CN=RapidSSL ECC CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",RapidSSL ECC CA 2018,DigiCert Inc,b88e7f76789a5cb4223f7f02d47a5d82,7c8275acf18f711925fc081088df8007348bc838d187ca00e57bf727c1c854da,True,ctls,94-226-156-79.developer-sg.tiktok.com,443,https://94-226-156-79.developer-sg.tiktok.com:443,https,nginx,text/html,GET,184.86.103.156,/,1494302000,184.86.103.137,Nginx,8,False,,,,,,,
95-0-81.developer-sg.tiktok.com,404 Not Found,404,146,95-0-81.developer-sg.tiktok.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-17T00:00:00Z,2024-08-16T23:59:59Z,CN=*.developer-sg.tiktok.com,*.developer-sg.tiktok.com,developer-sg.tiktok.com,"CN=RapidSSL ECC CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",RapidSSL ECC CA 2018,DigiCert Inc,b88e7f76789a5cb4223f7f02d47a5d82,7c8275acf18f711925fc081088df8007348bc838d187ca00e57bf727c1c854da,True,ctls,95-0-81.developer-sg.tiktok.com,443,https://95-0-81.developer-sg.tiktok.com:443,https,nginx,text/html,GET,2.16.241.214,/,1494302000,2.16.241.196,Nginx,8,False,,,,,,,
academy-api.tiktok.com,404 Not Found,404,146,academy-api.tiktok.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-14T00:00:00Z,2024-08-13T23:59:59Z,CN=*.tiktok.com,*.tiktok.com,tiktok.com,"CN=RapidSSL ECC CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",RapidSSL ECC CA 2018,DigiCert Inc,8d3de7433c10e8508be7eb7ae20654a2,941043800effc84c1b1817337ece8ed4822289bf660ca3eb51943c5212a397c7,True,ctls,academy-api.tiktok.com,443,https://academy-api.tiktok.com:443,https,nginx,text/html,GET,2.23.7.24,/,1494302000,2.23.7.19,Nginx,8,False,,,,,,,
access.developer-sg.tiktok.com,404 Not Found,404,146,access.developer-sg.tiktok.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-17T00:00:00Z,2024-08-16T23:59:59Z,CN=*.developer-sg.tiktok.com,*.developer-sg.tiktok.com,developer-sg.tiktok.com,"CN=RapidSSL ECC CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",RapidSSL ECC CA 2018,DigiCert Inc,b88e7f76789a5cb4223f7f02d47a5d82,7c8275acf18f711925fc081088df8007348bc838d187ca00e57bf727c1c854da,True,ctls,access.developer-sg.tiktok.com,443,https://access.developer-sg.tiktok.com:443,https,nginx,text/html,GET,2.17.100.138,/,1494302000,2.17.100.203,Nginx,8,False,,,,,,,
activity-va.tiktokv.com,404 Not Found,404,146,activity-va.tiktokv.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-12T00:00:00Z,2023-09-12T23:59:59Z,CN=*.tiktokv.com,*.tiktokv.com,tiktokv.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",c285c4454729ec56967f1a33375712c9,aaf29afdbd44828b52ad261d728ebde3351bc74f4b188d63f79bf85f038cd419,True,ctls,activity-va.tiktokv.com,443,https://activity-va.tiktokv.com:443,https,nginx,text/html,GET,95.101.111.145,/,1494302000,95.101.111.151,Nginx,8,False,,,,,,,
activity.in.tiktok.com,404 Not Found,404,146,activity.in.tiktok.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-12-21T00:00:00Z,2024-01-21T23:59:59Z,CN=*.in.tiktok.com,*.in.tiktok.com,in.tiktok.com,"CN=RapidSSL ECC CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",RapidSSL ECC CA 2018,DigiCert Inc,da3c7ae332340f36dc1bb469876625a6,c5b1ebb6c35e4d52b6b07b1fd549377de53ab6840e41e94c3b97ba62705d0b45,True,ctls,activity.in.tiktok.com,443,https://activity.in.tiktok.com:443,https,nginx,text/html,GET,2.23.7.26,/,1494302000,2.23.7.32,Nginx,8,False,,,,,,,
activity.tiktok.com,404 Not Found,404,146,activity.tiktok.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-14T00:00:00Z,2024-08-13T23:59:59Z,CN=*.tiktok.com,*.tiktok.com,tiktok.com,"CN=RapidSSL ECC CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",RapidSSL ECC CA 2018,DigiCert Inc,8d3de7433c10e8508be7eb7ae20654a2,941043800effc84c1b1817337ece8ed4822289bf660ca3eb51943c5212a397c7,True,ctls,activity.tiktok.com,443,https://activity.tiktok.com:443,https,nginx,text/html,GET,2.23.7.24,/,1494302000,2.23.7.19,Nginx,8,False,,,,,,,
activity.us.tiktok.com,404 Not Found,404,162,activity.us.tiktok.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-31T00:00:00Z,2024-06-30T23:59:59Z,CN=*.us.tiktok.com,*.us.tiktok.com,us.tiktok.com,"CN=RapidSSL TLS ECC CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",RapidSSL TLS ECC CA G1,DigiCert Inc,ae003ae7ef3664df2b5a9111cfd65b4a,50fd97156ae4001e577c788de5c46acefd527399f3be34f643a908e61244a44c,True,ctls,activity.us.tiktok.com,443,https://activity.us.tiktok.com:443,https,nginx,text/html,GET,104.126.118.227,/,190856733,104.126.118.248,Nginx,8,False,,,,,,,
