input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,method,host,path,favicon,a_,lines,failed,content_type,tech_,webserver,csp_domains_,final_url,location,tls_expired,tls_mismatched,cdn_name,cdn
abc.fisglobal.com,Not Found,404,315,abc.fisglobal.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-15T00:00:00Z,2024-04-13T23:59:59Z,"CN=*.fisglobal.com, O=Fidelity National Information Services, ST=Florida, C=US",*.fisglobal.com,Fidelity National Information Services,*.fisglobal.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,0ddf116fcf0a721e302989018c0e108d,ed2160b5e35726270a3255327ce2b5cc59eda4c180616bf4e88293d11a524847,True,ctls,abc.fisglobal.com,443,https://abc.fisglobal.com:443,https,GET,104.102.53.67,/,225052475,2a02:26f0:480:59f::3b69,7,False,text/html,Microsoft HTTPAPI:2.0,Microsoft-HTTPAPI/2.0,,,,,,,
access1.au.fisglobal.com,Authentication,200,3308,access1.au.fisglobal.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-04T00:00:00Z,2024-06-02T23:59:59Z,"CN=access.au.fisglobal.com, O=Fidelity National Information Services\, Inc., ST=Florida, C=US",access.au.fisglobal.com,"Fidelity National Information Services, Inc.",access2.au.fisglobal.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,a18e66d062681c94fc13e6fa0a22b19a,51076d5486ab7bcf279d37a5b1983b27ce8056d07aae487461d13d64360a7503,,ctls,access1.au.fisglobal.com,443,https://access1.au.fisglobal.com:443,https,GET,63.141.160.18,/,-581462021,63.141.160.18,103,False,text/html,HSTS,,,https://access1.au.fisglobal.com/dana-na/auth/url_default/welcome.cgi,,,,,
access2.au.fisglobal.com,Authentication,200,3308,access2.au.fisglobal.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-04T00:00:00Z,2024-06-02T23:59:59Z,"CN=access.au.fisglobal.com, O=Fidelity National Information Services\, Inc., ST=Florida, C=US",access.au.fisglobal.com,"Fidelity National Information Services, Inc.",access2.au.fisglobal.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,a18e66d062681c94fc13e6fa0a22b19a,51076d5486ab7bcf279d37a5b1983b27ce8056d07aae487461d13d64360a7503,,ctls,access2.au.fisglobal.com,443,https://access2.au.fisglobal.com:443,https,GET,63.141.161.18,/,-581462021,63.141.161.18,103,False,text/html,HSTS,,,https://access2.au.fisglobal.com/dana-na/auth/url_default/welcome.cgi,,,,,
aka18901-www.fisglobal.com,400 Bad Request,400,171,aka18901-www.fisglobal.com,443,True,tls12,TLS_RSA_WITH_AES_256_CBC_SHA,2022-07-05T00:00:00Z,2023-08-04T23:59:59Z,"CN=*.fisglobal.com, O=Fidelity National Information Services\, Inc., ST=Florida, C=US",*.fisglobal.com,"Fidelity National Information Services, Inc.",fisglobal.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,c7b6b5b2b235a11d101afb12629fbdeb,13433b1eff434c69e2176b9bf1a7fe3fd255d9e288119000eeefd5bbadc9919a,True,ctls,aka18901-www.fisglobal.com,443,https://aka18901-www.fisglobal.com:443,https,GET,156.55.138.18,/,386594154,156.55.138.18,1,False,text/html,Apache,Apache,,,,,,,
aka77793-login5.fisglobal.com,,503,62,aka77793-login5.fisglobal.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-07-05T00:00:00Z,2023-08-04T23:59:59Z,"CN=*.fisglobal.com, O=Fidelity National Information Services\, Inc., ST=Florida, C=US",*.fisglobal.com,"Fidelity National Information Services, Inc.",fisglobal.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,c7b6b5b2b235a11d101afb12629fbdeb,13433b1eff434c69e2176b9bf1a7fe3fd255d9e288119000eeefd5bbadc9919a,True,ctls,aka77793-login5.fisglobal.com,443,https://aka77793-login5.fisglobal.com:443,https,GET,156.55.137.240,/,107704025,156.55.137.240,1,False,,,,,,,,,,
alertconsole.fisglobal.com,,404,193,alertconsole.fisglobal.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-15T00:00:00Z,2024-04-13T23:59:59Z,"CN=*.fisglobal.com, O=Fidelity National Information Services, ST=Florida, C=US",*.fisglobal.com,Fidelity National Information Services,*.fisglobal.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,0ddf116fcf0a721e302989018c0e108d,ed2160b5e35726270a3255327ce2b5cc59eda4c180616bf4e88293d11a524847,True,ctls,alertconsole.fisglobal.com,443,https://alertconsole.fisglobal.com:443,https,GET,84.53.164.191,/,-995778259,2a02:26f0:3500:88d::3b69,1,False,text/html,HSTS,,,,,,,,
alpinesecurities.fisglobal.com,HTTP Status 404 – Not Found,404,1045,alpinesecurities.fisglobal.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-09T00:00:00Z,2024-01-09T23:59:59Z,"CN=alpinesecurities.fisglobal.com, O=Fidelity National Information Services, ST=Florida, C=US",alpinesecurities.fisglobal.com,Fidelity National Information Services,alpinesecurities.fisglobal.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,2a5426fe7619dc44267cb4e764fa6e87,6fa05e2f9ec25c17a2a8988743b4815e66b106ac9ac0a59a53050ed6ed1ab368,,ctls,alpinesecurities.fisglobal.com,443,https://alpinesecurities.fisglobal.com:443,https,GET,104.126.37.139,/,1246687238,104.126.37.152,1,False,text/html,HSTS,,,,,,,,
altura-fiscd-margin-advisor.fisglobal.com,HTTP Status 404 – Not Found,404,682,altura-fiscd-margin-advisor.fisglobal.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-05T00:00:00Z,2024-06-03T23:59:59Z,"CN=altura-fiscd-margin-advisor.fisglobal.com, O=Fidelity National Information Services, ST=Florida, C=US",altura-fiscd-margin-advisor.fisglobal.com,Fidelity National Information Services,www.altura-fiscd-margin-advisor.fisglobal.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,9bef861d542aebab4063f87c1ecc243e,ef7cf63450107bc480ddca1be5d801b813db9c9d9ef24a57b5ffeb0290e48549,,ctls,altura-fiscd-margin-advisor.fisglobal.com,443,https://altura-fiscd-margin-advisor.fisglobal.com:443,https,GET,2.16.187.42,/,-1551043557,2a02:26f0:1700:11::b856:6789,1,False,text/html,HSTS,,,,,,,,
ambitcapitalmanager.fisglobal.com,,200,6245,ambitcapitalmanager.fisglobal.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-07-13T00:00:00Z,2023-08-12T23:59:59Z,"CN=*.fisglobal.com, O=Fidelity National Information Services\, Inc., ST=Florida, C=US",*.fisglobal.com,"Fidelity National Information Services, Inc.",fisglobal.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,35566163a669f5d5ef19297c25bc7f73,bab10d66cc071b98ce70b611d3d78030eb104a5d013c371f70df78e93e291235,True,ctls,ambitcapitalmanager.fisglobal.com,443,https://ambitcapitalmanager.fisglobal.com:443,https,GET,147.249.130.243,/,12023395,147.249.130.243,1,False,text/html,,,,https://ambitcapitalmanager.fisglobal.com/logon/LogonPoint/index.html,,,,,
ams.fisglobal.com,403 - Forbidden: Access is denied.,403,1233,ams.fisglobal.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-15T00:00:00Z,2024-04-13T23:59:59Z,"CN=*.fisglobal.com, O=Fidelity National Information Services, ST=Florida, C=US",*.fisglobal.com,Fidelity National Information Services,*.fisglobal.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,0ddf116fcf0a721e302989018c0e108d,ed2160b5e35726270a3255327ce2b5cc59eda4c180616bf4e88293d11a524847,True,ctls,ams.fisglobal.com,443,https://ams.fisglobal.com:443,https,GET,84.53.164.191,/,1631801191,2a02:26f0:3500:88d::3b69,30,False,text/html,HSTS,,,,,,,,
