input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,csp_domains_,final_url,tls_mismatched
24.blob.threema.ch,403 Forbidden,403,146,24.blob.threema.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2019-10-21T12:23:40Z,2024-10-19T12:23:40Z,"CN=*.blob.threema.ch, O=Threema GmbH, ST=Schwyz, C=CH",*.blob.threema.ch,Threema GmbH,*.ds.blob.threema.ch,"emailAddress=ca@threema.ch, CN=Threema CA, OU=CA, O=Threema, L=Zurich, ST=ZH, C=CH, emailAddress=ca@threema.ch",Threema CA,Threema,3ec700fb9bece6f528ec2395f003bf49,df2499716a9c22a9991365bd60bcf26ec0c678fc3bd1a892392ee8fde5f04397,True,ctls,24.blob.threema.ch,443,https://24.blob.threema.ch:443,https,nginx,text/html,GET,185.88.236.106,/,-1561873722,185.88.236.106,Nginx,8,False,,,
24.ds.blob.threema.ch,403 Forbidden,403,146,24.ds.blob.threema.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2019-10-21T12:23:40Z,2024-10-19T12:23:40Z,"CN=*.blob.threema.ch, O=Threema GmbH, ST=Schwyz, C=CH",*.blob.threema.ch,Threema GmbH,*.ds.blob.threema.ch,"emailAddress=ca@threema.ch, CN=Threema CA, OU=CA, O=Threema, L=Zurich, ST=ZH, C=CH, emailAddress=ca@threema.ch",Threema CA,Threema,3ec700fb9bece6f528ec2395f003bf49,df2499716a9c22a9991365bd60bcf26ec0c678fc3bd1a892392ee8fde5f04397,True,ctls,24.ds.blob.threema.ch,443,https://24.ds.blob.threema.ch:443,https,nginx,text/html,GET,185.88.236.106,/,-1561873722,2a02:41b:300a:301::106,Nginx,8,False,,,
27.blob.threema.ch,403 Forbidden,403,146,27.blob.threema.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2019-10-21T12:23:40Z,2024-10-19T12:23:40Z,"CN=*.blob.threema.ch, O=Threema GmbH, ST=Schwyz, C=CH",*.blob.threema.ch,Threema GmbH,*.ds.blob.threema.ch,"emailAddress=ca@threema.ch, CN=Threema CA, OU=CA, O=Threema, L=Zurich, ST=ZH, C=CH, emailAddress=ca@threema.ch",Threema CA,Threema,3ec700fb9bece6f528ec2395f003bf49,df2499716a9c22a9991365bd60bcf26ec0c678fc3bd1a892392ee8fde5f04397,True,ctls,27.blob.threema.ch,443,https://27.blob.threema.ch:443,https,nginx,text/html,GET,185.88.236.116,/,-1561873722,185.88.236.116,Nginx,8,False,,,
27.ds.blob.threema.ch,403 Forbidden,403,146,27.ds.blob.threema.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2019-10-21T12:23:40Z,2024-10-19T12:23:40Z,"CN=*.blob.threema.ch, O=Threema GmbH, ST=Schwyz, C=CH",*.blob.threema.ch,Threema GmbH,*.ds.blob.threema.ch,"emailAddress=ca@threema.ch, CN=Threema CA, OU=CA, O=Threema, L=Zurich, ST=ZH, C=CH, emailAddress=ca@threema.ch",Threema CA,Threema,3ec700fb9bece6f528ec2395f003bf49,df2499716a9c22a9991365bd60bcf26ec0c678fc3bd1a892392ee8fde5f04397,True,ctls,27.ds.blob.threema.ch,443,https://27.ds.blob.threema.ch:443,https,nginx,text/html,GET,185.88.236.116,/,-1561873722,2a02:41b:300a:301::116,Nginx,8,False,,,
31.blob.threema.ch,403 Forbidden,403,146,31.blob.threema.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2019-10-21T12:23:40Z,2024-10-19T12:23:40Z,"CN=*.blob.threema.ch, O=Threema GmbH, ST=Schwyz, C=CH",*.blob.threema.ch,Threema GmbH,*.ds.blob.threema.ch,"emailAddress=ca@threema.ch, CN=Threema CA, OU=CA, O=Threema, L=Zurich, ST=ZH, C=CH, emailAddress=ca@threema.ch",Threema CA,Threema,3ec700fb9bece6f528ec2395f003bf49,df2499716a9c22a9991365bd60bcf26ec0c678fc3bd1a892392ee8fde5f04397,True,ctls,31.blob.threema.ch,443,https://31.blob.threema.ch:443,https,nginx,text/html,GET,212.103.68.17,/,-1561873722,212.103.68.17,Nginx,8,False,,,
31.ds.blob.threema.ch,403 Forbidden,403,146,,,,,,,,,,,,,,,,,,,,80,http://31.ds.blob.threema.ch:80,http,nginx,text/html,GET,212.103.68.17,/,-1561873722,2a00:c38:1fb:302::17,Nginx,8,False,,,
32.blob.threema.ch,403 Forbidden,403,146,32.blob.threema.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2019-10-21T12:23:40Z,2024-10-19T12:23:40Z,"CN=*.blob.threema.ch, O=Threema GmbH, ST=Schwyz, C=CH",*.blob.threema.ch,Threema GmbH,*.ds.blob.threema.ch,"emailAddress=ca@threema.ch, CN=Threema CA, OU=CA, O=Threema, L=Zurich, ST=ZH, C=CH, emailAddress=ca@threema.ch",Threema CA,Threema,3ec700fb9bece6f528ec2395f003bf49,df2499716a9c22a9991365bd60bcf26ec0c678fc3bd1a892392ee8fde5f04397,True,ctls,32.blob.threema.ch,443,https://32.blob.threema.ch:443,https,nginx,text/html,GET,212.103.68.25,/,-1561873722,212.103.68.25,Nginx,8,False,,,
33.ds.blob.threema.ch,403 Forbidden,403,146,33.ds.blob.threema.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2019-10-21T12:23:40Z,2024-10-19T12:23:40Z,"CN=*.blob.threema.ch, O=Threema GmbH, ST=Schwyz, C=CH",*.blob.threema.ch,Threema GmbH,*.ds.blob.threema.ch,"emailAddress=ca@threema.ch, CN=Threema CA, OU=CA, O=Threema, L=Zurich, ST=ZH, C=CH, emailAddress=ca@threema.ch",Threema CA,Threema,3ec700fb9bece6f528ec2395f003bf49,df2499716a9c22a9991365bd60bcf26ec0c678fc3bd1a892392ee8fde5f04397,True,ctls,33.ds.blob.threema.ch,443,https://33.ds.blob.threema.ch:443,https,nginx,text/html,GET,212.103.68.29,/,-1561873722,2a00:c38:1fb:302::29,Nginx,8,False,,,
34.blob.threema.ch,403 Forbidden,403,146,34.blob.threema.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2019-10-21T12:23:40Z,2024-10-19T12:23:40Z,"CN=*.blob.threema.ch, O=Threema GmbH, ST=Schwyz, C=CH",*.blob.threema.ch,Threema GmbH,*.ds.blob.threema.ch,"emailAddress=ca@threema.ch, CN=Threema CA, OU=CA, O=Threema, L=Zurich, ST=ZH, C=CH, emailAddress=ca@threema.ch",Threema CA,Threema,3ec700fb9bece6f528ec2395f003bf49,df2499716a9c22a9991365bd60bcf26ec0c678fc3bd1a892392ee8fde5f04397,True,ctls,34.blob.threema.ch,443,https://34.blob.threema.ch:443,https,nginx,text/html,GET,212.103.68.32,/,-1561873722,212.103.68.32,Nginx,8,False,,,
34.ds.blob.threema.ch,403 Forbidden,403,146,34.ds.blob.threema.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2019-10-21T12:23:40Z,2024-10-19T12:23:40Z,"CN=*.blob.threema.ch, O=Threema GmbH, ST=Schwyz, C=CH",*.blob.threema.ch,Threema GmbH,*.ds.blob.threema.ch,"emailAddress=ca@threema.ch, CN=Threema CA, OU=CA, O=Threema, L=Zurich, ST=ZH, C=CH, emailAddress=ca@threema.ch",Threema CA,Threema,3ec700fb9bece6f528ec2395f003bf49,df2499716a9c22a9991365bd60bcf26ec0c678fc3bd1a892392ee8fde5f04397,True,ctls,34.ds.blob.threema.ch,443,https://34.ds.blob.threema.ch:443,https,nginx,text/html,GET,212.103.68.32,/,-1561873722,2a00:c38:1fb:302::32,Nginx,8,False,,,
