input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_mismatched,tls_subject_org_,tls_wildcard_certificate,cdn_name,cdn,final_url
brand.zivver.com,Authentication,200,2936,brand.zivver.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-17T11:02:12Z,2023-10-15T11:02:11Z,CN=brand.zivver.com,brand.zivver.com,brand.zivver.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,b7632ef17dadb848f4fa2d9353817bf8,1d752cefc84c78b4df205698932c9909b10d6558e046ce9312c4ea9e01bec237,ctls,brand.zivver.com,443,https://brand.zivver.com:443,https,nginx,text/html,GET,3.74.109.123,/,-1561873722,3.74.109.123,Nginx,1,False,,,,,,
cognism.zivver.com,,403,23,cognism.zivver.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-25T10:16:32Z,2023-10-23T10:16:31Z,CN=cognism.zivver.com,cognism.zivver.com,cognism.zivver.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,02e1d82f7c868370a2159eeb51fb1b36,34fde49702e551fbe4425f81f76889f98f3b04636065b691fe7636842709fbf3,ctls,cognism.zivver.com,443,https://cognism.zivver.com:443,https,nginx/1.25.0,application/json,GET,54.194.155.228,/,968070783,54.194.155.228,Nginx:1.25.0,1,False,,,,,,
collector.zivver.com,,421,,collector.zivver.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-07-17T00:00:00Z,2024-08-13T23:59:59Z,CN=collector.zivver.com,collector.zivver.com,collector.zivver.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,a6078cf803699e3b76b8956bd833952d,f2c017455483766a2d42ce0a52435012fd39d1534f5a2ba9d5a8c686546c7fe9,ctls,collector.zivver.com,443,https://collector.zivver.com:443,https,awselb/2.0,text/plain,GET,52.50.247.6,/,-1840324437,2a05:d018:6d4:8050:eec7:da38:3ca9:1b6b,,1,False,,,,,,
enterpriseenrollment.zivver.com,Microsoft Intune admin center,200,42527,intune.microsoft.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-07-15T23:09:38Z,2024-06-27T23:59:59Z,"CN=intune.microsoft.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",intune.microsoft.com,intune.microsoft.com,"CN=Microsoft Azure TLS Issuing CA 05, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 05,Microsoft Corporation,cc05305937f68a7eea27d9d7af0caa65,110faef00876766ade3550f2f7525379d91c5b3f225fef3ca414db8c9620b49b,ctls,intune.microsoft.com,443,https://enterpriseenrollment.zivver.com:443,https,,text/html,GET,13.74.111.192,/,1631801191,13.74.111.192,HSTS,4,False,,Microsoft Corporation,,azure,True,https://intune.microsoft.com/
get.zivver.com,Secure Email Solution - Zivver,200,197372,www.zivver.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-20T10:10:18Z,2023-10-18T10:10:17Z,CN=www.zivver.com,www.zivver.com,www.zivver.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,2b020340c724f62d3ebebe5073316a63,412fbd57092b13a476592ebd89eaf3754be3a1dd55815f6d6f11675d1be1721a,ctls,www.zivver.com,443,https://get.zivver.com:443,https,cloudflare,text/html,GET,199.60.103.30,/,-1478919549,2606:2c40::c73c:67e2,HubSpot CMS Hub,5455,False,,,,,,https://www.zivver.com
lyncdiscover.zivver.com,,200,356,lyncdiscover.zivver.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,2023-02-03T18:41:36Z,2024-01-29T18:41:36Z,"CN=*.online.lync.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.online.lync.com,*.lync.com,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,2caac3e97714f2cd46d17017c8f7ca9e,f38e6481f423e45388c4b40cabf45c6641d3131d29bed689eac88c27936a5618,ctls,lyncdiscover.zivver.com,443,https://lyncdiscover.zivver.com:443,https,,application/json,GET,52.112.192.14,/,-1540081838,2603:1027:0:3::e,Azure,1,False,True,Microsoft Corporation,True,,,
owa-beta.zivver.com,,404,9,owa-beta.zivver.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-26T00:00:00Z,2024-02-23T23:59:59Z,CN=*.zivver.com,*.zivver.com,*.zivver.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,be3701888b4a0c8e4d10dee3b16f5cae,4f76f56f4221d32a75e181824f1f19d830f24070e68b23d7af8750241bb385b0,ctls,owa-beta.zivver.com,443,https://owa-beta.zivver.com:443,https,,text/plain,GET,34.246.26.111,/,-2062187054,2a05:d018:904:1da0:fdd5:60ce:a2f3:ec7e,HSTS,1,False,,,True,,,
owa.zivver.com,this page was intentionally left black,200,988,owa.zivver.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-21T00:00:00Z,2024-04-17T23:59:59Z,CN=owa.zivver.com,owa.zivver.com,owa.zivver.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,1ed9428c2dce747e781d0f6a6df92653,4ad21cdcd35f433f39119aaea39367046e9a620ecefe9552957582459d19af49,ctls,owa.zivver.com,443,https://owa.zivver.com:443,https,AmazonS3,text/html,GET,18.65.39.50,/,586947719,2600:9000:238d:e400:c:e086:2ec0:93a1,Amazon Web Services,46,False,,,,cloudfront,True,
sip.zivver.com,,404,75,sip.zivver.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,2023-03-28T19:00:19Z,2024-03-22T19:00:19Z,"CN=sipfed.online.lync.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",sipfed.online.lync.com,*.lync.com,"CN=Microsoft Azure TLS Issuing CA 05, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 05,Microsoft Corporation,6e32f8be92e2cf4aff781cff883f13f7,c7f7a0fb5d80892059f25bab5abeb7ffbef9ec512abd9475cf96c0bacc21d3c7,ctls,sip.zivver.com,443,https://sip.zivver.com:443,https,RTC/7.0,text/plain,GET,52.112.192.11,/,-147655340,2603:1027:0:48::20,HSTS,4,False,True,Microsoft Corporation,True,,,
survey.zivver.com,LimeSurvey,200,42729,survey.zivver.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-26T00:00:00Z,2024-02-23T23:59:59Z,CN=*.zivver.com,*.zivver.com,*.zivver.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,be3701888b4a0c8e4d10dee3b16f5cae,4f76f56f4221d32a75e181824f1f19d830f24070e68b23d7af8750241bb385b0,ctls,survey.zivver.com,443,https://survey.zivver.com:443,https,nginx,text/html,GET,52.16.148.118,/,1494302000,2a05:d018:904:1da0:a0dc:388b:f7e5:a367,PHP,926,False,,,True,,,
