new,host,ttl,a,soa,status_code,txt,cname,caa,ns,mx,aaaa,cdn,cdn-name,has_internal_ips,internal_ips
[x],c-point.be,60,94.107.237.237,"{'name': 'c-point.be', 'ns': 'ns1.haven.antwerpen.be', 'mailbox': 'noc.portofantwerp.com', 'serial': 52, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 300}, {'name': 'c-point.be', 'ns': 'ns1.haven.antwerpen.be', 'mailbox': 'noc.portofantwerp.com', 'serial': 52, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 300}, {'name': 'c-point.be', 'ns': 'ns1.haven.antwerpen.be', 'mailbox': 'noc.portofantwerp.com', 'serial': 52, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 300}",NOERROR,"MS=ms85223564, _globalsign-domain-verification=edYsDkggdIl-UYPoTG0dNSVb4NlyeEnjloLBXR9YAl, v=spf1 ip4:94.107.237.204 ip4:188.118.8.13 include:spf.protection.outlook.com -all, 1fCOrzJ6IeRMV/VUwyLpaDJab2ebi5Yt4AIvHBXQS6MsuY+o11xs9OAFo9Su83DCvCiFo2+3e0TzVsqDxMqlbw==",,,"ns2.haven.antwerpen.be, ns1.haven.antwerpen.be",cpoint-be0c.mail.protection.outlook.com,,,,,
[x],portofantwerp.com,17,,"{'name': 'portofantwerp.com', 'ns': 'ns2.haven.antwerpen.be', 'mailbox': 'noc.portofantwerp.com', 'serial': 2008062020, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 300}, {'name': 'portofantwerp.com', 'ns': 'ns2.haven.antwerpen.be', 'mailbox': 'noc.portofantwerp.com', 'serial': 2008062020, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 300}",NOERROR,"MS=ms29686084, apple-domain-verification=0hcXC9r9Xg1Fjtxm, facebook-domain-verification=8bnjqzpouc0sfmeygtm4394ezxbt5h, domain-verification:cde95e51a6235b8d76f4e8c34251d677f2c39d90, workplace-domain-verification=egdFVjTOnuzlPMCgIchGAlka52pd7Q, google-site-verification=BLfgz8tbKT1heSJD8WlGm6Ivx8r-n8LldSwy4XNsjHc, _globalsign-domain-verification=urwg4PTGp4AXsWdyLvcI2DEQGQ36_BLJR-zif1y7EV, v=spf1 ip4:94.107.237.204 ip4:188.118.8.13 include:spf.protection.outlook.com -all, 4BTX6ho7YB9KX3iHLEO9yNuixMaXcyrMNadNoGMlrZE0IicedTySgzldjN1EbIk0w+fIhre0fwYqK0NIMqMkNA==, infoblox-domain-mastery=53d38df7ebff266155a565d048f9969ec2f3db4465cedd09aa5dfca4ee6fa90a44, atlassian-domain-verification=o71Fe9UtFQjj319rKNJdaW3Ze/ccWTw0LLVGIJlePyoruTMua/MfjQOpYIHTNBcH",,globalsign.com,"ns2.haven.antwerpen.be, ns1.haven.antwerpen.be",,,,,,
[x],portofantwerpbruges.com,300,"188.118.8.124, 94.107.237.194","{'name': 'portofantwerpbruges.com', 'ns': 'ns2.portofantwerpbruges.com', 'mailbox': 'noc.portofantwerp.com', 'serial': 371, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 300}, {'name': 'portofantwerpbruges.com', 'ns': 'ns2.portofantwerpbruges.com', 'mailbox': 'noc.portofantwerp.com', 'serial': 371, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 300}",NOERROR,"MS=ms23214406, v=spf1 ip4:94.107.237.204 ip4:188.118.8.13 ip4:194.78.48.181 ip4:194.78.186.228 ip4:185.105.157.129 ip4:154.52.34.129 include:spf.protection.outlook.com -all, facebook-domain-verification=x2mww63tgkkgqhfnwar4cn6bp839vl, google-site-verification=NFpjfu4fcJfmALugN5VgV9DV_luw1t1X6gHYW9_IB3I, _globalsign-domain-verification=bTbaP_q9ojgLqI_Uau4VTYmj7DJBP4ejvPCa_Bpi-j, infoblox-domain-mastery=b04307a7f9376af043ad8f660baddbcadb444b825bfc05e7cc37734ad6be965be2",,,"ns2.portofantwerpbruges.com, ns1.portofantwerpbruges.com",,,,,,
,admin.droneportal-test.portofantwerp.com,900,,"{'name': 'unifly.tech', 'ns': 'ns1-06.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}, {'name': 'unifly.tech', 'ns': 'ns1-06.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}",NOERROR,,poa-uat.unifly.tech,letsencrypt.org,,,,,,,
,admin.droneportal-test.portofantwerpbruges.com,900,20.71.75.76,"{'name': 'unifly.tech', 'ns': 'ns1-06.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}, {'name': 'unifly.tech', 'ns': 'ns1-06.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}",NOERROR,,poa-uat.unifly.tech,letsencrypt.org,,,,,,,
,admin.droneportal.portofantwerp.com,900,,"{'name': 'unifly.tech', 'ns': 'ns1-06.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}, {'name': 'unifly.tech', 'ns': 'ns1-06.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}, {'name': 'unifly.tech', 'ns': 'ns1-06.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}",NOERROR,,poa-prd.unifly.tech,letsencrypt.org,,,,,,,
,admin.droneportal.portofantwerpbruges.com,900,20.76.27.235,"{'name': 'unifly.tech', 'ns': 'ns1-06.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}, {'name': 'unifly.tech', 'ns': 'ns1-06.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}, {'name': 'unifly.tech', 'ns': 'ns1-06.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}",NOERROR,,poa-prd.unifly.tech,letsencrypt.org,,,,,,,
,antsbc1-m1.portofantwerpbruges.com,900,94.107.237.218,"{'name': 'portofantwerpbruges.com', 'ns': 'ns2.portofantwerpbruges.com', 'mailbox': 'noc.portofantwerp.com', 'serial': 371, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 300}, {'name': 'portofantwerpbruges.com', 'ns': 'ns2.portofantwerpbruges.com', 'mailbox': 'noc.portofantwerp.com', 'serial': 371, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 300}, {'name': 'portofantwerpbruges.com', 'ns': 'ns2.portofantwerpbruges.com', 'mailbox': 'noc.portofantwerp.com', 'serial': 371, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 300}, {'name': 'portofantwerpbruges.com', 'ns': 'ns2.portofantwerpbruges.com', 'mailbox': 'noc.portofantwerp.com', 'serial': 371, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 300}",NOERROR,,,,,,,,,,
,aovpn-m1.portofantwerpbruges.com,900,94.107.237.205,"{'name': 'portofantwerpbruges.com', 'ns': 'ns2.portofantwerpbruges.com', 'mailbox': 'noc.portofantwerp.com', 'serial': 371, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 300}, {'name': 'portofantwerpbruges.com', 'ns': 'ns2.portofantwerpbruges.com', 'mailbox': 'noc.portofantwerp.com', 'serial': 371, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 300}, {'name': 'portofantwerpbruges.com', 'ns': 'ns2.portofantwerpbruges.com', 'mailbox': 'noc.portofantwerp.com', 'serial': 371, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 300}, {'name': 'portofantwerpbruges.com', 'ns': 'ns2.portofantwerpbruges.com', 'mailbox': 'noc.portofantwerp.com', 'serial': 371, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 300}, {'name': 'portofantwerpbruges.com', 'ns': 'ns2.portofantwerpbruges.com', 'mailbox': 'noc.portofantwerp.com', 'serial': 371, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 300}, {'name': 'portofantwerpbruges.com', 'ns': 'ns2.portofantwerpbruges.com', 'mailbox': 'noc.portofantwerp.com', 'serial': 371, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 300}",NOERROR,,,,,,,,,,
,autodiscover.portofantwerp.com,619,"52.98.145.104, 40.99.150.184, 40.99.202.72, 52.97.211.72","{'name': 'ms-acdc-autod.office.com', 'ns': 'ns1-ms-acdc.office.com', 'mailbox': 'hostmaster.microsoft.com', 'serial': 2024166201, 'refresh': 900, 'retry': 600, 'expire': 86400, 'minttl': 60}, {'name': 'ms-acdc-autod.office.com', 'ns': 'ns1-ms-acdc.office.com', 'mailbox': 'hostmaster.microsoft.com', 'serial': 2024530225, 'refresh': 900, 'retry': 600, 'expire': 86400, 'minttl': 60}, {'name': 'ms-acdc-autod.office.com', 'ns': 'ns1-ms-acdc.office.com', 'mailbox': 'hostmaster.microsoft.com', 'serial': 2024373759, 'refresh': 900, 'retry': 600, 'expire': 86400, 'minttl': 60}",NOERROR,,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,,,,,,
