new,host,a,aaaa,cname,soa,caa,status_code,cdn,cdn-name,mx,ns,txt,has_internal_ips,internal_ips
,business.oyorooms.com,"96.16.54.155, 96.16.54.194",,"business.oyorooms.com.edgekey.net, e27326.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,cf.oyorooms.com,,,,"a1-173.akam.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,compliance-api.oyorooms.com,"23.43.58.146, 23.43.58.152",,"compliance-api.oyorooms.com.edgekey.net, e27326.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,compliance.oyorooms.com,"96.6.42.27, 96.6.42.26",,"compliance.oyorooms.com.edgekey.net, e27326.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,cooyo.oyorooms.com,"2.16.187.114, 2.16.187.51",,"cooyo.oyorooms.com.edgekey.net, e27326.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,corporate.oyorooms.com,"2.16.186.193, 2.16.186.242",,,"a1-173.akam.net, hostmaster.akamai.com",,NOERROR,,,"aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx2.googlemail.com, aspmx3.googlemail.com",,v=spf1 include:spf.protection.outlook.com -all,,
,crs.oyorooms.com,2.16.84.90,,"crs.oyorooms.com-v1.edgekey.net, e2616.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,crs2.oyorooms.com,52.74.253.11,,,"a1-173.akam.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,dataportal.oyorooms.com,10.62.226.90,,zp-datapl-internal.oyorooms.io,"ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,True,10.62.226.90
,dccms-dancenter-dk.oyorooms.com,"2.17.100.209, 2.17.100.144",,"dccms-dancenter-dk.oyorooms.com.edgekey.net, e27326.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,dccrm-bff-dancenter-dk-prod.oyorooms.com,"80.239.254.40, 80.239.254.32",,"dccrm-bff-dancenter-dk-prod.oyorooms.com.edgekey.net, e27326.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,deals.oyorooms.com,"188.114.98.229, 188.114.99.229","2a06:98c1:3122:e000::5, 2a06:98c1:3123:e000::5",secure.pageserve.co,"burt.ns.cloudflare.com, dns.cloudflare.com","sectigo.com, digicert.com, letsencrypt.org",NOERROR,True,cloudflare,,,,,
,delivery.oyorooms.com,34.117.197.73,,elnk.netcorecloud.net,"ns11.constellix.com, dns.constellix.com",,NOERROR,True,google,,"ns51.constellix.net, ns61.constellix.net, ns11.constellix.com, ns21.constellix.com, ns31.constellix.com, ns41.constellix.net","v=spf1 exists:%{ir}._spf.netcorecloud.net -all, google-site-verification=FKMDT_I-lhCBr2ALalsR5RyhdfeyxSb1F673mZ9KF2o",,
,details.oyorooms.com,"2.16.241.85, 2.16.241.98",,"details.oyorooms.com.edgekey.net, e27326.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,dev-webpoc.oyorooms.com,95.101.178.231,"2a02:26f0:3500:2a9::a38, 2a02:26f0:3500:28e::a38","dev-webpoc.oyorooms.com.edgekey.net, e2616.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,dev.oyorooms.com,,,,"a1-173.akam.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,devops.oyorooms.com,13.213.218.56,,devops-services-1948658346.ap-southeast-1.elb.amazonaws.com,"ns-1125.awsdns-12.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
,ebs-dev.oyorooms.com,10.200.1.110,,,"a1-173.akam.net, hostmaster.akamai.com",,NOERROR,,,,,,True,10.200.1.110
,ebs-uat.oyorooms.com,10.200.1.83,,,"a1-173.akam.net, hostmaster.akamai.com",,NOERROR,,,,,,True,10.200.1.83
,ebs.oyorooms.com,10.200.4.186,,,"a1-173.akam.net, hostmaster.akamai.com",,NOERROR,,,,,,True,10.200.4.186
,ebscn-prod.oyorooms.com,152.70.173.205,,,"a1-173.akam.net, hostmaster.akamai.com",,NOERROR,True,oracle,,,,,
,email1.oyorooms.com,153.92.246.231,,,"ns1.sendinblue.com, hostmaster.sendinblue.com",,NOERROR,,,email1.oyorooms.com,"ns1.sendinblue.com, ns2.sendinblue.com",v=spf1 include:spf.sendinblue.com mx ~all,,
,events.oyorooms.com,"104.18.26.189, 104.18.27.189","2606:4700::6812:1bbd, 2606:4700::6812:1abd",secure.pageserve.co,"burt.ns.cloudflare.com, dns.cloudflare.com","digicert.com, letsencrypt.org, sectigo.com",NOERROR,True,cloudflare,,,,,
,feedback.oyorooms.com,"62.115.252.27, 62.115.252.16",,"feedback.oyorooms.com.edgekey.net, e27326.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,finance.oyorooms.com,"2.16.187.114, 2.16.187.51",,"finance.oyorooms.com.edgekey.net, e27326.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,food.oyorooms.com,,,"food.oyorooms.com.edgekey.net, e27326.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,fwdkim1.oyorooms.com,"13.225.78.58, 13.225.78.40, 13.225.78.59, 13.225.78.38",,spfmx1.domainkey.freshemail.io,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudfront,"mxa.freshdesk.com, mxb.freshdesk.com, mx.sendgrid.net",,v=spf1 include:sendgrid.net include:fdspfus.freshemail.io include:fdspfeuc.freshemail.io include:fdspfind.freshemail.io include:fdspfaus.freshemail.io ~all,,
,games.oyorooms.com,"52.222.139.30, 52.222.139.29, 52.222.139.6, 52.222.139.54, 205.251.192.93, 205.251.195.182","2600:9000:26df:8200:f:5797:8f80:93a1, 2600:9000:26df:e600:f:5797:8f80:93a1, 2600:9000:26df:8800:f:5797:8f80:93a1, 2600:9000:26df:b400:f:5797:8f80:93a1, 2600:9000:26df:1a00:f:5797:8f80:93a1, 2600:9000:26df:7400:f:5797:8f80:93a1, 2600:9000:26df:8600:f:5797:8f80:93a1, 2600:9000:26df:1400:f:5797:8f80:93a1",d1jxpmk5oilkqm.cloudfront.net,"ns-1163.awsdns-17.org, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudfront,,"ns-950.awsdns-54.net, ns-1651.awsdns-14.co.uk, ns-93.awsdns-11.com, ns-1163.awsdns-17.org",,,
,grab.oyorooms.com,"104.94.100.170, 104.94.100.177",,"grab.oyorooms.com.edgekey.net, e27326.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,guest.oyorooms.com,"2.20.142.72, 2.20.142.83",,"guest.oyorooms.com.edgekey.net, e27326.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,help.oyorooms.com,"23.43.58.152, 23.43.58.146",,"help.oyorooms.com.edgekey.net, e27326.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,hms-api.oyorooms.com,184.25.218.115,,"hms-api.oyorooms.com.edgekey.net, e2616.ksd.akamaiedge.net","n0ksd.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,holead-admiralstrand-dk-prod.oyorooms.com,51.137.9.15,,,"a1-173.akam.net, hostmaster.akamai.com",,NOERROR,True,azure,,,,,
,holead-bff-dancenter-dk-prod.oyorooms.com,51.137.9.15,,,"a1-173.akam.net, hostmaster.akamai.com",,NOERROR,True,azure,,,,,
,holead-dancenter-dk-prod.oyorooms.com,51.137.9.15,,,"a1-173.akam.net, hostmaster.akamai.com",,NOERROR,True,azure,,,,,
,holead-dancenter-no-prod.oyorooms.com,51.137.9.15,,,"a1-173.akam.net, hostmaster.akamai.com",,NOERROR,True,azure,,,,,
,holead-dancenter-no.oyorooms.com,"96.16.54.155, 96.16.54.194",,"holead-dancenter-no.oyorooms.com.edgekey.net, e27326.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,holead-dancenter-se-prod.oyorooms.com,51.137.9.15,,,"a1-173.akam.net, hostmaster.akamai.com",,NOERROR,True,azure,,,,,
,holiday.oyorooms.com,"23.50.131.78, 23.50.131.79",,"forwards.oyorooms.com.edgesuite.net, a1844.ksd.akamai.net","n0ksd.akamai.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,homestay.oyorooms.com,"104.18.26.189, 104.18.27.189","2606:4700::6812:1abd, 2606:4700::6812:1bbd",secure.pageserve.co,"burt.ns.cloudflare.com, dns.cloudflare.com","sectigo.com, digicert.com, letsencrypt.org",NOERROR,True,cloudflare,,,,,
,hub.oyorooms.com,"52.77.179.69, 52.77.129.226, 52.77.101.191",,prod-devops-common-redirect-alb-568351671.ap-southeast-1.elb.amazonaws.com,"ns-1125.awsdns-12.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
,img.email1.oyorooms.com,"104.17.105.89, 104.17.106.89, 104.17.102.89, 104.17.103.89, 104.17.104.89",,img.mailin.fr,"jim.ns.cloudflare.com, dns.cloudflare.com","comodoca.com, digicert.com, entrust.net, globalsign.com, letsencrypt.org",NOERROR,True,cloudflare,,,,,
,info.oyorooms.com,,,,"a1-173.akam.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,insights.oyorooms.com,10.62.226.90,,zp-datapl-internal.oyorooms.io,"ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,True,10.62.226.90
,international-opsepicenter.oyorooms.com,"95.101.74.148, 95.101.74.150","2a02:26f0:c900:9::5f65:4a96, 2a02:26f0:c900:9::5f65:4a94","international-opsepicenter.oyorooms.com.edgekey.net, e27326.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,investor-relations.oyorooms.com,"104.18.27.189, 104.18.26.189","2606:4700::6812:1abd, 2606:4700::6812:1bbd",secure.pageserve.co,"burt.ns.cloudflare.com, dns.cloudflare.com","digicert.com, letsencrypt.org, sectigo.com",NOERROR,True,cloudflare,,,,,
,iot.oyorooms.com,"2.16.187.51, 2.16.187.114",,"iot.oyorooms.com.edgekey.net, e27326.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,jenkins.oyorooms.com,10.20.5.51,,,"a1-173.akam.net, hostmaster.akamai.com",,NOERROR,,,,,,True,10.20.5.51
,knowledge.oyorooms.com,20.244.115.181,,,"a1-173.akam.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,life-supply-gateway.oyorooms.com,"62.115.252.27, 62.115.252.16",,"life-supply-gateway.oyorooms.com.edgekey.net, e27326.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,lifeconsumer.oyorooms.com,"62.115.252.27, 62.115.252.16","2001:2030:21::3e73:fc10, 2001:2030:21::3e73:fc1b","lifeconsumer.oyorooms.com.edgekey.net, e27326.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,link.notify.oyorooms.com,"167.89.118.83, 167.89.118.52, 167.89.123.124, 167.89.123.54",,sendgrid.net,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com","godaddy.com, amazonaws.com",NOERROR,,,"mx.sendgrid.net, mx2.sendgrid.net","ns11.dnsmadeeasy.com, ns15.dnsmadeeasy.com, ns13.dnsmadeeasy.com, ns14.dnsmadeeasy.com, ns10.dnsmadeeasy.com, ns12.dnsmadeeasy.com","v=spf1 ip4:167.89.0.0/17 ip4:208.117.48.0/20 ip4:50.31.32.0/19 ip4:198.37.144.0/20 ip4:198.21.0.0/21 ip4:192.254.112.0/20 ip4:168.245.0.0/17 ip4:149.72.0.0/16 ip4:159.183.0.0/16 include:ab.sendgrid.net ~all, p8bnb2lp424dkl3c4io1aemiei, mailru-verification: 2e3995fa8a7d00e0, google-site-verification=1UEf8ey-RibUjY6gnpqIZFjWNqMknmeyeHz1zTmj0DE",,
,link.oyorooms.com,"2.16.187.114, 2.16.187.51","2a02:26f0:ab00::214:8f59, 2a02:26f0:ab00::214:8e40","link.oyorooms.com.edgekey.net, e27326.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,links.oyorooms.com,"167.89.118.52, 167.89.123.124, 167.89.123.54, 167.89.118.83",,sendgrid.net,,"godaddy.com, amazonaws.com",NOERROR,,,"mx.sendgrid.net, mx2.sendgrid.net",,"google-site-verification=1UEf8ey-RibUjY6gnpqIZFjWNqMknmeyeHz1zTmj0DE, v=spf1 ip4:167.89.0.0/17 ip4:208.117.48.0/20 ip4:50.31.32.0/19 ip4:198.37.144.0/20 ip4:198.21.0.0/21 ip4:192.254.112.0/20 ip4:168.245.0.0/17 ip4:149.72.0.0/16 ip4:159.183.0.0/16 include:ab.sendgrid.net ~all, p8bnb2lp424dkl3c4io1aemiei, mailru-verification: 2e3995fa8a7d00e0",,
,logs.oyorooms.com,13.228.105.158,,prod-plcore-kibana-public-lb-295627173.ap-southeast-1.elb.amazonaws.com,"ns-1125.awsdns-12.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,
,maestro.oyorooms.com,"2.19.124.154, 2.19.124.150",,"maestro.oyorooms.com.edgekey.net, e27326.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,marketplace.oyorooms.com,"104.126.37.146, 104.126.37.176",,"marketplace.oyorooms.com.edgekey.net, e27326.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,meta.oyorooms.com,2.23.129.104,,"meta.oyorooms.com.edgekey.net, e2616.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,mice-test.oyorooms.com,52.76.15.101,,,"a1-173.akam.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,mm-phatak.oyorooms.com,184.25.218.115,,"mm-phatak.oyorooms.com.edgekey.net, e2616.ksd.akamaiedge.net","n0ksd.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,mm-preprod.oyorooms.com,184.25.218.115,,"mm-preprod.oyorooms.com.edgekey.net, e2616.ksd.akamaiedge.net","n0ksd.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,mm.oyorooms.com,,,"mm.oyorooms.com.edgekey.net, e2616.ksd.akamaiedge.net","n0ksd.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,mmapi.oyorooms.com,,,"mmapi.oyorooms.com.edgekey.net, e2616.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,nucleus.oyorooms.com,10.50.125.104,,internal-a2db178b8e39d4e40a106f7e33c2ecce-1717340713.ap-southeast-1.elb.amazonaws.com,"ns-1125.awsdns-12.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,True,10.50.125.104
,o1.default.devops.oyorooms.com,167.89.92.87,,,"a1-173.akam.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,o223.env.asia.oyorooms.com,149.72.136.185,,,"a1-173.akam.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,o225.env.notify.oyorooms.com,149.72.136.179,,,"a1-173.akam.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,o226.env.notify.oyorooms.com,149.72.222.11,,,"a1-173.akam.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,o342.e.triggered.oyorooms.com,149.72.57.110,,,"a1-173.akam.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,o36.mail.triggered.oyorooms.com,167.89.17.148,,,"a1-173.akam.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,o37.mail.triggered.oyorooms.com,167.89.37.150,,,"a1-173.akam.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,o38.mail.em.oyorooms.com,167.89.37.190,,,"a1-173.akam.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,o609.e.mail.oyorooms.com,149.72.112.99,,,"a1-173.akam.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,ops.oyorooms.com,2.17.184.252,,"ops.oyorooms.com.edgekey.net, e2616.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,owner.oyorooms.com,"95.101.74.219, 95.101.74.221",,"forwards.oyorooms.com.edgesuite.net, a1844.ksd.akamai.net","n0ksd.akamai.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,ownerstaging.oyorooms.com,52.74.234.187,,,"a1-173.akam.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,oyorooms.comodo.bluesnap.com,141.226.142.181,,bluesnap.com,"dns1.p01.nsone.net, hostmaster.nsone.net","letsencrypt.org, sectigo.com, digicert.com, mailto:it@bluesnap.com",NOERROR,,,bluesnap-com.mail.protection.outlook.com,"ns02.myveryfastdns.com, dns2.p01.nsone.net, dns3.p01.nsone.net, ns04.myveryfastdns.com, ns01.myveryfastdns.com, dns4.p01.nsone.net, ns03.myveryfastdns.com, dns1.p01.nsone.net","facebook-domain-verification=bqxxq5arjhpblcpcpps3joal49yjdg, sapience-verification=00f5721e11531aeeed2992ec5329143c, ZOOM_verify_ZLHrtzxvMwICAzYenrnOJN, MS=ms83569957, atlassian-domain-verification=EEYuoYKwO4K9FFRytCkn7CLD7nXrnRZQ1TMJN2ycWWi0hTS7PpeIswvA1Ym24wqd, twilio-domain-verification=f5160a172df04337393a8fcd38f73756, TXT k=rsa; p=MHwwDQYJKoZIhvcNAQEBBQADawAwaAJhAKvJz5ye22PHdYTIuavCV0yjPh3rgdK9NFBH81uguQzlTPK9EZ32E3cTGQ/hcMIiPMJ4sYKmLBRUE+jGmm0QU84spQ/ZAqh86zh12Z9oN6SHXFEPlzlwBO5D9rWcg5rILwIDAQAB, v=spf1 ip4:132.145.253.172 ip4:141.226.140.59 ip4:141.226.142.59 include:mail.zendesk.com include:_spf.salesforce.com include:spf.protection.outlook.com include:454819.spf10.hubspotemail.net include:_ae.bluesnap.com include:_sws.bluesnap.com include:m.les, sonly.com include:spf.mandrillapp.com  ~all",,
,partner.oyorooms.com,96.17.5.60,,"partner.oyorooms.com.edgekey.net, e2616.ksd.akamaiedge.net","n0ksd.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,partners-admin.oyorooms.com,2.16.84.90,,"partners-admin.oyorooms.com.edgekey.net, e2616.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,partners.oyorooms.com,"104.18.26.189, 104.18.27.189","2606:4700::6812:1abd, 2606:4700::6812:1bbd",secure.pageserve.co,"burt.ns.cloudflare.com, dns.cloudflare.com","digicert.com, letsencrypt.org, sectigo.com",NOERROR,True,cloudflare,,,,,
,partnersapi.oyorooms.com,,"2606:4700::6812:d238, 2606:4700::6812:d338",ssl.readmessl.com,"jeremy.ns.cloudflare.com, dns.cloudflare.com","digicert.com, comodoca.com, pki.goog; cansignhttpexchanges=yes, letsencrypt.org",NOERROR,True,cloudflare,,,,,
,pay.oyorooms.com,2.17.184.252,,"pay.oyorooms.com.edgekey.net, e2616.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,payment.oyorooms.com,"95.101.111.182, 95.101.111.142",,"payment.oyorooms.com.edgekey.net, e27326.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,payvpn.oyorooms.com,18.136.83.255,,,"a1-173.akam.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,pepimail145.info.oyorooms.com,175.158.64.145,,,"a1-173.akam.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,pepimail146.info.oyorooms.com,175.158.64.146,,,"a1-173.akam.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,pepimail147.info.oyorooms.com,175.158.64.147,,,"a1-173.akam.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,perf.oyorooms.com,"23.12.147.173, 23.12.147.149",,"perf.oyorooms.com.edgekey.net, e27326.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,quotation.oyorooms.com,"2.16.238.11, 2.16.238.22",,"quotation.oyorooms.com.edgesuite.net, a1876.b.akamai.net","n0b.akamai.net, hostmaster.akamai.com",,NOERROR,,,,,,,
,r.email1.oyorooms.com,"1.179.112.195, 1.179.112.197, 1.179.112.196",,"r.mailin.fr, r1.mailin.fr","jim.ns.cloudflare.com, dns.cloudflare.com","comodoca.com, digicert.com, entrust.net, globalsign.com, letsencrypt.org",NOERROR,,,,,,,
,refunds.oyorooms.com,"2.16.241.98, 2.16.241.85",,"refunds.oyorooms.com.edgekey.net, e27326.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,,,,
