input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,csp_domains_,cdn_name,tech_,cdn,tls_wildcard_certificate,tls_mismatched,tls_expired,final_url
agnostic.oyorooms.com,Service Unavailable,503,267,agnostic.oyorooms.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-05T07:39:43Z,2024-07-08T13:04:23Z,CN=*.oyorooms.com,*.oyorooms.com,,oyorooms.com,"CN=Starfield Secure Certificate Authority - G2, OU=http://certs.starfieldtech.com/repository/, O=Starfield Technologies\, Inc., L=Scottsdale, ST=Arizona, C=US",Starfield Secure Certificate Authority - G2,"Starfield Technologies, Inc.",06dfef935a35be287187b50b9b458fc6,b046fd2d91c70dcb1b3e9a027f675fb89a1ed95272b3b9253f1ffd42f97f72bc,ctls,agnostic.oyorooms.com,443,https://agnostic.oyorooms.com:443,https,,text/html,GET,2.17.100.144,/,-1414119732,2.17.100.209,9,False,,,,,True,,,
analytics.oyorooms.com,,403,11,analytics.oyorooms.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-05T07:39:43Z,2024-07-08T13:04:23Z,CN=*.oyorooms.com,*.oyorooms.com,,oyorooms.com,"CN=Starfield Secure Certificate Authority - G2, OU=http://certs.starfieldtech.com/repository/, O=Starfield Technologies\, Inc., L=Scottsdale, ST=Arizona, C=US",Starfield Secure Certificate Authority - G2,"Starfield Technologies, Inc.",06dfef935a35be287187b50b9b458fc6,b046fd2d91c70dcb1b3e9a027f675fb89a1ed95272b3b9253f1ffd42f97f72bc,ctls,analytics.oyorooms.com,443,https://analytics.oyorooms.com:443,https,,text/html,GET,2.19.97.11,/,1582927780,2.19.96.194,1,False,,,,,True,,,
api-apollo.oyorooms.com,,401,,api-apollo.oyorooms.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-05T07:39:43Z,2024-07-08T13:04:23Z,CN=*.oyorooms.com,*.oyorooms.com,,oyorooms.com,"CN=Starfield Secure Certificate Authority - G2, OU=http://certs.starfieldtech.com/repository/, O=Starfield Technologies\, Inc., L=Scottsdale, ST=Arizona, C=US",Starfield Secure Certificate Authority - G2,"Starfield Technologies, Inc.",06dfef935a35be287187b50b9b458fc6,b046fd2d91c70dcb1b3e9a027f675fb89a1ed95272b3b9253f1ffd42f97f72bc,ctls,api-apollo.oyorooms.com,443,https://api-apollo.oyorooms.com:443,https,,,GET,23.213.161.226,/,-1840324437,23.213.161.208,1,False,,,HSTS,,True,,,
api-invoice.oyorooms.com,,404,,api-invoice.oyorooms.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-05T07:39:43Z,2024-07-08T13:04:23Z,CN=*.oyorooms.com,*.oyorooms.com,,oyorooms.com,"CN=Starfield Secure Certificate Authority - G2, OU=http://certs.starfieldtech.com/repository/, O=Starfield Technologies\, Inc., L=Scottsdale, ST=Arizona, C=US",Starfield Secure Certificate Authority - G2,"Starfield Technologies, Inc.",06dfef935a35be287187b50b9b458fc6,b046fd2d91c70dcb1b3e9a027f675fb89a1ed95272b3b9253f1ffd42f97f72bc,ctls,api-invoice.oyorooms.com,443,https://api-invoice.oyorooms.com:443,https,,text/html,GET,2.20.143.89,/,-1840324437,2.20.142.64,1,False,,,HSTS,,True,,,
api-pay.oyorooms.com,,200,62,api-pay.oyorooms.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-05T07:39:43Z,2024-07-08T13:04:23Z,CN=*.oyorooms.com,*.oyorooms.com,,oyorooms.com,"CN=Starfield Secure Certificate Authority - G2, OU=http://certs.starfieldtech.com/repository/, O=Starfield Technologies\, Inc., L=Scottsdale, ST=Arizona, C=US",Starfield Secure Certificate Authority - G2,"Starfield Technologies, Inc.",06dfef935a35be287187b50b9b458fc6,b046fd2d91c70dcb1b3e9a027f675fb89a1ed95272b3b9253f1ffd42f97f72bc,ctls,api-pay.oyorooms.com,443,https://api-pay.oyorooms.com:443,https,,text/plain,GET,95.101.111.182,/,116323821,95.101.111.156,1,False,,,,,True,,,
api.oyorooms.com,Service Unavailable,503,268,api.oyorooms.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-26T00:00:00Z,2024-06-25T23:59:59Z,"CN=www.oyorooms.com, O=Oravel Stays Limited, L=Ahmedabad, ST=Gujarat, C=IN",www.oyorooms.com,Oravel Stays Limited,api-pay.oyorooms.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,5db06cc26b02259a81f546468b8da574,b0ff2f4b1b8bfa469049d1cbc6a2ac0e54b6d4f1b9ae81ac926aacb493643def,ctls,api.oyorooms.com,443,https://api.oyorooms.com:443,https,AkamaiGHost,text/html,GET,104.75.89.223,/,1082462196,2a02:26f0:3500:894::a38,9,False,,,,,,,,
autodiscover.oyorooms.com,Sign in to Outlook,200,39593,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-25T00:00:00Z,2024-05-25T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7c7414a61d2496accd312122c5241231,2c204118a10394b7abd4cd1f9d1a885acb273a1ebe0091f82e567b1137495fb7,ctls,login.microsoftonline.com,80,http://autodiscover.oyorooms.com:80,http,,text/html,GET,40.99.157.24,/,-1249852061,2603:1026:c0d:34::8,95,False,,,HSTS,,,,,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=602fb7e4-028a-63ac-2eef-808ad98198ad&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=oyorooms.com&nonce=638242080972255029.1af1ba63-e9f8-4617-b8f6-0b6ea288c1e8&state=DctBDoMgEEBRaO9iukGHUWFYGM8yICRNSibB1qa3L4v3d18rpe7drdPQo7ybCRcEguAR1xUwjJaLjexmk0MhszjrTaTiDESXGYmSzaT7-5jky9PeMr_qJj9pIvUck9ThOjb-vOV4nkmu3P4
b2bapi.oyorooms.com,OYO Link - Partner Dashboard,200,24347,link.oyorooms.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-05T07:39:43Z,2024-07-08T13:04:23Z,CN=*.oyorooms.com,*.oyorooms.com,,oyorooms.com,"CN=Starfield Secure Certificate Authority - G2, OU=http://certs.starfieldtech.com/repository/, O=Starfield Technologies\, Inc., L=Scottsdale, ST=Arizona, C=US",Starfield Secure Certificate Authority - G2,"Starfield Technologies, Inc.",06dfef935a35be287187b50b9b458fc6,b046fd2d91c70dcb1b3e9a027f675fb89a1ed95272b3b9253f1ffd42f97f72bc,ctls,link.oyorooms.com,443,https://b2bapi.oyorooms.com:443,https,,text/html,GET,23.213.161.208,/,1176335686,23.213.161.226,568,False,fonts.gstatic.com,,HSTS,,True,,,https://link.oyorooms.com/
bff.oyorooms.com,,404,197,bff.oyorooms.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-26T00:00:00Z,2024-06-25T23:59:59Z,"CN=www.oyorooms.com, O=Oravel Stays Limited, L=Ahmedabad, ST=Gujarat, C=IN",www.oyorooms.com,Oravel Stays Limited,api-pay.oyorooms.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,5db06cc26b02259a81f546468b8da574,b0ff2f4b1b8bfa469049d1cbc6a2ac0e54b6d4f1b9ae81ac926aacb493643def,ctls,bff.oyorooms.com,443,https://bff.oyorooms.com:443,https,,application/json,GET,184.30.22.13,/,116323821,184.30.22.13,1,False,,,HSTS,,,,,
boltapi.oyorooms.com,404 Not Found,404,146,boltapi.oyorooms.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-26T00:00:00Z,2024-06-25T23:59:59Z,"CN=www.oyorooms.com, O=Oravel Stays Limited, L=Ahmedabad, ST=Gujarat, C=IN",www.oyorooms.com,Oravel Stays Limited,api-pay.oyorooms.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,5db06cc26b02259a81f546468b8da574,b0ff2f4b1b8bfa469049d1cbc6a2ac0e54b6d4f1b9ae81ac926aacb493643def,ctls,boltapi.oyorooms.com,443,https://boltapi.oyorooms.com:443,https,,text/html,GET,104.75.89.223,/,1494302000,104.75.89.223,8,False,,,HSTS,,,,,
