new,host,ttl,a,aaaa,soa,status_code,cname,ns,txt,caa,cdn,cdn-name,mx
[x],aggregator-docs.exodus.com,300,,"2606:4700:4400::6812:24d4, 2606:4700:4400::ac40:972c","{'name': 'exodus.com', 'ns': 'frank.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352188181, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'exodus.com', 'ns': 'frank.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352188181, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'exodus.com', 'ns': 'frank.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352188181, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'exodus.com', 'ns': 'frank.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352188181, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'exodus.com', 'ns': 'frank.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352188181, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'exodus.com', 'ns': 'frank.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352188181, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,
[x],exodus.com,248,"188.114.99.229, 188.114.98.229","2606:4700:4400::6812:24d4, 2606:4700:4400::ac40:972c","{'name': 'exodus.com', 'ns': 'frank.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352188181, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'exodus.com', 'ns': 'frank.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352188181, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,"frank.ns.cloudflare.com, jessica.ns.cloudflare.com","ZOOM_verify_emqmMZ4pczQmoHB9Y0Fyz5, apple-domain-verification=ZuLhB5QDdsr18TCE, 1password-site-verification=SNHNRTD3CFC7ZNRN4AXHU2XSZY, knowbe4-site-verification=1a2f09b47086534dc02877287557f3bc, slack-domain-verification=eyA3q2uZ09xKNnHJqhU06VO85tceKc4Lagwxld9T, google-site-verification=T7O1btwraujmbnDF2jrQTE0nM-4654Ozqz3ymbTTdIg, google-site-verification=V4fvLnzwKyTNnyp8dK9jXav_m3Jbla4Rbt1TYrSkt_4, google-site-verification=gpW5eKu9KlNvWei1yklU9tivali8p1yF-oUmM_YA4Fw, keybase-site-verification=_ywwwvMyfkoAjqTnAMkjhBF3f5Taf3EtW74PLnt-tyk, wallet-connect-dns-verification=1d06138adb0a9f012b19a87faecc44168409eaab03eef41f2553548bde744590, v=spf1 include:_spf.google.com include:mg-spf.greenhouse.io include:mailgun.org a:exodus.com mx:exodus.com -all",,,,"mailstream-west.mxrecord.io, mailstream-central.mxrecord.mx, mailstream-east.mxrecord.io"
[x],exodus.io,300,"104.19.232.100, 104.19.231.100, 108.162.193.166, 172.64.33.166, 173.245.59.166, 108.162.192.171, 172.64.32.171, 173.245.58.171","2606:4700::6813:e864, 2606:4700::6813:e764, 2606:4700:58::adf5:3ba6, 2803:f800:50::6ca2:c1a6, 2a06:98c1:50::ac40:21a6, 2606:4700:50::adf5:3aab, 2803:f800:50::6ca2:c0ab, 2a06:98c1:50::ac40:20ab","{'name': 'exodus.io', 'ns': 'frank.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352408982, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,"jessica.ns.cloudflare.com, frank.ns.cloudflare.com","1BQBGML93UP1L1DFW8W3RGNAODIH94MHSKJL0V9E, 1password-site-verification=I46CC7MWCRHG7C64DAANHG235U, MS=ms98499207, ZOOM_verify_0p357HnsHNsEoSQdfN9Edo, apple-domain-verification=45xdlSX5hW4QpF8f, d3tu3ahvbvks5uk30e1f4m61dh, google-site-verification=EFzddGHxTd2c1ONesq0pJfPTS1mlmcvpGTHUDHN_ux8, keybase-site-verification=jDBHSMDtgd2YcVt1oczuDaxkNWcP_5vL-3QzdBtVGVg, keybase-site-verification=zzy-DOlPZ9BotHVciGKLFgjc2JogtbTDKAAaiQ5PM-w, mixpanel-domain-verify=fcdbaa77-5193-4671-b24d-f73a6cb42301, openai-domain-verification=dv-wPqupRgeOnENFdErrYIUfPyj, ovjvde0nfm43d4md1qvohji8of, segment-site-verification=seDwjcN7xpprjewPSf8UGlgLCOdnaIcf, slack-domain-verification=zTMu4rBvX6H5ux7Ebq2lnI2kM10nej2wihrODkoO, v=spf1 include:_spf.google.com include:_phishspf.knowbe4.com include:spf.mtasv.net include:mg-spf.greenhouse.io a:exodus.io mx:exodus.io -all, wiz-domain-verification=fc64156d4019452a3d10a3616431db19cdf68e3b247cfc38785ebd642dd58d22","digicert.com; cansignhttpexchanges=yes, letsencrypt.org, pki.goog; cansignhttpexchanges=yes, sectigo.com, ssl.com, awstrust.com, comodoca.com, mailto:devops@exodus.io, amazon.com, amazontrust.com",,,"mailstream-central.mxrecord.mx, mailstream-east.mxrecord.io, mailstream-west.mxrecord.io"
[x],polkadot-subscan.a.exodus.io,300,"104.18.38.189, 172.64.149.67",,"{'name': 'a.exodus.io', 'ns': 'alexa.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352766485, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'a.exodus.io', 'ns': 'alexa.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352766485, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'a.exodus.io', 'ns': 'alexa.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352766485, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'a.exodus.io', 'ns': 'alexa.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352766485, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'a.exodus.io', 'ns': 'alexa.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352766485, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'a.exodus.io', 'ns': 'alexa.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352766485, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,
[x],xmr-proxy-d.a.exodus.io,300,"104.18.38.189, 172.64.149.67","2606:4700:4400::6812:26bd, 2606:4700:4400::ac40:9543","{'name': 'a.exodus.io', 'ns': 'alexa.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352766485, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'a.exodus.io', 'ns': 'alexa.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352766485, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'a.exodus.io', 'ns': 'alexa.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352766485, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'a.exodus.io', 'ns': 'alexa.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352766485, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'a.exodus.io', 'ns': 'alexa.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352766485, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,
,a.exodus.io,1800,,,"{'name': 'a.exodus.io', 'ns': 'alexa.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352766485, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'a.exodus.io', 'ns': 'alexa.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352766485, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'a.exodus.io', 'ns': 'alexa.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352766485, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'a.exodus.io', 'ns': 'alexa.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352766485, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'a.exodus.io', 'ns': 'alexa.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352766485, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,"alexa.ns.cloudflare.com, finley.ns.cloudflare.com",,,,,
,ada.a.exodus.io,300,"104.18.38.189, 172.64.149.67","2606:4700:4400::ac40:9543, 2606:4700:4400::6812:26bd","{'name': 'a.exodus.io', 'ns': 'alexa.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352766485, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'a.exodus.io', 'ns': 'alexa.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352766485, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'a.exodus.io', 'ns': 'alexa.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352766485, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,
,algo-api.a.exodus.io,300,"104.18.38.189, 172.64.149.67","2606:4700:4400::ac40:9543, 2606:4700:4400::6812:26bd","{'name': 'a.exodus.io', 'ns': 'alexa.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352766485, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'a.exodus.io', 'ns': 'alexa.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352766485, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'a.exodus.io', 'ns': 'alexa.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352766485, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'a.exodus.io', 'ns': 'alexa.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352766485, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'a.exodus.io', 'ns': 'alexa.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352766485, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,
,algo-s.a.exodus.io,300,"172.64.149.67, 104.18.38.189","2606:4700:4400::6812:26bd, 2606:4700:4400::ac40:9543","{'name': 'a.exodus.io', 'ns': 'alexa.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352766485, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'a.exodus.io', 'ns': 'alexa.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352766485, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'a.exodus.io', 'ns': 'alexa.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352766485, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'a.exodus.io', 'ns': 'alexa.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352766485, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'a.exodus.io', 'ns': 'alexa.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352766485, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'a.exodus.io', 'ns': 'alexa.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352766485, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,
,algo.a.exodus.io,300,"104.18.38.189, 172.64.149.67","2606:4700:4400::ac40:9543, 2606:4700:4400::6812:26bd","{'name': 'a.exodus.io', 'ns': 'alexa.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352766485, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'a.exodus.io', 'ns': 'alexa.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352766485, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'a.exodus.io', 'ns': 'alexa.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352766485, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'a.exodus.io', 'ns': 'alexa.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352766485, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'a.exodus.io', 'ns': 'alexa.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352766485, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,
