new,host,a,aaaa,soa,status_code,cdn,cdn-name,has_internal_ips,internal_ips,cname,ns,mx,txt
[x],000-cdn.okta-self-service.ntp0.ntp05.00003.0000sexygia.0010.blog.dev.elementor.com,"104.16.143.62, 104.16.142.62","2606:4700::6810:8e3e, 2606:4700::6810:8f3e","carl.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],000-data.app.okta-self-service.00000.000005.05002.0000sexygia.0014.blog-file.dev.translate.elementor.com,"104.16.142.62, 104.16.143.62","2606:4700::6810:8e3e, 2606:4700::6810:8f3e","carl.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],000-data.okta-self-service.00000.000005.05002.0000sexygia.0014.blog-file.dev.translate.elementor.com,"104.16.142.62, 104.16.143.62","2606:4700::6810:8e3e, 2606:4700::6810:8f3e","carl.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],000-developer.okta-self-service.00000.000005.50003.0000sexygia.0011.blog.dev.elementor.com,"104.16.142.62, 104.16.143.62","2606:4700::6810:8f3e, 2606:4700::6810:8e3e","carl.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],000-tech.okta-self-service.00006.000005.00003.2c7096ef1fac.7010.blog.dev.elementor.com,"104.16.143.62, 104.16.142.62","2606:4700::6810:8e3e, 2606:4700::6810:8f3e","carl.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],000.access.okta-self-service.00006.000005.00003.2c7096ef1fac.7010.blog.dev.elementor.com,"104.16.143.62, 104.16.142.62","2606:4700::6810:8e3e, 2606:4700::6810:8f3e","carl.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],000.careers.okta-self-service.00000.000005.05002.0000sexygia.0014.blog-file.dev.translate.elementor.com,"104.16.142.62, 104.16.143.62","2606:4700::6810:8f3e, 2606:4700::6810:8e3e","carl.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],000.cms.okta-self-service.accounting.00000.001005.00003.php.7010.blog.dev.elementor.com,"104.16.143.62, 104.16.142.62","2606:4700::6810:8e3e, 2606:4700::6810:8f3e","carl.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],000.final.okta-self-service.07000.000005.00003.0006sexygia.0010.blog.dev.apac.elementor.com,,,"carl.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],000.mobile.okta-self-service.000005.100003.0000sexygia.0010.elementor.com,"104.16.143.62, 104.16.142.62","2606:4700::6810:8e3e, 2606:4700::6810:8f3e","carl.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],000.private.okta-self-resetdata.60000.000005.00003.0000sexygia.0010.blog.01dev.elementor.com,"104.16.142.62, 104.16.143.62","2606:4700::6810:8e3e, 2606:4700::6810:8f3e","carl.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],000000.assets.000.okta-self-service04.00000.000005.00003.0010.elementor.com,"104.16.143.62, 104.16.142.62","2606:4700::6810:8f3e, 2606:4700::6810:8e3e","carl.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],7124599.elementor.com,"104.16.143.62, 104.16.142.62","2606:4700::6810:8e3e, 2606:4700::6810:8f3e","carl.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],862-1-0.he.elementor.com,"104.16.143.62, 104.16.142.62","2606:4700::6810:8f3e, 2606:4700::6810:8e3e","carl.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],957-2-93.estrk.elementor.com,"104.16.143.62, 104.16.142.62","2606:4700::6810:8f3e, 2606:4700::6810:8e3e","carl.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],ash2-adoptoutmanager-a2.estrk.elementor.com,"104.16.143.62, 104.16.142.62","2606:4700::6810:8f3e, 2606:4700::6810:8e3e","carl.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
