input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,csp_domains_,final_url,location,tls_subject_org_
*.bing.com,Bing,200,92415,www.bing.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-11-15T20:16:38Z,2023-11-15T20:16:38Z,"CN=r.bing.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",r.bing.com,*.bing.com,"CN=Microsoft RSA TLS CA 01, O=Microsoft Corporation, C=US",Microsoft RSA TLS CA 01,Microsoft Corporation,29fc15b9750aa18d1c532b9a2dd521de,80a5435f1698438a7d697f67fc00c3c86d13b0ac230853d7ef05be890da297e0,True,ctls,www.bing.com,,443,https://bing.com:443,https,,text/html,GET,13.107.21.200,/,-740211187,2620:1ec:c11::200,HTTP/3,15,False,,True,,https://www.bing.com:443/?toWww=1&redig=DFDD8D2B94CE43B893FA5DEFD48D06CD,,Microsoft Corporation
*.doubleclick.net,Enterprise Advertising & Analytics Solutions - Google Marketing Platform,200,128632,marketingplatform.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-29T08:16:17Z,2023-08-21T08:16:16Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,5c86a077182cd855f21b8d80b363100f,2aa97ca45c98e14d3cd12af65b396f1a51731b94ec4b5f705a8920116775adc2,True,ctls,marketingplatform.google.com,,443,https://doubleclick.net:443,https,sffe,text/html,GET,142.250.186.174,/,708578229,2a00:1450:4001:82b::200e,HTTP/3,2177,False,,,https://csp.withgoogle.com/csp/uxe-owners-acl/marketing_platform,https://marketingplatform.google.com/about/enterprise/,,
*.facebook.com,Facebook - log in or sign up,200,59238,m.facebook.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-02T00:00:00Z,2023-07-01T23:59:59Z,"CN=*.facebook.com, O=Meta Platforms\, Inc., L=Menlo Park, ST=California, C=US",*.facebook.com,messenger.com,"CN=DigiCert SHA2 High Assurance Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 High Assurance Server CA,DigiCert Inc,d1661442a971f9a5f337d893ded1cb5e,dd9211f57e4411c13b9e100137e4b6c5f55a89db3aaccff98721d389431c2ef9,True,ctls,m.facebook.com,,443,https://facebook.com:443,https,,text/html,GET,157.240.252.35,/,142313513,2a03:2880:f177:83:face:b00c:0:25de,HTTP/3,19,False,,,*.doubleclick.net,https://m.facebook.com/?wtsid=rdr_0ECFlENJ0OxTB78jn,,"Meta Platforms, Inc."
*.google-analytics.com,Analytics Tools & Solutions for Your Business - Google Analytics,200,118545,marketingplatform.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-29T08:16:17Z,2023-08-21T08:16:16Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,5c86a077182cd855f21b8d80b363100f,2aa97ca45c98e14d3cd12af65b396f1a51731b94ec4b5f705a8920116775adc2,True,ctls,marketingplatform.google.com,,443,https://google-analytics.com:443,https,sffe,text/html,GET,142.250.181.228,/,302920777,2a00:1450:4001:806::2004,HTTP/3,1833,False,,,https://csp.withgoogle.com/csp/uxe-owners-acl/marketing_platform,https://marketingplatform.google.com/about/analytics/,,
*.google.com,Google,200,233536,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-29T08:22:10Z,2023-08-21T08:22:09Z,CN=www.google.com,www.google.com,www.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,f2bd4ee4f253f14a043bfb763b9bb802,eb5a312bc993b8f3d4a0157d94b96de55cd045397026970d42984b9ae6930ac6,,ctls,www.google.com,,443,https://google.com:443,https,gws,text/html,GET,172.217.23.110,/,708578229,2a00:1450:4001:80b::200e,HTTP/3,152,False,,,https:,https://www.google.com/,,
*.google.com.ua,Google,200,234271,www.google.com.ua,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-29T08:23:23Z,2023-08-21T08:23:22Z,CN=*.google.com.ua,*.google.com.ua,google.com.ua,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,caeccc8a3c89cca39d23408340343c93,f89b31b103831c26a44b5435d2ae66eeab740b22d37576797d85c6a56a5cb3cb,True,ctls,www.google.com.ua,,443,https://google.com.ua:443,https,gws,text/html,GET,142.250.186.131,/,708578229,2a00:1450:4001:830::2003,HTTP/3,152,False,,,https://csp.withgoogle.com/csp/gws/other-hp,https://www.google.com.ua/,,
*.google.de,Google,200,233479,www.google.de,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-29T08:21:36Z,2023-08-21T08:21:35Z,CN=www.google.de,www.google.de,www.google.de,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,3631759001fcf14d2bfdfb3545c7ab1c,7f7fb16d37fe4e2e39153da3c7a82a1be8d234cf211f4a906b36f23047eed5a1,,ctls,www.google.de,,443,https://google.de:443,https,gws,text/html,GET,172.217.18.3,/,708578229,2a00:1450:4001:811::2003,HTTP/3,152,False,,,https://csp.withgoogle.com/csp/gws/other-hp,https://www.google.de/,,
*.googleadservices.com,Error 404 (Not Found)!!1,404,1561,googleadservices.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-29T08:20:00Z,2023-08-21T08:19:59Z,CN=*.googleadservices.com,*.googleadservices.com,googleadservices.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,a998b7fe49a4321335861c494a3eb404,a0df3c80bb08fe4b26d4fc8920c6bc3cb8172b1a7bbe310663037f4198609b80,True,ctls,googleadservices.com,,443,https://googleadservices.com:443,https,sffe,text/html,GET,142.250.185.194,/,302920777,142.250.185.194,HTTP/3,12,False,,,,,,
*.googletagmanager.com,Error 400 (Bad Request)!!1,400,1555,googletagmanager.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-29T08:16:16Z,2023-08-21T08:16:15Z,CN=*.google-analytics.com,*.google-analytics.com,www.googleoptimize.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,e20166dfb9b49e85fa7472762d5f249f,42f0db40ff6122a0b837526586d132cf7bceafb0f608de6f54f132949d87ed0e,True,ctls,googletagmanager.com,,443,https://googletagmanager.com:443,https,Google Tag Manager,text/html,GET,142.250.185.200,/,302920777,2a00:1450:4001:812::2008,HTTP/3,12,False,,,,,,
*.taboola.com,Content Discovery & Native Advertising | Taboola.com,200,72858,www.taboola.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-08T00:00:00Z,2023-12-31T23:59:59Z,"CN=*.taboola.com, O=TABOOLA.COM LTD, L=RAMAT GAN, C=IL",*.taboola.com,taboolasyndication.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9f01043dd424a194cb4f53f7383d43b5,d984778a617e5f03b0f616b225b3490e43d83382a94e884a7ec7ea9df3334811,True,ctls,www.taboola.com,fastly,443,https://taboola.com:443,https,,text/html,GET,151.101.130.132,/,176531674,2a04:4e42:e00::644,Yoast SEO:20.9,632,False,True,,,https://www.taboola.com/,,TABOOLA.COM LTD
