input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,csp_domains_,final_url,tls_subject_org_,cdn_name,cdn
api.braintreegateway.com,,403,,api.braintreegateway.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-07T00:00:00Z,2023-10-08T23:59:59Z,"CN=api.braintreegateway.com, O=PayPal\, Inc., L=San Jose, ST=California, C=US, serialNumber=3014267, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",api.braintreegateway.com,braintreegateway.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,3c26c4d2d3f7d002259eaf0d76a66e88,02fd0445e4ddf07af296e7488c204ac46bfdd1ed990a1ab4ee2eb3be7219efed,,ctls,api.braintreegateway.com,443,https://api.braintreegateway.com:443,https,,text/html,GET,13.248.139.42,/,-1006137040,76.223.13.31,HSTS,1,False,,,"PayPal, Inc.",,
api.sandbox.braintreegateway.com,403 Forbidden,403,118,api.sandbox.braintreegateway.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-22T00:00:00Z,2024-01-22T23:59:59Z,"CN=api.sandbox.braintreegateway.com, O=PayPal\, Inc., L=San Jose, ST=California, C=US",api.sandbox.braintreegateway.com,sandbox.braintreegateway.com,"CN=DigiCert SHA2 High Assurance Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 High Assurance Server CA,DigiCert Inc,1a92e583f36c7fe7c9935ceda5d53844,ed65e0126e60e8137ad7f9f555c03fa4173423174896f41057b9014e291aa28f,,ctls,api.sandbox.braintreegateway.com,443,https://api.sandbox.braintreegateway.com:443,https,awselb/2.0,text/html,GET,13.248.141.30,/,-1006137040,76.223.15.98,,7,False,,,"PayPal, Inc.",,
app.hey.com,Sign in to HEY,200,35258,app.hey.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-28T00:00:00Z,2023-11-27T23:59:59Z,CN=*.hey.com,*.hey.com,hey.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",3eb98b1e70430520be8cbc0453b8abe8,c7a4023fd89e17ec3597ad52ef67bed46de4738e45a4c3fdb25eab0d85c23c59,True,ctls,app.hey.com,443,https://app.hey.com:443,https,,text/html,GET,204.62.115.223,/,1981664359,204.62.115.223,hCaptcha,363,False,production.haystack-assets.com,https://app.hey.com/sign_in,,,
cdn.jsdelivr.net/npm/bulma@0.9.3/css/bulma.min.css,,200,206620,cdn.jsdelivr.net,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-23T10:55:14Z,2024-01-24T10:55:13Z,CN=jsdelivr.net,jsdelivr.net,*.jsdelivr.net,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q4, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q4,GlobalSign nv-sa,da1cb454a33b0ee9e8bdd57882145b92,9c4170832bbd729545f286063b1aa6bf7f3ac8b1a04afa9558357e9dddfd0f8e,True,ctls,cdn.jsdelivr.net,443,https://cdn.jsdelivr.net:443/npm/bulma@0.9.3/css/bulma.min.css,https,,text/css,GET,151.101.1.229,/npm/bulma@0.9.3/css/bulma.min.css,-2029005286,2a04:4e42:600::485,HTTP/3,1,False,,,,fastly,True
fallback.hey.com,Something went wrong,503,1909,fallback.hey.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-28T00:00:00Z,2023-11-27T23:59:59Z,CN=*.hey.com,*.hey.com,hey.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",3eb98b1e70430520be8cbc0453b8abe8,c7a4023fd89e17ec3597ad52ef67bed46de4738e45a4c3fdb25eab0d85c23c59,True,ctls,fallback.hey.com,443,https://fallback.hey.com:443,https,nginx,text/html,GET,204.62.115.88,/,1981664359,204.62.114.179,Nginx,54,False,,,,,
gopher.hey.com,,200,2,gopher.hey.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-28T00:00:00Z,2023-11-27T23:59:59Z,CN=*.hey.com,*.hey.com,hey.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",3eb98b1e70430520be8cbc0453b8abe8,c7a4023fd89e17ec3597ad52ef67bed46de4738e45a4c3fdb25eab0d85c23c59,True,ctls,gopher.hey.com,80,http://gopher.hey.com:80,http,nginx,text/plain,GET,64.202.125.66,/,-1840324437,64.202.125.66,Nginx,1,False,,https://gopher.hey.com/,,,
haystack-production-storage-us-east-1.s3.amazonaws.com,,403,243,haystack-production-storage-us-east-1.s3.amazonaws.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-21T00:00:00Z,2023-12-19T23:59:59Z,CN=*.s3.amazonaws.com,*.s3.amazonaws.com,s3.amazonaws.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,5c786d7d836f7ec7d65e625b0bca2ab2,25b0a7826fcb8f6ae0c7bc14d8e53ea2741097aac08c7243810f2a739d63f6c4,True,ctls,haystack-production-storage-us-east-1.s3.amazonaws.com,443,https://haystack-production-storage-us-east-1.s3.amazonaws.com:443,https,AmazonS3,application/xml,GET,52.216.114.59,/,1530094345,3.5.2.202,Amazon Web Services,2,False,,,,,
haystack-production-storage-us-east-2.s3.amazonaws.com,,403,243,haystack-production-storage-us-east-2.s3.amazonaws.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-21T00:00:00Z,2023-12-19T23:59:59Z,CN=*.s3.amazonaws.com,*.s3.amazonaws.com,s3.amazonaws.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,5c786d7d836f7ec7d65e625b0bca2ab2,25b0a7826fcb8f6ae0c7bc14d8e53ea2741097aac08c7243810f2a739d63f6c4,True,ctls,haystack-production-storage-us-east-2.s3.amazonaws.com,443,https://haystack-production-storage-us-east-2.s3.amazonaws.com:443,https,AmazonS3,application/xml,GET,52.219.98.68,/,573848220,52.219.98.68,Amazon Web Services,2,False,,,,,
hcaptcha.com,hCaptcha - Stop more bots. Start protecting privacy.,200,82890,www.hcaptcha.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-15T00:00:00Z,2024-04-14T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",76f1a09a9fc70f20b972707426b775ee,9218de85ef236a86c9984357602141f0e40794e8a07f4ccf91f1d229e7c828fc,True,ctls,www.hcaptcha.com,443,https://hcaptcha.com:443,https,cloudflare,text/html,GET,104.16.169.131,/,-29876689,104.16.168.131,hCaptcha,328,False,dashboard.hcaptcha.com,https://www.hcaptcha.com/,"Cloudflare, Inc.",cloudflare,True
https://gopher.hey.com,,200,2,gopher.hey.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-28T00:00:00Z,2023-11-27T23:59:59Z,CN=*.hey.com,*.hey.com,hey.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",3eb98b1e70430520be8cbc0453b8abe8,c7a4023fd89e17ec3597ad52ef67bed46de4738e45a4c3fdb25eab0d85c23c59,True,ctls,gopher.hey.com,443,https://gopher.hey.com:443,https,nginx,text/plain,GET,64.202.125.66,/,-1840324437,64.202.125.66,Nginx,1,False,,,,,
production.haystack-assets.com,,403,275,production.haystack-assets.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-21T00:00:00Z,2024-04-18T23:59:59Z,CN=production.haystack-assets.com,production.haystack-assets.com,production.haystack-assets.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,6e1a49b7f60fbde422054d37ff3d9fbf,a881f071aeb3fa8508dcdbc5bbc11bdeaec118757231ca6d2ba4494e3ab53010,,ctls,production.haystack-assets.com,443,https://production.haystack-assets.com:443,https,AmazonS3,application/xml,GET,52.222.236.25,/,1981664359,2600:9000:223e:1c00:d:26a3:4f80:93a1,Amazon Web Services,2,False,,,,cloudfront,True
public.hey.com,,404,,public.hey.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-28T00:00:00Z,2023-11-27T23:59:59Z,CN=*.hey.com,*.hey.com,hey.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",3eb98b1e70430520be8cbc0453b8abe8,c7a4023fd89e17ec3597ad52ef67bed46de4738e45a4c3fdb25eab0d85c23c59,True,ctls,public.hey.com,80,http://public.hey.com:80,http,,text/html,GET,204.62.115.214,/,1981664359,204.62.115.214,hCaptcha,1,False,*.hcaptcha.com,https://public.hey.com/,,,
stats.world.hey.com,Welcome to nginx!,200,612,stats.world.hey.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-21T08:13:09Z,2023-07-20T08:13:08Z,CN=stats.world.hey.com,stats.world.hey.com,stats.world.hey.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,b1534311dc51f18531a47cd80a0b69ff,89af3448d222141914ca2eec71efa85f07b0bcb4ef4d96c6b709866351c5b10a,,ctls,stats.world.hey.com,443,https://stats.world.hey.com:443,https,nginx/1.18.0 (Ubuntu),text/html,GET,78.47.131.11,/,-2144967296,78.47.131.11,Ubuntu,26,False,,,,,
us-east-2.app.hey.com,503 Service Temporarily Unavailable,503,162,us-east-2.app.hey.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2023-09-02T23:59:59Z,CN=hey.com,hey.com,*.hey.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,63b1b621fbf58aa7a760ff92f82c25cd,6ca181bd39942b230efb53e6c2ad54ad00320c8d787a85f4ed8232c77980540f,True,ctls,us-east-2.app.hey.com,80,http://us-east-2.app.hey.com:80,http,awselb/2.0,text/html,GET,3.133.192.213,/,1862162275,13.59.204.126,,7,False,,https://us-east-2.app.hey.com:443/,,,
