input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,final_url,a_,tech_,lines,failed,cdn_name,webserver,cdn,tls_wildcard_certificate,csp_domains_,tls_mismatched
apps.santos.com,404 - File or directory not found.,404,1245,portal.office.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-01T18:46:35Z,2024-04-25T18:46:35Z,"CN=portal.office.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",portal.office.com,Microsoft Corporation,m365.cloud.microsoft,"CN=Microsoft Azure TLS Issuing CA 05, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 05,Microsoft Corporation,7dffa61cf1fd20ef79fb921340582217,8570a14ff89e7d13a89579a501eaef1ae34c44a6dafee385f65835ca91856f49,ctls,portal.office.com,443,https://apps.santos.com:443,https,text/html,GET,23.101.224.24,/,1631801191,https://portal.office.com/myapps,23.101.224.24,HSTS,30,False,azure,,True,True,,
asset.santos.com,Santos Asset,200,503,asset.santos.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-17T00:00:00Z,2024-05-16T23:59:59Z,"CN=*.santos.com, O=Santos LTD, ST=South Australia, C=AU",*.santos.com,Santos LTD,santos.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,a1250bdc76c65b85975de41d1ce44cf1,5183b33f94c4692b093880bb178d38c8127b81540c4d8872a4ec38c2f30a91a3,ctls,asset.santos.com,443,https://asset.santos.com:443,https,text/html,GET,13.32.121.19,/,-692929022,,13.32.121.128,Amazon Web Services,24,False,cloudfront,AmazonS3,True,True,,
assettest.santos.com,Santos Asset,200,507,assettest.santos.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-17T00:00:00Z,2024-05-16T23:59:59Z,"CN=*.santos.com, O=Santos LTD, ST=South Australia, C=AU",*.santos.com,Santos LTD,santos.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,a1250bdc76c65b85975de41d1ce44cf1,5183b33f94c4692b093880bb178d38c8127b81540c4d8872a4ec38c2f30a91a3,ctls,assettest.santos.com,443,https://assettest.santos.com:443,https,text/html,GET,99.86.4.109,/,-300432317,,99.86.4.103,Amazon Web Services,24,False,cloudfront,AmazonS3,True,True,,
autodiscover.contractor.santos.com,Sign in to Outlook,200,39422,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-06-01T00:00:00Z,2024-06-01T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,3e5363ca089bb6cd32f00c16e8c60c1d,722ffa737efee47ce8a79dd30a184c0967708de86a0c20d85e015d7c21075dee,ctls,login.microsoftonline.com,80,http://autodiscover.contractor.santos.com:80,http,text/html,GET,40.99.149.168,/,-1249852061,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=0fc4682a-b3ec-f0dd-c67c-654a382af5f9&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=contractor.santos.com&nonce=638255082624668625.f3c2cf1a-164d-4949-8eb9-dde5ed385ccf&state=DctNDsIgEEBh0Lu4g5a_KSwazzIOkJjYTgJYry-L7-2eFELcp9sk1xmxgYs2hDVasB4ggg26OrJUDSoDPiuffFKxvJLKuYSSXQxEVc7XLPzD5dkKfo6d-BwNaXDTHc_BXRMfjyvv-B2c3534Ku0P,2603:1026:c0d:82a::8,HSTS,95,False,,,,,,
autodiscover.santos.com,Sign in to Outlook,200,39214,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-06-01T00:00:00Z,2024-06-01T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,3e5363ca089bb6cd32f00c16e8c60c1d,722ffa737efee47ce8a79dd30a184c0967708de86a0c20d85e015d7c21075dee,ctls,login.microsoftonline.com,80,http://autodiscover.santos.com:80,http,text/html,GET,52.97.189.72,/,-1249852061,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=01312a3f-0d42-bca8-5803-9c97952e2a6d&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=santos.com&nonce=638255082625887548.25bb474d-f8e6-4191-91fd-0f034e2aa2b3&state=DctBDoMgEEBRaO_iDoWBgXFhepZBIDHRkoja65fF-7svhRDv7tVJ3SOCtwSImsADEgV0NALG6IJLqlD2ypnZqNmUpHTR1mVghmhlf4ep_nj6nJn3Y2n8vWob13oMT1r4vmra2lqffP4B,2603:1026:c0d:2a::8,HSTS,95,False,,,,,,
aws.santos.com,Sign in to your account,200,50976,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-06-01T00:00:00Z,2024-06-01T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,3e5363ca089bb6cd32f00c16e8c60c1d,722ffa737efee47ce8a79dd30a184c0967708de86a0c20d85e015d7c21075dee,ctls,login.microsoftonline.com,443,https://aws.santos.com:443,https,text/html,GET,20.37.196.199,/,-1840324437,https://login.microsoftonline.com/447a9cb9-b230-46bf-b430-a7b9f50e3c1e/oauth2/authorize?client_id=0000000c-0000-0000-c000-000000000000&redirect_uri=https%3A%2F%2Faccount.activedirectory.windowsazure.com%2F&response_mode=form_post&response_type=code%20id_token&scope=openid%20profile&state=OpenIdConnect.AuthenticationProperties%3DAQAAAAMAAAAIVGVuYW50SWSrATBKbzFuTEZFbXlKRTBNZkw3ODRNN3B1dmhPRWJubVNKZDRaTHIyaXJwQ2VCc3kxWGRrcUZkSGJ6Vzg0R2NHUzdHOHc0bXJicWxvWlMySkxuemNsaUlhMDF5SFRYdWlTOTNMM1dFSGpIa3NVTS1vUzROMEtVMl9GV0xJa1BSd1oxZnpvM2k2eVJ4bU4tYTdmM0ZiTElmeGhvTUpBN1MyMXkycFF2dnVkZVV0dwkucmVkaXJlY3TQAWh0dHBzOi8vYWNjb3VudC5hY3RpdmVkaXJlY3Rvcnkud2luZG93c2F6dXJlLmNvbS9hcHBsaWNhdGlvbnMvcmVkaXJlY3R0b2FwcGxpY2F0aW9uLmFzcHg_T3BlcmF0aW9uPUxpbmtlZFNpZ25JbiZhcHBsaWNhdGlvbklkPWUyY2FkZTVkLTE1MTItNGYzNS05Yjk5LTM3YTVlYTFlYWU5YyZ0ZW5hbnRJZD00NDdhOWNiOS1iMjMwLTQ2YmYtYjQzMC1hN2I5ZjUwZTNjMWUeT3BlbklkQ29ubmVjdC5Db2RlLlJlZGlyZWN0VXJpwAFlTDJtTEQ1ODl3S1ZjcTJxRHVBdGgtUVhaMVk5OEdkbTJJZDRSUGVXaV93a0xRTV9WVkVTN2FjMlZQTmk5UjB2OUVfVEM0b1lkQzl1aktZaE0tcVYwdnpEbEk4eU1PMnJMVzJ0VU1MOEZodTEwSFlxcjI2WVVuZzRpR1pSeEgtSHVNVmF4QndJeXJaa0ZqMUJBa3VHUmRiUG9DZjFKeDNGWUhrd01pZ3RaWUtXMWVFcGtYTXhQMEtXSHVGMmJiaWU&nonce=1689911462.-_S3hpjvKvxoLL6QE2v17Q&nux=1,20.37.196.199,HSTS,95,False,azure,,True,,,
awsportal.santos.com,Sign in to your account,200,50832,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-06-01T00:00:00Z,2024-06-01T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,3e5363ca089bb6cd32f00c16e8c60c1d,722ffa737efee47ce8a79dd30a184c0967708de86a0c20d85e015d7c21075dee,ctls,login.microsoftonline.com,443,https://awsportal.santos.com:443,https,text/html,GET,20.37.196.199,/,-1840324437,https://login.microsoftonline.com/447a9cb9-b230-46bf-b430-a7b9f50e3c1e/oauth2/authorize?client_id=0000000c-0000-0000-c000-000000000000&redirect_uri=https%3A%2F%2Faccount.activedirectory.windowsazure.com%2F&response_mode=form_post&response_type=code%20id_token&scope=openid%20profile&state=OpenIdConnect.AuthenticationProperties%3DAQAAAAMAAAAIVGVuYW50SWSrAXRDcmFPMlRqdExmOUl3T0c2N2RiM3JSZGppaEFNQmdHek0xcHYza2c3dTUxNTBNQTJtaXh3SmZHOHcwUGstS3VpMzF6QVgzdjhpYTUyaFVmcWVuOTNxU1EwMXRYZ1I0MTUwMVRvejVtLS1ldUVJTW95a3RtbmtpY093VWxPYmtKbzFNRkFkZkh5SzlLWUF2Y3NweUU1NFR4RnJUazZ5NHZ3VEROTGpEQzA0WQkucmVkaXJlY3TQAWh0dHBzOi8vYWNjb3VudC5hY3RpdmVkaXJlY3Rvcnkud2luZG93c2F6dXJlLmNvbS9hcHBsaWNhdGlvbnMvcmVkaXJlY3R0b2FwcGxpY2F0aW9uLmFzcHg_T3BlcmF0aW9uPUxpbmtlZFNpZ25JbiZhcHBsaWNhdGlvbklkPTJhNTYyMDNmLWJiMDItNGQzMi04ZmM5LWQ4M2Y2OTAyMTE0MyZ0ZW5hbnRJZD00NDdhOWNiOS1iMjMwLTQ2YmYtYjQzMC1hN2I5ZjUwZTNjMWUeT3BlbklkQ29ubmVjdC5Db2RlLlJlZGlyZWN0VXJpwAFOY0NDN1JNcnlyRHNFYXo2N3k2Y1VTM01fRGkyaFhqak9RSFctN1U4Y0FUUk9GZFhvWmtINzMwel92d0djOHMwakVjRVZILV9kTFR6cGh1MHROZmxCdUJabU11T0pOMEsyaXc0YkFMZy16eHRxTzFiWnQ4dzE2dERkbG5fOEhFZUNzSmtoMDc1eVFWRDJrQi15S0dLWmluam1mN0VyMTRCQmdxajQxd2lvWlVmLTNRU1ZSZmlXNkthVFNWNXU5cHY&nonce=1689911462.UM4MZWu8viTpM83ub1E55Q&nux=1,20.37.196.199,HSTS,95,False,azure,,True,,,
bugcrowd.santos.com,Sign in to your account,200,50871,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-06-01T00:00:00Z,2024-06-01T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,3e5363ca089bb6cd32f00c16e8c60c1d,722ffa737efee47ce8a79dd30a184c0967708de86a0c20d85e015d7c21075dee,ctls,login.microsoftonline.com,443,https://bugcrowd.santos.com:443,https,text/html,GET,20.37.196.199,/,-1840324437,https://login.microsoftonline.com/447a9cb9-b230-46bf-b430-a7b9f50e3c1e/oauth2/authorize?client_id=0000000c-0000-0000-c000-000000000000&redirect_uri=https%3A%2F%2Faccount.activedirectory.windowsazure.com%2F&response_mode=form_post&response_type=code%20id_token&scope=openid%20profile&state=OpenIdConnect.AuthenticationProperties%3DAQAAAAMAAAAIVGVuYW50SWSrAVZYZmJUZVprNVpTeUg4b3ZHeWtSSDNTNWNCSUFQenZOcGt2cTJFWFZWTEVyY1hpTUlCck9BcFIweDVDU3dMVXJSb0M3YklOUFVSV05rUnRkdWhDU1J4R2xmb3psd3VDVjBhRTIySnhIMnhWTmpDb3JqQmxPQUZWUGtvMERnRWc1WHB3cUVIYlVTRS1DbHNaa2FtZTFKQXVLMU1Ud3NyaEVPbm5neXBLVWtJQQkucmVkaXJlY3TQAWh0dHBzOi8vYWNjb3VudC5hY3RpdmVkaXJlY3Rvcnkud2luZG93c2F6dXJlLmNvbS9hcHBsaWNhdGlvbnMvcmVkaXJlY3R0b2FwcGxpY2F0aW9uLmFzcHg_T3BlcmF0aW9uPUxpbmtlZFNpZ25JbiZhcHBsaWNhdGlvbklkPTViMGUxZjhiLTFkNmEtNGQ2Mi1iOTJhLWMwNzhiM2Q3NmViYSZ0ZW5hbnRJZD00NDdhOWNiOS1iMjMwLTQ2YmYtYjQzMC1hN2I5ZjUwZTNjMWUeT3BlbklkQ29ubmVjdC5Db2RlLlJlZGlyZWN0VXJpwAE2YmI5d0hCc3Voc3JGdUd5dmY1WVBBbEU2dHFQX3ZkYlBPTFZOOHZib1E5UXpqa1Y2LUlTalp3V3prRms1YVc2NnFlSGNZem93SW01eTh5d2h2cWhxRzBDSTNNN2JmN1ZEa0JjRDd0a3huSHlkS0I2MUQ2ZEQ1VEpfZnlPVnpvejdRVDBIcTF0VzJ6WHVOYUFBVVFVVXk5S0dwQVNGYjJ4S2RyYWR4WkJMd3NteUdrYVZKYk9CRVRlR3BRd2FscnU&nonce=1689911462.Xqkc7V5q_5Zx177KfrVmBQ&nux=1,20.37.196.199,HSTS,95,False,azure,,True,,,
coupa.santos.com,Sign in to your account,200,50846,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-06-01T00:00:00Z,2024-06-01T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,3e5363ca089bb6cd32f00c16e8c60c1d,722ffa737efee47ce8a79dd30a184c0967708de86a0c20d85e015d7c21075dee,ctls,login.microsoftonline.com,443,https://coupa.santos.com:443,https,text/html,GET,20.37.196.199,/,-1840324437,https://login.microsoftonline.com/447a9cb9-b230-46bf-b430-a7b9f50e3c1e/oauth2/authorize?client_id=0000000c-0000-0000-c000-000000000000&redirect_uri=https%3A%2F%2Faccount.activedirectory.windowsazure.com%2F&response_mode=form_post&response_type=code%20id_token&scope=openid%20profile&state=OpenIdConnect.AuthenticationProperties%3DAQAAAAMAAAAIVGVuYW50SWSrAUMwdVRZZ3NxZllKQ09xazY3NUl6OXFTUklXeGt2bTlMc0lldWJlZ016WWFDVWI1aHJfQkdROU5zd0NBaHMtT290Qm9mblZVamc1U3VldVJuUkhsdUdSVER2Y0F0Z0NtRDJ5T1ZhR3JNLTBwd1NBTXpBcDNEM3RZc1hyekplS0thODFjdTJXWWVuZzBMMU1CbU5KYmlydGtSMDdzMWhqSVVSdndhRWZqNkg3awkucmVkaXJlY3TQAWh0dHBzOi8vYWNjb3VudC5hY3RpdmVkaXJlY3Rvcnkud2luZG93c2F6dXJlLmNvbS9hcHBsaWNhdGlvbnMvcmVkaXJlY3R0b2FwcGxpY2F0aW9uLmFzcHg_T3BlcmF0aW9uPUxpbmtlZFNpZ25JbiZhcHBsaWNhdGlvbklkPWYzYzNlMzkxLTQ3NzAtNGMxMy05ZmUyLTI2NWE5ZTFiNGEyMyZ0ZW5hbnRJZD00NDdhOWNiOS1iMjMwLTQ2YmYtYjQzMC1hN2I5ZjUwZTNjMWUeT3BlbklkQ29ubmVjdC5Db2RlLlJlZGlyZWN0VXJpwAFUWHNpRmZ6MXA2bXR1M0NPTklXQk96MmVaZWM5cG14OVFQZTdZQno3ZW5oZVctYXdEejhOWTNHMXZFRGpuVUNWZ3BiMWhiN0oxTjJjTUVfOFBOZTllanp4TkF0M2F2TTRSUE5MNlpwYXZMcml4cVZ0cmR2ZjRJWmFYR1NuNFhTSVhTYTB3dDJLZDVKaU0xNEJiX3AtZ2NCbHVzLWd2OGNqZHk3Q1dvWUdoUWstMUw5a09peEZZNVl4SDBZd3U1UmY&nonce=1689911462.dojVY9LPlRoCvwa67SdNuQ&nux=1,20.37.196.199,HSTS,95,False,azure,,True,,,
covid19.santos.com,Web App - Unavailable,403,2342,covid19.santos.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-17T00:00:00Z,2024-05-16T23:59:59Z,"CN=*.santos.com, O=Santos LTD, ST=South Australia, C=AU",*.santos.com,Santos LTD,santos.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,a1250bdc76c65b85975de41d1ce44cf1,5183b33f94c4692b093880bb178d38c8127b81540c4d8872a4ec38c2f30a91a3,ctls,covid19.santos.com,443,https://covid19.santos.com:443,https,text/html,GET,13.75.138.224,/,-1111039167,,13.75.138.224,,75,False,azure,,True,True,,
