new,host,a,mx,soa,ns,txt,caa,status_code,cdn,cdn-name,cname,aaaa
,accounts-staging.letsbuild.com,"52.19.128.218, 54.171.33.171, 52.31.181.224",,"ns-604.awsdns-11.net, awsdns-hostmaster.amazon.com",,,,NOERROR,,,,
,accounts.letsbuild.com,"54.74.80.115, 52.18.35.63, 34.255.88.88",,"ns-604.awsdns-11.net, awsdns-hostmaster.amazon.com",,,,NOERROR,,,,
,admin-dev.site-diary.letsbuild.com,199.36.158.100,,"ns-1439.awsdns-51.org, awsdns-hostmaster.amazon.com",,,,NOERROR,,,,
,admin.site-diary.letsbuild.com,199.36.158.100,,"ns-1439.awsdns-51.org, awsdns-hostmaster.amazon.com",,,,NOERROR,,,,
,analytics.letsbuild.com,"52.222.139.15, 52.222.139.106, 52.222.139.16, 52.222.139.90",,"ns-648.awsdns-17.net, awsdns-hostmaster.amazon.com","ns-648.awsdns-17.net, ns-1521.awsdns-62.org, ns-1590.awsdns-06.co.uk, ns-484.awsdns-60.com",,,NOERROR,True,cloudfront,,
,api.app.letsbuild.com,"52.215.151.93, 54.74.184.246, 34.243.66.103",,"ns-1902.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,"heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/production/gateway",,NOERROR,,,,
,api.integrations.letsbuild.com,"52.30.104.102, 99.81.34.177",,"ns-510.awsdns-63.com, awsdns-hostmaster.amazon.com","ns-1186.awsdns-20.org, ns-1701.awsdns-20.co.uk, ns-510.awsdns-63.com, ns-560.awsdns-06.net",,,NOERROR,,,,
,app-dev.aproplan.letsbuild.com,"52.31.181.224, 54.171.33.171, 52.19.128.218",,"ns-1768.awsdns-29.co.uk, awsdns-hostmaster.amazon.com",,,,NOERROR,,,master.geniebelt.com,
,aproplan.letsbuild.com,,"alt3.aspmx.l.google.com, alt4.aspmx.l.google.com, aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com","ns-1965.awsdns-53.co.uk, awsdns-hostmaster.amazon.com","ns-1965.awsdns-53.co.uk, ns-1232.awsdns-26.org, ns-556.awsdns-05.net, ns-222.awsdns-27.com","v=spf1 include:sendgrid.net ~all, google-site-verification=v5khdfFYG54mg0W6aHHWnhBVKVslU53bm0r63z1J0ek",,NOERROR,,,,
,construction.letsbuild.com,"104.18.26.189, 104.18.27.189",,"burt.ns.cloudflare.com, dns.cloudflare.com",,,"digicert.com, letsencrypt.org, sectigo.com",NOERROR,True,cloudflare,secure.pageserve.co,"2606:4700::6812:1bbd, 2606:4700::6812:1abd"
,dev.api.integrations.letsbuild.com,"34.255.125.143, 54.228.166.51",,"ns-510.awsdns-63.com, awsdns-hostmaster.amazon.com",,,,NOERROR,,,,
,dev.site-diary.letsbuild.com,199.36.158.100,,"ns-1439.awsdns-51.org, awsdns-hostmaster.amazon.com",,,,NOERROR,,,,
,developers.letsbuild.com,"104.18.210.56, 104.18.211.56",,"jeremy.ns.cloudflare.com, dns.cloudflare.com",,,"digicert.com, pki.goog; cansignhttpexchanges=yes, letsencrypt.org, comodoca.com",NOERROR,True,cloudflare,ssl.readmessl.com,"2606:4700::6812:d238, 2606:4700::6812:d338"
