input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_subject_org_,tls_mismatched,tls_expired,final_url,csp_domains_,location
550g.trellix.com,Login - Oracle Access Management 12c,200,5906,550g.trellix.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-26T00:00:00Z,2024-04-25T23:59:59Z,"CN=550g.trellix.com, O=Musarubra US LLC, ST=California, C=US",550g.trellix.com,www.550g.trellix.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,970c354ecf0436e3044968f9402cc70a,12a8c89064f72f4dc98244c62e2b2238e0e51601b0f60282e70a7692857a0a88,,ctls,550g.trellix.com,,443,https://550g.trellix.com:443,https,,text/html,GET,136.179.57.108,/,-366337701,136.179.57.108,Oracle Dynamic Monitoring Service,174,False,,Musarubra US LLC,,,https://550g.trellix.com:443/oam/server/obrareq.cgi?encquery%3DJJTEOdGIYO4UMwFt0P6JVtfZ7ptH7TOzGZCmmuYt6I2%2BdyBvvtruAfkHx4Pb7H22pXZsyTTirZKuDXJt%2Fa1k%2Ff0bDqUZgpkQNO%2FUvsL0731pozddbZ77bbsg6iE6BFAjfyqfj%2FNj5JnRlvde%2FNvfLRnl8hFeBc%2FBCl1QDPMOdpS2Q7tGWpTf2aE7qqIoCULXiUqDmdzBvAOo8%2FOnKJoeD8P5QWzO%2FQs%2BUgho%2BCFdH%2BuemnHe02QgAB%2B7MnwxO0dpPk6Fwj3%2BAzxyP0PNl3ZfTjozeY3VNOb11HXBgOSl9eRC8X2RYXNXWoGyd%2F3hJmJA%20agentid%3DProxy12cOHS%20ver%3D1%20crmethod%3D2%26cksum%3Dcad14ddeafc9b63d3fba0ae5f7185fab142f2fec&ECID-Context=1.005zVctEWOG9TcUpu4L6iX004gzZ003fxa%3Bk%5EjE,,
account.manage.trellix.com,403 - Forbidden: Access is denied.,403,1233,account.manage.trellix.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-01T00:00:00Z,2023-12-01T23:59:59Z,"CN=bps.manage.trellix.com, O=Musarubra US LLC, ST=California, C=US",bps.manage.trellix.com,saaspartner.api.manage.trellix.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,bc53bd5971b75cc2a98f1a2633c83a0e,2310ce7e5cc9776092db06aaa8309e8c4219e3fb75e4864ae883c1147bea383c,,ctls,account.manage.trellix.com,,443,https://account.manage.trellix.com:443,https,Microsoft-IIS/10.0,text/html,GET,54.69.130.184,/,1631801191,52.33.251.125,Windows Server,30,False,,Musarubra US LLC,,,,,
agile.trellix.com,Oracle HTTP Server 12c,200,8893,agile.trellix.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-20T00:00:00Z,2024-02-20T23:59:59Z,"CN=agile.trellix.com, O=Musarubra US LLC, ST=California, C=US",agile.trellix.com,agilefile.trellix.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,b5f12f6743fb0a90058560fc476ed99c,cdcf570ba0c4ad6ed6cf50f4deea4d9f379ed49f7c5ce92d1d0610216c6efe5b,,ctls,agile.trellix.com,,443,https://agile.trellix.com:443,https,,text/html,GET,136.179.57.122,/,-780928015,136.179.57.122,,184,False,,Musarubra US LLC,,,,,
agilefile.qa.trellix.com,Oracle HTTP Server 12c,200,8893,agilefile.qa.trellix.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-01T00:00:00Z,2023-12-01T23:59:59Z,"CN=agile.qa.trellix.com, O=Musarubra US LLC, ST=California, C=US",agile.qa.trellix.com,agilefile.qa.trellix.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,b1f344a76e8945af613b912468e54c02,588b0da4726c3d9e6fcce5a82f9854b7db56bb69854eb0728c39bf6b0dd38c15,,ctls,agilefile.qa.trellix.com,,443,https://agilefile.qa.trellix.com:443,https,,text/html,GET,136.179.57.104,/,-780928015,136.179.57.104,,184,False,,Musarubra US LLC,,,,,
agilefile.trellix.com,Oracle HTTP Server 12c,200,8893,agilefile.trellix.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-20T00:00:00Z,2024-02-20T23:59:59Z,"CN=agile.trellix.com, O=Musarubra US LLC, ST=California, C=US",agile.trellix.com,agilefile.trellix.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,b5f12f6743fb0a90058560fc476ed99c,cdcf570ba0c4ad6ed6cf50f4deea4d9f379ed49f7c5ce92d1d0610216c6efe5b,,ctls,agilefile.trellix.com,,443,https://agilefile.trellix.com:443,https,,text/html,GET,136.179.57.127,/,-780928015,136.179.57.127,,184,False,,Musarubra US LLC,,,,,
ah-usw003.manage.trellix.com,403 Forbidden,403,199,ah-usw003.manage.trellix.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-08T00:00:00Z,2024-05-07T23:59:59Z,"CN=manage.trellix.com, O=Musarubra US LLC, ST=California, C=US",manage.trellix.com,*.manage.trellix.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,9d6b61759230c23843bd3c623e7027f2,b42d23a92f253d7d63d9607064c7dd1a1b0583b82d2183fdfd14337b8fa474ce,True,ctls,ah-usw003.manage.trellix.com,,443,https://ah-usw003.manage.trellix.com:443,https,Apache,text/html,GET,52.27.119.65,/,-855688948,54.148.69.92,HSTS,8,False,,Musarubra US LLC,,,,,
alpha.xconsole.trellix.com,ERROR: The request could not be satisfied,403,919,alpha.xconsole.trellix.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-08T00:00:00Z,2024-03-08T23:59:59Z,CN=alpha.xconsole.trellix.com,alpha.xconsole.trellix.com,*.alpha.xconsole.trellix.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,cbbc5d2ec7cea72a9c77a209ac93e78f,5b86a6c193addafcca9bb4409dae30d65f98fce1de3f3cede86e3231a1dbf759,True,ctls,alpha.xconsole.trellix.com,cloudfront,443,https://alpha.xconsole.trellix.com:443,https,CloudFront,text/html,GET,13.225.78.8,/,-1012370909,13.225.78.24,Amazon Web Services,20,False,True,,,,,,
amcore-ens.rest.gti.trellix.com,404 Not Found,403,142,amcore-ens.rest.gti.trellix.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,2023-04-18T00:00:00Z,2024-04-17T23:59:59Z,"CN=*.rest.gti.trellix.com, O=Musarubra US LLC, ST=California, C=US",*.rest.gti.trellix.com,rest.gti.trellix.com,"CN=Sectigo ECC Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo ECC Organization Validation Secure Server CA,Sectigo Limited,f2bdc3889b800bacf2e392e124a67541,1dbf74f1849ca865fc6a63cb491ec72667284d1ae47137bc1b3eb99e6c740644,True,ctls,amcore-ens.rest.gti.trellix.com,,443,https://amcore-ens.rest.gti.trellix.com:443,https,webserver,text/html,GET,3.76.92.48,/,-2065493192,3.70.147.89,HSTS,7,False,,Musarubra US LLC,,,,,
api.soc.trellix.com,,401,119,api.soc.trellix.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-18T00:00:00Z,2024-01-18T23:59:59Z,"CN=ui.soc.trellix.com, O=Musarubra US LLC, ST=California, C=US",ui.soc.trellix.com,ui.soc.us-west-2.trellix.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,ba02b5ef03000933c42a00ab7a44511f,65d0346a5a0e050dff44947135ea3d04edb9479b2d0fe0b711ba4857835607fb,,ctls,api.soc.trellix.com,,443,https://api.soc.trellix.com:443,https,kong/3.0.2,application/json,GET,52.43.72.2,/,-645068215,35.160.131.59,,1,False,,Musarubra US LLC,,,,,
apihub-org.manage.trellix.com,,404,48,apihub-org.manage.trellix.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-08T00:00:00Z,2024-05-07T23:59:59Z,"CN=manage.trellix.com, O=Musarubra US LLC, ST=California, C=US",manage.trellix.com,*.manage.trellix.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,9d6b61759230c23843bd3c623e7027f2,b42d23a92f253d7d63d9607064c7dd1a1b0583b82d2183fdfd14337b8fa474ce,True,ctls,apihub-org.manage.trellix.com,,443,https://apihub-org.manage.trellix.com:443,https,kong/2.3.1,application/json,GET,54.71.158.13,/,834205737,52.11.89.255,,1,False,,Musarubra US LLC,,,,,
