new,host,ttl,a,aaaa,cname,mx,soa,ns,txt,caa,status_code,cdn,cdn-name
[x],157-9-9-1.survey.sidn.nl,300,"54.230.206.118, 54.230.206.116, 54.230.206.96, 54.230.206.101","2600:9000:2250:ce00:19:1a16:9840:93a1, 2600:9000:2250:6000:19:1a16:9840:93a1, 2600:9000:2250:b200:19:1a16:9840:93a1, 2600:9000:2250:1c00:19:1a16:9840:93a1, 2600:9000:2250:3200:19:1a16:9840:93a1, 2600:9000:2250:2000:19:1a16:9840:93a1, 2600:9000:2250:200:19:1a16:9840:93a1, 2600:9000:2250:2800:19:1a16:9840:93a1",sidn2.customdomain.chkmkt.com,inbound-smtp.eu-west-1.amazonaws.com,"{'name': 'chkmkt.com', 'ns': 'ns-1700.awsdns-20.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}","ns-1700.awsdns-20.co.uk, ns-340.awsdns-42.com, ns-1019.awsdns-63.net, ns-1114.awsdns-11.org",,amazonaws.com,NOERROR,,
[x],216-78.survey.sidn.nl,3600,,,sidn2.customdomain.chkmkt.com,inbound-smtp.eu-west-1.amazonaws.com,"{'name': 'chkmkt.com', 'ns': 'ns-1700.awsdns-20.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}","ns-1019.awsdns-63.net, ns-1114.awsdns-11.org, ns-1700.awsdns-20.co.uk, ns-340.awsdns-42.com","amazonses:VWUk5r8djH8OEaDmKzuxFNUtfzlA411JdSStojg9D2E=, v=DMARC1; p=reject; rua=mailto:dmarc@chkmkt.com; pct=100;, v=spf1 mx include:chkmkt.com -all",amazonaws.com,NOERROR,,
[x],421-3.survey.sidn.nl,3600,"18.66.122.27, 18.66.122.126, 18.66.122.95, 18.66.122.57","2600:9000:2250:2e00:19:1a16:9840:93a1, 2600:9000:2250:9200:19:1a16:9840:93a1, 2600:9000:2250:2000:19:1a16:9840:93a1, 2600:9000:2250:e600:19:1a16:9840:93a1, 2600:9000:2250:8800:19:1a16:9840:93a1, 2600:9000:2250:8200:19:1a16:9840:93a1, 2600:9000:2250:ca00:19:1a16:9840:93a1, 2600:9000:2250:9a00:19:1a16:9840:93a1",sidn2.customdomain.chkmkt.com,inbound-smtp.eu-west-1.amazonaws.com,"{'name': 'chkmkt.com', 'ns': 'ns-1700.awsdns-20.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'chkmkt.com', 'ns': 'ns-1700.awsdns-20.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}","ns-1114.awsdns-11.org, ns-1700.awsdns-20.co.uk, ns-340.awsdns-42.com, ns-1019.awsdns-63.net",,amazonaws.com,NOERROR,,
[x],434c.survey.sidn.nl,3600,"18.66.122.57, 18.66.122.27, 18.66.122.95, 18.66.122.126","2600:9000:2250:b800:19:1a16:9840:93a1, 2600:9000:2250:ac00:19:1a16:9840:93a1, 2600:9000:2250:3000:19:1a16:9840:93a1, 2600:9000:2250:9e00:19:1a16:9840:93a1, 2600:9000:2250:7e00:19:1a16:9840:93a1, 2600:9000:2250:8a00:19:1a16:9840:93a1, 2600:9000:2250:da00:19:1a16:9840:93a1, 2600:9000:2250:aa00:19:1a16:9840:93a1",sidn2.customdomain.chkmkt.com,inbound-smtp.eu-west-1.amazonaws.com,"{'name': 'chkmkt.com', 'ns': 'ns-1700.awsdns-20.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}","ns-1700.awsdns-20.co.uk, ns-340.awsdns-42.com, ns-1019.awsdns-63.net, ns-1114.awsdns-11.org","amazonses:VWUk5r8djH8OEaDmKzuxFNUtfzlA411JdSStojg9D2E=, v=DMARC1; p=reject; rua=mailto:dmarc@chkmkt.com; pct=100;, v=spf1 mx include:chkmkt.com -all",amazonaws.com,NOERROR,,
[x],444b.survey.sidn.nl,3600,"18.66.122.126, 18.66.122.95, 18.66.122.27, 18.66.122.57","2600:9000:2250:d200:19:1a16:9840:93a1, 2600:9000:2250:5200:19:1a16:9840:93a1, 2600:9000:2250:fa00:19:1a16:9840:93a1, 2600:9000:2250:2e00:19:1a16:9840:93a1, 2600:9000:2250:1e00:19:1a16:9840:93a1, 2600:9000:2250:e800:19:1a16:9840:93a1, 2600:9000:2250:3600:19:1a16:9840:93a1, 2600:9000:2250:4600:19:1a16:9840:93a1",sidn2.customdomain.chkmkt.com,inbound-smtp.eu-west-1.amazonaws.com,"{'name': 'chkmkt.com', 'ns': 'ns-1700.awsdns-20.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}","ns-1019.awsdns-63.net, ns-1114.awsdns-11.org, ns-1700.awsdns-20.co.uk, ns-340.awsdns-42.com","amazonses:VWUk5r8djH8OEaDmKzuxFNUtfzlA411JdSStojg9D2E=, v=DMARC1; p=reject; rua=mailto:dmarc@chkmkt.com; pct=100;, v=spf1 mx include:chkmkt.com -all",amazonaws.com,NOERROR,,
[x],47-78.survey.sidn.nl,300,"52.85.151.22, 52.85.151.113, 52.85.151.94, 52.85.151.75",,sidn2.customdomain.chkmkt.com,inbound-smtp.eu-west-1.amazonaws.com,"{'name': 'chkmkt.com', 'ns': 'ns-1700.awsdns-20.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}","ns-1019.awsdns-63.net, ns-1114.awsdns-11.org, ns-1700.awsdns-20.co.uk, ns-340.awsdns-42.com","amazonses:VWUk5r8djH8OEaDmKzuxFNUtfzlA411JdSStojg9D2E=, v=DMARC1; p=reject; rua=mailto:dmarc@chkmkt.com; pct=100;, v=spf1 mx include:chkmkt.com -all",amazonaws.com,NOERROR,,
[x],65-0-63.survey.sidn.nl,300,"52.85.151.22, 52.85.151.113, 52.85.151.94, 52.85.151.75","2600:9000:2250:fe00:19:1a16:9840:93a1, 2600:9000:2250:6400:19:1a16:9840:93a1, 2600:9000:2250:b400:19:1a16:9840:93a1, 2600:9000:2250:7e00:19:1a16:9840:93a1, 2600:9000:2250:9200:19:1a16:9840:93a1, 2600:9000:2250:7200:19:1a16:9840:93a1, 2600:9000:2250:1800:19:1a16:9840:93a1, 2600:9000:2250:8800:19:1a16:9840:93a1",sidn2.customdomain.chkmkt.com,,"{'name': 'chkmkt.com', 'ns': 'ns-1700.awsdns-20.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'chkmkt.com', 'ns': 'ns-1700.awsdns-20.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",,,amazonaws.com,NOERROR,,
[x],65-3-9-9.survey.sidn.nl,300,"18.66.122.27, 18.66.122.57, 18.66.122.95, 18.66.122.126","2600:9000:2250:6600:19:1a16:9840:93a1, 2600:9000:2250:1000:19:1a16:9840:93a1, 2600:9000:2250:7a00:19:1a16:9840:93a1, 2600:9000:2250:a800:19:1a16:9840:93a1, 2600:9000:2250:f200:19:1a16:9840:93a1, 2600:9000:2250:1200:19:1a16:9840:93a1, 2600:9000:2250:c400:19:1a16:9840:93a1, 2600:9000:2250:9a00:19:1a16:9840:93a1",sidn2.customdomain.chkmkt.com,inbound-smtp.eu-west-1.amazonaws.com,"{'name': 'chkmkt.com', 'ns': 'ns-1700.awsdns-20.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'chkmkt.com', 'ns': 'ns-1700.awsdns-20.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}","ns-340.awsdns-42.com, ns-1019.awsdns-63.net, ns-1114.awsdns-11.org, ns-1700.awsdns-20.co.uk","amazonses:VWUk5r8djH8OEaDmKzuxFNUtfzlA411JdSStojg9D2E=, v=DMARC1; p=reject; rua=mailto:dmarc@chkmkt.com; pct=100;, v=spf1 mx include:chkmkt.com -all",amazonaws.com,NOERROR,,
[x],85-60-7.survey.sidn.nl,300,"18.66.122.126, 18.66.122.27, 18.66.122.57, 18.66.122.95","2600:9000:2250:3600:19:1a16:9840:93a1, 2600:9000:2250:6c00:19:1a16:9840:93a1, 2600:9000:2250:2000:19:1a16:9840:93a1, 2600:9000:2250:2a00:19:1a16:9840:93a1, 2600:9000:2250:ec00:19:1a16:9840:93a1, 2600:9000:2250:d200:19:1a16:9840:93a1, 2600:9000:2250:2e00:19:1a16:9840:93a1, 2600:9000:2250:3800:19:1a16:9840:93a1",sidn2.customdomain.chkmkt.com,inbound-smtp.eu-west-1.amazonaws.com,"{'name': 'chkmkt.com', 'ns': 'ns-1700.awsdns-20.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}","ns-1019.awsdns-63.net, ns-1114.awsdns-11.org, ns-1700.awsdns-20.co.uk, ns-340.awsdns-42.com","v=spf1 mx include:chkmkt.com -all, amazonses:VWUk5r8djH8OEaDmKzuxFNUtfzlA411JdSStojg9D2E=, v=DMARC1; p=reject; rua=mailto:dmarc@chkmkt.com; pct=100;",,NOERROR,,
[x],academy.sidn.nl,3600,"54.77.211.75, 52.49.35.245","2a05:d018:2a8:2802:2517:9af0:34b3:9836, 2a05:d018:2a8:2801:22f2:c522:4dd0:3394","sidn-academy.anewspring.nl, aws-ssl-04.anewspring.nl, aws-p-lb-nl-04.anewspring.nl",,"{'name': 'anewspring.nl', 'ns': 'ns-962.awsdns-56.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'anewspring.nl', 'ns': 'ns-962.awsdns-56.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'anewspring.nl', 'ns': 'ns-962.awsdns-56.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'anewspring.nl', 'ns': 'ns-962.awsdns-56.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'anewspring.nl', 'ns': 'ns-962.awsdns-56.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",,,,NOERROR,,
