input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn_name,webserver,cdn,csp_domains_,tls_mismatched,tls_wildcard_certificate,tls_expired,final_url,location,tls_emails_
about.ikea.com,About IKEA,200,81854,about.ikea.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-10-18T00:00:00Z,2023-11-16T23:59:59Z,"CN=about.ikea.com, O=Inter IKEA Systems B.V., ST=Zuid-Holland, C=NL",about.ikea.com,Inter IKEA Systems B.V.,www.about.ikea.com,"CN=Trusted Secure Certificate Authority 5, O=Corporation Service Company, L=Wilmington, ST=DE, C=US",Trusted Secure Certificate Authority 5,Corporation Service Company,7ecd31967c3487e12b2895c5b3bd4bc2,b0d5264a5b46fe80b6cd896925586f0c2e04e21250f6816a167aa9df6198999b,ctls,about.ikea.com,443,https://about.ikea.com:443,https,text/html,GET,20.103.176.27,/,-20275242,20.103.176.27,Sitecore,893,False,,,,,,,,,,
acc.about.ikea.com,Inter IKEA Group,200,42635,acc.about.ikea.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-13T14:42:48Z,2023-10-11T14:42:47Z,CN=acc.about.ikea.com,acc.about.ikea.com,,acc.about.ikea.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ca4b6984d51b9159cebcf5dc21b47542,bacbd32082076b717b8657d8168dbeaa062e033d35608af2568f109ad61ec7ee,ctls,acc.about.ikea.com,443,https://acc.about.ikea.com:443,https,text/html,GET,23.32.238.64,/,-20275242,23.32.238.11,Sitecore,586,False,,,,,,,,,,
account.dexf.ikea.com,,404,102,account.dexf.ikea.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-26T00:00:00Z,2023-12-13T23:59:59Z,"CN=ikea.com, O=Inter IKEA Systems B.V., L=Delft, ST=Zuid-Holland, C=NL",ikea.com,Inter IKEA Systems B.V.,www.dexf.ikea.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,2efe1270864611a2549da09baa9cca4c,d9545360241fd139688fc1ee00b03a595ef2dbc3ec4329bd635bb5e3adecf930,ctls,account.dexf.ikea.com,443,https://account.dexf.ikea.com:443,https,text/html,GET,104.102.43.33,/,458550301,2a02:26f0:480:983::2ef1,HSTS,1,False,,,,,,,,,,
accounts.ikea.com,,302,48,accounts.ikea.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-22T00:00:00Z,2024-02-22T23:59:59Z,"CN=*.ikea.com, O=Inter IKEA Systems B.V., L=Delft, ST=Zuid-Holland, C=NL",*.ikea.com,Inter IKEA Systems B.V.,ikea.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,bac537be8204e43ee2f59463dde783f0,7d4609f91c2d70065b26463c5dcdcb0cb3960f3211595f701e0aaadc0ad2d007,ctls,accounts.ikea.com,443,https://accounts.ikea.com:443,https,text/plain,GET,104.102.45.166,/,-738705486,2a02:26f0:480:9b1::3252,HSTS,1,False,,IKEA Server,,https://www.gstatic.com,,True,,https://accounts.ikea.com/,https://accounts.ikea.com/,
adfs.food.inter.ikea.com,Not Found,404,315,adfs.food.inter.ikea.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-15T00:00:00Z,2024-05-14T23:59:59Z,"CN=adfs.food.inter.ikea.com, O=Inter IKEA Systems B.V., ST=Zuid-Holland, C=NL",adfs.food.inter.ikea.com,Inter IKEA Systems B.V.,www.adfs.food.inter.ikea.com,"CN=Trusted Secure Certificate Authority 5, O=Corporation Service Company, L=Wilmington, ST=DE, C=US",Trusted Secure Certificate Authority 5,Corporation Service Company,c7ace3c6367c002265566d7e7791c3ba,8b6beff3e37df143aea0c1d770a63ecc29bac64e4d65861b769a9df2bf0a5e62,ctls,adfs.food.inter.ikea.com,443,https://adfs.food.inter.ikea.com:443,https,text/html,GET,52.18.1.56,/,225052475,52.18.1.56,Microsoft HTTPAPI:2.0,7,False,,Microsoft-HTTPAPI/2.0,,,,,,,,
admin-prod.digitalse.ikea.com,,200,305,admin-prod.digitalse.ikea.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-07T02:13:05Z,2023-10-05T03:12:26Z,CN=admin-prod.digitalse.ikea.com,admin-prod.digitalse.ikea.com,,admin-prod.digitalse.ikea.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,c8a02859cd5cb7f62bd82208d895099f,4c63ef57751ff6e02b5f056d579cd932eee4bac0489768f7d4d3f68704e12c14,ctls,admin-prod.digitalse.ikea.com,443,https://admin-prod.digitalse.ikea.com:443,https,text/html,GET,199.36.158.100,/,-336973701,199.36.158.100,HTTP/3,15,False,,,,,,,,,,
ads.apps.ikea.com,IKEA,400,2439,ingka-icow-prod.eu.auth0.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-04T01:40:08Z,2023-09-02T01:40:07Z,CN=eu.auth0.com,eu.auth0.com,,eu.auth0.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,238bc435086302ddd07b3a92d53e4655,f73a97c3e1377649b8776ac60d4d365d4de5648be53132e86e7f8e70def5f353,ctls,ingka-icow-prod.eu.auth0.com,443,https://ads.apps.ikea.com:443,https,text/html,GET,192.71.68.89,/,12023395,192.71.68.89,HTTP/3,62,False,,cloudflare,,,,True,,https://ingka-icow-prod.eu.auth0.com/u/login/identifier?state=hKFo2SBIMFVFbldLdWRqRTJkVUgxSjhVbjAyX0ZiNWNmajcxLaFur3VuaXZlcnNhbC1sb2dpbqN0aWTZIGh0ZUNaSWdSUFd6ZS0wOEVhb3g4U2NIdXBDTGxJb2xPo2NpZNkgY2Zwbnh1bVJ6aFJsUWxPVWRoSTlCMEVhZGpwYkh6QnY,,
adv.ikea.com,Archived Design Viewer,200,1002,adv.ikea.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-26T00:00:00Z,2023-12-13T23:59:59Z,"CN=ikea.com, O=Inter IKEA Systems B.V., L=Delft, ST=Zuid-Holland, C=NL",ikea.com,Inter IKEA Systems B.V.,www.dexf.ikea.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,2efe1270864611a2549da09baa9cca4c,d9545360241fd139688fc1ee00b03a595ef2dbc3ec4329bd635bb5e3adecf930,ctls,adv.ikea.com,443,https://adv.ikea.com:443,https,text/html,GET,23.212.216.222,/,1702466832,2a02:26f0:1700:391::2ef1,Node.js,1,False,,ADV Server,,,,,,,,
advice.industry.ikea.com,Sylos,200,2424,advice.industry.ikea.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-03T06:38:33Z,2023-10-03T06:38:33Z,"CN=advice.industry.ikea.com, O=IKEA Industry AB, L=Malmö, C=SE",advice.industry.ikea.com,IKEA Industry AB,www.advice.industry.ikea.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",bbf3ec93752a4a837df5a56a8dc4db4f,dc23c42ee2f41b4bb9989bdfbe6fa0af496d8a19e971c77173a217beb509ff89,ctls,advice.industry.ikea.com,443,https://advice.industry.ikea.com:443,https,text/html,GET,78.41.243.49,/,-663411458,78.41.243.49,Windows Server,53,False,,Microsoft-IIS/10.0,,,,,,,,
ae.accounts.ikea.com,Welcome | IKEA,200,4122,ae.accounts.ikea.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-29T00:00:00Z,2024-03-28T23:59:59Z,"CN=ae.accounts.ikea.com, O=Inter IKEA Systems B.V., ST=Zuid-Holland, C=NL",ae.accounts.ikea.com,Inter IKEA Systems B.V.,www.ae.accounts.ikea.com,"CN=Trusted Secure Certificate Authority 5, O=Corporation Service Company, L=Wilmington, ST=DE, C=US",Trusted Secure Certificate Authority 5,Corporation Service Company,622e3fbf9df69324bcbc43a499f02303,03d900bb8b2284f6e255f75137e8580f2a970489d5ecd4c8408488fcbb9a6582,ctls,ae.accounts.ikea.com,443,https://ae.accounts.ikea.com:443,https,text/html,GET,52.74.157.230,/,1990792440,52.74.157.230,Font Awesome,113,False,,Apache,,,,,,,,
