input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,csp_domains_,tech_,tls_wildcard_certificate,tls_mismatched,cdn_name,cdn,final_url,tls_expired,tls_self_signed,location
10.eulisa.europa.eu,eu-LISA 10-Year Anniversary,200,5238,www.eulisa.europa.eu,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-12-15T08:50:58Z,2024-01-16T08:50:57Z,CN=eulisa.europa.eu,eulisa.europa.eu,,10.eulisa.europa.eu,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,e45b8311323fa03f06d789fb957cbf35,a53ef2623d849358aedafa750c433d619405da515549923a51410f5c7eb54342,ctls,www.eulisa.europa.eu,443,https://10.eulisa.europa.eu:443,https,,text/html,GET,185.78.44.243,/,357434109,185.78.44.243,201,False,,jQuery,,,,,https://www.eulisa.europa.eu/SiteAssets/Anniversary/default.aspx,,,
2019-2024.ep.europa.eu,,200,199,2019-2024.ep.europa.eu,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-24T11:11:05Z,2023-07-26T11:11:04Z,"CN=www.2019-2024.europarl.europa.eu, O=European Parliament, L=Luxembourg, ST=Luxembourg, C=LU",www.2019-2024.europarl.europa.eu,European Parliament,2019-2024.europarl.europa.eu,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,6ae7ac99a2df7be1a808a96599a7bc08,2afc357b8d7c7732f6e76cc0d4f16bc6782a3caea253ce9ef5b831bb155009ba,ctls,2019-2024.ep.europa.eu,443,https://2019-2024.ep.europa.eu:443,https,AmazonS3,text/html,GET,143.204.215.81,/,-428040278,2600:9000:2611:7a00:7:656f:1540:93a1,11,False,,Amazon Web Services,,,cloudfront,True,,,,
2019-2024.europarl.europa.eu,,200,199,2019-2024.europarl.europa.eu,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-24T11:11:05Z,2023-07-26T11:11:04Z,"CN=www.2019-2024.europarl.europa.eu, O=European Parliament, L=Luxembourg, ST=Luxembourg, C=LU",www.2019-2024.europarl.europa.eu,European Parliament,2019-2024.europarl.europa.eu,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,6ae7ac99a2df7be1a808a96599a7bc08,2afc357b8d7c7732f6e76cc0d4f16bc6782a3caea253ce9ef5b831bb155009ba,ctls,2019-2024.europarl.europa.eu,443,https://2019-2024.europarl.europa.eu:443,https,AmazonS3,text/html,GET,143.204.215.81,/,674383625,2600:9000:214f:6c00:7:656f:1540:93a1,11,False,,Amazon Web Services,,,cloudfront,True,,,,
a-cms2-ro.ecb.europa.eu,HTTP Status 404 – Not Found,404,672,a-cms2-ro.ecb.europa.eu,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-11-17T08:37:14Z,2023-12-16T08:37:14Z,"CN=a-cms2-ro.ecb.europa.eu, O=European Central Bank, L=Frankfurt am Main, C=DE",a-cms2-ro.ecb.europa.eu,European Central Bank,www.a-cms2-ro.ecb.europa.eu,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",f135b927c944fe0efe6d48669faa25c9,09a6845cb7e2c822cf91d6526772dfb56d02a0edb337febb23c450db4e372c8c,ctls,a-cms2-ro.ecb.europa.eu,443,https://a-cms2-ro.ecb.europa.eu:443,https,myracloud,text/html,GET,91.236.122.135,/,-2108405432,2a02:cb40:200::250,1,False,,,,,,,,,,
a-cms2-rw.ecb.europa.eu,HTTP Status 404 – Not Found,404,672,a-cms2-rw.ecb.europa.eu,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-11-17T08:32:50Z,2023-12-16T08:32:50Z,"CN=a-cms2-rw.ecb.europa.eu, O=European Central Bank, L=Frankfurt am Main, C=DE",a-cms2-rw.ecb.europa.eu,European Central Bank,www.a-cms2-rw.ecb.europa.eu,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",3a40c67d2ee2e4be596a6f2ccf27fae9,a00225de13417cc8b5a0d6fe26c8a6f42ade925f740b97159929da23476ee5e3,ctls,a-cms2-rw.ecb.europa.eu,443,https://a-cms2-rw.ecb.europa.eu:443,https,myracloud,text/html,GET,91.236.122.136,/,-2108405432,2a02:cb40:200::252,1,False,,,,,,,,,,
a-eureka.ecb.europa.eu,502 Bad Gateway,502,183,,,,,,,,,,,,,,,,,,,80,http://a-eureka.ecb.europa.eu:80,http,Microsoft-Azure-Application-Gateway/v2,text/html,GET,20.107.131.241,/,1689593728,20.107.131.241,8,False,,HSTS,,,,,,,,
a-mid.ecb.europa.eu,ECB - European Central Bank,200,5060,a-mid.ecb.europa.eu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-15T15:50:38Z,2024-01-14T15:50:38Z,"CN=a-mid.ecb.europa.eu, O=European Central Bank, L=Frankfurt am Main, C=DE",a-mid.ecb.europa.eu,European Central Bank,a-mid.ecb.int,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",4e358aeb05f40a89197c1df4e893ebfb,96334005946483cf17d59b4d75acd3a417d7cd9be6afd6fa4f639c513fb07129,ctls,a-mid.ecb.europa.eu,443,https://a-mid.ecb.europa.eu:443,https,myracloud,text/xml,GET,185.85.0.105,/,-855688948,185.85.0.105,116,False,,,,,,,https://a-mid.ecb.europa.eu/rss/mid.xml,,,
a-procurement.ecb.europa.eu,Application Server Error,403,9666,a-procurement.ecb.europa.eu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-22T10:56:27Z,2023-10-21T10:56:27Z,"CN=a-procurement.ecb.europa.eu, O=European Central Bank, L=Frankfurt am Main, C=DE",a-procurement.ecb.europa.eu,European Central Bank,www.a-procurement.ecb.europa.eu,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",175f549278122e4ef277a437f176d3c9,059ca427d42a6a89b26142b05e7199f85bea00864ce7644e159e7ffef3a77377,ctls,a-procurement.ecb.europa.eu,443,https://a-procurement.ecb.europa.eu:443,https,,text/html,GET,195.128.1.156,/,-266008933,195.128.1.156,35,False,,HSTS,,,,,,,,
a-sdw-wsrest.ecb.europa.eu,European Central Bank - STAGING,503,12227,s-data.ecb.europa.eu,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-06-13T16:19:34Z,2023-07-11T16:19:34Z,"CN=s-data.ecb.europa.eu, O=European Central Bank, L=Frankfurt am Main, C=DE",s-data.ecb.europa.eu,European Central Bank,s-data.ecb.int,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",c9308c312acbd05650e5386e24ca6a02,038fc88c8cc58f3eb0dc75ce76a58660057c3a7a3c8edca0ebe52ed0da4051ee,ctls,s-data.ecb.europa.eu,443,https://a-sdw-wsrest.ecb.europa.eu:443,https,myracloud,text/html,GET,185.5.82.131,/,-1291718349,185.5.82.131,2,False,,,,,,,https://s-data.ecb.europa.eu/myracloud-blocked/,,,
a-sdw.ecb.europa.eu,ECB Statistical Data Warehouse,200,164166,a-sdw.ecb.europa.eu,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-09-28T11:31:11Z,2023-10-27T11:31:11Z,"CN=a-sdw.ecb.europa.eu, O=European Central Bank, L=Frankfurt am Main, C=DE",a-sdw.ecb.europa.eu,European Central Bank,a-sdw.ecb.int,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",6fc603f446709d66c0785c7b8d32019d,374ffa990901c1386e13cc65132f277bde436590eae63b63b072dc4146dce1f2,ctls,a-sdw.ecb.europa.eu,443,https://a-sdw.ecb.europa.eu:443,https,myracloud,text/html,GET,185.5.82.128,/,-1920410835,185.5.82.128,5764,False,,Java,,,,,,,,
a-www.bankingsupervision.europa.eu,401 Unauthorized,401,381,a-www.bankingsupervision.europa.eu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-24T15:06:53Z,2023-11-23T15:06:52Z,"CN=a-www.ecb.europa.eu, O=European Central Bank, L=Frankfurt am Main, C=DE",a-www.ecb.europa.eu,European Central Bank,a-www.esrb.europa.eu,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",51b8d9457b053f349d9559df849681e9,d412e53329ad775b173e5dd0a5727b9315dd5dde9be06ac3c6adbd434a11632c,ctls,a-www.bankingsupervision.europa.eu,443,https://a-www.bankingsupervision.europa.eu:443,https,myracloud,text/html,GET,185.5.82.217,/,-392200610,185.5.82.217,13,False,,HSTS,,,,,https://a-www.bankingsupervision.europa.eu/home/html/index.en.html,,,
a-www.ecb.europa.eu,401 Unauthorized,401,381,a-www.ecb.europa.eu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-24T15:06:53Z,2023-11-23T15:06:52Z,"CN=a-www.ecb.europa.eu, O=European Central Bank, L=Frankfurt am Main, C=DE",a-www.ecb.europa.eu,European Central Bank,a-www.esrb.europa.eu,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",51b8d9457b053f349d9559df849681e9,d412e53329ad775b173e5dd0a5727b9315dd5dde9be06ac3c6adbd434a11632c,ctls,a-www.ecb.europa.eu,443,https://a-www.ecb.europa.eu:443,https,myracloud,text/html,GET,185.5.82.217,/,-392200610,185.5.82.217,13,False,,HSTS,,,,,https://a-www.ecb.europa.eu/home/html/index.en.html,,,
a-www.esrb.europa.eu,401 Unauthorized,401,381,a-www.esrb.europa.eu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-24T15:06:53Z,2023-11-23T15:06:52Z,"CN=a-www.ecb.europa.eu, O=European Central Bank, L=Frankfurt am Main, C=DE",a-www.ecb.europa.eu,European Central Bank,a-www.esrb.europa.eu,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",51b8d9457b053f349d9559df849681e9,d412e53329ad775b173e5dd0a5727b9315dd5dde9be06ac3c6adbd434a11632c,ctls,a-www.esrb.europa.eu,443,https://a-www.esrb.europa.eu:443,https,myracloud,text/html,GET,185.5.82.217,/,-392200610,185.5.82.217,13,False,,HSTS,,,,,https://a-www.esrb.europa.eu/home/html/index.en.html,,,
aaa.esma.europa.eu,NetScaler AAA,200,42775,aaa.esma.europa.eu,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-02T11:11:43Z,2024-07-03T11:11:42Z,"CN=*.esma.europa.eu, O=European Securities and Markets Authority, L=Paris, ST=Île-de-France, C=FR",*.esma.europa.eu,European Securities and Markets Authority,esma.europa.eu,"CN=GlobalSign ECC OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign ECC OV SSL CA 2018,GlobalSign nv-sa,163dd6d1a3f8395cddcbe97fa230f466,43684761c9c7d229bf7f1d83478bcbef80fd548567b8d1d6a20653628a650025,ctls,aaa.esma.europa.eu,443,https://aaa.esma.europa.eu:443,https,Apache,text/html,GET,51.105.229.181,/,12023395,51.105.229.181,721,False,,HSTS,True,,azure,True,https://aaa.esma.europa.eu/logon/LogonPoint/tmindex.html,,,
ac.eda.europa.eu,EDA Annual Conference 2022 - Home,200,30246,ac.eda.europa.eu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-21T10:01:29Z,2023-08-19T10:01:28Z,CN=ac.eda.europa.eu,ac.eda.europa.eu,,ac.eda.europa.eu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ecc672a8ea6460b5e263e17183364200,fade0e9db52ffa9c8f9a899b985c280a9afd07405c696344e86f2dcb5ba6b2e3,ctls,ac.eda.europa.eu,443,https://ac.eda.europa.eu:443,https,,text/html,GET,104.199.38.53,/,1009917004,104.199.38.53,571,False,,,,,google,True,,,,
academy.europa.eu,EU Academy,200,274918,academy.europa.eu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-25T00:00:00Z,2024-04-22T23:59:59Z,CN=academy.europa.eu,academy.europa.eu,,*.academy.europa.eu,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,7efbc45bad0949d5f10ab04ced538552,2a62096fc8fa08df4501e81f4b7297a8d5406d7850c75d42c5f437d2443da7f0,ctls,academy.europa.eu,443,https://academy.europa.eu:443,https,nginx,text/html,GET,108.138.7.11,/,1494302000,2600:9000:2490:6c00:11:d868:4200:93a1,3122,False,,jQuery,True,,cloudfront,True,,,,
acc.drug-precursors.ec.europa.eu,Application name,200,32625,acc.drug-precursors.ec.europa.eu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-07T00:00:00Z,2024-07-05T23:59:59Z,CN=*.acc.drug-precursors.ec.europa.eu,*.acc.drug-precursors.ec.europa.eu,,acc.drug-precursors.ec.europa.eu,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,966f83feb6290ff5fda3b557aae2df90,349ebfe0c8ca73d0739d11e9052d6850459685b578467bf06ab64febcb3da194,ctls,acc.drug-precursors.ec.europa.eu,443,https://acc.drug-precursors.ec.europa.eu:443,https,AmazonS3,text/html,GET,13.225.78.96,/,-1104821496,13.225.78.15,20,False,,Amazon Web Services,True,,cloudfront,True,,,,
acc.nsl.consilium.europa.eu,403 - Forbidden: Access is denied.,403,1233,acc.nsl.consilium.europa.eu,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-06T00:00:00Z,2024-04-05T23:59:59Z,"CN=acc.nsl.consilium.europa.eu, O=Council of the European Union, L=Bruxelles, C=BE",acc.nsl.consilium.europa.eu,Council of the European Union,www.acc.nsl.consilium.europa.eu,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,20116237eb9b8cc1b6f32ef35d24c440,0036135479952e0a05217a9011de4f86041b6f66b67b3924ce12e9bab6b57966,ctls,acc.nsl.consilium.europa.eu,443,https://acc.nsl.consilium.europa.eu:443,https,,text/html,GET,195.137.215.134,/,1631801191,2001:67c:1870:1:80::d786,30,False,www.google.com,HSTS,,,,,,,,
acc.sor.dsa.ec.europa.eu,Home - DSA Transparency Database,200,11802,acc.sor.dsa.ec.europa.eu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-07T15:04:04Z,2023-09-05T15:04:03Z,CN=acc.sor.dsa.ec.europa.eu,acc.sor.dsa.ec.europa.eu,,acc.sor.dsa.ec.europa.eu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,649f5e6ca6640255d84eb945f5d064ed,a4394e97ad1fcc82653aeff825b27580e692759d3127449ae46e53de17e268c3,ctls,acc.sor.dsa.ec.europa.eu,443,https://acc.sor.dsa.ec.europa.eu:443,https,nginx,text/html,GET,3.78.81.189,/,-1840324437,3.78.81.189,235,False,,Nginx,,,,,,,,
acceptance.audiovisual.ec.europa.eu,EC AV PORTAL,200,9447,acceptance.audiovisual.ec.europa.eu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-23T00:00:00Z,2024-02-20T23:59:59Z,CN=acceptance.audiovisual.ec.europa.eu,acceptance.audiovisual.ec.europa.eu,,acceptance.audiovisual.ec.europa.eu,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8a7b6e4210250e396083c5462b233575,193cf479190b209c799a8d64690a9a73bdb09eee8961544740b817d47a40afb2,ctls,acceptance.audiovisual.ec.europa.eu,443,https://acceptance.audiovisual.ec.europa.eu:443,https,nginx/1.18.0,text/html,GET,18.66.147.27,/,-446365869,2600:9000:225e:8a00:0:6c78:9780:93a1,192,False,,jQuery,,,cloudfront,True,,,,
access.ema.europa.eu,Eudranet Access - You have no cookie support - Please enable cookies in your browser,200,1449,access.ema.europa.eu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-11T00:00:00Z,2023-10-11T23:59:59Z,"CN=access.ema.europa.eu, O=European Medicines Agency, L=Amsterdam, ST=Noord-Holland, C=NL",access.ema.europa.eu,European Medicines Agency,access.ema.europa.eu,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,95a83dcde3a37626513f7946dd3c34af,09ec1efd7c9af741d9219bc6ea514cdeb609ee278a4b739657d3d7e4e57f0494,ctls,access.ema.europa.eu,443,https://access.ema.europa.eu:443,https,CPWS,text/html,GET,195.144.19.28,/,-993165615,195.144.19.28,55,False,www.gstatic.com,HSTS,,,,,https://access.ema.europa.eu/sslvpn/Login/Login?CheckCookieSupport=1,,,
access.f4e.europa.eu,,200,3626,access.f4e.europa.eu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-11-15T09:04:47Z,2023-12-17T09:04:46Z,"CN=*.f4e.europa.eu, O=Fusion for Energy, L=Barcelona, ST=Barcelona, C=ES",*.f4e.europa.eu,Fusion for Energy,f4e.europa.eu,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,64b702a870992f6f4828b20b52e95a39,a362c846336f32696bf24238ed90ce2c6936d4f1c3da7121a1e77bc8155a6d8c,ctls,access.f4e.europa.eu,443,https://access.f4e.europa.eu:443,https,CPWS,text/html,GET,188.85.154.253,/,-993165615,188.85.154.253,201,False,www.google.com,HSTS,True,,,,https://access.f4e.europa.eu/Login/BrowserSupport,,,
acer.europa.eu,Home | www.acer.europa.eu,200,207530,acer.europa.eu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-21T00:00:00Z,2024-03-22T23:59:59Z,"CN=*.acer.europa.eu, O=Agency for the Cooperation of Energy Regulators (ACER), L=Ljubljana, C=SI",*.acer.europa.eu,Agency for the Cooperation of Energy Regulators (ACER),acer.europa.eu,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,badd457ce3875070ab28ce5df9c6fc4a,432b93a42dabc84d628aec4783c89ede49fd96b07547d5dbfc160ece38ce63f6,ctls,acer.europa.eu,443,https://acer.europa.eu:443,https,nginx,text/html,GET,193.189.171.12,/,1494302000,193.189.171.12,3208,False,,jQuery,True,,,,,,,
acme.cedefop.europa.eu,,404,19,acme.cedefop.europa.eu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-10T06:43:54Z,2023-08-08T06:43:53Z,CN=acme.cedefop.europa.eu,acme.cedefop.europa.eu,,acme.cedefop.europa.eu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,164cbd39d977e5f842b72fc845e9f3ca,c52e181bddf93cc31befa842a18c2a330796e9a54cee8e72479f5662230d7cdb,ctls,acme.cedefop.europa.eu,443,https://acme.cedefop.europa.eu:443,https,,text/plain,GET,194.26.23.16,/,-138391155,194.26.23.16,2,False,,,,,,,,,,
ad.easa.europa.eu,EASA Safety Publications Tool,200,72540,ad.easa.europa.eu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-11-04T00:00:00Z,2023-12-05T23:59:59Z,"CN=*.easa.europa.eu, O=European Aviation Safety Agency, L=Köln, ST=Nordrhein-Westfalen, C=DE",*.easa.europa.eu,European Aviation Safety Agency,*.easa.europa.eu,"CN=Thawte RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",Thawte RSA CA 2018,DigiCert Inc,1314433e58713d8319aaf10ba33be5d4,a19ab9e7d3adb8e26944d7fab88202c0d298dcf8cbf40d61dcc6c0bb276a21d8,ctls,ad.easa.europa.eu,443,https://ad.easa.europa.eu:443,https,,text/html,GET,195.82.70.85,/,1788884192,195.82.70.85,1171,False,,PHP,True,,,,,,,
adept.easo.europa.eu,Sign In,200,26495,sts-out.euaa.europa.eu,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-07-27T11:19:25Z,2023-07-27T11:29:00Z,"CN=sts-in.euaa.europa.eu, O=European Union Agency for Asylum, L=Valletta, ST=Valletta, C=MT",sts-in.euaa.europa.eu,European Union Agency for Asylum,sts-out.euaa.europa.eu,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,40e56af4ccf78570729d7018f0017d48,a9f92059f25f064b6d1502e24033c3a9b03dac0109e63c23245196073972f65f,ctls,sts-out.euaa.europa.eu,443,https://adept.easo.europa.eu:443,https,Microsoft-HTTPAPI/2.0,text/html,GET,52.169.73.236,/,-1840324437,52.169.73.236,686,False,,Microsoft HTTPAPI:2.0,,,azure,True,https://sts-out.euaa.europa.eu/adfs/ls?wa=wsignin1.0&wtrealm=urn%3asharepoint%3aadepteuaa&wctx=https%3a%2f%2fadept.euaa.europa.eu%2f_layouts%2f15%2fAuthenticate.aspx%3fSource%3d%252F,,,
adept.euaa.europa.eu,Sign In,200,26495,sts-out.euaa.europa.eu,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-07-27T11:19:25Z,2023-07-27T11:29:00Z,"CN=sts-in.euaa.europa.eu, O=European Union Agency for Asylum, L=Valletta, ST=Valletta, C=MT",sts-in.euaa.europa.eu,European Union Agency for Asylum,sts-out.euaa.europa.eu,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,40e56af4ccf78570729d7018f0017d48,a9f92059f25f064b6d1502e24033c3a9b03dac0109e63c23245196073972f65f,ctls,sts-out.euaa.europa.eu,443,https://adept.euaa.europa.eu:443,https,Microsoft-HTTPAPI/2.0,text/html,GET,185.179.102.76,/,-1840324437,185.179.102.76,686,False,,Microsoft HTTPAPI:2.0,,,,,https://sts-out.euaa.europa.eu/adfs/ls?wa=wsignin1.0&wtrealm=urn%3asharepoint%3aadepteuaa&wctx=https%3a%2f%2fadept.euaa.europa.eu%2f_layouts%2f15%2fAuthenticate.aspx%3fSource%3d%252F,,,
adfs.cepol.europa.eu,IIS Windows Server,200,701,,,,,,,,,,,,,,,,,,,80,http://adfs.cepol.europa.eu:80,http,Microsoft-IIS/8.5,text/html,GET,193.68.54.228,/,1631801191,193.68.54.228,32,False,,Windows Server,,,,,,,,
adfs.consilium.europa.eu,,404,,adfs.consilium.europa.eu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-12T00:00:00Z,2024-02-12T23:59:59Z,"CN=adfs.consilium.europa.eu, O=Council of the European Union, L=Bruxelles, C=BE",adfs.consilium.europa.eu,Council of the European Union,enterpriseregistration.trn.consilium.europa.eu,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,d627dd640344666ec203949881584389,f0cdaa8d97cf9a52a2e01f334cf1ebb1b0a2120b4e8919b3decc7b62c208b841,ctls,adfs.consilium.europa.eu,443,https://adfs.consilium.europa.eu:443,https,,,GET,170.255.255.195,/,-1840324437,170.255.255.195,1,False,,,,,,,,,,
adfs.csirt.enisa.europa.eu,IIS Windows Server,200,703,adfs.csirt.enisa.europa.eu,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-12T09:40:15Z,2024-01-12T09:40:15Z,CN=adfs.csirt.enisa.europa.eu,adfs.csirt.enisa.europa.eu,,adfs.csirt.enisa.europa.eu,"CN=HARICA DV TLS RSA, O=Hellenic Academic and Research Institutions CA, C=GR",HARICA DV TLS RSA,Hellenic Academic and Research Institutions CA,fb30f53dd611bf65dce682bcfefd4530,d32c7f2c6abf099cbd7ce9a1f291c0f3c5ca47910ee15dcbcc90e9faccbe3f27,ctls,adfs.csirt.enisa.europa.eu,443,https://adfs.csirt.enisa.europa.eu:443,https,Microsoft-IIS/10.0,text/html,GET,139.91.221.55,/,1631801191,139.91.221.55,32,False,,Windows Server,,,,,,,,
adfs.echa.europa.eu,Not Found,404,315,adfs.echa.europa.eu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-11-14T08:47:41Z,2023-11-14T08:47:41Z,"CN=*.echa.europa.eu, O=European Chemicals Agency, L=HELSINKI, C=FI",*.echa.europa.eu,European Chemicals Agency,echa.europa.eu,"CN=Telia Server CA v3, O=Telia Finland Oyj, C=FI",Telia Server CA v3,Telia Finland Oyj,8d531d9fe956169a6672a1217e32219c,86b5756e2248b77f8d59b12272c709668441646be02daab8fa165029d68109ce,ctls,adfs.echa.europa.eu,443,https://adfs.echa.europa.eu:443,https,Microsoft-HTTPAPI/2.0,text/html,GET,194.187.232.216,/,225052475,194.187.232.216,7,False,,Microsoft HTTPAPI:2.0,True,,,,,,,
adfsdev.echa.europa.eu,Not Found,404,315,adfsdev.echa.europa.eu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-11-14T08:47:41Z,2023-11-14T08:47:41Z,"CN=*.echa.europa.eu, O=European Chemicals Agency, L=HELSINKI, C=FI",*.echa.europa.eu,European Chemicals Agency,echa.europa.eu,"CN=Telia Server CA v3, O=Telia Finland Oyj, C=FI",Telia Server CA v3,Telia Finland Oyj,8d531d9fe956169a6672a1217e32219c,86b5756e2248b77f8d59b12272c709668441646be02daab8fa165029d68109ce,ctls,adfsdev.echa.europa.eu,443,https://adfsdev.echa.europa.eu:443,https,Microsoft-HTTPAPI/2.0,text/html,GET,194.187.232.169,/,225052475,194.187.232.169,7,False,,Microsoft HTTPAPI:2.0,True,,,,,,,
