new,host,a,soa,status_code,cdn,cdn-name,cname,mx,aaaa,ns,has_internal_ips,internal_ips,txt,caa
[x],0zyxwvuts.m2m.telefonica.de,89.163.234.212,"ns1.telefonica.de, hostmaster.telefonica.de",NOERROR,,,,,,"ns2.telefonica.de, ns3.telefonica.de, ns1.telefonica.de",,,,
[x],155-9-173-22.m2m.telefonica.de,89.163.234.212,"ns1.telefonica.de, hostmaster.telefonica.de",NOERROR,,,,,,,,,,
[x],155-9-208-48.m2m.telefonica.de,89.163.234.212,"ns1.telefonica.de, hostmaster.telefonica.de",NOERROR,,,,,,,,,,
[x],155-9-208-55.m2m.telefonica.de,89.163.234.212,"ns1.telefonica.de, hostmaster.telefonica.de",NOERROR,,,,,,,,,,
[x],155-9-52-24.m2m.telefonica.de,89.163.234.212,"ns1.telefonica.de, hostmaster.telefonica.de",NOERROR,,,,,,,,,,
[x],155-9-56-38.m2m.telefonica.de,89.163.234.212,"ns1.telefonica.de, hostmaster.telefonica.de",NOERROR,,,,,,,,,,
[x],17-121-113-43.m2m.telefonica.de,89.163.234.212,"ns1.telefonica.de, hostmaster.telefonica.de",NOERROR,,,,,,,,,,
[x],17-121-115-3.m2m.telefonica.de,89.163.234.212,"ns1.telefonica.de, hostmaster.telefonica.de",NOERROR,,,,,,"ns3.telefonica.de, ns1.telefonica.de, ns2.telefonica.de",,,,
[x],17-121-115-77.m2m.telefonica.de,89.163.234.212,"ns1.telefonica.de, hostmaster.telefonica.de",NOERROR,,,,,,,,,,
[x],17-121-116-73.m2m.telefonica.de,89.163.234.212,"ns1.telefonica.de, hostmaster.telefonica.de",NOERROR,,,,,,,,,,
[x],17-121-117-75.m2m.telefonica.de,89.163.234.212,"ns1.telefonica.de, hostmaster.telefonica.de",NOERROR,,,,,,,,,,
[x],17-121-119-25.m2m.telefonica.de,89.163.234.212,"ns1.telefonica.de, hostmaster.telefonica.de",NOERROR,,,,,,,,,,
[x],17-121-120-78.m2m.telefonica.de,89.163.234.212,"ns1.telefonica.de, hostmaster.telefonica.de",NOERROR,,,,,,,,,,
[x],17-121-122-7.m2m.telefonica.de,89.163.234.212,"ns1.telefonica.de, hostmaster.telefonica.de",NOERROR,,,,,,,,,,
[x],17-121-125-50.m2m.telefonica.de,89.163.234.212,"ns1.telefonica.de, hostmaster.telefonica.de",NOERROR,,,,,,,,,,
[x],17-121-125-58.m2m.telefonica.de,89.163.234.212,"ns1.telefonica.de, hostmaster.telefonica.de",NOERROR,,,,,,,,,,
[x],17-121-126-93.aurasa.telefonica.de,51.124.56.186,"ns1-06.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,True,azure,,,,,,,,
[x],17-121-127-33.m2m.telefonica.de,,"ns1.telefonica.de, hostmaster.telefonica.de",NOERROR,,,,,,,,,,
[x],17-58-96-84.m2m.telefonica.de,89.163.234.212,"ns1.telefonica.de, hostmaster.telefonica.de",NOERROR,,,,,,,,,,
