input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn_name,final_url,cdn
101-ws.infogram.com,The page you are looking for does not exist. - Infogram,404,470634,101-ws.infogram.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-05-23T00:00:00Z,2024-06-20T23:59:59Z,CN=infogram.com,infogram.com,*.jifo.co,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,31485c241aa8583ece020bad21806ab6,265002322f2a5ea2878a0e30c8900ae07077ed284f5673bc76a7b5658362eeac,True,ctls,101-ws.infogram.com,443,https://101-ws.infogram.com:443,https,nginx,text/html,GET,13.248.197.75,/,699186729,76.223.83.205,Nginx,4541,False,,,
17-121-123-54.infogram.com,The page you are looking for does not exist. - Infogram,404,470632,17-121-123-54.infogram.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-05-23T00:00:00Z,2024-06-20T23:59:59Z,CN=infogram.com,infogram.com,*.jifo.co,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,31485c241aa8583ece020bad21806ab6,265002322f2a5ea2878a0e30c8900ae07077ed284f5673bc76a7b5658362eeac,True,ctls,17-121-123-54.infogram.com,443,https://17-121-123-54.infogram.com:443,https,nginx,text/html,GET,52.51.49.75,/,-1826019344,52.30.111.238,Nginx,4541,False,,,
6dhl.infogram.com,The page you are looking for does not exist. - Infogram,404,470634,6dhl.infogram.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-05-23T00:00:00Z,2024-06-20T23:59:59Z,CN=infogram.com,infogram.com,*.jifo.co,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,31485c241aa8583ece020bad21806ab6,265002322f2a5ea2878a0e30c8900ae07077ed284f5673bc76a7b5658362eeac,True,ctls,6dhl.infogram.com,443,https://6dhl.infogram.com:443,https,nginx,text/html,GET,99.80.200.215,/,-1032136232,52.30.111.238,Nginx,4541,False,,,
coachinstitute2.infogram.com,The page you are looking for does not exist. - Infogram,404,470632,coachinstitute2.infogram.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-05-23T00:00:00Z,2024-06-20T23:59:59Z,CN=infogram.com,infogram.com,*.jifo.co,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,31485c241aa8583ece020bad21806ab6,265002322f2a5ea2878a0e30c8900ae07077ed284f5673bc76a7b5658362eeac,True,ctls,coachinstitute2.infogram.com,443,https://coachinstitute2.infogram.com:443,https,nginx,text/html,GET,99.80.200.215,/,-1309599885,52.51.49.75,Nginx,4541,False,,,
crmbuilds.infogram.com,The page you are looking for does not exist. - Infogram,404,470636,crmbuilds.infogram.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-05-23T00:00:00Z,2024-06-20T23:59:59Z,CN=infogram.com,infogram.com,*.jifo.co,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,31485c241aa8583ece020bad21806ab6,265002322f2a5ea2878a0e30c8900ae07077ed284f5673bc76a7b5658362eeac,True,ctls,crmbuilds.infogram.com,443,https://crmbuilds.infogram.com:443,https,nginx,text/html,GET,99.80.200.215,/,-497469458,52.30.111.238,Nginx,4541,False,,,
deals.infogram.com,Infogram,200,7786,deals.infogram.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-05-23T00:00:00Z,2024-06-20T23:59:59Z,CN=infogram.com,infogram.com,*.jifo.co,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,31485c241aa8583ece020bad21806ab6,265002322f2a5ea2878a0e30c8900ae07077ed284f5673bc76a7b5658362eeac,True,ctls,deals.infogram.com,443,https://deals.infogram.com:443,https,nginx,text/html,GET,52.30.111.238,/,-1434839185,52.51.49.75,Webflow,11,False,,,
deloit.infogram.com,The page you are looking for does not exist. - Infogram,404,470632,deloit.infogram.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-05-23T00:00:00Z,2024-06-20T23:59:59Z,CN=infogram.com,infogram.com,*.jifo.co,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,31485c241aa8583ece020bad21806ab6,265002322f2a5ea2878a0e30c8900ae07077ed284f5673bc76a7b5658362eeac,True,ctls,deloit.infogram.com,443,https://deloit.infogram.com:443,https,nginx,text/html,GET,52.30.111.238,/,-880089097,99.80.200.215,Nginx,4541,False,,,
dev.crm.infogram.com,The page you are looking for does not exist. - Infogram,404,470636,dev.crm.infogram.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-05-23T00:00:00Z,2024-06-20T23:59:59Z,CN=infogram.com,infogram.com,*.jifo.co,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,31485c241aa8583ece020bad21806ab6,265002322f2a5ea2878a0e30c8900ae07077ed284f5673bc76a7b5658362eeac,True,ctls,dev.crm.infogram.com,443,https://dev.crm.infogram.com:443,https,nginx,text/html,GET,99.80.200.215,/,-78858928,52.30.111.238,Nginx,4541,False,,,
e.infogram.com,"Create Infographics, Reports and Maps - Infogram",200,101439,infogram.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-05-23T00:00:00Z,2024-06-20T23:59:59Z,CN=infogram.com,infogram.com,*.jifo.co,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,31485c241aa8583ece020bad21806ab6,265002322f2a5ea2878a0e30c8900ae07077ed284f5673bc76a7b5658362eeac,True,ctls,infogram.com,443,https://e.infogram.com:443,https,nginx,text/html,GET,108.138.7.60,/,-1865020458,108.138.7.90,Nginx,425,False,cloudfront,https://infogram.com/,True
e2e-test-izwb.infogram.com,The page you are looking for does not exist. - Infogram,404,470636,e2e-test-izwb.infogram.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-05-23T00:00:00Z,2024-06-20T23:59:59Z,CN=infogram.com,infogram.com,*.jifo.co,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,31485c241aa8583ece020bad21806ab6,265002322f2a5ea2878a0e30c8900ae07077ed284f5673bc76a7b5658362eeac,True,ctls,e2e-test-izwb.infogram.com,443,https://e2e-test-izwb.infogram.com:443,https,nginx,text/html,GET,99.80.200.215,/,-150571691,52.51.49.75,Nginx,4541,False,,,
edgehowto.infogram.com,The page you are looking for does not exist. - Infogram,404,470634,edgehowto.infogram.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-05-23T00:00:00Z,2024-06-20T23:59:59Z,CN=infogram.com,infogram.com,*.jifo.co,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,31485c241aa8583ece020bad21806ab6,265002322f2a5ea2878a0e30c8900ae07077ed284f5673bc76a7b5658362eeac,True,ctls,edgehowto.infogram.com,443,https://edgehowto.infogram.com:443,https,nginx,text/html,GET,52.51.49.75,/,-220189108,99.80.200.215,Nginx,4541,False,,,
engineering-mail85.infogram.com,The page you are looking for does not exist. - Infogram,404,470634,engineering-mail85.infogram.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-05-23T00:00:00Z,2024-06-20T23:59:59Z,CN=infogram.com,infogram.com,*.jifo.co,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,31485c241aa8583ece020bad21806ab6,265002322f2a5ea2878a0e30c8900ae07077ed284f5673bc76a7b5658362eeac,True,ctls,engineering-mail85.infogram.com,443,https://engineering-mail85.infogram.com:443,https,nginx,text/html,GET,52.51.49.75,/,760572094,52.30.111.238,Nginx,4541,False,,,
errorassetsmetalbclients.infogram.com,The page you are looking for does not exist. - Infogram,404,470634,errorassetsmetalbclients.infogram.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-05-23T00:00:00Z,2024-06-20T23:59:59Z,CN=infogram.com,infogram.com,*.jifo.co,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,31485c241aa8583ece020bad21806ab6,265002322f2a5ea2878a0e30c8900ae07077ed284f5673bc76a7b5658362eeac,True,ctls,errorassetsmetalbclients.infogram.com,443,https://errorassetsmetalbclients.infogram.com:443,https,nginx,text/html,GET,99.80.200.215,/,-245742655,52.30.111.238,Nginx,4541,False,,,
fod224.infogram.com,The page you are looking for does not exist. - Infogram,404,470636,fod224.infogram.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-05-23T00:00:00Z,2024-06-20T23:59:59Z,CN=infogram.com,infogram.com,*.jifo.co,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,31485c241aa8583ece020bad21806ab6,265002322f2a5ea2878a0e30c8900ae07077ed284f5673bc76a7b5658362eeac,True,ctls,fod224.infogram.com,443,https://fod224.infogram.com:443,https,nginx,text/html,GET,99.80.200.215,/,-365670694,52.30.111.238,Nginx,4541,False,,,
gov19.infogram.com,The page you are looking for does not exist. - Infogram,404,470634,gov19.infogram.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-05-23T00:00:00Z,2024-06-20T23:59:59Z,CN=infogram.com,infogram.com,*.jifo.co,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,31485c241aa8583ece020bad21806ab6,265002322f2a5ea2878a0e30c8900ae07077ed284f5673bc76a7b5658362eeac,True,ctls,gov19.infogram.com,443,https://gov19.infogram.com:443,https,nginx,text/html,GET,52.30.111.238,/,1180717804,52.51.49.75,Nginx,4541,False,,,
gpwhitelist.infogram.com,The page you are looking for does not exist. - Infogram,404,470638,gpwhitelist.infogram.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-05-23T00:00:00Z,2024-06-20T23:59:59Z,CN=infogram.com,infogram.com,*.jifo.co,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,31485c241aa8583ece020bad21806ab6,265002322f2a5ea2878a0e30c8900ae07077ed284f5673bc76a7b5658362eeac,True,ctls,gpwhitelist.infogram.com,443,https://gpwhitelist.infogram.com:443,https,nginx,text/html,GET,99.80.200.215,/,-1479758543,52.51.49.75,Nginx,4541,False,,,
