input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_subject_org_,tls_mismatched,final_url
2-intuit.preview.trustpilot.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://2-intuit.preview.trustpilot.com:80,http,CloudFront,text/html,GET,18.66.122.83,/,-767925918,18.66.122.119,Amazon Web Services,20,False,True,,,
2ecommplugins-mailchimpfeed.business-preview.trustpilot.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://2ecommplugins-mailchimpfeed.business-preview.trustpilot.com:80,http,CloudFront,text/html,GET,18.66.122.115,/,-1277767315,18.66.122.122,Amazon Web Services,20,False,True,,,
2tty-mailchimpfeed.business-preview.trustpilot.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://2tty-mailchimpfeed.business-preview.trustpilot.com:80,http,CloudFront,text/html,GET,18.66.122.115,/,-632528900,18.66.122.81,Amazon Web Services,20,False,True,,,
76-2-8.preview.trustpilot.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://76-2-8.preview.trustpilot.com:80,http,CloudFront,text/html,GET,18.66.122.107,/,-422209237,18.66.122.17,Amazon Web Services,20,False,True,,,
advertising.trustpilot.com,Trustpilot | Free Demo,200,171620,advertising.trustpilot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-07T05:07:09Z,2023-10-05T05:07:08Z,CN=advertising.trustpilot.com,advertising.trustpilot.com,advertising.trustpilot.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,627f1c771e69a2a0c904bf0d15f419c4,40d266b827ad8963939edcdf42aef39d44808e72bc708b70fd21acb40f4c32a3,,ctls,advertising.trustpilot.com,cloudflare,443,https://advertising.trustpilot.com:443,https,cloudflare,text/html,GET,104.18.27.189,/,1810476518,2606:4700::6812:1bbd,YouTube,1916,False,True,,,
afssupporttool.trustpilot.com,AFS Support Tool,200,6398,afssupporttool.trustpilot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-02T00:00:00Z,2024-03-02T23:59:59Z,CN=*.trustpilot.com,*.trustpilot.com,trustpilot.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8409d55a39986d8dda6c5166360b1d48,bbe6d8ee6e19d289f4b955e4db1ecc54c36c145e520f692b1d0af386d0126687,True,ctls,afssupporttool.trustpilot.com,cloudfront,443,https://afssupporttool.trustpilot.com:443,https,AmazonS3,text/html,GET,13.225.78.77,/,-1081050102,13.225.78.70,Amazon Web Services,204,False,True,,,
alphaeumeet-clients.business-preview.trustpilot.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://alphaeumeet-clients.business-preview.trustpilot.com:80,http,CloudFront,text/html,GET,18.66.122.115,/,828970385,18.66.122.81,Amazon Web Services,20,False,True,,,
am.trustpilot.com,Trustpilot Reviews: Experience the power of customer reviews,200,212757,www.trustpilot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-02T00:00:00Z,2024-03-02T23:59:59Z,CN=*.trustpilot.com,*.trustpilot.com,trustpilot.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8409d55a39986d8dda6c5166360b1d48,bbe6d8ee6e19d289f4b955e4db1ecc54c36c145e520f692b1d0af386d0126687,True,ctls,www.trustpilot.com,,443,https://am.trustpilot.com:443,https,,text/html,GET,52.17.39.33,/,-1383922597,52.16.81.76,HSTS,36,False,,,,https://www.trustpilot.com/
api-tokyortltours-qa.business-preview.trustpilot.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://api-tokyortltours-qa.business-preview.trustpilot.com:80,http,CloudFront,text/html,GET,18.66.122.122,/,-1054925145,18.66.122.107,Amazon Web Services,20,False,True,,,
api.trustpilot.com,,404,13,api.trustpilot.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-11-09T00:00:00Z,2023-12-10T23:59:59Z,"CN=api.trustpilot.com, O=Trustpilot A/S, L=København K, C=DK",api.trustpilot.com,invitations-api.trustpilot.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,607159a28ab4083da7cbde11b989272a,2d39e11ff8a1c707920556f90c13999814da959ee1a6d35ab09b334d91196d9f,,ctls,api.trustpilot.com,,443,https://api.trustpilot.com:443,https,,text/plain,GET,34.241.162.42,/,285775083,34.241.162.42,,1,False,,Trustpilot A/S,,
apidoc.trustpilot.com,ERROR: The request could not be satisfied,403,919,apidoc.trustpilot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-02T00:00:00Z,2024-03-02T23:59:59Z,CN=*.trustpilot.com,*.trustpilot.com,trustpilot.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8409d55a39986d8dda6c5166360b1d48,bbe6d8ee6e19d289f4b955e4db1ecc54c36c145e520f692b1d0af386d0126687,True,ctls,apidoc.trustpilot.com,cloudfront,443,https://apidoc.trustpilot.com:443,https,CloudFront,text/html,GET,13.225.78.50,/,1805942460,13.225.78.106,Amazon Web Services,20,False,True,,,
apps.trustpilot.com,Trustpilot Partner Program - Trustpilot Business,200,294755,business.trustpilot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-02T00:00:00Z,2024-03-02T23:59:59Z,CN=*.business.trustpilot.com,*.business.trustpilot.com,business.trustpilot.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,70d00a9c6fa289d9232ca0d43997a042,bc3404f6c7cadbde2c58b7a65cff7df27c87f73ed8fc819c5c2cd44e22056eee,True,ctls,business.trustpilot.com,,443,https://apps.trustpilot.com:443,https,,text/html,GET,52.17.39.33,/,-1066623440,52.16.81.76,HSTS,849,False,,,,https://business.trustpilot.com/partners
ar.trustpilot.com,Trustpilot Reviews: Experience the power of customer reviews,200,212757,www.trustpilot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-02T00:00:00Z,2024-03-02T23:59:59Z,CN=*.trustpilot.com,*.trustpilot.com,trustpilot.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8409d55a39986d8dda6c5166360b1d48,bbe6d8ee6e19d289f4b955e4db1ecc54c36c145e520f692b1d0af386d0126687,True,ctls,www.trustpilot.com,,443,https://ar.trustpilot.com:443,https,,text/html,GET,52.16.81.76,/,-1383922597,52.17.39.33,HSTS,36,False,,,,https://www.trustpilot.com/
assainformatica.business-preview.trustpilot.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://assainformatica.business-preview.trustpilot.com:80,http,CloudFront,text/html,GET,18.66.122.81,/,1533931078,18.66.122.122,Amazon Web Services,20,False,True,,,
at.business.trustpilot.com,Trustpilot Business: Sammeln Sie Kundenbewertungen zu Service & Produkten,200,326753,at.business.trustpilot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-02T00:00:00Z,2024-03-02T23:59:59Z,CN=*.business.trustpilot.com,*.business.trustpilot.com,business.trustpilot.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,70d00a9c6fa289d9232ca0d43997a042,bc3404f6c7cadbde2c58b7a65cff7df27c87f73ed8fc819c5c2cd44e22056eee,True,ctls,at.business.trustpilot.com,cloudfront,443,https://at.business.trustpilot.com:443,https,,text/html,GET,13.32.99.107,/,909536006,13.32.99.48,HSTS,858,False,True,,,
