new,host,a,cname,soa,status_code,ns,aaaa,txt,cdn,cdn-name,caa,mx
[x],65-full-movie-online.statuspage.io,,elb-status-us.statuspage.io,"ns-951.awsdns-54.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],65moviefreehdtaiwan4k1.statuspage.io,18.246.31.131,elb-status-us.statuspage.io,"ns-951.awsdns-54.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],65movieswatchonline1.statuspage.io,18.234.32.149,elb-status-us.statuspage.io,"ns-951.awsdns-54.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],6xkj1llpp5j6.statuspage.io,,elb-status-us.statuspage.io,"ns-951.awsdns-54.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],8k-voir-le-chat-potte-2-streaming-vf.statuspage.io,18.234.32.149,elb-status-us.statuspage.io,"ns-951.awsdns-54.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],acento.statuspage.io,52.215.192.133,elb-status-us.statuspage.io,"ns-951.awsdns-54.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],acuiltyconscience4k.statuspage.io,52.215.192.132,elb-status-us.statuspage.io,"ns-951.awsdns-54.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],acuiltyconscience4kmoviesfree1.statuspage.io,52.215.192.131,elb-status-us.statuspage.io,"ns-951.awsdns-54.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],acuiltyconsciencemovieshd.statuspage.io,52.215.192.131,elb-status-us.statuspage.io,"ns-951.awsdns-54.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],advertscience.statuspage.io,52.215.192.133,elb-status-us.statuspage.io,"ns-951.awsdns-54.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1407.awsdns-47.org, ns-1560.awsdns-03.co.uk, ns-209.awsdns-26.com, ns-951.awsdns-54.net",,,,,,
[x],alaskaairlinesticketreservationnumber20.statuspage.io,18.234.32.149,elb-status-us.statuspage.io,"ns-951.awsdns-54.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
