input,title,status_code,content_length,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,final_url
api.replyify.com,,200,65,,api.replyify.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-11T23:07:45Z,2023-08-09T23:07:44Z,CN=api.replyify.com,api.replyify.com,api.replyify.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,7f9599efd90d86dcef55c6d5e43049b4,51deff3c28cee45863acc6d93fa7834b6a4a3caf7e4877efc11601ffd69997fa,ctls,api.replyify.com,,443,https://api.replyify.com:443,https,gunicorn,application/json,GET,54.237.159.171,/,-806894989,52.21.227.162,gunicorn,1,False,,
app.replyify.com,Replyify,200,22201,sxt.cdn.skype.com,app.replyify.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-11T03:46:05Z,2023-08-09T03:46:04Z,CN=app.replyify.com,app.replyify.com,app.replyify.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,0ad883c1576088736fd44aaed70e9af7,2d08d8e578e139f3a1d1122a052cbb772532427766ebfb277dc80581d19505d3,ctls,app.replyify.com,,443,https://app.replyify.com:443,https,gunicorn,text/html,GET,3.226.182.14,/,-1469537983,54.237.159.171,gunicorn,509,False,,
blog.replyify.com,Replyify Cold Email Automation and Prospecting Blog,200,54886,,blog.replyify.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-06-15T11:53:59Z,2023-09-13T11:53:58Z,CN=blog.replyify.com,blog.replyify.com,blog.replyify.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,058c5f4743498473df29f4cdf0550def,64ab6136ed23c06c8828ff721581a4d6a63e88e9513e1d7cde31cc9416aed72a,ctls,blog.replyify.com,,443,https://blog.replyify.com:443,https,Apache,text/html,GET,54.157.58.162,/,-1840324437,54.157.58.162,WordPress:4.9.23,451,False,,
help.replyify.com,Replyify Help Center,200,46967,https://uploads.intercomcdn.com,help.replyify.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-20T00:00:00Z,2024-05-18T23:59:59Z,CN=help.replyify.com,help.replyify.com,help.replyify.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,40acf25ec14e07b7a16f886437e4f44c,b81643a4a56bcf83166ae68921709835107e2dc4df3dcbe9f01bf7cf7c348113,ctls,help.replyify.com,cloudfront,443,https://help.replyify.com:443,https,nginx,text/html,GET,18.66.97.19,/,-1840324437,18.66.97.119,Nginx,26,False,True,https://help.replyify.com/en/
links.replyify.com,404 Not Found,404,162,,links.replyify.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2023-09-16T23:59:59Z,CN=links.replyify.com,links.replyify.com,links.sellhack.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,84ec01bbf4a8b03ffe2471bfbff30717,09d7d429fef85d6eb982a73dcf6dabcc7389d2fcf3fa2a2b517d7d61b58bdf9e,ctls,links.replyify.com,cloudfront,443,https://links.replyify.com:443,https,nginx,text/html,GET,18.66.112.96,/,190856733,2600:9000:223f:5400:1d:e34d:58c0:93a1,Nginx,8,False,True,
newblog.replyify.com,Replyify Cold Email Automation Blog for Sales – Cold Email Automation,200,26749,,blog.replyify.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-06-15T11:53:59Z,2023-09-13T11:53:58Z,CN=blog.replyify.com,blog.replyify.com,blog.replyify.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,058c5f4743498473df29f4cdf0550def,64ab6136ed23c06c8828ff721581a4d6a63e88e9513e1d7cde31cc9416aed72a,ctls,blog.replyify.com,,443,https://newblog.replyify.com:443,https,Apache,text/html,GET,54.157.58.162,/,-1840324437,54.157.58.162,WordPress:4.9.23,212,False,,https://blog.replyify.com/wp-signup.php?new=newblog.replyify.com
replyify.com,Replyify,200,21943,,replyify.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-26T00:00:00Z,2024-04-23T23:59:59Z,CN=replyify.com,replyify.com,www.replyify.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8c4d060b7015d72d57e97d21b78f9c9e,8e231379b0801a2e6adb9ff12b56facbdd74e586222e425cb6d370a72768dccc,ctls,replyify.com,cloudfront,443,https://replyify.com:443,https,AmazonS3,text/html,GET,52.222.214.58,/,-388657745,2600:9000:223d:4000:7:8799:d100:93a1,HSTS,420,False,True,
staging.track.replyify.com,404 Not Found,404,153,,staging.track.replyify.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-25T23:22:28Z,2023-08-23T23:22:27Z,CN=staging.track.replyify.com,staging.track.replyify.com,track.replyify.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,71cb16ace17207397edb7cd5271ffe01,dcecdcdb4137a2032953006da6677eaf30e0aa5dc6aec32709c4906b1de2905d,ctls,staging.track.replyify.com,,443,https://staging.track.replyify.com:443,https,nginx/1.20.2,text/html,GET,44.202.36.172,/,163078286,44.202.36.172,Nginx:1.20.2,8,False,,
track.replyify.com,404 Not Found,404,153,,track.replyify.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-25T23:22:28Z,2023-08-23T23:22:27Z,CN=staging.track.replyify.com,staging.track.replyify.com,track.replyify.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,71cb16ace17207397edb7cd5271ffe01,dcecdcdb4137a2032953006da6677eaf30e0aa5dc6aec32709c4906b1de2905d,ctls,track.replyify.com,,443,https://track.replyify.com:443,https,nginx/1.20.2,text/html,GET,44.202.36.172,/,163078286,44.202.36.172,Nginx:1.20.2,8,False,,
www.replyify.com,,200,115,URL=https://replyify.com/,www.replyify.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-26T00:00:00Z,2024-04-23T23:59:59Z,CN=replyify.com,replyify.com,www.replyify.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8c4d060b7015d72d57e97d21b78f9c9e,8e231379b0801a2e6adb9ff12b56facbdd74e586222e425cb6d370a72768dccc,ctls,www.replyify.com,cloudfront,443,https://www.replyify.com:443,https,AmazonS3,text/html,GET,65.9.66.103,/,877629561,65.9.66.6,Amazon Web Services,7,False,True,
