input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,tech_,cdn_name,cdn,final_url,csp_domains_
0-boot-security-saml-demo-okta-berliner-stadtmission.airbnb.app,,404,67,0-boot-security-saml-demo-okta-berliner-stadtmission.airbnb.app,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,,2023-03-24T10:15:07Z,2023-06-22T10:15:06Z,CN=*.airbnb.app,*.airbnb.app,,*.airbnb.app,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,62b0e1583e9c835a19fb2f8a6253b93a,d9b469d96124bd5e201fc43620afc689934688326f8138f226700c307f3831f4,True,ctls,0-boot-security-saml-demo-okta-berliner-stadtmission.airbnb.app,443,https://0-boot-security-saml-demo-okta-berliner-stadtmission.airbnb.app:443,https,Vercel,text/plain,GET,76.76.21.164,/,1307429962,76.76.21.22,4,False,Vercel,,,,
0-node-express-okta-idpnode-admin.airbnb.app,,404,67,0-node-express-okta-idpnode-admin.airbnb.app,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,,2023-03-24T10:15:07Z,2023-06-22T10:15:06Z,CN=*.airbnb.app,*.airbnb.app,,*.airbnb.app,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,62b0e1583e9c835a19fb2f8a6253b93a,d9b469d96124bd5e201fc43620afc689934688326f8138f226700c307f3831f4,True,ctls,0-node-express-okta-idpnode-admin.airbnb.app,443,https://0-node-express-okta-idpnode-admin.airbnb.app:443,https,Vercel,text/plain,GET,76.76.21.93,/,1307429962,76.76.21.9,4,False,Vercel,,,,
0-tlcovid19-private.secure.admin.airbnb.com,Sign in - Google Accounts,200,595040,accounts.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-24T12:01:17Z,2023-07-17T12:01:16Z,CN=accounts.google.com,accounts.google.com,,*.partner.android.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ffbd570980888cb257acebdb708a2d75,3596256e83356f09d6079b9630443622df53790c7165aeabb3be3476ce9e74db,True,ctls,accounts.google.com,80,http://0-tlcovid19-private.secure.admin.airbnb.com:80,http,ESF,text/html,GET,34.120.23.133,/,1401693536,2600:1901:0:7a6a::,46,False,HTTP/3,google,True,https://accounts.google.com/v3/signin/identifier?opparams=%253Fcred_ref%253Dtrue%2526hd%253Dairbedandbreakfast.com&dsh=S-1123102471%3A1684233105301330&client_id=1012551742179-08e23tpqsta8lmp6j7sctdllm1770mjj.apps.googleusercontent.com&code_challenge=ie7q0FVvxmkxbNfVgcuN8DdvfVHJiUe0BRELBd63kU0&code_challenge_method=S256&hd=airbedandbreakfast.com&o2v=2&redirect_uri=https%3A%2F%2Fiap.googleapis.com%2Fv1%2Foauth%2FclientIds%2F1012551742179-08e23tpqsta8lmp6j7sctdllm1770mjj.apps.googleusercontent.com%3AhandleRedirect&response_type=code&scope=openid+email&service=lso&state=AVinkEkEbdo3Ck5H7ggpGRWuUkeUq4yPaSPOAKR6G520Iog2smvO95-FmYXBW0p0V-_SngC15ZniLOePuovPo6__a5cMoc7dLPuv2ZplAmMuiIVQrR5gKfRNGWoWVoC5MnuVtGqzX7UL0fbiMJM77mYtLbD9sBb2n8-4cycZFb-bd2-fgUr8xmq4cSsYWPy7ZO3xbzgIWk2ovfHZMr8UEjZ2BZhvbctJyqrDtToG0mPfE6sH9LH2FmbblKpMWL2EwdsDPTP0kEjrlFI3O7czdR85VKQFGzHi1zXWCN4v2Vcng2yftLUAtK1eUyhcfQBi-oyBaE_gPAjTKUG4CqzctjyTKYng32iOEZaZQDS_QLNQ6NW3l4skzDoqIZBrASbkReeBQ14V8NLzlsk-VIiEZmfU5gHOZpXWY2-c1wqjfxVVkg3r0-2s2gTLh7v7qsHnJVZxXb0d8nbMfvbhbxaBWoVdfYt_nv0ozNtPXLltaB83lr_JBLTiGICqG6CV--L436tjXTnJatn1evdUHd9Rak4yviOqo9zPQAOrpcC-JfTEuXZBTBuyN15D65F6nLG5jjEfSA097Dxhdybesq4H6N27VnrshHpdc7BOLF-D-tpw4wYvmJdeE9Vr_nNoUe_odyStIkGxMnHgE_h31eZ4VQ73wa2skHFq8C51uxwlp-IFAc-RGD8R6iJYmx-QZe98Z2vkhkA8eyUjHucNc9bcSpkNYD6CKwgXeUZIsZKC1L9a1cAaifJDMyDCxOPb0lUJOzB380FrzcXW0KvQBMk7i1XKUWQpS5iFy03bZY4o2Fht1P2ZN_wtrsD2VLJ78xRFrOIXMkksSUaC7WRFIZNb4xb4JzZgBTzoMRdrTEJbxUhGWW1wZ7zflxut17ln4zBJDh7byduBJjXW382n2DtrhhiQfnJO4VOFLxlcU9fHMrLX-95hQJ5DU5zwkKeaYCkFZ2JtfRmlJKDR-C3BudjxXPw-uujbu_O9uvpxbP0f2vG3tBjMXG8eCDNle1FLfSAhNTnL-N4_ldfBkQUvrceQvjyt3HlNafqLxLqF_N6o1k5H4MJfJzXsMgiawqV5SRCLgyS4kClB4Ey-_0tJ7zjIL5ARQxzPXM3dZHKADU6oz8xE&flowName=GeneralOAuthFlow&continue=https%3A%2F%2Faccounts.google.com%2Fsignin%2Foauth%2Fconsent%3Fauthuser%3Dunknown%26part%3DAJi8hAOXJbqU9V4959ScEQQXou9xsb5riV1SAkX9pNwSGSOJBs0zNBoC7X5MClhyWZ9WwbuZpZbhwhmuV3TgXtJROto-4Q6T5z74ZMGFtajxWSGlA_jzFKpL7SW7HpE2Z-cAkSmlZ-gjxZbn6qWLWNuhghTQ55XOa3c8k8M2-WbkIt-nN9_9-W9FJoa8eQGCY4ohCMqTLoGeHodO-PDL2v6YCtoKFwgysJt7bYopIzgWBzhlXWb472fZReiESt4ol21nuTpFk3IevhYcehCzkzbQBX9OLm3Ld3CVR-4hlM_ctXitVJ-RYLMgz9u-HEv_NZ0Dpax7EQIMdFU0cbRQlm9b_LGVKm4kWhbY2WKBB5vWF2N9TL2VGh5uRX8yb4-lNS9vto_kLXSPiEmUju-XUDsXm3eASDay2xBvbBWz94FpvuQvueKJAZYg4AcRezU45yjsgp92furKsHzh_i63RUhXzEe6Z41GTA%26as%3DS-1123102471%253A1684233105301330%26client_id%3D1012551742179-08e23tpqsta8lmp6j7sctdllm1770mjj.apps.googleusercontent.com%23&app_domain=https%3A%2F%2Fiap.googleapis.com&rart=ANgoxccJwH8fRuXqO2uc-pwS23AYzFHDAi7sScrNPzSEnOZC1xojMCUPSUBRBgmAwyogMjzOuXICNWqoaMWW9B8vu3-YKpjGZQ,https://apis.google.com
0.next.airbnb.com,Invalid URL,400,209,0.next.airbnb.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2022-08-18T00:00:00Z,2023-08-18T23:59:59Z,"CN=*.airbnb.com, O=Airbnb\, Inc., L=San Francisco, ST=California, C=US",*.airbnb.com,"Airbnb, Inc.",cfcdn.media.muscache.com,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,d97fe9f41b03c4851daf3edb693ba435,7236681f796b4c963f93b2e339a4bfdfdfc7fd16fc5658ac5d500bca5119f4a7,True,ctls,0.next.airbnb.com,443,https://0.next.airbnb.com:443,https,AkamaiGHost,text/html,GET,104.126.37.162,/,1513880648,104.126.37.154,8,False,,,,,
005-coinbase-0-boot-security-saml-demo-okta-wreesmann.airbnb.app,,404,67,005-coinbase-0-boot-security-saml-demo-okta-wreesmann.airbnb.app,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,,2023-03-24T10:15:07Z,2023-06-22T10:15:06Z,CN=*.airbnb.app,*.airbnb.app,,*.airbnb.app,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,62b0e1583e9c835a19fb2f8a6253b93a,d9b469d96124bd5e201fc43620afc689934688326f8138f226700c307f3831f4,True,ctls,005-coinbase-0-boot-security-saml-demo-okta-wreesmann.airbnb.app,443,https://005-coinbase-0-boot-security-saml-demo-okta-wreesmann.airbnb.app:443,https,Vercel,text/plain,GET,76.76.21.123,/,1307429962,76.76.21.22,4,False,Vercel,,,,
005-coinbase.airbnb.app,,404,67,005-coinbase.airbnb.app,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,,2023-03-24T10:15:07Z,2023-06-22T10:15:06Z,CN=*.airbnb.app,*.airbnb.app,,*.airbnb.app,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,62b0e1583e9c835a19fb2f8a6253b93a,d9b469d96124bd5e201fc43620afc689934688326f8138f226700c307f3831f4,True,ctls,005-coinbase.airbnb.app,443,https://005-coinbase.airbnb.app:443,https,Vercel,text/plain,GET,76.76.21.241,/,1307429962,76.76.21.142,4,False,Vercel,,,,
0ms.optustvnow.next.airbnb.com,Invalid URL,400,209,,,,,,,,,,,,,,,,,,,,,80,http://0ms.optustvnow.next.airbnb.com:80,http,AkamaiGHost,text/html,GET,104.126.37.162,/,1442694244,104.126.37.154,8,False,,,,,
1-airstream-boot-security-saml-active-okta.airbnb.app,,404,67,1-airstream-boot-security-saml-active-okta.airbnb.app,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,,2023-03-24T10:15:07Z,2023-06-22T10:15:06Z,CN=*.airbnb.app,*.airbnb.app,,*.airbnb.app,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,62b0e1583e9c835a19fb2f8a6253b93a,d9b469d96124bd5e201fc43620afc689934688326f8138f226700c307f3831f4,True,ctls,1-airstream-boot-security-saml-active-okta.airbnb.app,443,https://1-airstream-boot-security-saml-active-okta.airbnb.app:443,https,Vercel,text/plain,GET,76.76.21.164,/,1307429962,76.76.21.123,4,False,Vercel,,,,
1-spring-boot-security-saml-active-okta-airbnb.appwww5f.airbnb.app,,404,67,,,,,,,,,,,,,,,,,,,,,80,http://1-spring-boot-security-saml-active-okta-airbnb.appwww5f.airbnb.app:80,http,Vercel,text/plain,GET,76.76.21.98,/,1307429962,76.76.21.164,4,False,Vercel,,,,
1-spring-boot-security-saml-active-okta-application.airbnb.app,,404,67,1-spring-boot-security-saml-active-okta-application.airbnb.app,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,,2023-03-24T10:15:07Z,2023-06-22T10:15:06Z,CN=*.airbnb.app,*.airbnb.app,,*.airbnb.app,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,62b0e1583e9c835a19fb2f8a6253b93a,d9b469d96124bd5e201fc43620afc689934688326f8138f226700c307f3831f4,True,ctls,1-spring-boot-security-saml-active-okta-application.airbnb.app,443,https://1-spring-boot-security-saml-active-okta-application.airbnb.app:443,https,Vercel,text/plain,GET,76.76.21.9,/,1307429962,76.76.21.164,4,False,Vercel,,,,
