new,host,a,soa,status_code,cname,aaaa,cdn,cdn-name,ns,txt,has_internal_ips,internal_ips,mx,caa
[x],2512337.airbnb.app,"76.76.21.123, 76.76.21.61","ns1.vercel-dns.com, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],admin2021web.airbnb.app,"76.76.21.98, 76.76.21.142","ns1.vercel-dns.com, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],api228.airbnb.app,"76.76.21.93, 76.76.21.164","ns1.vercel-dns.com, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],cdn.canary.airbnb.com,44.206.224.209,"dns-external-master.amazon.com, root.amazon.com",NOERROR,"orthrus.airbnb-aws.com, i-0197d51dbeeb6481a.inst.aws.us-east-1.prod.musta.ch, ec2-44-206-224-209.compute-1.amazonaws.com, i-08fa3def747e16227.inst.aws.us-east-1.prod.musta.ch, ec2-34-235-171-72.compute-1.amazonaws.com, i-0aca4e3a24f103a79.inst.aws.us-east-1.prod.musta.ch, ec2-18-206-40-130.compute-1.amazonaws.com, i-007edd9dfdcc8b344.inst.aws.us-east-1.prod.musta.ch, ec2-54-90-167-43.compute-1.amazonaws.com, i-0ec94fb46ee986e4f.inst.aws.us-east-1.prod.musta.ch, ec2-34-228-189-34.compute-1.amazonaws.com",,,,,,,,,
[x],data.canary.airbnb.com,54.242.98.155,"dns-external-master.amazon.com, root.amazon.com",NOERROR,"orthrus.airbnb-aws.com, i-0c478dc1ff433ce87.inst.aws.us-east-1.prod.musta.ch, ec2-54-242-98-155.compute-1.amazonaws.com, i-0b4153b0f5dd86e4b.inst.aws.us-east-1.prod.musta.ch, ec2-3-89-149-13.compute-1.amazonaws.com",,,,,,,,,
[x],extcct.airbnb.app,"76.76.21.9, 76.76.21.98","ns1.vercel-dns.com, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],internal-a17f.canary.airbnb.com,44.206.224.209,"dns-external-master.amazon.com, root.amazon.com",NOERROR,"orthrus.airbnb-aws.com, i-0197d51dbeeb6481a.inst.aws.us-east-1.prod.musta.ch, ec2-44-206-224-209.compute-1.amazonaws.com, i-0a95c7f51175fe8ad.inst.aws.us-east-1.prod.musta.ch, ec2-54-167-91-171.compute-1.amazonaws.com, i-02fc6d77b7a1c7fa8.inst.aws.us-east-1.prod.musta.ch, ec2-34-224-61-99.compute-1.amazonaws.com, i-0587b01980efdb3f9.inst.aws.us-east-1.prod.musta.ch, ec2-34-227-26-97.compute-1.amazonaws.com, i-08fa3def747e16227.inst.aws.us-east-1.prod.musta.ch, ec2-34-235-171-72.compute-1.amazonaws.com, i-0ec94fb46ee986e4f.inst.aws.us-east-1.prod.musta.ch, ec2-34-228-189-34.compute-1.amazonaws.com",,,,,,,,,
[x],ipv4-c003-del001-fibreair-isp.airbnb.app,"76.76.21.93, 76.76.21.22","ns1.vercel-dns.com, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],isvc.next.airbnb.com,"80.239.137.154, 62.115.252.50","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,"w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net",,,,,,,,,
[x],meta-umonitor-dca1.airbnb.app,"76.76.21.22, 76.76.21.9","ns1.vercel-dns.com, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],nellore.airbnb.app,,"ns1.vercel-dns.com, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],o27.email.airbnb.com,159.183.154.72,"dns1.p08.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],o32.email.airbnb.com,159.183.134.7,"dns1.p08.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],o34.email.airbnb.com,159.183.142.212,"dns1.p08.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],rtpe-uswest2-05.iac-dev.airbnb.com,172.30.20.110,"ns-1276.awsdns-31.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,True,172.30.20.110,,
[x],tuyensinh.airbnb.app,"76.76.21.142, 76.76.21.98","ns1.vercel-dns.com, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],vesninalj.airbnb.app,"76.76.21.61, 76.76.21.22","ns1.vercel-dns.com, hostmaster.nsone.net",NOERROR,,,,,,,,,,
