input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,csp_domains_,final_url,tls_expired
admin.bader.mod.uk,Just a moment...,403,7100,admin.bader.mod.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-24T00:00:00Z,2023-12-24T23:59:59Z,"CN=bader.mod.uk, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",bader.mod.uk,"Cloudflare, Inc.",*.bader.mod.uk,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",363ea6c354f47fde1c19227f10e2c3a1,5fbf6bdb6ace7b0d9f3f68f3f1840134ab2bdbb6ba9b780138d525b16d0b79aa,True,ctls,admin.bader.mod.uk,cloudflare,443,https://admin.bader.mod.uk:443,https,cloudflare,text/html,GET,104.18.21.53,/,-1391099796,2606:4700::6812:1535,HTTP/3,88,False,True,,,,
ads.ahe.mod.uk,,200,131,ads.ahe.mod.uk,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-19T10:17:47Z,2023-07-18T10:17:46Z,CN=ads.ahe.mod.uk,ads.ahe.mod.uk,,ads.ahe.mod.uk,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,4268345e3721e2398232e03e2bb5d797,896ce9a62792b744945e665646b615aaec410d4e758195d551c31bd7c85028c3,,ctls,ads.ahe.mod.uk,,443,https://ads.ahe.mod.uk:443,https,xxxxxxxx-xxxxx,text/html,GET,62.172.134.222,/,507756054,62.172.134.222,HSTS,4,False,,,https:,,
akxonline.defencegateway.mod.uk,Working...,200,4286,sso.defencegateway.mod.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-24T00:00:00Z,2023-12-24T23:59:59Z,"CN=defencegateway.mod.uk, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",defencegateway.mod.uk,"Cloudflare, Inc.",*.defencegateway.mod.uk,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ade585c94fcace13e36abf522273e48a,cecf7c1f04442e3f058a0c140a110a4c802d18bb61336d3626bed5dda4b8711b,True,ctls,sso.defencegateway.mod.uk,cloudflare,443,https://akxonline.defencegateway.mod.uk:443,https,cloudflare,text/html,GET,104.18.14.198,/,-1840324437,104.18.15.198,HSTS,1,False,True,,*.gov.uk,https://sso.defencegateway.mod.uk/adfs/ls?wa=wsignin1.0&wtrealm=https%3a%2f%2fakxonline.defencegateway.mod.uk%2f_trust%2f&wctx=https%3a%2f%2fakxonline.defencegateway.mod.uk%2f_layouts%2f15%2fAuthenticate.aspx%3fSource%3d%252F,
alumni.raf.mod.uk,Royal Air Force Galaxy,200,44937,alumni.raf.mod.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-30T11:06:37Z,2023-07-29T11:06:36Z,CN=alumni.raf.mod.uk,alumni.raf.mod.uk,,alumni.raf.mod.uk,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,1446684906ed2fc43453dd59824fdd3a,8c2512fe3acc3838338b50cf1ab178bf56d5c11cf8ef5adb8509f18b006c4385,,ctls,alumni.raf.mod.uk,cloudfront,80,http://alumni.raf.mod.uk:80,http,,text/html,GET,108.138.17.83,/,1920336038,108.138.17.113,React,7,False,True,,https://www.powr.io,https://alumni.raf.mod.uk/,
api-dev.royalnavy.mod.uk,,403,16,api-dev.royalnavy.mod.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-21T00:00:00Z,2023-12-21T23:59:59Z,"CN=royalnavy.mod.uk, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",royalnavy.mod.uk,"Cloudflare, Inc.",royalnavy.mod.uk,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9b2d678a376e30878eb1cf0ce956fd7b,84b15625f3783b00ab76033e749a52d928f05c30ab166f339083ac097024b122,True,ctls,api-dev.royalnavy.mod.uk,cloudflare,443,https://api-dev.royalnavy.mod.uk:443,https,cloudflare,text/plain,GET,104.18.17.76,/,1253481126,2606:4700::6812:104c,Cloudflare Bot Management,1,False,True,,,,
api-pre.defencegateway.mod.uk,403 - Forbidden: Access is denied.,403,1233,api-pre.defencegateway.mod.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-24T00:00:00Z,2023-12-24T23:59:59Z,"CN=defencegateway.mod.uk, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",defencegateway.mod.uk,"Cloudflare, Inc.",*.defencegateway.mod.uk,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ade585c94fcace13e36abf522273e48a,cecf7c1f04442e3f058a0c140a110a4c802d18bb61336d3626bed5dda4b8711b,True,ctls,api-pre.defencegateway.mod.uk,cloudflare,443,https://api-pre.defencegateway.mod.uk:443,https,cloudflare,text/html,GET,104.18.14.198,/,1631801191,104.18.15.198,Microsoft ASP.NET,30,False,True,,,,
api-uat.royalnavy.mod.uk,,403,16,api-uat.royalnavy.mod.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-21T00:00:00Z,2023-12-21T23:59:59Z,"CN=royalnavy.mod.uk, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",royalnavy.mod.uk,"Cloudflare, Inc.",royalnavy.mod.uk,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9b2d678a376e30878eb1cf0ce956fd7b,84b15625f3783b00ab76033e749a52d928f05c30ab166f339083ac097024b122,True,ctls,api-uat.royalnavy.mod.uk,cloudflare,443,https://api-uat.royalnavy.mod.uk:443,https,cloudflare,text/plain,GET,104.18.17.76,/,1253481126,2606:4700::6812:104c,Cloudflare Bot Management,1,False,True,,,,
api.ocp1.azure.dso.digital.mod.uk,404 Not Found,404,179,api.ocp1.azure.dso.digital.mod.uk,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-11-10T00:00:00Z,2023-11-10T23:59:59Z,CN=*.apps.ocp1.azure.dso.digital.mod.uk,*.apps.ocp1.azure.dso.digital.mod.uk,,apps.ocp1.azure.dso.digital.mod.uk,"CN=ZeroSSL RSA Domain Secure Site CA, O=ZeroSSL, C=AT",ZeroSSL RSA Domain Secure Site CA,ZeroSSL,28944e9614a23d4c02b450f8dd5e4691,f16ca7a5d3f998509937d6ed591b6696abcb8ef644959785f6e3db49e815a35e,True,ctls,api.ocp1.azure.dso.digital.mod.uk,,443,https://api.ocp1.azure.dso.digital.mod.uk:443,https,Microsoft-Azure-Application-Gateway/v2,text/html,GET,20.108.108.248,/,-1646985303,20.108.108.248,,8,False,,True,,,
api.ocp3.azure.dso.digital.mod.uk,404 Not Found,404,179,api.ocp3.azure.dso.digital.mod.uk,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-11-16T00:00:00Z,2023-11-16T23:59:59Z,CN=*.apps.ocp3.azure.dso.digital.mod.uk,*.apps.ocp3.azure.dso.digital.mod.uk,,apps.ocp3.azure.dso.digital.mod.uk,"CN=ZeroSSL RSA Domain Secure Site CA, O=ZeroSSL, C=AT",ZeroSSL RSA Domain Secure Site CA,ZeroSSL,291f1ee6d6cc2b630b33f996a96aedda,0926e066a06cf6c9862959610b16c3e4b18fc31d1377fe4caa1a2f1016e2d63d,True,ctls,api.ocp3.azure.dso.digital.mod.uk,,443,https://api.ocp3.azure.dso.digital.mod.uk:443,https,Microsoft-Azure-Application-Gateway/v2,text/html,GET,20.117.219.10,/,-1646985303,20.117.219.10,,8,False,,True,,,
api.ocp4.azure.dso.digital.mod.uk,403 Forbidden,403,179,api.ocp4.azure.dso.digital.mod.uk,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-11-16T00:00:00Z,2023-11-16T23:59:59Z,CN=*.apps.ocp4.azure.dso.digital.mod.uk,*.apps.ocp4.azure.dso.digital.mod.uk,,apps.ocp4.azure.dso.digital.mod.uk,"CN=ZeroSSL RSA Domain Secure Site CA, O=ZeroSSL, C=AT",ZeroSSL RSA Domain Secure Site CA,ZeroSSL,6512391e88fc2c4021ea7b0b03c92dfc,d7f0939afc9cc508b66039333a6f5ba4cb5dbad26b1918014a7e06472532fa3e,True,ctls,api.ocp4.azure.dso.digital.mod.uk,azure,443,https://api.ocp4.azure.dso.digital.mod.uk:443,https,Microsoft-Azure-Application-Gateway/v2,text/html,GET,20.50.97.193,/,1525958878,20.50.97.193,,8,False,True,True,,,
