input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,method,host,path,favicon,a_,lines,failed,cdn_name,webserver,content_type,tech_,cdn,tls_expired,tls_self_signed,tls_mismatched,tls_subject_org_,final_url,csp_domains_
abc.crawlera.com,,401,,,,,,,,,,,,,,,,,,,,80,http://abc.crawlera.com:80,http,GET,64.58.125.178,/,-1840324437,2605:f480:27:1::2a,1,False,,,,Basic,,,,,,,
academia.crawlera.com,,401,,,,,,,,,,,,,,,,,,,,80,http://academia.crawlera.com:80,http,GET,64.58.117.147,/,-1840324437,2605:f480:27:1::10,1,False,,,,Basic,,,,,,,
airbnb.crawlera.com,,401,,,,,,,,,,,,,,,,,,,,80,http://airbnb.crawlera.com:80,http,GET,64.58.126.147,/,-1840324437,2605:f480:27:1::10,1,False,,,,Basic,,,,,,,
aleksandr.crawlera.com,,401,,,,,,,,,,,,,,,,,,,,80,http://aleksandr.crawlera.com:80,http,GET,64.58.117.142,/,-1840324437,2605:f480:23::b,1,False,,,,Basic,,,,,,,
api-stage.intigriti.com,ERROR: The request could not be satisfied,403,919,api-stage.intigriti.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-03T00:00:00Z,2024-07-01T23:59:59Z,CN=*.intigriti.com,*.intigriti.com,intigriti.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,bd6aac0f613e1ba174ab6213a041503c,03dafd7c442aa1da7f01ac90b09dec3079ece3f947a6f60c67a303da6e111aac,True,ctls,api-stage.intigriti.com,443,https://api-stage.intigriti.com:443,https,GET,13.32.99.2,/,726856148,13.32.99.4,20,False,cloudfront,CloudFront,text/html,Amazon Web Services,True,,,,,,
api-uat.intigriti.com,ERROR: The request could not be satisfied,403,919,api-uat.intigriti.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-03T00:00:00Z,2024-07-01T23:59:59Z,CN=*.intigriti.com,*.intigriti.com,intigriti.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,bd6aac0f613e1ba174ab6213a041503c,03dafd7c442aa1da7f01ac90b09dec3079ece3f947a6f60c67a303da6e111aac,True,ctls,api-uat.intigriti.com,443,https://api-uat.intigriti.com:443,https,GET,13.32.99.4,/,279026470,13.32.99.70,20,False,cloudfront,CloudFront,text/html,Amazon Web Services,True,,,,,,
api.crawlera.com,,401,,,,,,,,,,,,,,,,,,,,80,http://api.crawlera.com:80,http,GET,64.58.117.143,/,-1840324437,2605:f480:27:8::c,1,False,,,,Basic,,,,,,,
api.intigriti.com,,404,,api.intigriti.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-03T00:00:00Z,2024-07-01T23:59:59Z,CN=*.intigriti.com,*.intigriti.com,intigriti.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,bd6aac0f613e1ba174ab6213a041503c,03dafd7c442aa1da7f01ac90b09dec3079ece3f947a6f60c67a303da6e111aac,True,ctls,api.intigriti.com,443,https://api.intigriti.com:443,https,GET,13.32.99.2,/,-1840324437,13.32.99.70,1,False,cloudfront,Hidden,,HSTS,True,,,,,,
app-assets.scrapinghub.com,,403,243,app-assets.scrapinghub.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-10T00:00:00Z,2024-06-07T23:59:59Z,CN=scrapinghub.com,scrapinghub.com,*.scrapinghub.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,3007cedb963ca59cbb64bbd84aa9df82,7081eed8d0ffcba497b715c53137bb43177f6f0155877d711a78790a49cfeceb,True,ctls,app-assets.scrapinghub.com,443,https://app-assets.scrapinghub.com:443,https,GET,13.225.78.115,/,881249879,13.225.78.120,2,False,cloudfront,AmazonS3,application/xml,Amazon Web Services,True,,,,,,
app-demo.intigriti.com,intigriti - ethical hacking and managed bug bounty platform,403,12486,app-demo.intigriti.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-03T00:00:00Z,2024-07-01T23:59:59Z,CN=*.intigriti.com,*.intigriti.com,intigriti.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,bd6aac0f613e1ba174ab6213a041503c,03dafd7c442aa1da7f01ac90b09dec3079ece3f947a6f60c67a303da6e111aac,True,ctls,app-demo.intigriti.com,443,https://app-demo.intigriti.com:443,https,GET,13.225.78.116,/,1800798348,13.225.78.31,272,False,cloudfront,Hidden,text/html,HSTS,True,,,,,,
assurant.crawlera.com,,401,,,,,,,,,,,,,,,,,,,,80,http://assurant.crawlera.com:80,http,GET,64.58.117.137,/,-1840324437,2605:f480:27:1::6,1,False,,,,Basic,,,,,,,
athome.crawlera.com,,401,,,,,,,,,,,,,,,,,,,,80,http://athome.crawlera.com:80,http,GET,64.58.126.142,/,-1840324437,2605:f480:27:1::b,1,False,,,,Basic,,,,,,,
atlantis.crawlera.com,,401,,,,,,,,,,,,,,,,,,,,80,http://atlantis.crawlera.com:80,http,GET,64.58.126.178,/,-1840324437,2605:f480:27:8::2a,1,False,,,,Basic,,,,,,,
autodiscover.intigriti.com,Sign in to Outlook,200,39727,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-06-01T00:00:00Z,2024-06-01T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,3e5363ca089bb6cd32f00c16e8c60c1d,722ffa737efee47ce8a79dd30a184c0967708de86a0c20d85e015d7c21075dee,,ctls,login.microsoftonline.com,80,http://autodiscover.intigriti.com:80,http,GET,40.99.150.88,/,-1249852061,2603:1026:c0d:6b::8,95,False,,,text/html,HSTS,,,,,Microsoft Corporation,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=8f428305-2a2a-af69-6f48-5a2dc52c2737&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=intigriti.com&nonce=638250719114687755.9beded80-b231-4369-89fa-c1b0f86ee43c&state=DcvLDsIgEEBRsP9i4oKWKa9h0fgtPKaGxEqCWH-_LM7dXc4Ym4bbwOUIc1bhaqQDD6AtOmfM7CNlyihFXBUIrawX6PcgEkS5oyXSKvHxPpb6D8uzUXgfW_n08mqllznV437mLfx6zeWb6kntAg,
autoextract.scrapinghub.com,,401,117,autoextract.scrapinghub.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-29T04:10:25Z,2023-09-27T04:10:24Z,CN=scrapinghub.com,scrapinghub.com,scrapinghub.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,0ef8538a150f95f4499dd2f66ca71263,378826ea1fe6daa00835197151b156a517e9ff3a2789a672288e0f92fb9ad8d8,True,ctls,autoextract.scrapinghub.com,443,https://autoextract.scrapinghub.com:443,https,GET,35.211.53.19,/,951987444,35.211.53.19,1,False,google,,application/problem+json,HSTS,True,,,,,,
bain.crawlera.com,,401,,,,,,,,,,,,,,,,,,,,80,http://bain.crawlera.com:80,http,GET,64.58.125.199,/,-1840324437,2605:f480:23::1f,1,False,,,,Basic,,,,,,,
