new,host,a,cname,soa,status_code,mx,txt,cdn,cdn-name,aaaa,has_internal_ips,internal_ips,ns,caa
[x],admin-wwwexamplesbackup-meet-git.preprod.lululemon.com,23.67.128.6,"lululemon.edgekey.net, e13736.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],bid46ef.preprod.lululemon.com,104.73.224.216,"lululemon.edgekey.net, e13736.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],confluence-jenkins-altproduction.preprod.lululemon.com,23.67.128.6,"lululemon.edgekey.net, e13736.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],forwardcandidate.preprod.lululemon.com,104.102.48.216,"lululemon.edgekey.net, e13736.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],h-135-197-1-3.preprod.lululemon.com,2.16.85.186,"lululemon.edgekey.net, e13736.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],h-135-207-103-93.preprod.lululemon.com,23.197.176.18,"lululemon.edgekey.net, e13736.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],http-m--internet--org-tokopedia-com38.preprod.lululemon.com,23.53.49.225,"lululemon.edgekey.net, e13736.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],inttest-acf1a41.preprod.lululemon.com,104.102.48.216,"lululemon.edgekey.net, e13736.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],lululemon.co.uk,,,,NOERROR,lululemon-co-uk.mail.protection.outlook.com,"google-site-verification=q_viZTDUdZZQGjWd0qGJYPaHjy8FHhpsICAkOgZwTc4, v=spf1 include:spf.protection.outlook.com include:_spf.atoracle.com ~all, MS=ms85884296, 4tgh5bgbwddf4qvjsw0l4slydtg1ppns, wc6rcwtscdbff2ldt17qxdmzvcvdch6k",,,,,,"a7-67.akam.net, a16-64.akam.net, a1-27.akam.net, a6-66.akam.net, a26-65.akam.net, a9-64.akam.net","sectigo.com, mailto:caaalerts@lululemon.com, digicert.com"
[x],lululemon.com,"104.100.203.145, 193.108.91.27, 23.211.133.66, 23.61.199.67, 184.85.248.64, 23.211.132.64, 23.74.25.65",,"a1-27.akam.net, zone.akam.net",NOERROR,lululemon-com.mail.protection.outlook.com,"infoblox-domain-mastery=0e764d73fae0668ff9378cbb6c966a8c59b6f83a54f41e8ec0df256985f89bb183, ZOOM_verify_ruFbbvYWRL6JRvmMYLVOrA, v=spf1 include:spf.protection.outlook.com include:_spfa.lululemon.com include:c.spf.lululemon.com ip4:34.210.46.85 ip4:54.184.20.85 ip4:35.80.228.153 -all, adobe-idp-site-verification=05b39a22-a086-4901-ba41-51ced696709b, apple-domain-verification=lzdCkGHHzhJP3zSL, globalsign-domain-verification=50b302b63356b6a7de14696ac62c022f, atlassian-domain-verification=Q-wc12YWNqLIXuwbeDGCzcZk8krzHV23eBEkXAesAzkBrTUAF5KI3OOYlHkkD7Md, mongodb-site-verification=rsKjQKN4ZxQLgo8prGUyyd6uWkmN4XXC, miro-verification=6d6f0561576cedb0db0885e25ce09320f0fb8db1, globalsign-domain-verification=A6F5ED3C7F0616E1AAD2E860BB4117A2, google-site-verification=ulYWAsebmeeFsPySrsFaI0m-gJqNs5grenOV0QDed60, docusign=6ac79ed0-95d7-4896-ae10-8a20bb81afff, onetrust-domain-verification=b6dfa2dfc2e5474d9ff601ae76896e29",,,"2600:1401:1::42, 2600:1406:1b::40",,,"a16-64.akam.net, a7-67.akam.net, a1-27.akam.net, a6-66.akam.net, a9-64.akam.net, a26-65.akam.net",
[x],lululemon.edgekey.net,92.123.151.167,e13736.a.akamaiedge.net,"n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],nextel.preprod.lululemon.com,104.102.48.216,"lululemon.edgekey.net, e13736.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],s12-preprod-fr.preprod.lululemon.com,23.59.35.199,"lululemon.edgekey.net, e13736.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,01.preprod.lululemon.com,23.67.128.6,"lululemon.edgekey.net, e13736.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,10.preprod.lululemon.com,104.96.153.219,"lululemon.edgekey.net, e13736.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,123panneaux.preprod.lululemon.com,23.67.128.6,"lululemon.edgekey.net, e13736.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,14-courier2.preprod.lululemon.com,104.87.180.88,"lululemon.edgekey.net, e13736.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,155-9-172-20.preprod.lululemon.com,2.16.85.186,"lululemon.edgekey.net, e13736.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,155-9-172-84.preprod.lululemon.com,2.16.85.186,"lululemon.edgekey.net, e13736.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,155-9-183-44.preprod.lululemon.com,104.100.203.145,"lululemon.edgekey.net, e13736.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,155-9-183-61.preprod.lululemon.com,23.5.109.94,"lululemon.edgekey.net, e13736.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,155-9-184-19.preprod.lululemon.com,92.123.151.167,"lululemon.edgekey.net, e13736.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,155-9-191-28.preprod.lululemon.com,92.123.151.167,"lululemon.edgekey.net, e13736.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,155-9-192-35.preprod.lululemon.com,23.221.248.90,"lululemon.edgekey.net, e13736.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,155-9-192-85.preprod.lululemon.com,23.221.248.90,"lululemon.edgekey.net, e13736.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,155-9-202-63.preprod.lululemon.com,2.16.85.186,"lululemon.edgekey.net, e13736.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,155-9-202-7.preprod.lululemon.com,2.16.85.186,"lululemon.edgekey.net, e13736.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,155-9-203-29cms-ipv4-c071-gru005-ix.preprod.lululemon.com,104.73.224.216,"lululemon.edgekey.net, e13736.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,155-9-203-41.preprod.lululemon.com,92.123.151.167,"lululemon.edgekey.net, e13736.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,155-9-204-35.preprod.lululemon.com,92.123.151.167,"lululemon.edgekey.net, e13736.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,155-9-204-65.preprod.lululemon.com,23.53.49.225,"lululemon.edgekey.net, e13736.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,155-9-204-70.preprod.lululemon.com,23.53.49.225,"lululemon.edgekey.net, e13736.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,155-9-207-26.preprod.lululemon.com,23.67.128.6,"lululemon.edgekey.net, e13736.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,155-9-207-89.preprod.lululemon.com,23.67.128.6,"lululemon.edgekey.net, e13736.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,155-9-208-63.preprod.lululemon.com,92.123.151.167,"lululemon.edgekey.net, e13736.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,155-9-212-57.preprod.lululemon.com,92.123.151.167,"lululemon.edgekey.net, e13736.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
