input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,final_url,tls_expired
*.arcgis.com,,200,4009,www.arcgis.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-02-27T00:00:00Z,2023-09-20T23:59:59Z,CN=*.arcgis.com,*.arcgis.com,,arcgis.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,0ea58cb0fa40f719554cb4f77b451692,5b8bae8929f9fb8a90ff41ba5b603b6e5be6c0f496f8b51c310f055ce78db28a,True,ctls,www.arcgis.com,,443,https://arcgis.com:443,https,AmazonS3,text/html,GET,18.234.22.3,/,483569527,52.23.2.231,HSTS,70,False,,,https://www.arcgis.com/index.html,
*.facebook.com,Facebook – Anmelden oder Registrieren,200,62946,www.facebook.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-22T00:00:00Z,2023-05-23T23:59:59Z,"CN=*.facebook.com, O=Meta Platforms\, Inc., L=Menlo Park, ST=California, C=US",*.facebook.com,"Meta Platforms, Inc.",messenger.com,"CN=DigiCert SHA2 High Assurance Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 High Assurance Server CA,DigiCert Inc,926adf1d767bbcc02dfd3d045429b3ae,3c7a9b69c58f929325eb28063a0c0bce8b6ed7add9d0d7cf6f5f06720076bd0f,True,ctls,www.facebook.com,,443,https://facebook.com:443,https,,text/html,GET,157.240.252.35,/,142313513,2a03:2880:f177:83:face:b00c:0:25de,HTTP/3,29,False,,*.carriersignal.info,https://www.facebook.com/,
*.google.com,Google,200,204657,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-24T12:01:16Z,2023-07-17T12:01:15Z,CN=www.google.com,www.google.com,,www.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,fc50d80049333ccb03bb8013bb58334a,b436c71033b81c75b14d32fbb808165bdab213d2a978246e6bfe5ecaa1f15eeb,,ctls,www.google.com,,443,https://google.com:443,https,gws,text/html,GET,172.217.23.110,/,,2a00:1450:4001:831::200e,HTTP/3,137,False,,https://csp.withgoogle.com/csp/gws/other-hp,https://www.google.com/,
*.googleapis.com,Error 404 (Not Found)!!1,404,1561,googleapis.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-24T12:00:13Z,2023-07-17T12:00:12Z,CN=*.googleapis.com,*.googleapis.com,,*.clients6.google.ws,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,06c854b043dd65e1f308ec77994c4cd0,39a04a5ea2fa354528ea8a0e650c2167cefe25f1f01485bbc770bed6288a409b,True,ctls,googleapis.com,,443,https://googleapis.com:443,https,,text/html,GET,216.58.212.132,/,302920777,2a00:1450:4001:801::2004,HTTP/3,12,False,,,,
1.aerial.maps.cc.api.here.com,,401,,1.aerial.maps.cc.api.here.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-01-19T12:26:03Z,2024-01-02T12:16:01Z,"CN=aerial.maps.ls.hereapi.com, O=HERE Global BV, L=Eindhoven, ST=Noord-Brabant, C=NL",aerial.maps.ls.hereapi.com,HERE Global BV,*.aerial.maps.cc.api.here.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,50cdb926b873724f91ce6927a0a9d7f8,94fe3dd77b8608e6acff5f49df86948df4496504c6240886064f273bd09b0c61,True,ctls,1.aerial.maps.cc.api.here.com,cloudfront,443,https://1.aerial.maps.cc.api.here.com:443,https,CloudFront,application/json,GET,52.222.214.60,/,-1840324437,2600:9000:223d:9200:13:f018:5ec0:93a1,Amazon Web Services,1,False,True,,,
1.aerial.maps.cit.api.here.com,,401,,1.aerial.maps.cit.api.here.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-01-19T12:26:03Z,2024-01-02T12:16:01Z,"CN=aerial.maps.ls.hereapi.com, O=HERE Global BV, L=Eindhoven, ST=Noord-Brabant, C=NL",aerial.maps.ls.hereapi.com,HERE Global BV,*.aerial.maps.cc.api.here.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,50cdb926b873724f91ce6927a0a9d7f8,94fe3dd77b8608e6acff5f49df86948df4496504c6240886064f273bd09b0c61,True,ctls,1.aerial.maps.cit.api.here.com,cloudfront,443,https://1.aerial.maps.cit.api.here.com:443,https,CloudFront,application/json,GET,18.66.112.121,/,-1840324437,2600:9000:223f:e600:11:df1:6c0:93a1,Amazon Web Services,1,False,True,,,
1.aerial.maps.cit.cc.api.here.com,,401,,1.aerial.maps.cit.cc.api.here.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-01-19T12:26:03Z,2024-01-02T12:16:01Z,"CN=aerial.maps.ls.hereapi.com, O=HERE Global BV, L=Eindhoven, ST=Noord-Brabant, C=NL",aerial.maps.ls.hereapi.com,HERE Global BV,*.aerial.maps.cc.api.here.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,50cdb926b873724f91ce6927a0a9d7f8,94fe3dd77b8608e6acff5f49df86948df4496504c6240886064f273bd09b0c61,True,ctls,1.aerial.maps.cit.cc.api.here.com,cloudfront,443,https://1.aerial.maps.cit.cc.api.here.com:443,https,CloudFront,application/json,GET,18.66.112.121,/,-1840324437,2600:9000:223f:5000:11:df1:6c0:93a1,Amazon Web Services,1,False,True,,,
1.aerial.maps.ls.hereapi.com,,401,,1.aerial.maps.ls.hereapi.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-01-19T12:26:03Z,2024-01-02T12:16:01Z,"CN=aerial.maps.ls.hereapi.com, O=HERE Global BV, L=Eindhoven, ST=Noord-Brabant, C=NL",aerial.maps.ls.hereapi.com,HERE Global BV,*.aerial.maps.cc.api.here.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,50cdb926b873724f91ce6927a0a9d7f8,94fe3dd77b8608e6acff5f49df86948df4496504c6240886064f273bd09b0c61,True,ctls,1.aerial.maps.ls.hereapi.com,cloudfront,443,https://1.aerial.maps.ls.hereapi.com:443,https,CloudFront,application/json,GET,52.222.214.60,/,-1840324437,2600:9000:223d:7c00:13:f018:5ec0:93a1,Amazon Web Services,1,False,True,,,
1.base.maps.api.here.com,,401,,1.base.maps.api.here.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-01-19T12:32:05Z,2024-01-08T12:16:22Z,"CN=base.maps.ls.hereapi.com, O=HERE Global BV, L=Eindhoven, ST=Noord-Brabant, C=NL",base.maps.ls.hereapi.com,HERE Global BV,*.pano.maps.cc.api.here.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,42b59b17257611f66b06bdb905244834,db883d202878975819453c480ed08970a9b4f239e4b7751a1e4b9ffc248068e7,True,ctls,1.base.maps.api.here.com,cloudfront,443,https://1.base.maps.api.here.com:443,https,CloudFront,application/json,GET,18.66.2.123,/,-1840324437,2600:9000:223f:9e00:2:b190:a500:93a1,Amazon Web Services,1,False,True,,,
1.base.maps.cit.api.here.com,,401,,1.base.maps.cit.api.here.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-01-19T12:32:05Z,2024-01-08T12:16:22Z,"CN=base.maps.ls.hereapi.com, O=HERE Global BV, L=Eindhoven, ST=Noord-Brabant, C=NL",base.maps.ls.hereapi.com,HERE Global BV,*.pano.maps.cc.api.here.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,42b59b17257611f66b06bdb905244834,db883d202878975819453c480ed08970a9b4f239e4b7751a1e4b9ffc248068e7,True,ctls,1.base.maps.cit.api.here.com,cloudfront,443,https://1.base.maps.cit.api.here.com:443,https,CloudFront,application/json,GET,18.66.218.86,/,-1840324437,2600:9000:223c:d400:12:f7f4:4400:93a1,Amazon Web Services,1,False,True,,,
