new,host,a,cname,soa,txt,status_code,cdn,cdn-name,ns,aaaa,has_internal_ips,internal_ips,caa,mx
[x],admin-stg.tracking.here.com,"18.244.102.17, 18.244.102.74, 18.244.102.95, 18.244.102.5",,"ns-1069.awsdns-05.org, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudfront,,,,,,
[x],developer.mobility.here.com,"52.222.139.97, 52.222.139.16, 52.222.139.56, 52.222.139.50",d3swyc5le7d3is.cloudfront.net,"ns-1484.awsdns-57.org, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudfront,"ns-547.awsdns-04.net, ns-134.awsdns-16.com, ns-1484.awsdns-57.org, ns-1610.awsdns-09.co.uk","2600:9000:2204:8000:13:250:8500:93a1, 2600:9000:2204:f000:13:250:8500:93a1, 2600:9000:2204:a00:13:250:8500:93a1, 2600:9000:2204:fc00:13:250:8500:93a1, 2600:9000:2204:ac00:13:250:8500:93a1, 2600:9000:2204:3000:13:250:8500:93a1, 2600:9000:2204:2c00:13:250:8500:93a1, 2600:9000:2204:da00:13:250:8500:93a1",,,,
[x],mobile.mapcreator.here.com,"52.222.236.6, 52.222.236.25, 52.222.236.58, 52.222.236.43",mobile-mapcreator.ext.mapcreator.here.com,"ns-74.awsdns-09.com, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudfront,"ns-1302.awsdns-34.org, ns-1874.awsdns-42.co.uk, ns-543.awsdns-03.net, ns-74.awsdns-09.com",,,,,
[x],sit.mapcreator.here.com,193.67.103.37,,"us-qas99-colo-ucs01ib.as1248.net, hostmaster.here.com",,NOERROR,,,,,,,,
[x],subp-als.vector.hereapi.com,"108.156.60.66, 108.156.60.120, 108.156.60.26, 108.156.60.16",d1wt38uscc2ntt.cloudfront.net,"ns-715.awsdns-25.net, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudfront,"ns-715.awsdns-25.net, ns-1220.awsdns-24.org, ns-1735.awsdns-24.co.uk, ns-355.awsdns-44.com","2600:9000:2394:c400:19:2a98:4840:93a1, 2600:9000:2394:8a00:19:2a98:4840:93a1, 2600:9000:2394:7800:19:2a98:4840:93a1, 2600:9000:2394:8800:19:2a98:4840:93a1, 2600:9000:2394:8400:19:2a98:4840:93a1, 2600:9000:2394:c200:19:2a98:4840:93a1, 2600:9000:2394:d800:19:2a98:4840:93a1, 2600:9000:2394:e800:19:2a98:4840:93a1",,,,
[x],www.info.here.com,"195.140.186.103, 195.140.186.100, 195.140.186.102, 195.140.186.101",,"ns1.ecircle.de, hostmaster.ecircle.de",,NOERROR,,,,,,,,
,1.aerial.maps.cc.api.here.com,"52.222.214.60, 52.222.214.49, 52.222.214.101, 52.222.214.34","1.aerial.maps.ls.hereapi.com, d2chyv2can0d4r.cloudfront.net",,,NOERROR,True,cloudfront,,,,,,
,1.aerial.maps.cit.api.here.com,"18.66.112.57, 18.66.112.122, 18.66.112.51, 18.66.112.121","1.aerial.maps.sit.ls.hereapi.com, d3dlyr4hai5l3v.cloudfront.net","ns-281.awsdns-35.com, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudfront,"ns-281.awsdns-35.com, ns-610.awsdns-12.net, ns-1082.awsdns-07.org, ns-1928.awsdns-49.co.uk",,,,,
,1.aerial.maps.cit.cc.api.here.com,"18.67.65.115, 18.67.65.67, 18.67.65.42, 18.67.65.100","1.aerial.maps.sit.ls.hereapi.com, d3dlyr4hai5l3v.cloudfront.net","ns-281.awsdns-35.com, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudfront,,,,,,
,1.aerial.maps.ls.hereapi.com,"52.222.214.49, 52.222.214.60, 52.222.214.101, 52.222.214.34",d2chyv2can0d4r.cloudfront.net,,,NOERROR,True,cloudfront,,,,,,
