new,host,a,cname,soa,status_code,cdn,cdn-name,aaaa,txt,mx,ns,has_internal_ips,internal_ips
,businessportal001cons.intel.com,192.198.166.133,businessportal001cons.cps.intel.com,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,businessportal001dev.cps.intel.com,192.198.166.129,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,businessportal001dev.intel.com,192.198.166.129,businessportal001dev.cps.intel.com,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,businessportal001dr.cps.intel.com,198.175.116.23,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,businessportal002bench.cps.intel.com,192.198.166.138,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,businessportal002bench.intel.com,192.198.166.138,businessportal002bench.cps.intel.com,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,businessportal002dev.cps.intel.com,192.198.166.130,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,businessportal002dev.intel.com,192.198.166.130,businessportal002dev.cps.intel.com,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,businessportal002dr.cps.intel.com,198.175.116.24,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,businessportal003bench.cps.intel.com,192.198.166.147,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,businessportal003bench.intel.com,192.198.166.147,businessportal003bench.cps.intel.com,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,businessportal003cons.cps.intel.com,192.198.166.146,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,businessportal003cons.intel.com,192.198.166.146,businessportal003cons.cps.intel.com,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,businessportal003dev.cps.intel.com,192.198.166.144,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,businessportal004cons.cps.intel.com,192.198.166.107,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,businessportal004cons.intel.com,,businessportal004cons.cps.intel.com,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,businessportal004dev.cps.intel.com,192.198.166.106,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,businessportal004supp.intel.com,192.198.166.109,businessportal004supp.cps.intel.com,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,businessportal005.cps.intel.com,192.198.165.136,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,businessportal005.intel.com,192.198.165.136,businessportal005.cps.intel.com,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,businessportal005bench.cps.intel.com,192.198.167.106,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,businessportal005bench.intel.com,192.198.167.106,businessportal005bench.cps.intel.com,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,businessportal005cons.cps.intel.com,192.198.167.105,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,businessportal005dev.cps.intel.com,192.198.167.104,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,businessportal005dev.intel.com,192.198.167.104,businessportal005dev.cps.intel.com,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,businessportal005dr.cps.intel.com,198.175.116.102,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,businessportal005dr.intel.com,198.175.116.102,businessportal005dr.cps.intel.com,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,businessportal005supp.cps.intel.com,192.198.167.107,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,businessportal005supp.intel.com,192.198.167.107,businessportal005supp.cps.intel.com,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,businessportal006.cps.intel.com,192.198.165.137,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
