input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,final_url,a_,tech_,lines,failed,cdn,tls_subject_org_,tls_wildcard_certificate,csp_domains_,tls_mismatched
00-11-okta-mfa-ackorigin.git.kartpay.com,Output Books,200,13157,00-11-okta-mfa-ackorigin.git.kartpay.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-17T00:30:18Z,2023-10-15T00:30:17Z,CN=accounts.jindalauto.in,accounts.jindalauto.in,accounts.jindalauto.in,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,86c634e5b508827ea7c59f8bae06c976,ed0d6a96177a2c963baa6bb4101ef5dcc2575a539a649dde150b73ee850f7a78,ctls,00-11-okta-mfa-ackorigin.git.kartpay.com,,443,https://00-11-okta-mfa-ackorigin.git.kartpay.com:443,https,nginx,text/html,GET,3.108.122.205,/,-1761458301,https://00-11-okta-mfa-ackorigin.git.kartpay.com/index.php/login,3.108.122.205,Semantic UI,252,False,,,,,True
000-amd-int-eu-d23ekigfgt2mcdsshbe-okta-apposcommercetest.takeincart.kartpay.com,Output Books,200,14197,000-amd-int-eu-d23ekigfgt2mcdsshbe-okta-apposcommercetest.takeincart.kartpay.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-17T00:30:18Z,2023-10-15T00:30:17Z,CN=accounts.jindalauto.in,accounts.jindalauto.in,accounts.jindalauto.in,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,86c634e5b508827ea7c59f8bae06c976,ed0d6a96177a2c963baa6bb4101ef5dcc2575a539a649dde150b73ee850f7a78,ctls,000-amd-int-eu-d23ekigfgt2mcdsshbe-okta-apposcommercetest.takeincart.kartpay.com,,443,https://000-amd-int-eu-d23ekigfgt2mcdsshbe-okta-apposcommercetest.takeincart.kartpay.com:443,https,nginx,text/html,GET,3.108.122.205,/,-1761458301,https://000-amd-int-eu-d23ekigfgt2mcdsshbe-okta-apposcommercetest.takeincart.kartpay.com/index.php/login,3.108.122.205,Semantic UI,252,False,,,,,True
424.kartpay.com,Output Books,200,12507,424.kartpay.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-17T00:30:18Z,2023-10-15T00:30:17Z,CN=accounts.jindalauto.in,accounts.jindalauto.in,accounts.jindalauto.in,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,86c634e5b508827ea7c59f8bae06c976,ed0d6a96177a2c963baa6bb4101ef5dcc2575a539a649dde150b73ee850f7a78,ctls,424.kartpay.com,,443,https://424.kartpay.com:443,https,nginx,text/html,GET,3.108.122.205,/,-1761458301,https://424.kartpay.com/index.php/login,3.108.122.205,Semantic UI,252,False,,,,,True
433.kartpay.com,Output Books,200,12507,433.kartpay.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-17T00:30:18Z,2023-10-15T00:30:17Z,CN=accounts.jindalauto.in,accounts.jindalauto.in,accounts.jindalauto.in,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,86c634e5b508827ea7c59f8bae06c976,ed0d6a96177a2c963baa6bb4101ef5dcc2575a539a649dde150b73ee850f7a78,ctls,433.kartpay.com,,443,https://433.kartpay.com:443,https,nginx,text/html,GET,3.108.122.205,/,-1761458301,https://433.kartpay.com/index.php/login,3.108.122.205,Semantic UI,252,False,,,,,True
addons.kartpay.com,Output Books,200,12585,addons.kartpay.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-17T00:30:18Z,2023-10-15T00:30:17Z,CN=accounts.jindalauto.in,accounts.jindalauto.in,accounts.jindalauto.in,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,86c634e5b508827ea7c59f8bae06c976,ed0d6a96177a2c963baa6bb4101ef5dcc2575a539a649dde150b73ee850f7a78,ctls,addons.kartpay.com,,443,https://addons.kartpay.com:443,https,nginx,text/html,GET,3.108.122.205,/,-1761458301,https://addons.kartpay.com/index.php/login,3.108.122.205,Semantic UI,252,False,,,,,True
affiliate.kartpay.com,Output Books,200,12663,affiliate.kartpay.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-17T00:30:18Z,2023-10-15T00:30:17Z,CN=accounts.jindalauto.in,accounts.jindalauto.in,accounts.jindalauto.in,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,86c634e5b508827ea7c59f8bae06c976,ed0d6a96177a2c963baa6bb4101ef5dcc2575a539a649dde150b73ee850f7a78,ctls,affiliate.kartpay.com,,443,https://affiliate.kartpay.com:443,https,nginx,text/html,GET,3.108.122.205,/,-1761458301,https://affiliate.kartpay.com/index.php/login,3.108.122.205,Semantic UI,252,False,,,,,True
agdenes.kartpay.com,Output Books,200,12611,agdenes.kartpay.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-17T00:30:18Z,2023-10-15T00:30:17Z,CN=accounts.jindalauto.in,accounts.jindalauto.in,accounts.jindalauto.in,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,86c634e5b508827ea7c59f8bae06c976,ed0d6a96177a2c963baa6bb4101ef5dcc2575a539a649dde150b73ee850f7a78,ctls,agdenes.kartpay.com,,443,https://agdenes.kartpay.com:443,https,nginx,text/html,GET,3.108.122.205,/,-1761458301,https://agdenes.kartpay.com/index.php/login,3.108.122.205,Semantic UI,252,False,,,,,True
app.discord.com,Discord,200,9568,discord.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-19T00:00:00Z,2023-11-19T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",26d99efd06d1fe09aac998d6e008d57d,5a3e404ce97078da5c49e10f7913703afb19e679d417ccb0e3f46c41fa901d5b,ctls,discord.com,cloudflare,443,https://app.discord.com:443,https,cloudflare,text/html,GET,162.159.135.232,/,1194757300,https://discord.com/app,162.159.136.232,hCaptcha,49,False,True,"Cloudflare, Inc.",True,https://media.tenor.com,
arimo.kartpay.com,Output Books,200,12559,arimo.kartpay.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-17T00:30:18Z,2023-10-15T00:30:17Z,CN=accounts.jindalauto.in,accounts.jindalauto.in,accounts.jindalauto.in,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,86c634e5b508827ea7c59f8bae06c976,ed0d6a96177a2c963baa6bb4101ef5dcc2575a539a649dde150b73ee850f7a78,ctls,arimo.kartpay.com,,443,https://arimo.kartpay.com:443,https,nginx,text/html,GET,3.108.122.205,/,-1761458301,https://arimo.kartpay.com/index.php/login,3.108.122.205,Semantic UI,252,False,,,,,True
artizanstore.kartpay.com,Output Books,200,12741,artizanstore.kartpay.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-17T00:30:18Z,2023-10-15T00:30:17Z,CN=accounts.jindalauto.in,accounts.jindalauto.in,accounts.jindalauto.in,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,86c634e5b508827ea7c59f8bae06c976,ed0d6a96177a2c963baa6bb4101ef5dcc2575a539a649dde150b73ee850f7a78,ctls,artizanstore.kartpay.com,,443,https://artizanstore.kartpay.com:443,https,nginx,text/html,GET,3.108.122.205,/,-1761458301,https://artizanstore.kartpay.com/index.php/login,3.108.122.205,Semantic UI,252,False,,,,,True
