input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_wildcard_certificate,csp_domains_,final_url,tls_subject_org_
api.rubygems.org,RubyGems.org | your community gem host,200,11065,rubygems.org,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-26T17:42:30Z,2023-11-27T17:42:29Z,CN=rubygems.org,rubygems.org,staging.rubygems.org,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q4, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q4,GlobalSign nv-sa,c33fe48694ce77c74f404196676d6ff1,823ac565599f6cc29b93e011cee31261c41c804fc13cb7f70fa91aa8626c4760,ctls,rubygems.org,fastly,443,https://api.rubygems.org:443,https,RubyGems.org,text/html,GET,151.101.193.227,/,-825614509,2a04:4e42:400::483,Varnish,203,False,True,True,https://www.fastly-insights.com,https://rubygems.org/,
blog.rubygems.org,RubyGems Blog - RubyGems Blog,200,94617,blog.rubygems.org,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-07T21:39:07Z,2023-09-05T21:39:06Z,CN=blog.rubygems.org,blog.rubygems.org,blog.rubygems.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,87f573de14b5915ee676f63fe4ba3343,08b2b1f56453fafb1d5d3716df6f0ff44a1ae4c7280f633da5951712c947f35b,ctls,blog.rubygems.org,,443,https://blog.rubygems.org:443,https,GitHub.com,text/html,GET,185.199.111.153,/,1181440715,2606:50c0:8002::153,Varnish,5123,False,,,,,
bundler.rubygems.org,RubyGems.org | your community gem host,200,11081,bundler.rubygems.org,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-26T17:42:30Z,2023-11-27T17:42:29Z,CN=rubygems.org,rubygems.org,staging.rubygems.org,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q4, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q4,GlobalSign nv-sa,c33fe48694ce77c74f404196676d6ff1,823ac565599f6cc29b93e011cee31261c41c804fc13cb7f70fa91aa8626c4760,ctls,bundler.rubygems.org,fastly,443,https://bundler.rubygems.org:443,https,RubyGems.org,text/html,GET,151.101.1.227,/,-825614509,2a04:4e42:600::483,Varnish,203,False,True,True,https://*.fastly-insights.com,,
dev.rubygems.org,Unicorn! | RubyGems.org,503,1297,dev.rubygems.org,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-26T19:32:21Z,2023-08-24T19:32:20Z,CN=dev.rubygems.org,dev.rubygems.org,dev.rubygems.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,4b2375727124ca9a1c98da78265f6275,1194a35c86af121fc58d160efe0af49e7556010cb900d2445dc0b709a3898e50,ctls,dev.rubygems.org,fastly,443,https://dev.rubygems.org:443,https,RubyGems.org,text/html,GET,151.101.1.227,/,653913372,2a04:4e42:600::483,Varnish,26,False,True,,,,
fastly.rubygems.org,Fastly error: unknown domain fastly.rubygems.org,500,266,fastly.rubygems.org,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-26T17:42:30Z,2023-11-27T17:42:29Z,CN=rubygems.org,rubygems.org,staging.rubygems.org,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q4, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q4,GlobalSign nv-sa,c33fe48694ce77c74f404196676d6ff1,823ac565599f6cc29b93e011cee31261c41c804fc13cb7f70fa91aa8626c4760,ctls,fastly.rubygems.org,fastly,443,https://fastly.rubygems.org:443,https,Varnish,text/html,GET,151.101.1.227,/,-1763574546,2a04:4e42:600::483,Varnish,8,False,True,True,,,
guides.rubygems.org,Guides - RubyGems Guides,200,11592,guides.rubygems.org,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-07T18:12:31Z,2023-09-05T18:12:30Z,CN=guides.rubygems.org,guides.rubygems.org,guides.rubygems.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,d56ad71add79ec9db60d481fa2c15347,d78d1748bebade4819854b43d5056e06dea97c26aae462d8ebeceb5cf8daf1d6,ctls,guides.rubygems.org,,443,https://guides.rubygems.org:443,https,GitHub.com,text/html,GET,185.199.108.153,/,-825614509,2606:50c0:8001::153,Varnish,222,False,,,,,
help.rubygems.org,Welcome - RubyGems.org Support,200,13120,help.rubygems.org,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-26T17:42:30Z,2023-11-27T17:42:29Z,CN=rubygems.org,rubygems.org,staging.rubygems.org,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q4, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q4,GlobalSign nv-sa,c33fe48694ce77c74f404196676d6ff1,823ac565599f6cc29b93e011cee31261c41c804fc13cb7f70fa91aa8626c4760,ctls,help.rubygems.org,fastly,443,https://help.rubygems.org:443,https,nginx/1.20.1,text/html,GET,146.75.121.227,/,-1840324437,2a04:4e42:8d::483,Varnish,244,False,True,True,nrpc.olark.com,,
https://api.github.com,,200,2262,api.github.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-16T00:00:00Z,2024-03-15T23:59:59Z,"CN=*.github.com, O=GitHub\, Inc., L=San Francisco, ST=California, C=US",*.github.com,github.com,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,ba7af2959dadde12f1b1a0d702a8b70a,b6174d4c3ec5ae768610ad705544b4600e514a55718a94c636563cbaa4dd664c,ctls,api.github.com,,443,https://api.github.com:443,https,GitHub.com,application/json,GET,140.82.121.6,/,1848946384,140.82.121.6,HSTS,1,False,,True,,,"GitHub, Inc."
https://avatars.githubusercontent.com,GitHub: Let’s build from here · GitHub,200,215234,github.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-14T00:00:00Z,2024-03-14T23:59:59Z,"CN=github.com, O=GitHub\, Inc., L=San Francisco, ST=California, C=US",github.com,www.github.com,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,d7f89274a26995baaf99c5aac4ebe7d2,92a37fbd5e21a53a95c716e1144f442f582b94d0fafc673eb6717a4eb51a88a7,ctls,github.com,,443,https://avatars.githubusercontent.com:443,https,GitHub.com,text/html,GET,185.199.109.133,/,98870310,2606:50c0:8000::154,HSTS,2206,False,,,uploads.github.com,https://github.com,"GitHub, Inc."
https://csp-report.browser-intake-datadoghq.com/api/v2/logs?dd-api-key=pub852fa3e2312391fafa5640b60784e660&dd-evp-origin=content-security-policy&ddsource=csp-report&ddtags=service%3Arubygems.org%2Cversion%3A9fbe5c170fdce48d45edd86edbf0714508bc2611%2Cenv%3Aproduction%2Ctrace_id%3A3902149298137066735,,405,96,csp-report.browser-intake-datadoghq.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-17T00:00:00Z,2024-06-18T23:59:59Z,"CN=*.browser-intake-datadoghq.com, O=Datadog\, Inc., L=New York, ST=New York, C=US",*.browser-intake-datadoghq.com,browser-intake-datadoghq.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,f2ba4f99a70e4da0db29b61be68ff777,391b5063b550562be8ab52af008788e26099f35d13982ecf4476cdb97d07ea64,ctls,csp-report.browser-intake-datadoghq.com,,443,https://csp-report.browser-intake-datadoghq.com:443/api/v2/logs?dd-api-key=pub852fa3e2312391fafa5640b60784e660&dd-evp-origin=content-security-policy&ddsource=csp-report&ddtags=service%3Arubygems.org%2Cversion%3A9fbe5c170fdce48d45edd86edbf0714508bc2611%2Cenv%3Aproduction%2Ctrace_id%3A3902149298137066735,https,,application/json,GET,3.233.152.238,/api/v2/logs?dd-api-key=pub852fa3e2312391fafa5640b60784e660&dd-evp-origin=content-security-policy&ddsource=csp-report&ddtags=service%3Arubygems.org%2Cversion%3A9fbe5c170fdce48d45edd86edbf0714508bc2611%2Cenv%3Aproduction%2Ctrace_id%3A3902149298137066735,1077183267,2600:1f18:24e6:b901:4c9d:befa:f063:caf1,HSTS,1,False,,True,,,"Datadog, Inc."
https://fastly-insights.com,Fastly Insights,200,19673,insights.fastlylabs.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-22T01:48:41Z,2024-05-23T01:48:40Z,CN=fastlylabs.com,fastlylabs.com,*.wasm.fastlylabs.com,"CN=GlobalSign Atlas R3 DV TLS CA 2023 Q2, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2023 Q2,GlobalSign nv-sa,1b4a86101a684566fb2ba495945e4291,314e4a5feb29488efa7a67048dadce10364a9e6bfb64cd5357f4d0fbe32a620c,ctls,insights.fastlylabs.com,fastly,443,https://fastly-insights.com:443,https,,text/html,GET,151.101.2.91,/,-738705486,2a04:4e42:600::603,Varnish,3,False,True,True,https://docs.google.com,https://insights.fastlylabs.com/,
https://fonts.googleapis.com,Error 404 (Not Found)!!1,404,1607,fonts.googleapis.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-29T08:21:36Z,2023-08-21T08:21:35Z,CN=upload.video.google.com,upload.video.google.com,bg-call-donation-dev.goog,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,e31063166fb44c05048b4c83f636c4f5,1b195bc79767bf8017bc902501eb378f46d1685421e0b9531b7a521ca9cfd844,ctls,fonts.googleapis.com,,443,https://fonts.googleapis.com:443,https,ESF,text/html,GET,142.250.185.202,/,-606046040,2a00:1450:4001:811::200a,HTTP/3,1,False,,True,,,
https://fonts.gstatic.com,Error 404 (Not Found)!!1,404,1561,fonts.gstatic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-29T08:21:36Z,2023-08-21T08:21:35Z,CN=*.gstatic.com,*.gstatic.com,*.metric.gstatic.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,d3c6d877158e986041e67ea61715ac95,406b96cf48d5fd63d08df732c86ca70aed167ff661c04b07663ff21a022fb117,ctls,fonts.gstatic.com,,443,https://fonts.gstatic.com:443,https,sffe,text/html,GET,142.250.186.35,/,302920777,2a00:1450:4001:827::2003,HTTP/3,12,False,,True,,,
