input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,final_url,tls_mismatched,tls_subject_org_,tls_wildcard_certificate,webserver,csp_domains_,cdn_name,cdn,tls_self_signed,location,tls_expired
aamorris.edst.ibm.com,Yahoo,404,4874,aamorris.edst.ibm.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-02T00:00:00Z,2023-10-25T23:59:59Z,"CN=yahoo.com, O=Oath Holdings Inc., L=Sunnyvale, ST=California, C=US",yahoo.com,*.amp.yimg.com,"CN=DigiCert SHA2 High Assurance Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 High Assurance Server CA,DigiCert Inc,64c470b7ad00ba1956abe88fe7606547,79a0cdb5ca101c8154bf4e90c55f25028bfa6b0979ba69151cdc8cd7cb5f8b7f,ctls,aamorris.edst.ibm.com,443,https://aamorris.edst.ibm.com:443,https,text/html,GET,74.6.231.20,/,1246233512,2001:4998:124:1507::f000,Apache Traffic Server,147,False,,True,Oath Holdings Inc.,True,ATS,,,,,,
able.ibm.com,Home – IBM Accessibility,200,810040,www.ibm.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-05T00:00:00Z,2023-08-27T23:59:59Z,"CN=www.ibm.com, O=International Business Machines Corporation, L=Armonk, ST=NEW YORK, C=US",www.ibm.com,wwwtest.ibm.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c0f36c9641c620ec98fae1d76ff9d758,267bc7481f34a63e1bb106c1c257d01faf29536a8102c54d622bd01c5e78bc1f,ctls,www.ibm.com,80,http://able.ibm.com:80,http,text/html,GET,172.65.236.237,/,1914839448,2606:4700:90:0:ccbf:8179:24e4:4ba2,webpack,20,False,https://www.ibm.com/able/,,International Business Machines Corporation,,AkamaiNetStorage,,cloudflare,True,,,
academic.ibm.com,IBM Academic Initiative,200,3435,academic.ibm.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-08T00:00:00Z,2024-03-07T23:59:59Z,"CN=ibm.com, O=International Business Machines Corporation, L=Armonk, ST=New York, C=US",ibm.com,www14.software.ibm.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,560038ce722ef34b256d94bf5a4dd41e,65e77230203d04c66002ba7e2cb66f0fa5014ceda516a8c652a2cdb9f2f95e80,ctls,academic.ibm.com,80,http://academic.ibm.com:80,http,text/html,GET,104.102.44.245,/,1029952573,2a02:26f0:480:998::31a3,Java Servlet:4.0,1,False,https://academic.ibm.com/a2mt/email-auth,,International Business Machines Corporation,,,,,,,,
accesshub.cloud.ibm.com,,200,6253,accesshub.cloud.ibm.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-21T07:34:50Z,2023-09-19T07:34:49Z,CN=accesshub.cloud.ibm.com,accesshub.cloud.ibm.com,ppd.accesshub.cloud.ibm.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,8dbd28f423b2b4bf9cc3eccd841158a0,918fbc30a3e3e9b087694f3379c017ed877990c7c9608c883d7ddcefda7bb816,ctls,accesshub.cloud.ibm.com,443,https://accesshub.cloud.ibm.com:443,https,text/html,GET,95.101.111.148,/,1711616966,2a02:26f0:480:23::1726:62b6,Java,26,False,https://accesshub.cloud.ibm.com/ECM/login/index?login=true&idp=https://fedid-prod.verify.ibm.com/saml/sps/saml20ip/saml20,,,,,,,,,,
accounting.techzone.ibm.com,Accounting API Swagger UI,200,1919,accounting.techzone.ibm.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-24T22:53:11Z,2023-08-22T22:53:10Z,CN=techzone.ibm.com,techzone.ibm.com,*.techzone.ibm.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,7125d31acd831ae15969bdb19d194788,cb229e4939dfff11850c9a55ee89070be0bbe807c1a0f65c06e7e6f2da2b0153,ctls,accounting.techzone.ibm.com,443,https://accounting.techzone.ibm.com:443,https,text/html,GET,104.18.5.98,/,552597979,2606:4700::6812:462,Sails.js,61,False,https://accounting.techzone.ibm.com/swagger/,,,True,cloudflare,,cloudflare,True,,,
accounts.cloud.ibm.com,,404,,accounts.cloud.ibm.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-22T00:00:00Z,2024-01-24T23:59:59Z,"CN=wildcard.bluemix.net, O=International Business Machines Corporation, L=Armonk, ST=New York, C=US",wildcard.bluemix.net,us-east.provisioning.cloud.ibm.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,104f2c6a7b2531c27274997c91497e49,e6493eb047dcf70fb0cfa1d78879df54a2608ee8a1ffe5efd39f89677bf902f2,ctls,accounts.cloud.ibm.com,80,http://accounts.cloud.ibm.com:80,http,,GET,104.102.54.251,/,-1840324437,104.102.54.251,HSTS,1,False,https://accounts.cloud.ibm.com/,True,International Business Machines Corporation,True,istio-envoy,,,,,,
ace.ibm.com,,404,50,ace.ibm.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-02T09:28:26Z,2023-08-31T09:28:25Z,CN=appconnect-prod-us.us-south.containers.mybluemix.net,appconnect-prod-us.us-south.containers.mybluemix.net,appconnect-prod-us.us-south.containers.mybluemix.net,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,896a17d8c8e8c39d20162034034a080a,d35d8b7b3ee35c5bdb2e0cb14eb22b50559874743ec7efc2010b6e5385c13cac,ctls,ace.ibm.com,443,https://ace.ibm.com:443,https,text/html,GET,169.46.120.190,/,754889859,169.48.246.222,HSTS,1,False,,True,,True,,,,,,,
acep.global.gslb.cloud-object-storage.cloud.ibm.com,,400,144,acep.global.gslb.cloud-object-storage.cloud.ibm.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-22T00:00:00Z,2024-03-20T23:59:59Z,"CN=config.cloud-object-storage.cloud.ibm.com, O=International Business Machines Corporation, L=Armonk, ST=New York, C=US",config.cloud-object-storage.cloud.ibm.com,config.cloud-object-storage.cloud.ibm.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,7a0fa801c0e4aae97798814d6393d0a9,5c1007172aa389d06c6a6904ee929aac0a3a28fa2bc7d610b5bc331a672ef53b,ctls,acep.global.gslb.cloud-object-storage.cloud.ibm.com,443,https://acep.global.gslb.cloud-object-storage.cloud.ibm.com:443,https,application/json,GET,198.23.119.242,/,665458469,198.23.119.242,,2,False,,True,International Business Machines Corporation,,,,,,,,
acs.res.ibm.com,Almaden Cloud Support Portal,200,3892,acs.res.ibm.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-24T00:00:00Z,2024-02-24T23:59:59Z,"CN=*.res.ibm.com, O=International Business Machines Corporation, L=Armonk, ST=New York, C=US",*.res.ibm.com,res.ibm.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ade6fac8c5ff29356dd788baa722a1c9,4742d5602f4b42649602da5e781fdab3d53573179a74a98de872157636be7c07,ctls,acs.res.ibm.com,443,https://acs.res.ibm.com:443,https,text/html,GET,129.34.40.80,/,-366337701,129.34.40.80,HSTS,111,False,https://acs.res.ibm.com/ACS,,International Business Machines Corporation,True,Apache,,,,,,
acswp.sl.res.ibm.com,Almaden Cloud Support Portal,200,3892,acs.res.ibm.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-24T00:00:00Z,2024-02-24T23:59:59Z,"CN=*.res.ibm.com, O=International Business Machines Corporation, L=Armonk, ST=New York, C=US",*.res.ibm.com,res.ibm.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ade6fac8c5ff29356dd788baa722a1c9,4742d5602f4b42649602da5e781fdab3d53573179a74a98de872157636be7c07,ctls,acs.res.ibm.com,443,https://acswp.sl.res.ibm.com:443,https,text/html,GET,129.34.40.80,/,-366337701,129.34.40.80,HSTS,111,False,https://acs.res.ibm.com/ACS,,International Business Machines Corporation,True,Apache,,,,,,
