new,host,a,aaaa,cname,soa,status_code,txt,caa,mx,ns,cdn,cdn-name,has_internal_ips,internal_ips,ptr
,ad.nl,"2.16.187.114, 2.16.187.57","2a02:26f0:3100::1725:e259, 2a02:26f0:3100::1725:e26b",,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,"facebook-domain-verification=l0cpwfgmh39jmcppqnpzsavn6vfbym, v=spf1 ip4:146.185.48.0/21 ip4:87.249.123.155 ip4:194.88.230.32/27 ip4:194.88.231.0/24 ip4:80.69.72.128/28 ip4:87.253.151.0/24 ip4:79.143.217.1/24,  ip4:87.233.195.0/24 ip4:87.233.192.0/24 ip4:217.68.27.250 ip4:217.68.27.206 include:et._spf.pardot.com include:_spf.google.com include:amazonses.com include:spf.flowmailer.net include:spf.mailjet.com ~all, MS=ms98101832, google-site-verification=ImiCz3F0ml9AuIUzmyIlpCYS18yjXhIIB9vBasN2Yew, facebook-domain-verification=qpjos3w5ewnijbdbv6v9ntfyxqccje, persgroep-ecommerce-prod.azurewebsites.net, google-site-verification=Q6YQ64ke6TlWdZj11sHAZuRwW3ZQP_5kJe0fa-4Ibz8, aq/y8YjzqXz57FXpz4++n9aqbPvGidHtNEm1UHWbOOqBmYgkP9KzQWtk+jD9Cgembsc0OP4g3SeH4FU9TpiqyA==, detectify-verification=b23ec206c9c447b3c3d2fbc1806a1655, amazonses:rhn3PfHSIU1aL9rljhmWkLHtTVBrjDRXlwiL6tJu/b0=",,"aspmx.l.google.com, aspmx3.googlemail.com, aspmx2.googlemail.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com","use5.akam.net, usc2.akam.net, ns1-125.akam.net, use2.akam.net, ns1-25.akam.net, eur5.akam.net, eur2.akam.net, eur6.akam.net",,,,,
,advertorial.ad.nl,"2.16.187.89, 2.16.187.98","2a02:26f0:3100::1735:2b7a, 2a02:26f0:3100::1735:2b89","ad.dpp.edgekey.net, e15437.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,advertorials.ad.nl,,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
,autotrack.ad.nl,146.185.53.23,,dpp-public-cl21.persgroep-ops.net,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
,aws-bpc-beta-readonly-midway.integ.amazon.com,"54.77.115.215, 54.155.241.202, 34.242.79.234",,"midway-gateway-4.aea.amazon.com, midway-gateway-4-eu-west-1.aea.amazon.com","ns-1117.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,aws-bpc-beta-readonly-midway.qa.xfinityhome.com,,,qa.xfinityhome.com,"ns.qa.xfinityhome.com, dnsmaster.comcastonline.com",NOERROR,,,,"dns103.comcast.net, dns105.comcast.net, dns104.comcast.net, dns101.comcast.net, dns102.comcast.net",,,,,
,aws-bpc-beta-readonly.integ.amazon.com,"54.155.241.202, 34.242.79.234, 54.77.115.215",,"midway-gateway-4.aea.amazon.com, midway-gateway-4-eu-west-1.aea.amazon.com","ns-1117.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,aws-bpc-readonly.amazon.com,"54.155.241.202, 54.77.115.215, 34.242.79.234",,"midway-gateway-4.aea.amazon.com, midway-gateway-4-eu-west-1.aea.amazon.com","ns-1117.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,aws-ciw-readonly.amazon.com,,,"midway-gateway-1.aea.amazon.com, midway-gateway-1-eu-west-1.aea.amazon.com","ns-1117.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns1.amzndns.co.uk, ns1.amzndns.net, ns2.amzndns.net, ns1.amzndns.org, ns2.amzndns.com, ns2.amzndns.co.uk, ns2.amzndns.org, ns1.amzndns.com",,,,,
,beta.verkiezingen.ad.nl,146.185.53.23,,dpp-public-cl21.persgroep-ops.net,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
,betaald.ad.nl,145.222.140.39,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
,branded-content.ad.nl,178.128.243.231,,"dpg-brandedcontent.h5mag.com, ams-6.h5mag.net","ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,v=spf1 ip4:85.222.229.53 ip6:2a02:348:b2:e535::1 ip6:2a02:348:7f:c819::1 include:_spf.google.com -all,letsencrypt.org,,,,,,,
,brandedcontent.ad.nl,"95.101.74.152, 95.101.74.141","2a02:26f0:c900:9::5f65:4a98, 2a02:26f0:c900:9::5f65:4a8d","ad.dpp.edgekey.net, e15437.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,cgi.ad.nl,145.222.140.55,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
,chronisch.ad.nl,34.91.151.1,,s1.instantmagazine.com,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,True,google,,,
,circulation.ad.nl,164.92.144.12,,dpg.pexi.nl,"ns1.digitalocean.com, hostmaster.pexi.nl",NOERROR,,,,,,,,,
,click-gac-rds-external-readonly.snappublisher.snapchat.com,142.250.185.179,2a00:1450:4001:811::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,,,,
,club.ad.nl,2.21.79.11,"2a02:26f0:ab00::214:8e60, 2a02:26f0:ab00::214:8e68","dpp-ad-wc.edgekey.net, e15537.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,cmp.ad.nl,"13.249.39.4, 13.249.39.79, 13.249.39.68, 13.249.39.54",,cdn-1294.privacy-mgmt.com,"ns-840.awsdns-41.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,,
,dagkrant.ad.nl,146.185.54.239,,www5524.persgroep.be,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
,data.ad.nl,,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
,datamart-nk11-readonly.apple.com,,,,"usmsc2-extxfr-001.dns.apple.com, hostmaster.apple.com",NOERROR,v=spf1 redirect=_spf.apple.com,,"mx-in-mdn.apple.com, mx-in-hfd.apple.com, mx-in.g.apple.com, mx-in-vib.apple.com, mx-in-rno.apple.com",,,,,,
,dev-service.ad.nl,"95.101.74.150, 95.101.74.139","2a02:26f0:c900:9::5f65:4a8b, 2a02:26f0:c900:9::5f65:4a96","dpp-ad-wc.edgekey.net, e15537.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,didata.ad.nl,1.1.1.1,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
,digitalekrant.ad.nl,"46.30.126.143, 46.30.127.84, 46.30.127.83, 46.30.127.88, 46.30.127.86, 46.30.126.155, 46.30.127.87, 46.30.127.85, 46.30.126.135, 46.30.126.159",,www.e-pages.dk,"ns1.dlx.dk, ks.dlx.dk",NOERROR,,"sectigo.com, letsencrypt.org, buypass.com, mailto:ks@dlx.dk, digicert.com",,,,,,,
,download.nlm.nih.gov,130.14.16.113,2607:f220:41e:1016::113,download.wip.nlm.nih.gov,"gslb03.nlm.nih.gov, hostmaster.gslb03.nlm.nih.gov",NOERROR,,,,,,,,,
,dpg.geldmeter.ad.nl,"99.84.208.13, 99.84.208.101, 99.84.208.38, 99.84.208.17, 205.251.192.209, 205.251.195.143, 205.251.197.251, 205.251.198.52",,,"ns-1588.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-209.awsdns-26.com, ns-1531.awsdns-63.org, ns-911.awsdns-49.net, ns-1588.awsdns-06.co.uk",True,cloudfront,,,
,dss-p9mbw32.valtaf.ad.nl,,,www.valtaf.nl,,NOERROR,,,,,,,,,
,e.email.ad.nl,"185.136.65.7, 185.136.65.6, 185.136.64.7, 185.136.64.6",,web.flowmailer.net,"ns1.flowmailer.net, contact.flowmailer.net",NOERROR,v=spf1 include:spf.flowmailer.net ~all,"letsencrypt.org, mailto:abuse@flowmailer.com, digicert.com, quovadisglobal.com, sectigo.com, entrust.net",return.flowmailer.net,,,,,,
,eagle-prodgac-rds-external-readonly-preprod.snappublisher.snapchat.com,142.250.185.179,2a00:1450:4001:811::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,,,,
,ekpoule.ad.nl,91.224.164.221,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
,embed.ad.nl,,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
,esales-test.ad.nl,"184.51.148.194, 184.51.148.211","2600:1408:7400::17de:4fb2, 2600:1408:7400::17de:4fb1","esales-test.ad.nl.edgekey.net, e15537.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,esales.ad.nl,"2.16.187.114, 2.16.187.57","2a02:26f0:3100::1725:e26b, 2a02:26f0:3100::1725:e259","dpp-ad-wc.edgekey.net, e15537.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,europa.verkiezingen.ad.nl,146.185.53.23,,dpp-public-cl21.persgroep-ops.net,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
,fabricreadonlyclient2.bmsua01.manage-beta.microsoft.com,,,,,NOERROR,,,,,,,,,
,familieberichten.ad.nl,146.185.53.23,,dpp-public-cl21.persgroep-ops.net,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
,fbweb.ad.nl,,,dpp-public-cl21.persgroep-ops.net,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
,files.ad.nl,213.239.201.80,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
,ftp-in.ad.nl,146.185.54.156,,ftp14101.persgroep.be,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,,
,gac-rds-external-readonly-preprod.5rtv.amitree.com,"52.204.242.176, 18.205.36.100, 54.162.128.250, 54.157.58.70",,wildcard.amitree.com.herokudns.com,"dns1.p05.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
,gac-rds-external-readonly-preprod.aadds.vgz.nl,195.42.135.39,,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,,,
,gac-rds-external-readonly-preprod.account.fr.cloud.gov,"15.205.11.215, 3.30.253.88","2600:1f12:18a:7d01:f27c:9787:253b:82ac, 2600:1f12:18a:7d00:1f73:2567:647c:88f0",,"ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-1211.awsdns-23.org, ns-137.awsdns-17.com, ns-2002.awsdns-58.co.uk, ns-731.awsdns-27.net",,,,,
,gac-rds-external-readonly-preprod.admin.fr.cloud.gov,"15.205.11.215, 3.30.253.88","2600:1f12:18a:7d00:1f73:2567:647c:88f0, 2600:1f12:18a:7d01:f27c:9787:253b:82ac",,"ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,gac-rds-external-readonly-preprod.alertmanager.fr.cloud.gov,"3.30.253.88, 15.205.11.215","2600:1f12:18a:7d01:f27c:9787:253b:82ac, 2600:1f12:18a:7d00:1f73:2567:647c:88f0",,"ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,gac-rds-external-readonly-preprod.api.binance.com,"18.176.5.40, 52.192.247.79, 13.114.202.183",,,"ns-735.awsdns-27.net, awsdns-hostmaster.amazon.com",NOERROR,dobbmei4jnjlh.cloudfront.net,,,,,,,,
,gac-rds-external-readonly-preprod.api.fr.cloud.gov,"3.30.253.88, 15.205.11.215","2600:1f12:18a:7d01:f27c:9787:253b:82ac, 2600:1f12:18a:7d00:1f73:2567:647c:88f0",,"ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,gac-rds-external-readonly-preprod.app.acorns.com,"108.157.229.23, 108.157.229.56, 108.157.229.66, 108.157.229.90",,,"ns-119.awsdns-14.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,True,cloudfront,,,
,gac-rds-external-readonly-preprod.app.sandbox.directly.com,"35.168.33.143, 52.0.241.167, 3.224.175.215, 3.232.232.251",,,"ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,gac-rds-external-readonly-preprod.binance.com,"52.192.247.79, 18.176.5.40, 13.114.202.183",,,"ns-735.awsdns-27.net, awsdns-hostmaster.amazon.com",NOERROR,dobbmei4jnjlh.cloudfront.net,,,,,,,,
,gac-rds-external-readonly-preprod.ci.fr.cloud.gov,"3.30.253.88, 15.205.11.215","2600:1f12:18a:7d00:1f73:2567:647c:88f0, 2600:1f12:18a:7d01:f27c:9787:253b:82ac",,"ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,gac-rds-external-readonly-preprod.dashboard.fr.cloud.gov,"15.205.11.215, 3.30.253.88","2600:1f12:18a:7d00:1f73:2567:647c:88f0, 2600:1f12:18a:7d01:f27c:9787:253b:82ac",,"ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,gac-rds-external-readonly-preprod.diagrams.fr.cloud.gov,"15.205.11.215, 3.30.253.88","2600:1f12:18a:7d01:f27c:9787:253b:82ac, 2600:1f12:18a:7d00:1f73:2567:647c:88f0",,"ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,gac-rds-external-readonly-preprod.directly.com,"54.89.206.247, 52.2.135.177, 34.239.229.38, 54.81.38.43",,,"ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,gac-rds-external-readonly-preprod.donations.livestream.com,146.75.118.29,,livestream.map.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,,,,,True,fastly,,,
,gac-rds-external-readonly-preprod.events.dewarmsteweek.be,86.39.65.98,2a00:6ec0:101:1:0:98:0:1,"web0.tickoweb.net, peak.proxy.tickoweb.net","ns1.ethera.be, dns.tigron.net",NOERROR,,,,,,,,,
,gac-rds-external-readonly-preprod.federalist-proxy.app.cloud.gov,"3.30.11.103, 160.1.153.42","2600:1f12:18a:7d01:fa52:a7cf:b300:6b6b, 2600:1f12:18a:7d00:b052:9778:a5a4:9d62",,"ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,gac-rds-external-readonly-preprod.grafana.fr.cloud.gov,"15.205.11.215, 3.30.253.88","2600:1f12:18a:7d01:f27c:9787:253b:82ac, 2600:1f12:18a:7d00:1f73:2567:647c:88f0",,"ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,gac-rds-external-readonly-preprod.highwebmedia.com,,,,"cns1.highwebmedia.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,gac-rds-external-readonly-preprod.host120.udemy.com,,,,"anna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,True,cloudflare,,,
,gac-rds-external-readonly-preprod.idp.fr.cloud.gov,,,,"ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,gac-rds-external-readonly-preprod.login.fr.cloud.gov,"3.30.253.88, 15.205.11.215","2600:1f12:18a:7d00:1f73:2567:647c:88f0, 2600:1f12:18a:7d01:f27c:9787:253b:82ac",,"ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,gac-rds-external-readonly-preprod.logs-platform.fr.cloud.gov,"3.30.253.88, 15.205.11.215","2600:1f12:18a:7d00:1f73:2567:647c:88f0, 2600:1f12:18a:7d01:f27c:9787:253b:82ac",,"ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,gac-rds-external-readonly-preprod.logs.fr.cloud.gov,"15.205.11.215, 3.30.253.88","2600:1f12:18a:7d01:f27c:9787:253b:82ac, 2600:1f12:18a:7d00:1f73:2567:647c:88f0",,"ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,gac-rds-external-readonly-preprod.mailfoogae.appspot.com,172.253.115.153,2607:f8b0:4004:c06::99,,"ns1.google.com, dns-admin.google.com",NOERROR,,,"alt2.gmr-smtp-in.l.google.com, gmr-smtp-in.l.google.com, alt1.gmr-smtp-in.l.google.com, alt4.gmr-smtp-in.l.google.com, alt3.gmr-smtp-in.l.google.com",,,,,,
,gac-rds-external-readonly-preprod.media.muslimpro.com,172.217.18.19,2a00:1450:4001:80b::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,,,,
,gac-rds-external-readonly-preprod.nessus.fr.cloud.gov,"15.205.11.215, 3.30.253.88","2600:1f12:18a:7d00:1f73:2567:647c:88f0, 2600:1f12:18a:7d01:f27c:9787:253b:82ac",,"ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,gac-rds-external-readonly-preprod.next.airbnb.com,"23.3.88.64, 23.3.88.9",,"w.airbnb.com.edgekey.net, e74147.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,gac-rds-external-readonly-preprod.odoo.com,141.94.74.34,,,"ns0.odoo.com, admin.odoo.com",NOERROR,,,,,,,,,
,gac-rds-external-readonly-preprod.opslogin.fr.cloud.gov,"3.30.253.88, 15.205.11.215","2600:1f12:18a:7d01:f27c:9787:253b:82ac, 2600:1f12:18a:7d00:1f73:2567:647c:88f0",,"ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,gac-rds-external-readonly-preprod.pingone.com,"52.11.201.206, 44.240.2.215, 3.130.152.31, 3.129.185.94, 3.17.229.99, 44.241.84.41",,,"ns0.dnsmadeeasy.com, hostmaster.pingidentity.com",NOERROR,,,,,,,,,
,gac-rds-external-readonly-preprod.prometheus.fr.cloud.gov,"3.30.253.88, 15.205.11.215","2600:1f12:18a:7d00:1f73:2567:647c:88f0, 2600:1f12:18a:7d01:f27c:9787:253b:82ac",,"ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,gac-rds-external-readonly-preprod.quora.com,"162.159.152.17, 162.159.153.247",,quora.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,,True,cloudflare,,,
,gac-rds-external-readonly-preprod.sandbox.directly.com,"3.224.175.215, 3.232.232.251, 35.168.33.143, 52.0.241.167",,,"ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,gac-rds-external-readonly-preprod.secure.showmax.com,"3.11.144.82, 35.176.237.181, 18.168.28.22",,,"brenda.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 ~all,,,,,,,,
,gac-rds-external-readonly-preprod.security.datastax.com,34.207.23.209,,,"ns-1254.awsdns-28.org, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-1254.awsdns-28.org, ns-1710.awsdns-21.co.uk, ns-360.awsdns-45.com, ns-651.awsdns-17.net",,,,,
,gac-rds-external-readonly-preprod.sg-dev.seek.com,,,wildcard.sg-dev.seek.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,,True,cloudflare,,,
,gac-rds-external-readonly-preprod.showmax.com,"35.176.237.181, 18.168.28.22, 3.11.144.82",,,"brenda.ns.cloudflare.com, dns.cloudflare.com",NOERROR,v=spf1 ~all,,,,,,,,
,gac-rds-external-readonly-preprod.smtpmail.didichuxing.com,"123.207.209.133, 123.207.209.16, 123.207.209.17, 123.207.209.134",,gz01.router.public.diditaxi.com.cn,"ns1.didiwuxian.com, sys.didiwuxian.com",NOERROR,,,,,,,,,
,gac-rds-external-readonly-preprod.snappublisher.snapchat.com,142.250.185.179,2a00:1450:4001:811::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,,,,
,gac-rds-external-readonly-preprod.ssh.fr.cloud.gov,"3.30.253.88, 15.205.11.215","2600:1f12:18a:7d00:1f73:2567:647c:88f0, 2600:1f12:18a:7d01:f27c:9787:253b:82ac",,"ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,gac-rds-external-readonly-preprod.stage.twilio.com,"52.85.151.57, 52.85.151.88, 52.85.151.8, 52.85.151.41, 205.251.192.111, 205.251.194.104, 205.251.196.197, 205.251.199.111",,dvksptar9cd7z.cloudfront.net,"ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-1903.awsdns-45.co.uk, ns-111.awsdns-13.com, ns-616.awsdns-13.net, ns-1221.awsdns-24.org",True,cloudfront,,,
,gac-rds-external-readonly-preprod.staging-airtableblocks.com,,,,"ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,gac-rds-external-readonly-preprod.staging-my.mtn.com,20.87.205.64,,,"ns0.mtnbusiness.net, dns-admin.mtnbusiness.co.za",NOERROR,,,,,,,,,
,gac-rds-external-readonly-preprod.staging.speakap.io,85.17.245.53,,,"ns-1318.awsdns-36.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,gac-rds-external-readonly-preprod.tech.filezilla-project.org,49.12.121.47,2a01:4f8:242:52d0::2,filezilla-project.org,"ns1.domaindiscount24.net, tech.key-systems.net",NOERROR,"v=spf1 mx ip4:49.12.121.47/32 ip6:2a01:4f8:242:52d0::2/64 -all, google-site-verification=VMSIrNYAVoMPTFK6VdS6swSnzPeV9u3oDl2KraQnLI8",,filezilla-project.org,"ns1.domaindiscount24.net, ns2.domaindiscount24.net, ns3.domaindiscount24.net",,,,,
,gac-rds-external-readonly-preprod.test-ns-signed.internet.nl,62.204.66.10,2a00:d00:ff:162:62:204:66:10,,"ns.test-ns-signed.internet.nl, ralph.nlnetlabs.nl",NOERROR,,,,,,,,,
,gac-rds-external-readonly-preprod.testing.pinterest.com,104.75.88.209,,"www.pinterest.com, www-pinterest-com.gslb.pinterest.com, www.gslb.pinterest.net, www.pinterest.com.edgekey.net, e6449.a.akamaiedge.net, 2-01-37d2-0018.cdx.cedexis.net, prod.pinterest.global.map.fastly.net","ns1.fastly.net, hostmaster.fastly.com, n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,gac-rds-external-readonly-preprod.tianma-prd-in.vivo.com,129.227.254.190,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,,,,,,,,,
,gac-rds-external-readonly-preprod.tickets.dpgmedia.be,86.39.65.98,2a00:6ec0:101:1:0:98:0:1,peak.proxy.tickoweb.net,"ns1.ethera.be, dns.tigron.net",NOERROR,,,,,,,,,
,gac-rds-external-readonly-preprod.unified.seek.com,"104.18.23.53, 104.18.22.53",,wildcard.unified.seek.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,,True,cloudflare,,,
,gac-rds-external-readonly.account.fr.cloud.gov,"15.205.11.215, 3.30.253.88","2600:1f12:18a:7d00:1f73:2567:647c:88f0, 2600:1f12:18a:7d01:f27c:9787:253b:82ac",,"ns-137.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
