new,host,ttl,a,aaaa,cname,mx,soa,ns,txt,caa,status_code,cdn,cdn-name
[x],esperia-kbh.harvestapp.com,600,34.107.228.235,2600:1901:0:1f7f::,harvestapp.com,,"{'name': 'harvestapp.com', 'ns': 'jake.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2341108109, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",,,"pki.goog; cansignhttpexchanges=yes, mailto:systems@getharvest.com, amazon.com, comodoca.com, digicert.com; cansignhttpexchanges=yes, letsencrypt.org",NOERROR,,
[x],forecastapp.com,300,,"2606:4700:10::6816:16c1, 2606:4700:10::6816:17c1, 2606:4700:10::ac43:bb7",,"aspmx4.googlemail.com, aspmx.l.google.com, aspmx5.googlemail.com, alt2.aspmx.l.google.com, aspmx2.googlemail.com, alt1.aspmx.l.google.com, aspmx3.googlemail.com","{'name': 'forecastapp.com', 'ns': 'jake.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2339365514, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'forecastapp.com', 'ns': 'jake.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2339365514, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}","jake.ns.cloudflare.com, pam.ns.cloudflare.com","MS=ms42398368, google-site-verification=NG1iHmwgZvyMmCu-N06Jizw3l6FVI56M6hC__2y2NvI, linear-domain-verification=cfsgzdcw5g5f, v=spf1 include:_spf.getharvest.com include:mail.zendesk.com include:_spf.google.com include:mailgun.org ~all",,NOERROR,,
[x],getharvest.com,600,"199.60.103.64, 199.60.103.164, 108.162.192.138, 172.64.32.138, 173.245.58.138, 108.162.193.122, 172.64.33.122, 173.245.59.122","2606:4700:50::adf5:3a8a, 2803:f800:50::6ca2:c08a, 2a06:98c1:50::ac40:208a, 2606:4700:58::adf5:3b7a, 2803:f800:50::6ca2:c17a, 2a06:98c1:50::ac40:217a",,"aspmx2.googlemail.com, aspmx.l.google.com, aspmx5.googlemail.com, alt2.aspmx.l.google.com, alt1.aspmx.l.google.com, aspmx4.googlemail.com, aspmx3.googlemail.com","{'name': 'getharvest.com', 'ns': 'jake.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2336802619, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'getharvest.com', 'ns': 'jake.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2336802619, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'getharvest.com', 'ns': 'jake.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2336802619, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}","jake.ns.cloudflare.com, pam.ns.cloudflare.com","MS=ms48415564, apple-domain-verification=XVxFZwpr1SXMgn4E, google-site-verification=cEqbqxIyGmXUNMs0d6mKWRPtZ2eWEbrbmoaIs8xjeYQ, v=spf1 include:mail.zendesk.com include:_spf.google.com include:mailgun.org include:19495563.spf03.hubspotemail.net ~all","mailto:systems@getharvest.com, amazon.com, comodoca.com, digicert.com; cansignhttpexchanges=yes, letsencrypt.org, pki.goog; cansignhttpexchanges=yes",NOERROR,,
[x],harvestapp.com,380,,2600:1901:0:1f7f::,,"alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx.l.google.com, aspmx2.googlemail.com, aspmx3.googlemail.com, aspmx4.googlemail.com, aspmx5.googlemail.com","{'name': 'harvestapp.com', 'ns': 'jake.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2341108109, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}","jake.ns.cloudflare.com, pam.ns.cloudflare.com",,,NOERROR,,
[x],joinslack-1.harvestapp.com,600,34.107.228.235,,harvestapp.com,"aspmx.l.google.com, aspmx2.googlemail.com, aspmx3.googlemail.com, aspmx4.googlemail.com, aspmx5.googlemail.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com","{'name': 'harvestapp.com', 'ns': 'jake.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2341108109, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",,"status-page-domain-verification=8mdlw558xmtq, l9kn9tjccgx5rf151ptvmn9ln7yybgvv, google-site-verification=JmL1sgxnyya808c9j2XmLHFAdaO0BCgF3pL2gTkFdLQ, google-site-verification=7RraCI3xnumdxZQud8M9MFmpYdXMYXHzsAfeAWI2Tqk, v=spf1 include:mail.zendesk.com include:_spf.google.com include:mailgun.org ~all","letsencrypt.org, mailto:systems@getharvest.com, digicert.com; cansignhttpexchanges=yes, comodoca.com, amazon.com, pki.goog; cansignhttpexchanges=yes",NOERROR,,
[x],nsenterpriseappsllc.harvestapp.com,600,34.107.228.235,,harvestapp.com,"aspmx.l.google.com, aspmx2.googlemail.com, aspmx3.googlemail.com, aspmx4.googlemail.com, aspmx5.googlemail.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com","{'name': 'harvestapp.com', 'ns': 'jake.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2341108109, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}","jake.ns.cloudflare.com, pam.ns.cloudflare.com","google-site-verification=JmL1sgxnyya808c9j2XmLHFAdaO0BCgF3pL2gTkFdLQ, l9kn9tjccgx5rf151ptvmn9ln7yybgvv, status-page-domain-verification=8mdlw558xmtq, v=spf1 include:mail.zendesk.com include:_spf.google.com include:mailgun.org ~all, google-site-verification=7RraCI3xnumdxZQud8M9MFmpYdXMYXHzsAfeAWI2Tqk","letsencrypt.org, pki.goog; cansignhttpexchanges=yes, mailto:systems@getharvest.com, comodoca.com, digicert.com; cansignhttpexchanges=yes, amazon.com",NOERROR,True,google
[x],tor19-39-pda.com.harvestapp.com,600,34.107.228.235,2600:1901:0:1f7f::,harvestapp.com,"aspmx2.googlemail.com, alt2.aspmx.l.google.com, alt1.aspmx.l.google.com, aspmx3.googlemail.com, aspmx4.googlemail.com, aspmx.l.google.com, aspmx5.googlemail.com","{'name': 'harvestapp.com', 'ns': 'jake.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2341108109, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}","jake.ns.cloudflare.com, pam.ns.cloudflare.com",,,NOERROR,True,google
[x],www.scottevest.harvestapp.com,600,34.107.228.235,2600:1901:0:1f7f::,harvestapp.com,"alt2.aspmx.l.google.com, alt1.aspmx.l.google.com, aspmx2.googlemail.com, aspmx4.googlemail.com, aspmx5.googlemail.com, aspmx3.googlemail.com, aspmx.l.google.com","{'name': 'harvestapp.com', 'ns': 'jake.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2341108109, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}","jake.ns.cloudflare.com, pam.ns.cloudflare.com","l9kn9tjccgx5rf151ptvmn9ln7yybgvv, status-page-domain-verification=8mdlw558xmtq, v=spf1 include:mail.zendesk.com include:_spf.google.com include:mailgun.org ~all, google-site-verification=7RraCI3xnumdxZQud8M9MFmpYdXMYXHzsAfeAWI2Tqk, google-site-verification=JmL1sgxnyya808c9j2XmLHFAdaO0BCgF3pL2gTkFdLQ",,NOERROR,True,google
,0984041bcltd.harvestapp.com,600,34.107.228.235,2600:1901:0:1f7f::,harvestapp.com,"aspmx.l.google.com, aspmx3.googlemail.com, aspmx4.googlemail.com, aspmx5.googlemail.com, aspmx2.googlemail.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com","{'name': 'harvestapp.com', 'ns': 'jake.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2341108109, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",,"google-site-verification=7RraCI3xnumdxZQud8M9MFmpYdXMYXHzsAfeAWI2Tqk, l9kn9tjccgx5rf151ptvmn9ln7yybgvv, status-page-domain-verification=8mdlw558xmtq, google-site-verification=JmL1sgxnyya808c9j2XmLHFAdaO0BCgF3pL2gTkFdLQ, v=spf1 include:mail.zendesk.com include:_spf.google.com include:mailgun.org ~all","comodoca.com, digicert.com; cansignhttpexchanges=yes, letsencrypt.org, pki.goog; cansignhttpexchanges=yes, mailto:systems@getharvest.com, amazon.com",NOERROR,,
,100steps.harvestapp.com,600,,2600:1901:0:1f7f::,harvestapp.com,,"{'name': 'harvestapp.com', 'ns': 'jake.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2341108109, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",,"google-site-verification=JmL1sgxnyya808c9j2XmLHFAdaO0BCgF3pL2gTkFdLQ, l9kn9tjccgx5rf151ptvmn9ln7yybgvv, status-page-domain-verification=8mdlw558xmtq, v=spf1 include:mail.zendesk.com include:_spf.google.com include:mailgun.org ~all, google-site-verification=7RraCI3xnumdxZQud8M9MFmpYdXMYXHzsAfeAWI2Tqk","mailto:systems@getharvest.com, amazon.com, comodoca.com, digicert.com; cansignhttpexchanges=yes, letsencrypt.org, pki.goog; cansignhttpexchanges=yes",NOERROR,,
