input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_subject_org_,tls_wildcard_certificate,tls_mismatched,cdn_name,cdn,tls_self_signed,tls_expired,csp_domains_,final_url
abiz.bcc.nl,,403,93,abiz.bcc.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-17T00:00:00Z,2024-04-13T23:59:59Z,"CN=*.bcc.nl, O=BCC (Elektro-Speciaalzaken) B.V., L=Duivendrecht, ST=Noord-Holland, C=NL",*.bcc.nl,bcc.nl,"CN=Trust Provider B.V. TLS RSA EV CA G2, O=Trust Provider B.V., C=NL",Trust Provider B.V. TLS RSA EV CA G2,Trust Provider B.V.,f40ccd549354b968fecff3029c82f498,f484c0c0cd6b982a2b9cac296beb86f9abc4ca80e26832f6a37842bc2a188c29,ctls,abiz.bcc.nl,443,https://abiz.bcc.nl:443,https,,text/html,GET,185.78.251.50,/,-1060002298,185.78.251.50,,4,False,BCC (Elektro-Speciaalzaken) B.V.,True,,,,,,,
acc-images.bcc.nl,,400,207,acc-images.bcc.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-25T07:48:37Z,2024-03-25T07:48:37Z,CN=*.blob.core.windows.net,*.blob.core.windows.net,*.z50.blob.storage.azure.net,"CN=Microsoft RSA TLS CA 01, O=Microsoft Corporation, C=US",Microsoft RSA TLS CA 01,Microsoft Corporation,aafa251e11c88469327a05ef6b5b5f79,fbdb4d9fa09a28687ffa0aff9ceaedec5035b0a20efacd281f8337fdf81546ad,ctls,acc-images.bcc.nl,443,https://acc-images.bcc.nl:443,https,Windows-Azure-Blob/1.0 Microsoft-HTTPAPI/2.0,application/xml,GET,52.239.143.164,/,1788779316,52.239.143.164,Microsoft HTTPAPI:2.0,4,False,,True,True,azure,True,,,,
acc-procurement-invoices.bcc.nl,Your Azure Function App is up and running.,200,150093,acc-procurement-invoices.bcc.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-03-30T00:00:00Z,2023-04-13T23:59:59Z,"CN=*.bcc.nl, O=BCC (Elektro-Speciaalzaken) B.V., L=Schiphol-Rijk, ST=Noord-Holland, C=NL",*.bcc.nl,bcc.nl,"CN=Trust Provider B.V. TLS RSA EV CA G2, O=Trust Provider B.V., C=NL",Trust Provider B.V. TLS RSA EV CA G2,Trust Provider B.V.,fee2db67588b62173c08f1025a6ac50e,4b27558147dc2ad4a982a8c301820ff6f15342ac4f0ccef36735a569694f5644,ctls,acc-procurement-invoices.bcc.nl,443,https://acc-procurement-invoices.bcc.nl:443,https,,text/html,GET,20.50.2.53,/,-1840324437,20.50.2.53,,300,False,BCC (Elektro-Speciaalzaken) B.V.,True,,azure,True,,True,,
access.techsupport.bcc.nl,,404,67,,,,,,,,,,,,,,,,,,80,http://access.techsupport.bcc.nl:80,http,Vercel,text/plain,GET,76.76.21.98,/,1307429962,76.76.21.164,Vercel,4,False,,,,,,,,,
acciderant.techsupport.bcc.nl,,404,67,,,,,,,,,,,,,,,,,,80,http://acciderant.techsupport.bcc.nl:80,http,Vercel,text/plain,GET,76.76.21.9,/,1307429962,76.76.21.164,Vercel,4,False,,,,,,,,,
account.bcc.nl,Microsoft Azure Web App - Error 404,404,2667,account.bcc.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-17T00:00:00Z,2024-04-13T23:59:59Z,"CN=*.bcc.nl, O=BCC (Elektro-Speciaalzaken) B.V., L=Duivendrecht, ST=Noord-Holland, C=NL",*.bcc.nl,bcc.nl,"CN=Trust Provider B.V. TLS RSA EV CA G2, O=Trust Provider B.V., C=NL",Trust Provider B.V. TLS RSA EV CA G2,Trust Provider B.V.,f40ccd549354b968fecff3029c82f498,f484c0c0cd6b982a2b9cac296beb86f9abc4ca80e26832f6a37842bc2a188c29,ctls,account.bcc.nl,443,https://account.bcc.nl:443,https,,text/html,GET,20.101.201.207,/,387302845,20.101.201.207,,87,False,BCC (Elektro-Speciaalzaken) B.V.,True,,,,,,,
addresslocator-acc.bcc.nl,Sign in to your account,200,208765,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-24T00:00:00Z,2024-02-24T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,5a0c035fd36e190a9a002ffd08801cce,51cfd1c52666a532589d6759379eab229c80ad93cf9e47beb8519dd205096065,ctls,login.microsoftonline.com,443,https://addresslocator-acc.bcc.nl:443,https,,text/html,GET,52.166.119.99,/,-1840324437,52.166.119.99,HSTS,173,False,Microsoft Corporation,,,azure,True,,,,https://login.microsoftonline.com/0394648b-f742-4dbf-9f6b-7e3d2befcc90/oauth2/authorize?client_id=4fd00760-e0b4-49a3-a319-2d412952687f&redirect_uri=https%3A%2F%2Faddresslocator-acc.bcc.nl%2Fsignin-oidc&response_type=id_token&scope=openid%20profile&response_mode=form_post&nonce=638202396270953324.ZGQ5YTJiYjctYjhhYy00M2FiLThkMDctZjAyMmMwYzc5NjMyMWE2YmMwZmEtMDY5MS00ZGRmLTg4OTktN2I3NDQ2YjFjN2E3&state=CfDJ8EDhVlIWK-pCj5b9pMEkVeNhXjMjJqgXhAM07kg071RIhZXcPc_qjLnCZwo4VymI7Jn_XTalGeOTaEm0OzG8CA59t1iLpfi1q7TlYzywZZOgPjDi4gpDTfD29orn8IP1i3s3CWY0JxdF-eiiYLRVDsF-lROxPp1CKm0ULHYK2YxZA00jG1xWXdzcKJNOIIs0y_YEad3cfEwfvMTxWeRHaRl7SUim4JD0L72DCr9GnNYZXdMC8ANmBeuNRLODw8asJzqMGXaODLUssdFJ6Sw7vMxWJflmSwIAVcCcSl6Zd9Gf2A0ivJl0dk0ZPgrAq17E2w&x-client-SKU=ID_NETSTANDARD2_0&x-client-ver=6.10.0.0
addresslocator-test.bcc.nl,Sign in to your account,200,204824,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,2024-03-02T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,4ceb9ced5b9a448baf4eb595cb5ac3ac,451bd20790847897690ff09ec60812993db03eef241cb1e2b1054c370205650c,ctls,login.microsoftonline.com,443,https://addresslocator-test.bcc.nl:443,https,,text/html,GET,40.118.100.127,/,-1840324437,40.118.100.127,HSTS,174,False,Microsoft Corporation,,,azure,True,,,,https://login.microsoftonline.com/0394648b-f742-4dbf-9f6b-7e3d2befcc90/oauth2/authorize?client_id=bb4b456a-7ecb-4204-9072-6e0fcc6700cc&redirect_uri=https%3A%2F%2Faddresslocator-test.bcc.nl%2Fsignin-oidc&response_type=id_token&scope=openid%20profile&response_mode=form_post&nonce=638202396269832633.YmZiMjZhYzItYTJlYi00NzQ2LThkYTYtZTU1YmE3MWMwNTMxMzdjYTdhMTItYzc0OS00YTE4LTkwOWEtMzg5ZmFjMDQxNzc5&state=CfDJ8APTLF49VBRMh2gQqWRG5r0RPAvyaF4aQUZFEkZlt4tIMYfeJFMHoNIBRDKE0AouYE-5qLSoyAsJuls0FuS_d724LbIl_A5Z-OzSfWbh1H88sBcYDdemeVe0uvDDl0vp9AdvljzmwiIa00QI_zd8YNbAP6w27x1ARVO0Lvh6jytCuSwVvKUlwzN5iMjMl95eYPAVy8accsbBomoJht0B7gLnoEd3DEtHCP0fW0ZV5E9JcXV8BDxasOpwEWHJtmPh9KuQ5kERaBe7s5g5Na7TvkTOtxg6zlG5GHYqDJcPW0-AlIYZvYvZWi83pZroyqF79A&x-client-SKU=ID_NETSTANDARD2_0&x-client-ver=6.10.0.0
addresslocator.bcc.nl,Sign in to your account,200,206955,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-24T00:00:00Z,2024-02-24T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,5a0c035fd36e190a9a002ffd08801cce,51cfd1c52666a532589d6759379eab229c80ad93cf9e47beb8519dd205096065,ctls,login.microsoftonline.com,443,https://addresslocator.bcc.nl:443,https,,text/html,GET,52.178.114.226,/,-1840324437,52.178.114.226,HSTS,174,False,Microsoft Corporation,,,azure,True,,,,https://login.microsoftonline.com/0394648b-f742-4dbf-9f6b-7e3d2befcc90/oauth2/authorize?client_id=1339eb68-ab0d-47c8-82d1-c00ed6a678a9&redirect_uri=https%3A%2F%2Faddresslocator.bcc.nl%2Fsignin-oidc&response_type=id_token&scope=openid%20profile&response_mode=form_post&nonce=638202396270919378.ZWIwN2FhODMtNTA0MS00N2NkLTg1NjEtYTNkYTJhYTAyYzMyMTA1MTljZDctNDA4Ni00Zjc4LTg5ZjEtYTVjOGI0ZjA3ZGM3&state=CfDJ8HXk416w0nhEuaDorjiSifRq7Etv57eOOJu7UEkUVW9Knn8q-44iRocFclkKhCVWFRINdlYfZ2TtzuDIeUMl2FN22eTIdFqcAuCvFPetNFysXcpDRE2ZxaRG5yGAQZ4v9XPKYqedV55GVUFPZbagpkhwdM5fJaYGAhw85iUseO-ar-qpxk1A22j_VG0ceXaf3lYSRcU6VErPkwNVAOoPc_FPCaqdYmnCqlkx3IKezGLrcFBivP2tpPe_a73TNv5YdbpU7xEXXtYGwD8t9FI2_h7fV5gIFYcgWO3WlU3SKU9qRKi1Im7S9yNiUMvBBgxsjw&x-client-SKU=ID_NETSTANDARD2_0&x-client-ver=6.10.0.0
admin.techsupport.bcc.nl,,404,67,,,,,,,,,,,,,,,,,,80,http://admin.techsupport.bcc.nl:80,http,Vercel,text/plain,GET,76.76.21.9,/,1307429962,76.76.21.241,Vercel,4,False,,,,,,,,,
