new,host,ttl,a,cname,soa,status_code,ns,has_internal_ips,internal_ips,txt,cdn,cdn-name,mx,aaaa,caa
[x],api-fedservicestg2.cusa.canon.com,600,,fedservicestg2.cusa.canon.com,"{'name': 'cusa.canon.com', 'ns': 'mvhost.cusa.canon.com', 'mailbox': 'postmaster.cusa.canon.com', 'serial': 2024102401, 'refresh': 600, 'retry': 3600, 'expire': 1209600, 'minttl': 600}, {'name': 'cusa.canon.com', 'ns': 'mvhost.cusa.canon.com', 'mailbox': 'postmaster.cusa.canon.com', 'serial': 2024102401, 'refresh': 600, 'retry': 3600, 'expire': 1209600, 'minttl': 600}, {'name': 'cusa.canon.com', 'ns': 'mvhost.cusa.canon.com', 'mailbox': 'postmaster.cusa.canon.com', 'serial': 2024102401, 'refresh': 600, 'retry': 3600, 'expire': 1209600, 'minttl': 600}",NOERROR,,,,,,,,,
[x],canon.com,600,"3.114.173.44, 54.64.11.17, 35.76.239.53, 35.74.131.138",,"{'name': 'canon.com', 'ns': '01.dnsv.jp', 'mailbox': 'hostmaster.dnsv.jp', 'serial': 1730068805, 'refresh': 86400, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'canon.com', 'ns': '01.dnsv.jp', 'mailbox': 'hostmaster.dnsv.jp', 'serial': 1730068805, 'refresh': 86400, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'canon.com', 'ns': '01.dnsv.jp', 'mailbox': 'hostmaster.dnsv.jp', 'serial': 1730068805, 'refresh': 86400, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'canon.com', 'ns': '01.dnsv.jp', 'mailbox': 'hostmaster.dnsv.jp', 'serial': 1730068805, 'refresh': 86400, 'retry': 900, 'expire': 604800, 'minttl': 3600}, {'name': 'canon.com', 'ns': '01.dnsv.jp', 'mailbox': 'hostmaster.dnsv.jp', 'serial': 1730068805, 'refresh': 86400, 'retry': 900, 'expire': 604800, 'minttl': 3600}",NOERROR,"ns2.canon.net, ns2.jp.canon.com, ns1.canon.net, ns3.jp.canon.com, ns1.jp.canon.com",,,"pardot827683=9e3954e148555f041319f0515166adb49b4f5dc33c6a0b7de9eba95085650126, facebook-domain-verification=6kobmkzantck32ytcu9ya7p871dc9v, v=spf1 -all",,,,,
[x],cpgmuisso.cusa.canon.com,600,10.225.16.83,,"{'name': 'cusa.canon.com', 'ns': 'mvhost.cusa.canon.com', 'mailbox': 'postmaster.cusa.canon.com', 'serial': 2024102401, 'refresh': 600, 'retry': 3600, 'expire': 1209600, 'minttl': 600}, {'name': 'cusa.canon.com', 'ns': 'mvhost.cusa.canon.com', 'mailbox': 'postmaster.cusa.canon.com', 'serial': 2024102401, 'refresh': 600, 'retry': 3600, 'expire': 1209600, 'minttl': 600}, {'name': 'cusa.canon.com', 'ns': 'mvhost.cusa.canon.com', 'mailbox': 'postmaster.cusa.canon.com', 'serial': 2024102401, 'refresh': 600, 'retry': 3600, 'expire': 1209600, 'minttl': 600}, {'name': 'cusa.canon.com', 'ns': 'mvhost.cusa.canon.com', 'mailbox': 'postmaster.cusa.canon.com', 'serial': 2024102401, 'refresh': 600, 'retry': 3600, 'expire': 1209600, 'minttl': 600}, {'name': 'cusa.canon.com', 'ns': 'mvhost.cusa.canon.com', 'mailbox': 'postmaster.cusa.canon.com', 'serial': 2024102401, 'refresh': 600, 'retry': 3600, 'expire': 1209600, 'minttl': 600}",NOERROR,,True,10.225.16.83,,,,,,
[x],data.scan.dis.cusa.canon.com,180,"54.176.125.32, 52.9.209.209",,"{'name': 'data.scan.dis.cusa.canon.com', 'ns': 'ns-1901.awsdns-45.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'data.scan.dis.cusa.canon.com', 'ns': 'ns-1901.awsdns-45.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'data.scan.dis.cusa.canon.com', 'ns': 'ns-1901.awsdns-45.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'data.scan.dis.cusa.canon.com', 'ns': 'ns-1901.awsdns-45.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,"ns-554.awsdns-05.net, ns-143.awsdns-17.com, ns-1901.awsdns-45.co.uk, ns-1249.awsdns-28.org",,,,,,,,
[x],dev.scan.dis.cusa.canon.com,60,"205.251.192.133, 205.251.194.36, 205.251.196.67, 205.251.198.189",,"{'name': 'dev.scan.dis.cusa.canon.com', 'ns': 'ns-1725.awsdns-23.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'dev.scan.dis.cusa.canon.com', 'ns': 'ns-1725.awsdns-23.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'dev.scan.dis.cusa.canon.com', 'ns': 'ns-1725.awsdns-23.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'dev.scan.dis.cusa.canon.com', 'ns': 'ns-1725.awsdns-23.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'dev.scan.dis.cusa.canon.com', 'ns': 'ns-1725.awsdns-23.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,"ns-133.awsdns-16.com, ns-1725.awsdns-23.co.uk, ns-1091.awsdns-08.org, ns-548.awsdns-04.net",,,,,,,,
[x],emx1.dis.cusa.canon.com,300,10.221.135.30,,"{'name': 'dis.cusa.canon.com', 'ns': 'ns-cloud-d1.googledomains.com', 'mailbox': 'cloud-dns-hostmaster.google.com', 'serial': 1, 'refresh': 21600, 'retry': 3600, 'expire': 259200, 'minttl': 300}, {'name': 'dis.cusa.canon.com', 'ns': 'ns-cloud-d1.googledomains.com', 'mailbox': 'cloud-dns-hostmaster.google.com', 'serial': 1, 'refresh': 21600, 'retry': 3600, 'expire': 259200, 'minttl': 300}, {'name': 'dis.cusa.canon.com', 'ns': 'ns-cloud-d1.googledomains.com', 'mailbox': 'cloud-dns-hostmaster.google.com', 'serial': 1, 'refresh': 21600, 'retry': 3600, 'expire': 259200, 'minttl': 300}, {'name': 'dis.cusa.canon.com', 'ns': 'ns-cloud-d1.googledomains.com', 'mailbox': 'cloud-dns-hostmaster.google.com', 'serial': 1, 'refresh': 21600, 'retry': 3600, 'expire': 259200, 'minttl': 300}, {'name': 'dis.cusa.canon.com', 'ns': 'ns-cloud-d1.googledomains.com', 'mailbox': 'cloud-dns-hostmaster.google.com', 'serial': 1, 'refresh': 21600, 'retry': 3600, 'expire': 259200, 'minttl': 300}, {'name': 'dis.cusa.canon.com', 'ns': 'ns-cloud-d1.googledomains.com', 'mailbox': 'cloud-dns-hostmaster.google.com', 'serial': 1, 'refresh': 21600, 'retry': 3600, 'expire': 259200, 'minttl': 300}",NOERROR,,True,10.221.135.30,,,,,,
[x],mbapp-dev.dis.cusa.canon.com,300,"143.204.98.32, 143.204.98.54, 143.204.98.49, 143.204.98.68",d4smlh8zf8srm.cloudfront.net,"{'name': 'd4smlh8zf8srm.cloudfront.net', 'ns': 'ns-208.awsdns-26.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd4smlh8zf8srm.cloudfront.net', 'ns': 'ns-208.awsdns-26.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd4smlh8zf8srm.cloudfront.net', 'ns': 'ns-208.awsdns-26.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,,,True,cloudfront,,"2600:9000:2156:e000:a:a4b7:a880:93a1, 2600:9000:2156:f400:a:a4b7:a880:93a1, 2600:9000:2156:400:a:a4b7:a880:93a1, 2600:9000:2156:4a00:a:a4b7:a880:93a1, 2600:9000:2156:9a00:a:a4b7:a880:93a1, 2600:9000:2156:a200:a:a4b7:a880:93a1, 2600:9000:2156:b000:a:a4b7:a880:93a1, 2600:9000:2156:d200:a:a4b7:a880:93a1",
[x],mbapp-prod.dis.cusa.canon.com,241,,,"{'name': 'dis.cusa.canon.com', 'ns': 'ns-cloud-d1.googledomains.com', 'mailbox': 'cloud-dns-hostmaster.google.com', 'serial': 1, 'refresh': 21600, 'retry': 3600, 'expire': 259200, 'minttl': 300}, {'name': 'dis.cusa.canon.com', 'ns': 'ns-cloud-d1.googledomains.com', 'mailbox': 'cloud-dns-hostmaster.google.com', 'serial': 1, 'refresh': 21600, 'retry': 3600, 'expire': 259200, 'minttl': 300}, {'name': 'dis.cusa.canon.com', 'ns': 'ns-cloud-d1.googledomains.com', 'mailbox': 'cloud-dns-hostmaster.google.com', 'serial': 1, 'refresh': 21600, 'retry': 3600, 'expire': 259200, 'minttl': 300}, {'name': 'dis.cusa.canon.com', 'ns': 'ns-cloud-d1.googledomains.com', 'mailbox': 'cloud-dns-hostmaster.google.com', 'serial': 1, 'refresh': 21600, 'retry': 3600, 'expire': 259200, 'minttl': 300}, {'name': 'dis.cusa.canon.com', 'ns': 'ns-cloud-d1.googledomains.com', 'mailbox': 'cloud-dns-hostmaster.google.com', 'serial': 1, 'refresh': 21600, 'retry': 3600, 'expire': 259200, 'minttl': 300}, {'name': 'dis.cusa.canon.com', 'ns': 'ns-cloud-d1.googledomains.com', 'mailbox': 'cloud-dns-hostmaster.google.com', 'serial': 1, 'refresh': 21600, 'retry': 3600, 'expire': 259200, 'minttl': 300}, {'name': 'dis.cusa.canon.com', 'ns': 'ns-cloud-d1.googledomains.com', 'mailbox': 'cloud-dns-hostmaster.google.com', 'serial': 1, 'refresh': 21600, 'retry': 3600, 'expire': 259200, 'minttl': 300}",NOERROR,,,,,,,,,
[x],mbapp-qa.dis.cusa.canon.com,300,"18.239.18.91, 18.239.18.58, 18.239.18.47, 18.239.18.8",d2v7v59xu8yi06.cloudfront.net,"{'name': 'd2v7v59xu8yi06.cloudfront.net', 'ns': 'ns-643.awsdns-16.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd2v7v59xu8yi06.cloudfront.net', 'ns': 'ns-643.awsdns-16.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd2v7v59xu8yi06.cloudfront.net', 'ns': 'ns-643.awsdns-16.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,"ns-643.awsdns-16.net, ns-1261.awsdns-29.org, ns-145.awsdns-18.com, ns-2004.awsdns-58.co.uk",,,,True,cloudfront,,"2600:9000:266e:3e00:0:d1c7:e980:93a1, 2600:9000:266e:de00:0:d1c7:e980:93a1, 2600:9000:266e:f000:0:d1c7:e980:93a1, 2600:9000:266e:6000:0:d1c7:e980:93a1, 2600:9000:266e:2800:0:d1c7:e980:93a1, 2600:9000:266e:5800:0:d1c7:e980:93a1, 2600:9000:266e:4a00:0:d1c7:e980:93a1, 2600:9000:266e:d600:0:d1c7:e980:93a1",
[x],mbapp-staging.dis.cusa.canon.com,259,,dobbfnrsi5b1y.cloudfront.net,"{'name': 'dobbfnrsi5b1y.cloudfront.net', 'ns': 'ns-948.awsdns-54.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'dobbfnrsi5b1y.cloudfront.net', 'ns': 'ns-948.awsdns-54.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'dobbfnrsi5b1y.cloudfront.net', 'ns': 'ns-948.awsdns-54.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,"ns-333.awsdns-41.com, ns-948.awsdns-54.net, ns-1523.awsdns-62.org, ns-1741.awsdns-25.co.uk",,,,True,cloudfront,,"2600:9000:225e:0:16:b91e:4d80:93a1, 2600:9000:225e:4a00:16:b91e:4d80:93a1, 2600:9000:225e:4c00:16:b91e:4d80:93a1, 2600:9000:225e:8a00:16:b91e:4d80:93a1, 2600:9000:225e:4800:16:b91e:4d80:93a1, 2600:9000:225e:1400:16:b91e:4d80:93a1, 2600:9000:225e:5800:16:b91e:4d80:93a1, 2600:9000:225e:3200:16:b91e:4d80:93a1",
