new,host,a,cname,soa,status_code,cdn,cdn-name,has_internal_ips,internal_ips,aaaa,caa,ns,mx,txt
,engineering.swipely.com,34.67.27.80,swipely.com,"ns-1656.awsdns-15.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,"ns-696.awsdns-23.net, ns-1193.awsdns-21.org, ns-322.awsdns-40.com, ns-1656.awsdns-15.co.uk","aspmx4.googlemail.com, aspmx2.googlemail.com, aspmx3.googlemail.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx5.googlemail.com, aspmx.l.google.com","v=spf1 a mx include:aspmx.googlemail.com include:sendgrid.net include:mktomail.com include:email.freshservice.com -all, apple-domain-verification=SkSTe18Og9OquiwY, google-site-verification=KJ8pVVmxNDZjg6ZOZ6oMzEUaRbrp-iog3rRr-w1lFPw, google-site-verification=wdO04bf2qCLSJMWa84cyxnxCH_KxZxuO3ta6Sykqcyk"
,eqhealthcare.syncovh.swipely.com,34.231.80.4,,"ns-1656.awsdns-15.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,et.upserve.com,34.231.80.4,redirect.upserve.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,euyansanantivirus.swipely.com,34.231.80.4,,"ns-1656.awsdns-15.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,fbipbeshost01.upserve.com,,redirect.upserve.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,feeds.upserve.com,34.231.80.4,redirect.upserve.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,foodiesayswhat.swipely.com,54.209.194.164,,"ns-1656.awsdns-15.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,formidresources.upserve.com,34.231.80.4,redirect.upserve.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,freakyfresh.fr.upserve.com,34.231.80.4,redirect.upserve.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,fw.ecs-lb.breadcrumb.com,34.231.80.4,redirect.upserve.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,gate.upserve.com,34.231.80.4,redirect.upserve.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,gearworks.business.mapping.breadcrumb.com,34.231.80.4,redirect.upserve.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,george.ecs-lb.breadcrumb.com,34.231.80.4,redirect.upserve.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,get.upserve.com,"104.18.9.20, 104.18.8.20",,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,"2606:4700::6812:814, 2606:4700::6812:914",,,,
,go.breadcrumb.com,34.231.80.4,redirect.upserve.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,go.swipely.com,52.184.251.130,mkto-sj010018.com,,NOERROR,True,azure,,,,,,,v=spf1 -all
,go.upserve.com,52.184.251.130,mkto-sj010018.com,"ns1.marketo.com, ops.localhost",NOERROR,True,azure,,,,,"ns2.mktdns.com, ns3.marketo.co.uk, ns1.marketo.com",,v=spf1 -all
,groups.swipely.com,34.231.80.4,,"ns-1656.awsdns-15.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,groups.upserve.com,142.251.32.83,ghs.google.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,2607:f8b0:400b:807::2013,,,,
,h-135-207-134-76.euyansanantivirus.swipely.com,34.231.80.4,,"ns-1656.awsdns-15.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,h-135-207-253-66.careers.swipely.com,34.231.80.4,,"ns-1656.awsdns-15.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,h232-133.upserve.com,34.231.80.4,redirect.upserve.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,hanahiltonbbcreditpathblue.app.swipely.com,34.231.80.4,,"ns-1656.awsdns-15.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,heimdall.upserve.com,"54.88.97.43, 34.205.254.179",heimdall-onelogin-access-1003238415.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,hello.upserve.com,"54.85.128.104, 18.235.9.115, 18.209.131.43",custom-tracking.salesloft.com,"ns-834.awsdns-40.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,"comodoca.com, letsencrypt.org, digicert.com, pki.goog",,,
,help.645892349820.vulnerbug.com,35.205.61.67,,,NOERROR,True,google,,,,,"ns1.csof.net, ns6.csof.net, ns5.csof.net, ns8.csof.net, ns7.csof.net, ns2.csof.net, ns3.csof.net, ns4.csof.net","mx1.csof.net, mx2.csof.net","v=DMARC1; p=reject; rua=mailto:dmarc_report@mail.liamfactory.com; ruf=mailto:dmarc_report@mail.liamfactory.com; fo=1; pct=100, v=spf1 include:_incspfcheck.mailspike.net -all"
,help.upserve.com,"85.222.140.10, 85.222.140.13, 85.222.140.11","help.upserve.com.00dc0000000pzj5mac.live.siteforce.com, n.edge2.salesforce.com, europe.edge2.salesforce.com, fra.edge2.salesforce.com","dns1.p02.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
,home-stagingteamhelp.upserve.com,34.231.80.4,redirect.upserve.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,host-214-60-75-75.645892349820.vulnerbug.com,35.205.61.67,,"ns8.csof.net, hostmaster.com",NOERROR,True,google,,,,,"ns8.csof.net, ns4.csof.net, ns5.csof.net, ns3.csof.net, ns7.csof.net, ns6.csof.net, ns2.csof.net, ns1.csof.net","mx2.csof.net, mx1.csof.net","v=spf1 include:_incspfcheck.mailspike.net -all, v=DMARC1; p=reject; rua=mailto:dmarc_report@mail.liamfactory.com; ruf=mailto:dmarc_report@mail.liamfactory.com; fo=1; pct=100"
,hostmaster.swipely.com,34.231.80.4,,"ns-1656.awsdns-15.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,hostmaster.upserve.com,34.231.80.4,redirect.upserve.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,hq-api.upserve.com,"18.214.22.211, 18.208.5.92",p-alb-external-1439100395.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,hq-internal.breadcrumb.com,"10.18.100.85, 10.18.100.59, 10.18.100.72",internal-p-alb-internal-1521728589.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,True,"10.18.100.85, 10.18.100.59, 10.18.100.72",,,,,
,hq-prod.breadcrumb.com,"34.226.110.224, 35.171.15.230",p-alb-external-235947716.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,hq.breadcrumb.com,"35.171.15.230, 34.226.110.224",p-alb-external-235947716.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,hq.staging.breadcrumb.com,"10.18.10.44, 10.18.10.28",internal-s-alb-external-603211658.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,True,"10.18.10.44, 10.18.10.28",,,,,
,hq.staging.upserve.com,"10.10.103.242, 10.10.103.207",internal-s-alb-external-1342464096.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,True,"10.10.103.242, 10.10.103.207",,,,,
,hq.upserve.com,"18.208.5.92, 18.214.22.211",p-alb-external-1439100395.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,hvacteamhelp.upserve.com,34.231.80.4,redirect.upserve.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,ibg.upserve.com,34.231.80.4,redirect.upserve.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,icinga01-dca1.euyansanantivirus.swipely.com,34.231.80.4,,"ns-1656.awsdns-15.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,images.upserve.com,34.231.80.4,redirect.upserve.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,img02.upserve.com,34.231.80.4,redirect.upserve.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,info.upserve.com,34.231.80.4,redirect.upserve.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,internal-app.staging.upserve.com,"10.10.103.27, 10.10.103.9",internal-s-alb-internal-1803939601.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,True,"10.10.103.27, 10.10.103.9",,,,,
,internal-app.swipely.com,54.209.194.164,,"ns-1656.awsdns-15.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,internal.staging.breadcrumb.com,,,"ns-1083.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,"ns-837.awsdns-40.net, ns-264.awsdns-33.com, ns-1629.awsdns-11.co.uk, ns-1083.awsdns-07.org",,
,internal.upserve.com,,,"ns-1423.awsdns-49.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,"ns-151.awsdns-18.com, ns-1879.awsdns-42.co.uk, ns-890.awsdns-47.net, ns-1423.awsdns-49.org",,
,intersect.upserve.com,34.231.80.4,redirect.upserve.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,intranet.swipely.com,34.231.80.4,,"ns-1656.awsdns-15.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,inventory.staging.upserve.com,"10.20.10.41, 10.20.10.55",internal-s-alb-external-2124553040.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,True,"10.20.10.41, 10.20.10.55",,,,,
,inventory.upserve.com,"18.209.40.40, 3.94.177.106",p-alb-external-127551444.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,irm.notifications.swipely.com,34.231.80.4,,"ns-1656.awsdns-15.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,iugigapop.euyansanantivirus.swipely.com,34.231.80.4,,"ns-1656.awsdns-15.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,jenkins.upserve.com,54.209.194.164,,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,js.tsemmler.devhelp.upserve.com,34.231.80.4,redirect.upserve.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,kp.ecs-lb.breadcrumb.com,34.231.80.4,redirect.upserve.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,kursnaslub.upserve.com,34.231.80.4,redirect.upserve.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,l.eclick.upserve.com,34.231.80.4,redirect.upserve.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,learn.swipely.com,34.231.80.4,,"ns-1656.awsdns-15.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,liboguojiyulechengorders.upserve.com,34.231.80.4,redirect.upserve.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,lists.upserve.com,34.231.80.4,redirect.upserve.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,litteraturensveje.swipely.com,34.231.80.4,,"ns-1656.awsdns-15.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,log02.upserve.com,34.231.80.4,redirect.upserve.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,login.staging.upserve.com,"104.18.102.2, 104.18.103.2",upserve-staging-cd-ewozn8opqjggxg3h.edge.tenants.auth0.com,"kolton.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,"2606:4700::6812:6702, 2606:4700::6812:6602","digicert.com, letsencrypt.org",,,
,login.upserve.com,"104.18.103.2, 104.18.102.2",upserve-cd-8ox8r57vsnbt92li.edge.tenants.auth0.com,"kolton.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,"2606:4700::6812:6602, 2606:4700::6812:6702","letsencrypt.org, digicert.com",,,
,lyncdiscover.imresources.upserve.com,34.231.80.4,redirect.upserve.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,mail.swipely.com,142.250.185.115,ghs.google.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,2a00:1450:4010:c06::79,,,,
,mail.upserve.com,108.177.14.121,ghs.google.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,2a00:1450:4010:c07::79,,,,
,mail.www2teamhelp.upserve.com,34.231.80.4,redirect.upserve.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,mapping.breadcrumb.com,34.231.80.4,redirect.upserve.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,mc.upserve.com,34.231.80.4,redirect.upserve.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,mci.upserve.com,,redirect.upserve.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,mediasiteorders.upserve.com,,redirect.upserve.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,menu.upserve.com,34.231.80.4,redirect.upserve.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,messages.staging.upserve.com,"10.10.103.207, 10.10.103.242",internal-s-alb-external-1342464096.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,True,"10.10.103.207, 10.10.103.242",,,,,
,messages.upserve.com,"18.214.22.211, 18.208.5.92",p-alb-external-1439100395.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,mg.upserve.com,34.231.80.4,redirect.upserve.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,mh.upserve.com,34.231.80.4,redirect.upserve.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,mn.hq.breadcrumb.com,34.231.80.4,redirect.upserve.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,mobilepay.swipely.com,"34.236.204.156, 174.129.254.181",p-alb-external-1926531697.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,mossy.breadcrumb.com,"34.226.110.224, 35.171.15.230",p-alb-external-235947716.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,mossy.staging.breadcrumb.com,"10.18.10.28, 10.18.10.44",internal-s-alb-external-603211658.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,True,"10.18.10.28, 10.18.10.44",,,,,
,mr.upserve.com,34.231.80.4,redirect.upserve.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,mta49teamhelp.upserve.com,34.231.80.4,redirect.upserve.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,myaccount.upserve.com,"92.123.104.6, 92.123.104.35","myaccount.upserve.com.hosting.netsuite.com, myaccount.upserve.com.e106383.c4510329.hosting.netsuite.com.edgekey.net, e114313.x.akamaiedge.net","n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,mysql.upserve.com,34.231.80.4,redirect.upserve.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,mytumblingthoughts.cards.swipely.com,34.231.80.4,,"ns-1656.awsdns-15.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,ncards.swipely.com,34.231.80.4,,"ns-1656.awsdns-15.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,new.upserve.com,34.231.80.4,redirect.upserve.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,news.upserve.com,34.231.80.4,redirect.upserve.com,,NOERROR,,,,,,,,,
,newsfeeds.upserve.com,34.231.80.4,redirect.upserve.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,notifications.swipely.com,34.67.27.80,swipely.com,"ns-1656.awsdns-15.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,"ns-322.awsdns-40.com, ns-696.awsdns-23.net, ns-1193.awsdns-21.org, ns-1656.awsdns-15.co.uk","aspmx2.googlemail.com, aspmx3.googlemail.com, aspmx4.googlemail.com, aspmx5.googlemail.com, aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com","google-site-verification=wdO04bf2qCLSJMWa84cyxnxCH_KxZxuO3ta6Sykqcyk, v=spf1 a mx include:aspmx.googlemail.com include:sendgrid.net include:mktomail.com include:email.freshservice.com -all, apple-domain-verification=SkSTe18Og9OquiwY, google-site-verification=KJ8pVVmxNDZjg6ZOZ6oMzEUaRbrp-iog3rRr-w1lFPw"
,nteamhelp.upserve.com,34.231.80.4,redirect.upserve.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,ntheacademy.upserve.com,34.231.80.4,redirect.upserve.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,o1.engagement.swipely.com,208.115.239.116,,"ns-1656.awsdns-15.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,o1.notifications.swipely.com,,,"ns-1656.awsdns-15.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,o1.swipely.com,,,"ns-1656.awsdns-15.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,ocfanet.upserve.com,34.231.80.4,redirect.upserve.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,onlineordering.upserve.com,34.67.27.80,,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,,,,,,ca3-cc3f13f5b74345eaa8e583cf08d962ca
,optionversions.upserve.com,34.231.80.4,redirect.upserve.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,order.upserve.com,34.231.80.4,redirect.upserve.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,orders.upserve.com,"18.214.22.211, 18.208.5.92",p-alb-external-1439100395.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,owa01.upserve.com,34.231.80.4,redirect.upserve.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,p-vpc-lb.upserve.com,34.231.80.4,,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,p304-fmfweb.swipely.com,34.231.80.4,,"ns-1656.awsdns-15.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,partners.swipely.com,34.231.80.4,,"ns-1656.awsdns-15.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,payments.breadcrumb.com,"34.236.204.156, 174.129.254.181",p-alb-external-1926531697.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,payments.staging.breadcrumb.com,"10.12.115.157, 10.12.115.132",internal-s-alb-external-645176727.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,True,"10.12.115.157, 10.12.115.132",,,,,
,payments.staging.upserve.com,"10.12.115.157, 10.12.115.132",internal-s-alb-external-645176727.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,True,"10.12.115.157, 10.12.115.132",,,,,
,payments.upserve.com,"174.129.254.181, 34.236.204.156",p-alb-external-1926531697.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,payments3.upserve.com,34.231.80.4,redirect.upserve.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,pci.upserve.com,34.231.80.4,redirect.upserve.com,"jay.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
