input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_wildcard_certificate,tls_subject_org_,tls_mismatched,final_url,tls_self_signed,csp_domains_
*.actions.githubusercontent.com,Fastly error: unknown domain actions.githubusercontent.com,500,286,actions.githubusercontent.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2024-03-20T23:59:59Z,"CN=*.github.io, O=GitHub\, Inc., L=San Francisco, ST=California, C=US",*.github.io,githubusercontent.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f45a0dd4c867ee46fb7560d0015132c3,382cd42d33c02bc6678e657ce17b846d0473a7e791cdb35b8ead901af1e11a08,ctls,actions.githubusercontent.com,,443,https://actions.githubusercontent.com:443,https,Varnish,text/html,GET,185.199.110.133,/,-1328499539,185.199.109.133,Varnish,8,False,,True,"GitHub, Inc.",True,,,
ablinks.notifications.verse.me,404 Not Found,404,564,ablinks.notifications.verse.me,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-25T00:26:51Z,2023-06-23T00:26:50Z,CN=ablinks.notifications.verse.me,ablinks.notifications.verse.me,ablinks.notifications.verse.me,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,a35d85ccac6e343779cad0706c899bae,a02c314c02d79982c65a0b07b40818a4d56147f92b9edd227decdf934d1c1e8d,ctls,ablinks.notifications.verse.me,google,443,https://ablinks.notifications.verse.me:443,https,nginx,text/html,GET,35.241.43.191,/,1506877856,35.241.43.191,Nginx,14,False,True,,,,,,
ambassadors.joinverse.com,,404,74,ambassadors.joinverse.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-25T00:30:21Z,2023-06-23T00:30:20Z,CN=www.joinverse.com,www.joinverse.com,www.joinverse.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,2004c33bdb40aaeb92394131705bf2a1,817409435b14460f00770740fa93f4b46accd8a88e97f8aabde62148b347b530,ctls,ambassadors.joinverse.com,google,443,https://ambassadors.joinverse.com:443,https,,text/plain,GET,35.241.43.191,/,-1446740353,35.241.43.191,HTTP/3,2,False,True,,,True,,,
api.cash.app,,404,,,,,,,,,,,,,,,,,,,fastly,80,http://api.cash.app:80,http,istio-envoy,,GET,146.75.122.133,/,-1840324437,146.75.122.133,Varnish,1,False,True,,,,,,
api.cashstaging.app,,404,,api.cashstaging.app,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-30T20:59:13Z,2023-07-29T20:59:12Z,CN=api.cashstaging.app,api.cashstaging.app,api.cashstaging.app,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,a41d8255bd1ed6e8ec8a613f1be03bd5,5938a47f547100c2ef5bd648b05deb0ecde277452e504a3f38c9e8981a998bfb,ctls,api.cashstaging.app,fastly,443,https://api.cashstaging.app:443,https,istio-envoy,,GET,151.101.2.133,/,-1840324437,151.101.194.133,Varnish,1,False,True,,,,,,
api.github.com,,200,2262,api.github.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-16T00:00:00Z,2024-03-15T23:59:59Z,"CN=*.github.com, O=GitHub\, Inc., L=San Francisco, ST=California, C=US",*.github.com,github.com,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,ba7af2959dadde12f1b1a0d702a8b70a,b6174d4c3ec5ae768610ad705544b4600e514a55718a94c636563cbaa4dd664c,ctls,api.github.com,,443,https://api.github.com:443,https,GitHub.com,application/json,GET,140.82.121.6,/,1848946384,140.82.121.6,HSTS,1,False,,True,"GitHub, Inc.",,,,
api.usc1.taxes.cashstaging.app,,404,74,api.usc1.taxes.cashstaging.app,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-03T04:14:55Z,2023-07-02T05:05:27Z,CN=api.taxes.cashstaging.app,api.taxes.cashstaging.app,api.taxes.cashstaging.app,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,644c5ee447e3ba51e64ba2bc2391b166,4338a2648a8476a09c1c44d5ad2802c078e5282e53989d82b4193f88f89389b9,ctls,api.usc1.taxes.cashstaging.app,google,443,https://api.usc1.taxes.cashstaging.app:443,https,,text/plain,GET,34.117.5.177,/,-1446740353,34.117.5.177,HTTP/3,2,False,True,,,True,,,
app.joinverse.com,Not Found,404,179,app.joinverse.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-25T00:27:03Z,2023-06-23T00:27:02Z,CN=app.joinverse.com,app.joinverse.com,app.joinverse.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,59c79730f734749ec105359b5e435330,2ab47580b7bcfc9e3dd2a7dab1ed7319dc249c5898646554fb9a17629261455f,ctls,app.joinverse.com,google,443,https://app.joinverse.com:443,https,nginx,text/html,GET,35.227.245.106,/,-909858089,35.227.245.106,Nginx,11,False,True,,,,,,
apparel-supporter.cash.app,,404,,apparel-supporter.cash.app,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-16T15:03:08Z,2023-06-14T15:03:07Z,CN=apparel-supporter.cash.app,apparel-supporter.cash.app,apparel-supporter.cash.app,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,aa37ab8cb547515287e1614118285013,fa4941f84dabbda26924833b5ee8b4929439ee4eb5ab5aec8deecf419dabece0,ctls,apparel-supporter.cash.app,fastly,443,https://apparel-supporter.cash.app:443,https,istio-envoy,,GET,146.75.122.133,/,-1840324437,146.75.122.133,Varnish,1,False,True,,,,,,
auto-cash-apps.jimdosite.com,Just a moment...,403,7133,auto-cash-apps.jimdosite.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-05T15:27:53Z,2023-07-04T15:27:52Z,CN=*.jimdosite.com,*.jimdosite.com,jimdosite.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3a049e52fc295569931aa35a4a609684,0cc5b2631762b42ff2e321aa00ecd5e3334b77cfa3b1823b26a393f44bbee04a,ctls,auto-cash-apps.jimdosite.com,cloudflare,443,https://auto-cash-apps.jimdosite.com:443,https,cloudflare,text/html,GET,162.159.128.70,/,-2065545412,2606:4700:7::a29f:8146,Cloudflare Bot Management,87,False,True,True,,,,,
