input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_wildcard_certificate,cdn_name,cdn,tls_subject_org_,final_url
api.fast.samsungmobile.com,HTTP Status 404 – Not Found,404,653,api.fast.samsungmobile.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-01-03T00:00:00Z,2024-02-01T23:59:59Z,CN=*.fast.samsungmobile.com,*.fast.samsungmobile.com,*.fast.samsungmobile.com,"CN=Amazon, OU=Server CA 1B, O=Amazon, C=US",Amazon,Amazon,392ed794a73622807723d00156a77bce,8d866061940ca38438228e75f93c64a8d1ff860383e44c8ec994858fddfbbdcf,ctls,api.fast.samsungmobile.com,443,https://api.fast.samsungmobile.com:443,https,nginx,text/html,GET,63.32.83.43,/,-429556307,54.73.57.103,Nginx,1,False,True,,,,
application.samsungmobile.com,Method Not Allowed,405,147,,,,,,,,,,,,,,,,,,,80,http://application.samsungmobile.com:80,http,Oracle-iPlanet-Web-Server/7.0,text/html,GET,211.45.27.198,/,-601188306,211.45.27.198,,4,False,,,,,
applications.samsungmobile.com,Method Not Allowed,405,147,,,,,,,,,,,,,,,,,,,80,http://applications.samsungmobile.com:80,http,Oracle-iPlanet-Web-Server/7.0,text/html,GET,211.45.27.198,/,-601188306,211.45.27.198,,4,False,,,,,
appmanager.samsungmobile.com,403 - ���� ���� ����: �׼����� �źεǾ����ϴ�.,403,1241,,,,,,,,,,,,,,,,,,,80,http://appmanager.samsungmobile.com:80,http,Microsoft-IIS/10.0,text/html,GET,112.106.161.193,/,1595685348,112.106.161.193,Windows Server,30,False,,,,,
apps.samsungmobile.com,Method Not Allowed,405,147,,,,,,,,,,,,,,,,,,,80,http://apps.samsungmobile.com:80,http,Oracle-iPlanet-Web-Server/7.0,text/html,GET,211.45.27.198,/,-601188306,211.45.27.198,,4,False,,,,,
cloud-neofussvr.samsungmobile.com,Error,404,1072,cloud-neofussvr.samsungmobile.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-06-21T16:51:49Z,2023-09-19T16:51:48Z,CN=neofussvr.samsungmobile.com.akamaized.net,neofussvr.samsungmobile.com.akamaized.net,neofussvr.samsungmobile.com.akamaized.net,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,45b66451d5f8730c5cb7ef4a963ab5eb,3e451df7199f4046d37d9d034a882e705c5d0479048d4489fa3739a4902f4c0c,ctls,cloud-neofussvr.samsungmobile.com,443,https://cloud-neofussvr.samsungmobile.com:443,https,Apache,text/html,GET,2.19.126.68,/,1402672014,2.19.126.96,Imperva,87,False,,,,,
club.cn.samsungmobile.com,Method Not Allowed,405,147,,,,,,,,,,,,,,,,,,,80,http://club.cn.samsungmobile.com:80,http,Oracle-iPlanet-Web-Server/7.0,text/html,GET,211.45.27.198,/,-601188306,211.45.27.198,,4,False,,,,,
diehard4.samsungmobile.com,,200,,diehard4.samsungmobile.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2023-06-18T14:06:01Z,2023-09-16T14:06:00Z,CN=mail.prod.napcabs.com,mail.prod.napcabs.com,mail.prod.napcabs.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e54f3e6cbdb4e09770462ff68983b9d9,c10019af3d99619b383663aac46a37441bf305249bfbc3c7333c2c3da69f7ef5,ctls,diehard4.samsungmobile.com,443,https://diehard4.samsungmobile.com:443,https,Apache/2.4.38 (Debian),text/html,GET,88.198.19.147,/,674516332,88.198.19.147,HSTS,1,False,,,,,
doc.samsungmobile.com,403 Forbidden,403,1990,doc.samsungmobile.com,443,True,tls12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,,2023-03-02T10:14:05Z,2023-09-12T09:31:05Z,"CN=krssl.cdngc.net, O=CDNetworks Inc., L=Diamond Bar, ST=California, C=US",krssl.cdngc.net,*.koreapolyschool.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,a7e42998562a76ef81a1f7c33c3fd481,69eb9a7a4a3087c531a0f1cebe9f7569cf6e8e7319234742cbabdfc351b7e301,ctls,doc.samsungmobile.com,443,https://doc.samsungmobile.com:443,https,PWS/8.3.1.0.8,text/html,GET,163.171.132.18,/,-1394980007,163.171.132.18,,48,False,True,,,CDNetworks Inc.,
music.samsungmobile.com,Invalid URL,400,207,music.samsungmobile.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2023-05-16T00:00:00Z,2024-05-15T23:59:59Z,"CN=a248.e.akamai.net, O=Akamai Technologies\, Inc., L=Cambridge, ST=Massachusetts, C=US",a248.e.akamai.net,*.akamaihd-staging.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1698995d9038e8e48e56122247ea04c1,22723fe90c8cb62a43cc528408564613075e76acf7ff45e9542c7ce77c6db372,ctls,music.samsungmobile.com,443,https://music.samsungmobile.com:443,https,AkamaiGHost,text/html,GET,2.16.238.14,/,2096614020,2.16.238.16,,8,False,True,,,"Akamai Technologies, Inc.",
