input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon_path,a_,tech_,lines,failed,cdn,knowledgebase_PageType,knowledgebase_pHash,favicon,tls_mismatched,final_url,csp_domains_
01687286395agmailcom.mailfoogae.appspot.com,Streak - CRM for Gmail,200,110165,01687286395agmailcom.mailfoogae.appspot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-27T08:35:08Z,2025-04-21T08:35:07Z,CN=*.appspot-preview.com,*.appspot-preview.com,*.app.google,"CN=WR2, O=Google Trust Services, C=US",WR2,Google Trust Services,c3ccb5d8bc1b5304d3c0da5e050d50fc,37e90b2b9f04dd7034a6cf0d22c8a8512cae476ac8b5e96f847208d7e851501d,True,ctls,01687286395agmailcom.mailfoogae.appspot.com,google,443,https://01687286395agmailcom.mailfoogae.appspot.com,https,nginx/1.13.12,text/html,GET,172.217.18.116,/,/5b7f24cc9009731774d7be8e/5ba1051f83f4613795883c4f_logomark_32px.png,172.217.18.116,Nginx:1.13.12,687,False,True,other,0,122795989,True,,
0575j264c9-2.mailfoogae.appspot.com,Streak - CRM for Gmail,200,110165,0575j264c9-2.mailfoogae.appspot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-27T08:35:08Z,2025-04-21T08:35:07Z,CN=*.appspot-preview.com,*.appspot-preview.com,*.app.google,"CN=WR2, O=Google Trust Services, C=US",WR2,Google Trust Services,c3ccb5d8bc1b5304d3c0da5e050d50fc,37e90b2b9f04dd7034a6cf0d22c8a8512cae476ac8b5e96f847208d7e851501d,True,ctls,0575j264c9-2.mailfoogae.appspot.com,google,443,https://0575j264c9-2.mailfoogae.appspot.com,https,nginx/1.13.12,text/html,GET,142.250.184.212,/,/5b7f24cc9009731774d7be8e/5ba1051f83f4613795883c4f_logomark_32px.png,2a00:1450:4001:830::2014,Nginx:1.13.12,687,False,True,other,0,122795989,True,,
09er.mailfoogae.appspot.com,Streak - CRM for Gmail,200,110165,09er.mailfoogae.appspot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-27T08:35:08Z,2025-04-21T08:35:07Z,CN=*.appspot-preview.com,*.appspot-preview.com,*.app.google,"CN=WR2, O=Google Trust Services, C=US",WR2,Google Trust Services,c3ccb5d8bc1b5304d3c0da5e050d50fc,37e90b2b9f04dd7034a6cf0d22c8a8512cae476ac8b5e96f847208d7e851501d,True,ctls,09er.mailfoogae.appspot.com,google,443,https://09er.mailfoogae.appspot.com,https,nginx/1.13.12,text/html,GET,172.217.16.212,/,/5b7f24cc9009731774d7be8e/5ba1051f83f4613795883c4f_logomark_32px.png,2a00:1450:4001:81d::2014,Nginx:1.13.12,687,False,True,other,0,122795989,True,,
2082019216.mailfoogae.appspot.com,Streak - CRM for Gmail,200,110165,2082019216.mailfoogae.appspot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-27T08:35:08Z,2025-04-21T08:35:07Z,CN=*.appspot-preview.com,*.appspot-preview.com,*.app.google,"CN=WR2, O=Google Trust Services, C=US",WR2,Google Trust Services,c3ccb5d8bc1b5304d3c0da5e050d50fc,37e90b2b9f04dd7034a6cf0d22c8a8512cae476ac8b5e96f847208d7e851501d,True,ctls,2082019216.mailfoogae.appspot.com,google,443,https://2082019216.mailfoogae.appspot.com,https,nginx/1.13.12,text/html,GET,142.250.185.116,/,/5b7f24cc9009731774d7be8e/5ba1051f83f4613795883c4f_logomark_32px.png,2a00:1450:4001:82f::2014,Nginx:1.13.12,687,False,True,other,0,122795989,True,,
331596.mailfoogae.appspot.com,Streak - CRM for Gmail,200,110165,331596.mailfoogae.appspot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-27T08:35:08Z,2025-04-21T08:35:07Z,CN=*.appspot-preview.com,*.appspot-preview.com,*.app.google,"CN=WR2, O=Google Trust Services, C=US",WR2,Google Trust Services,c3ccb5d8bc1b5304d3c0da5e050d50fc,37e90b2b9f04dd7034a6cf0d22c8a8512cae476ac8b5e96f847208d7e851501d,True,ctls,331596.mailfoogae.appspot.com,google,443,https://331596.mailfoogae.appspot.com,https,nginx/1.13.12,text/html,GET,142.250.186.116,/,/5b7f24cc9009731774d7be8e/5ba1051f83f4613795883c4f_logomark_32px.png,2a00:1450:4001:829::2014,Nginx:1.13.12,687,False,True,other,0,122795989,True,,
399-5.mailfoogae.appspot.com,Streak - CRM for Gmail,200,110165,399-5.mailfoogae.appspot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-27T08:35:08Z,2025-04-21T08:35:07Z,CN=*.appspot-preview.com,*.appspot-preview.com,*.app.google,"CN=WR2, O=Google Trust Services, C=US",WR2,Google Trust Services,c3ccb5d8bc1b5304d3c0da5e050d50fc,37e90b2b9f04dd7034a6cf0d22c8a8512cae476ac8b5e96f847208d7e851501d,True,ctls,399-5.mailfoogae.appspot.com,google,443,https://399-5.mailfoogae.appspot.com,https,nginx/1.13.12,text/html,GET,142.250.186.52,/,/5b7f24cc9009731774d7be8e/5ba1051f83f4613795883c4f_logomark_32px.png,2a00:1450:4001:800::2014,Nginx:1.13.12,687,False,True,other,0,122795989,True,,
48pj1chtmvh.mailfoogae.appspot.com,Streak - CRM for Gmail,200,110165,48pj1chtmvh.mailfoogae.appspot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-27T08:35:08Z,2025-04-21T08:35:07Z,CN=*.appspot-preview.com,*.appspot-preview.com,*.app.google,"CN=WR2, O=Google Trust Services, C=US",WR2,Google Trust Services,c3ccb5d8bc1b5304d3c0da5e050d50fc,37e90b2b9f04dd7034a6cf0d22c8a8512cae476ac8b5e96f847208d7e851501d,True,ctls,48pj1chtmvh.mailfoogae.appspot.com,google,443,https://48pj1chtmvh.mailfoogae.appspot.com,https,nginx/1.13.12,text/html,GET,142.250.181.244,/,/5b7f24cc9009731774d7be8e/5ba1051f83f4613795883c4f_logomark_32px.png,2a00:1450:4001:80f::2014,Nginx:1.13.12,687,False,True,other,0,122795989,True,,
4r6e4lacsc-dsn.mailfoogae.appspot.com,Streak - CRM for Gmail,200,110165,4r6e4lacsc-dsn.mailfoogae.appspot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-27T08:35:08Z,2025-04-21T08:35:07Z,CN=*.appspot-preview.com,*.appspot-preview.com,*.app.google,"CN=WR2, O=Google Trust Services, C=US",WR2,Google Trust Services,c3ccb5d8bc1b5304d3c0da5e050d50fc,37e90b2b9f04dd7034a6cf0d22c8a8512cae476ac8b5e96f847208d7e851501d,True,ctls,4r6e4lacsc-dsn.mailfoogae.appspot.com,google,443,https://4r6e4lacsc-dsn.mailfoogae.appspot.com,https,nginx/1.13.12,text/html,GET,142.250.186.52,/,/5b7f24cc9009731774d7be8e/5ba1051f83f4613795883c4f_logomark_32px.png,2a00:1450:4001:827::2014,Nginx:1.13.12,687,False,True,other,0,122795989,True,,
573c92e23ce472174df379b984970be8fa4bf3db.mailfoogae.appspot.com,Streak - CRM for Gmail,200,110165,573c92e23ce472174df379b984970be8fa4bf3db.mailfoogae.appspot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-27T08:35:08Z,2025-04-21T08:35:07Z,CN=*.appspot-preview.com,*.appspot-preview.com,*.app.google,"CN=WR2, O=Google Trust Services, C=US",WR2,Google Trust Services,c3ccb5d8bc1b5304d3c0da5e050d50fc,37e90b2b9f04dd7034a6cf0d22c8a8512cae476ac8b5e96f847208d7e851501d,True,ctls,573c92e23ce472174df379b984970be8fa4bf3db.mailfoogae.appspot.com,google,443,https://573c92e23ce472174df379b984970be8fa4bf3db.mailfoogae.appspot.com,https,nginx/1.13.12,text/html,GET,142.250.185.212,/,/5b7f24cc9009731774d7be8e/5ba1051f83f4613795883c4f_logomark_32px.png,142.250.185.212,Nginx:1.13.12,687,False,True,other,0,122795989,True,,
5aa257fe.mailfoogae.appspot.com,Streak - CRM for Gmail,200,110165,5aa257fe.mailfoogae.appspot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-27T08:35:08Z,2025-04-21T08:35:07Z,CN=*.appspot-preview.com,*.appspot-preview.com,*.app.google,"CN=WR2, O=Google Trust Services, C=US",WR2,Google Trust Services,c3ccb5d8bc1b5304d3c0da5e050d50fc,37e90b2b9f04dd7034a6cf0d22c8a8512cae476ac8b5e96f847208d7e851501d,True,ctls,5aa257fe.mailfoogae.appspot.com,google,443,https://5aa257fe.mailfoogae.appspot.com,https,nginx/1.13.12,text/html,GET,172.217.16.148,/,/5b7f24cc9009731774d7be8e/5ba1051f83f4613795883c4f_logomark_32px.png,2a00:1450:4001:808::2014,Nginx:1.13.12,687,False,True,other,0,122795989,True,,
7590478.mailfoogae.appspot.com,Streak - CRM for Gmail,200,110165,7590478.mailfoogae.appspot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-27T08:35:08Z,2025-04-21T08:35:07Z,CN=*.appspot-preview.com,*.appspot-preview.com,*.app.google,"CN=WR2, O=Google Trust Services, C=US",WR2,Google Trust Services,c3ccb5d8bc1b5304d3c0da5e050d50fc,37e90b2b9f04dd7034a6cf0d22c8a8512cae476ac8b5e96f847208d7e851501d,True,ctls,7590478.mailfoogae.appspot.com,google,443,https://7590478.mailfoogae.appspot.com,https,nginx/1.13.12,text/html,GET,142.250.186.116,/,/5b7f24cc9009731774d7be8e/5ba1051f83f4613795883c4f_logomark_32px.png,2a00:1450:4001:829::2014,Nginx:1.13.12,687,False,True,other,0,122795989,True,,
79-171-121-121-kh.mailfoogae.appspot.com,Streak - CRM for Gmail,200,110165,79-171-121-121-kh.mailfoogae.appspot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-27T08:35:08Z,2025-04-21T08:35:07Z,CN=*.appspot-preview.com,*.appspot-preview.com,*.app.google,"CN=WR2, O=Google Trust Services, C=US",WR2,Google Trust Services,c3ccb5d8bc1b5304d3c0da5e050d50fc,37e90b2b9f04dd7034a6cf0d22c8a8512cae476ac8b5e96f847208d7e851501d,True,ctls,79-171-121-121-kh.mailfoogae.appspot.com,google,443,https://79-171-121-121-kh.mailfoogae.appspot.com,https,nginx/1.13.12,text/html,GET,142.250.185.84,/,/5b7f24cc9009731774d7be8e/5ba1051f83f4613795883c4f_logomark_32px.png,2a00:1450:4001:812::2014,Nginx:1.13.12,687,False,True,other,0,122795989,True,,
a.mailfoogae.appspot.com,Streak - CRM for Gmail,200,110165,a.mailfoogae.appspot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-27T08:35:08Z,2025-04-21T08:35:07Z,CN=*.appspot-preview.com,*.appspot-preview.com,*.app.google,"CN=WR2, O=Google Trust Services, C=US",WR2,Google Trust Services,c3ccb5d8bc1b5304d3c0da5e050d50fc,37e90b2b9f04dd7034a6cf0d22c8a8512cae476ac8b5e96f847208d7e851501d,True,ctls,a.mailfoogae.appspot.com,google,443,https://a.mailfoogae.appspot.com,https,nginx/1.13.12,text/html,GET,142.250.186.180,/,/5b7f24cc9009731774d7be8e/5ba1051f83f4613795883c4f_logomark_32px.png,2a00:1450:4001:82b::2014,Nginx:1.13.12,687,False,True,other,0,122795989,True,,
a2i530.mailfoogae.appspot.com,Streak - CRM for Gmail,200,110165,a2i530.mailfoogae.appspot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-27T08:35:08Z,2025-04-21T08:35:07Z,CN=*.appspot-preview.com,*.appspot-preview.com,*.app.google,"CN=WR2, O=Google Trust Services, C=US",WR2,Google Trust Services,c3ccb5d8bc1b5304d3c0da5e050d50fc,37e90b2b9f04dd7034a6cf0d22c8a8512cae476ac8b5e96f847208d7e851501d,True,ctls,a2i530.mailfoogae.appspot.com,google,443,https://a2i530.mailfoogae.appspot.com,https,nginx/1.13.12,text/html,GET,142.250.186.148,/,/5b7f24cc9009731774d7be8e/5ba1051f83f4613795883c4f_logomark_32px.png,2a00:1450:4001:82a::2014,Nginx:1.13.12,687,False,True,other,0,122795989,True,,
acapi.mailfoogae.appspot.com,Streak - CRM for Gmail,200,110165,acapi.mailfoogae.appspot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-27T08:35:08Z,2025-04-21T08:35:07Z,CN=*.appspot-preview.com,*.appspot-preview.com,*.app.google,"CN=WR2, O=Google Trust Services, C=US",WR2,Google Trust Services,c3ccb5d8bc1b5304d3c0da5e050d50fc,37e90b2b9f04dd7034a6cf0d22c8a8512cae476ac8b5e96f847208d7e851501d,True,ctls,acapi.mailfoogae.appspot.com,google,443,https://acapi.mailfoogae.appspot.com,https,nginx/1.13.12,text/html,GET,172.217.18.116,/,/5b7f24cc9009731774d7be8e/5ba1051f83f4613795883c4f_logomark_32px.png,2a00:1450:4001:812::2014,Nginx:1.13.12,687,False,True,other,0,122795989,True,,
addressedworld.mailfoogae.appspot.com,Streak - CRM for Gmail,200,110165,addressedworld.mailfoogae.appspot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-27T08:35:08Z,2025-04-21T08:35:07Z,CN=*.appspot-preview.com,*.appspot-preview.com,*.app.google,"CN=WR2, O=Google Trust Services, C=US",WR2,Google Trust Services,c3ccb5d8bc1b5304d3c0da5e050d50fc,37e90b2b9f04dd7034a6cf0d22c8a8512cae476ac8b5e96f847208d7e851501d,True,ctls,addressedworld.mailfoogae.appspot.com,google,443,https://addressedworld.mailfoogae.appspot.com,https,nginx/1.13.12,text/html,GET,142.250.185.244,/,/5b7f24cc9009731774d7be8e/5ba1051f83f4613795883c4f_logomark_32px.png,2a00:1450:4001:810::2014,Nginx:1.13.12,687,False,True,other,0,122795989,True,,
admin.mailfoogae.appspot.com,Streak - CRM for Gmail,200,110165,admin.mailfoogae.appspot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-27T08:35:08Z,2025-04-21T08:35:07Z,CN=*.appspot-preview.com,*.appspot-preview.com,*.app.google,"CN=WR2, O=Google Trust Services, C=US",WR2,Google Trust Services,c3ccb5d8bc1b5304d3c0da5e050d50fc,37e90b2b9f04dd7034a6cf0d22c8a8512cae476ac8b5e96f847208d7e851501d,True,ctls,admin.mailfoogae.appspot.com,google,443,https://admin.mailfoogae.appspot.com,https,nginx/1.13.12,text/html,GET,172.217.18.20,/,/5b7f24cc9009731774d7be8e/5ba1051f83f4613795883c4f_logomark_32px.png,2a00:1450:4001:828::2014,Nginx:1.13.12,687,False,True,other,0,122795989,True,,
akamai-test-origin.mailfoogae.appspot.com,Streak - CRM for Gmail,200,110165,akamai-test-origin.mailfoogae.appspot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-27T08:35:08Z,2025-04-21T08:35:07Z,CN=*.appspot-preview.com,*.appspot-preview.com,*.app.google,"CN=WR2, O=Google Trust Services, C=US",WR2,Google Trust Services,c3ccb5d8bc1b5304d3c0da5e050d50fc,37e90b2b9f04dd7034a6cf0d22c8a8512cae476ac8b5e96f847208d7e851501d,True,ctls,akamai-test-origin.mailfoogae.appspot.com,google,443,https://akamai-test-origin.mailfoogae.appspot.com,https,nginx/1.13.12,text/html,GET,142.250.74.212,/,/5b7f24cc9009731774d7be8e/5ba1051f83f4613795883c4f_logomark_32px.png,2a00:1450:4001:803::2014,Nginx:1.13.12,687,False,True,other,0,122795989,True,,
akamai-test.mailfoogae.appspot.com,Streak - CRM for Gmail,200,110165,akamai-test.mailfoogae.appspot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-27T08:35:08Z,2025-04-21T08:35:07Z,CN=*.appspot-preview.com,*.appspot-preview.com,*.app.google,"CN=WR2, O=Google Trust Services, C=US",WR2,Google Trust Services,c3ccb5d8bc1b5304d3c0da5e050d50fc,37e90b2b9f04dd7034a6cf0d22c8a8512cae476ac8b5e96f847208d7e851501d,True,ctls,akamai-test.mailfoogae.appspot.com,google,443,https://akamai-test.mailfoogae.appspot.com,https,nginx/1.13.12,text/html,GET,172.217.16.148,/,/5b7f24cc9009731774d7be8e/5ba1051f83f4613795883c4f_logomark_32px.png,2a00:1450:4001:831::2014,Nginx:1.13.12,687,False,True,other,0,122795989,True,,
akamai.mailfoogae.appspot.com,Streak - CRM for Gmail,200,110165,akamai.mailfoogae.appspot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-27T08:35:08Z,2025-04-21T08:35:07Z,CN=*.appspot-preview.com,*.appspot-preview.com,*.app.google,"CN=WR2, O=Google Trust Services, C=US",WR2,Google Trust Services,c3ccb5d8bc1b5304d3c0da5e050d50fc,37e90b2b9f04dd7034a6cf0d22c8a8512cae476ac8b5e96f847208d7e851501d,True,ctls,akamai.mailfoogae.appspot.com,google,443,https://akamai.mailfoogae.appspot.com,https,nginx/1.13.12,text/html,GET,142.250.185.244,/,/5b7f24cc9009731774d7be8e/5ba1051f83f4613795883c4f_logomark_32px.png,2a00:1450:4001:812::2014,Nginx:1.13.12,687,False,True,other,0,122795989,True,,
android-mobile-bff-staging.mailfoogae.appspot.com,Streak - CRM for Gmail,200,110165,android-mobile-bff-staging.mailfoogae.appspot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-27T08:35:08Z,2025-04-21T08:35:07Z,CN=*.appspot-preview.com,*.appspot-preview.com,*.app.google,"CN=WR2, O=Google Trust Services, C=US",WR2,Google Trust Services,c3ccb5d8bc1b5304d3c0da5e050d50fc,37e90b2b9f04dd7034a6cf0d22c8a8512cae476ac8b5e96f847208d7e851501d,True,ctls,android-mobile-bff-staging.mailfoogae.appspot.com,google,443,https://android-mobile-bff-staging.mailfoogae.appspot.com,https,nginx/1.13.12,text/html,GET,142.250.185.148,/,/5b7f24cc9009731774d7be8e/5ba1051f83f4613795883c4f_logomark_32px.png,2a00:1450:4001:813::2014,Nginx:1.13.12,687,False,True,other,0,122795989,True,,
