input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,cdn,tls_expired,webserver,tech_,tls_subject_org_,csp_domains_,final_url
acc-evenement.vng.nl,,200,172,acc-evenement.vng.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-07-05T13:50:11Z,2023-08-06T13:50:10Z,"CN=*.vng.nl, O=Vereniging van Nederlandse Gemeenten, OU=Vereniging van Nederlandse Gemeenten, L='s-Gravenhage, ST=Zuid-Holland, C=NL",*.vng.nl,vng.nl,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,f3ff53d4bcc316d9b024f19f209a1279,5f11c18353204ecb227ba2517c8e564a837016a97b1120b09eb8aa5abd4630a4,True,ctls,acc-evenement.vng.nl,,443,https://acc-evenement.vng.nl:443,https,text/html,GET,185.12.122.144,/,1631801191,2a07:3506:c1::240,5,False,,,Microsoft-IIS/10.0,Windows Server,Vereniging van Nederlandse Gemeenten,URL=https://www.vngconnect.nl,
autodiscover.ka.vng.nl,Sign in to Outlook,200,38904,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-05-25T00:00:00Z,2024-05-25T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7c7414a61d2496accd312122c5241231,2c204118a10394b7abd4cd1f9d1a885acb273a1ebe0091f82e567b1137495fb7,,ctls,login.microsoftonline.com,,80,http://autodiscover.ka.vng.nl:80,http,text/html,GET,52.97.188.72,/,-1249852061,2603:1026:c0d:6b::8,95,False,,,,HSTS,Microsoft Corporation,,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=c44c92bd-bb0b-2248-a577-961f8b9a9f40&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=ka.vng.nl&nonce=638265076341692501.023484a0-ce44-40ca-96f5-ce0029aae0c7&state=DYtBDsIgFERBz2J30Cn90LJoPMsPxcZYIWkVr-9fvHmZxdNKqatwETRk1BTG2QUPMQ0hOo_Bwo00E8OkTGQIiU0MDy8XcJE5I01a2ltff9zfj8z7e3mxbWWzZe_auvD3U9fnmWrLxx8
autodiscover.vng.nl,Sign in to Outlook,200,38867,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-05-25T00:00:00Z,2024-05-25T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7c7414a61d2496accd312122c5241231,2c204118a10394b7abd4cd1f9d1a885acb273a1ebe0091f82e567b1137495fb7,,ctls,login.microsoftonline.com,,80,http://autodiscover.vng.nl:80,http,text/html,GET,40.99.150.8,/,-1249852061,2603:1026:c0d:c2f::8,95,False,,,,HSTS,Microsoft Corporation,,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=8d73a829-eb47-508c-2bd9-a48f1c6bebee&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=vng.nl&nonce=638265076338934283.00589f45-2adc-45cf-a10e-f7f3794c76f5&state=DYvLDsIgEABB_8SDN9qVZXkcGr9lA6wxqSWplv6-HGbmNFopdR1cBhqGVPAYrScYxZjQ2YgTAMUkjozlko2jLIYfUI0EwZBcDl5Ij_c2t5Pn5155_Sx9e03beu9l4ePXyvubW6_7Hw
dego.vng.nl,Datavoorziening Energietransitie Gebouwde Omgeving,200,35616,dego.vng.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-06-08T11:54:17Z,2023-09-06T11:54:16Z,CN=dego.vng.nl,dego.vng.nl,dego.vng.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,7ad32f4c5e27b0666b1ed32cfc06f730,690b197cbd7b244acfa6555efca86238b5917be21db2ee6d668fbd26d428e854,,ctls,dego.vng.nl,azure,443,https://dego.vng.nl:443,https,text/html,GET,51.138.85.41,/,839125802,51.138.85.41,164,False,True,,nginx,Nginx,,,
dialin.vng.nl,,200,,dialin.vng.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,True,2023-02-03T18:41:36Z,2024-01-29T18:41:36Z,"CN=*.online.lync.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.online.lync.com,*.lync.com,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,2caac3e97714f2cd46d17017c8f7ca9e,f38e6481f423e45388c4b40cabf45c6641d3131d29bed689eac88c27936a5618,True,ctls,dialin.vng.nl,,443,https://dialin.vng.nl:443,https,,GET,52.112.192.142,/,-1807411396,2603:1027:0:3::e,1,False,,,Microsoft-IIS/8.5,Windows Server,Microsoft Corporation,,
enterpriseregistration.vng.nl,Service,404,1565,enterpriseregistration.vng.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,True,2023-07-03T00:00:00Z,2024-07-03T23:59:59Z,"CN=graph.windows.net, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",graph.windows.net,sts.windows.net,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,e7df1f16e52638c1dfeed42ec0ca9590,2ac4f3864729a635125d556395e9307bc2967b6675fdc970a1d9e7daad887c7f,True,ctls,enterpriseregistration.vng.nl,azure,443,https://enterpriseregistration.vng.nl:443,https,text/html,GET,40.126.32.66,/,-2070773535,2603:1027:1:148::b,14,False,True,,,HSTS,Microsoft Corporation,,
evenement.vng.nl,,200,172,evenement.vng.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-07-05T13:50:11Z,2023-08-06T13:50:10Z,"CN=*.vng.nl, O=Vereniging van Nederlandse Gemeenten, OU=Vereniging van Nederlandse Gemeenten, L='s-Gravenhage, ST=Zuid-Holland, C=NL",*.vng.nl,vng.nl,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,f3ff53d4bcc316d9b024f19f209a1279,5f11c18353204ecb227ba2517c8e564a837016a97b1120b09eb8aa5abd4630a4,True,ctls,evenement.vng.nl,,443,https://evenement.vng.nl:443,https,text/html,GET,185.12.122.144,/,1631801191,2a07:3506:c1::240,5,False,,,Microsoft-IIS/10.0,Windows Server,Vereniging van Nederlandse Gemeenten,URL=https://www.vngconnect.nl,
forum.vng.nl,Welkom op VNG Fora - VNG Fora,200,15804,forum.vng.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-02-15T00:00:00Z,2024-03-01T23:59:59Z,CN=forum.vng.nl,forum.vng.nl,forum.vng.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0e1f3f1cddaa9c3864f17d2897274dd3,7272f8427f86291f3766586dab5b9360685be6eafb84ef309b90048d25949af9,,ctls,forum.vng.nl,,443,https://forum.vng.nl:443,https,text/html,GET,178.22.56.181,/,442057607,178.22.56.181,150,False,,,nginx,Nginx,,,https://forum.vng.nl/do/wbhome?id=123-767762686f6d
gis.vng.nl,,200,20,gis.vng.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-07-05T13:50:11Z,2023-08-06T13:50:10Z,"CN=*.vng.nl, O=Vereniging van Nederlandse Gemeenten, OU=Vereniging van Nederlandse Gemeenten, L='s-Gravenhage, ST=Zuid-Holland, C=NL",*.vng.nl,vng.nl,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,f3ff53d4bcc316d9b024f19f209a1279,5f11c18353204ecb227ba2517c8e564a837016a97b1120b09eb8aa5abd4630a4,True,ctls,gis.vng.nl,,443,https://gis.vng.nl:443,https,text/html,GET,185.12.122.144,/,1631801191,185.12.122.144,1,False,,,Microsoft-IIS/10.0,Windows Server,Vereniging van Nederlandse Gemeenten,,
gis2.vng.nl,Not Found,404,315,gis2.vng.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-07-05T13:50:11Z,2023-08-06T13:50:10Z,"CN=*.vng.nl, O=Vereniging van Nederlandse Gemeenten, OU=Vereniging van Nederlandse Gemeenten, L='s-Gravenhage, ST=Zuid-Holland, C=NL",*.vng.nl,vng.nl,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,f3ff53d4bcc316d9b024f19f209a1279,5f11c18353204ecb227ba2517c8e564a837016a97b1120b09eb8aa5abd4630a4,True,ctls,gis2.vng.nl,,443,https://gis2.vng.nl:443,https,text/html,GET,185.12.122.144,/,225052475,185.12.122.144,7,False,,,Microsoft-HTTPAPI/2.0,Microsoft HTTPAPI:2.0,Vereniging van Nederlandse Gemeenten,,
