new,host,a,cname,soa,status_code,txt,ns,has_internal_ips,internal_ips,aaaa,cdn,cdn-name,caa,mx
[x],stories.issuu.com,,,"ns-1582.awsdns-05.co.uk, awsdns-hostmaster.amazon.com",NOERROR,v=spf1 include:mail.zendesk.com include:sendgrid.net include:_spf.google.com -all,,,,,,,,
[x],t.issuu.com,"54.204.61.142, 52.20.195.228, 44.197.211.190",,"ns-1582.awsdns-05.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,"ns-1343.awsdns-39.org, ns-1582.awsdns-05.co.uk, ns-426.awsdns-53.com, ns-757.awsdns-30.net",,,,,,,
[x],tech.issuu.com,"44.197.211.190, 54.204.61.142, 52.20.195.228",techblog.issuu.com,"ns-1582.awsdns-05.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,"ns-1343.awsdns-39.org, ns-1582.awsdns-05.co.uk, ns-426.awsdns-53.com, ns-757.awsdns-30.net",,,,,,,
[x],techblog.issuu.com,,,"ns-1582.awsdns-05.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],temp.issuu.com,"52.217.67.134, 52.216.221.112, 52.217.67.22, 3.5.1.143, 52.217.115.40, 52.217.136.112, 52.217.37.30, 52.216.141.214",s3.amazonaws.com,"ns-1579.awsdns-05.co.uk, awsdns-hostmaster.amazon.com",NOERROR,7703efd3bf07ae13a5fb88055d75ed49,"ns-1579.awsdns-05.co.uk, ns-63.awsdns-07.com, ns-771.awsdns-32.net, ns-1300.awsdns-34.org",,,,,,,
[x],upload.issuu.com,"52.44.189.10, 52.3.18.94, 34.226.58.83","api.issuu.com, api-1510131178.us-east-1.elb.amazonaws.com","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],userdb.issuu.com,44.208.213.148,"vpc-userdb.cxnoao11eofr.us-east-1.rds.amazonaws.com, ec2-44-208-213-148.compute-1.amazonaws.com","dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,,,
[x],vpn.issuu.com,195.184.103.10,,"ns-1582.awsdns-05.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],www.blog.issuu.com,"52.20.195.228, 44.197.211.190, 54.204.61.142",blog.issuu.com,"ns-1582.awsdns-05.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],www.issuu.com,"151.101.66.110, 151.101.2.110, 151.101.130.110, 151.101.194.110",issuu.com,"ns-1582.awsdns-05.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"google-site-verification=5CyB-vqN7byHfN1pa3hf-FFj_ecJbkgBJ7iJr3nso98, google-site-verification=3yHgeX--mAcr74szFR5gTbIbD1TkraSFdZS_xIm9jMY, google-site-verification=GBizRM9Z_p17clZXSQMnJjIdyXLjCoDJY6aYG-kbwnQ, MS=ms41162561, _globalsign-domain-verification=9UioyPO0_F2Epyd3gGV5_VklXzoibTukD_jkbZPw43, yandex-verification: 4fd8499888d19d30, google-site-verification=p_DY5uxkB0uAYklg-sR0Lii2bYnF6ZooXcw2Eyi4rL8, facebook-domain-verification=rfrx5vjx0elz3n83h0ydr94nlkptkr, google-site-verification=xh0flAgyOL5F8z5FQTMUnk4Z0nYehx9lPsDq1d2ntFY, fastly-domain-delegation-EWjlj6Wbo4l8702bJvhg-581274-03-2023, mixpanel-domain-verify=3d34b526-2c05-4de4-a475-bdc5b58f49c8, google-site-verification=JO5hAUdeQB6RbQhV-_AKYyv6xfJnmVKuTkYtkZYhcLk, _globalsign-domain-verification=l_BNpBAnk-rKZRyXJ9UkBfv9o6EEuuenkBrGpYNYo0, v=spf1 include:mail.zendesk.com  include:sendgrid.net include:_spf.google.com include:amazonses.com include:spf.mandrillapp.com -all, globalsign-domain-verification=Bo6R5k9s2Zwdk5OoeybGk6L2EHx_oV1TqLgGiMR4IQ, globalsign-domain-verification=Wq9iztGUzQcBBi1OLrEOlXtefwOzX7yfvhbsw-CVdo, apple-domain-verification=ElKeVvlCb1VtMkhI, atlassian-domain-verification=+SyUybAN4ilkkpHjnTS9UW9fhbIiAlFXshc97OU0IZw+UHVP0I9omo5Jzo7Qg7K+","ns-1582.awsdns-05.co.uk, ns-1343.awsdns-39.org, ns-426.awsdns-53.com, ns-757.awsdns-30.net",,,,True,fastly,"mailto:operations@issuu.com, letsencrypt.org, amazonaws.com, globalsign.com","alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx2.googlemail.com, aspmx3.googlemail.com, aspmx.l.google.com"
[x],www.vpn.issuu.com,,,"ns-1582.awsdns-05.co.uk, awsdns-hostmaster.amazon.com",NOERROR,v=spf1 include:mail.zendesk.com include:sendgrid.net include:_spf.google.com -all,,,,,,,,
