input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,final_url
00-1-okta-mfa-ackorigin---0-8-0ing0-01eth0houseroomdev2-4-8-dmz.partner.twist.com,ERROR: The request could not be satisfied,502,951,00-1-okta-mfa-ackorigin---0-8-0ing0-01eth0houseroomdev2-4-8-dmz.partner.twist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-05-24T00:00:00Z,2024-06-21T23:59:59Z,CN=twist.com,twist.com,*.twist.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,55eddd79c1dbe887a25966eb4a2f963d,7bd96d29c3a47feb117f2728d9836dd65d22ea649d9f6777d5ef38dbb5b4e967,True,ctls,00-1-okta-mfa-ackorigin---0-8-0ing0-01eth0houseroomdev2-4-8-dmz.partner.twist.com,cloudfront,443,https://00-1-okta-mfa-ackorigin---0-8-0ing0-01eth0houseroomdev2-4-8-dmz.partner.twist.com:443,https,CloudFront,text/html,GET,108.156.60.64,/,-1581253146,108.156.60.121,Amazon Web Services,20,False,True,
00-1-okta-mfa-ackorigin---0-8-0ing0-01eth0houseroomdev2-4-8-dmz.twist.com,Twist: Organized work communication for flexible teams,200,136989,00-1-okta-mfa-ackorigin---0-8-0ing0-01eth0houseroomdev2-4-8-dmz.twist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-05-24T00:00:00Z,2024-06-21T23:59:59Z,CN=twist.com,twist.com,*.twist.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,55eddd79c1dbe887a25966eb4a2f963d,7bd96d29c3a47feb117f2728d9836dd65d22ea649d9f6777d5ef38dbb5b4e967,True,ctls,00-1-okta-mfa-ackorigin---0-8-0ing0-01eth0houseroomdev2-4-8-dmz.twist.com,cloudfront,443,https://00-1-okta-mfa-ackorigin---0-8-0ing0-01eth0houseroomdev2-4-8-dmz.twist.com:443,https,,text/html,GET,13.224.189.25,/,,13.224.189.113,webpack,5,False,True,
00-1-okta-mfa-ackorigin---0-8-0ing0-01eth0houseroomdev2-4-8.twist.com,Twist: Organized work communication for flexible teams,200,136989,00-1-okta-mfa-ackorigin---0-8-0ing0-01eth0houseroomdev2-4-8.twist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-05-24T00:00:00Z,2024-06-21T23:59:59Z,CN=twist.com,twist.com,*.twist.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,55eddd79c1dbe887a25966eb4a2f963d,7bd96d29c3a47feb117f2728d9836dd65d22ea649d9f6777d5ef38dbb5b4e967,True,ctls,00-1-okta-mfa-ackorigin---0-8-0ing0-01eth0houseroomdev2-4-8.twist.com,cloudfront,443,https://00-1-okta-mfa-ackorigin---0-8-0ing0-01eth0houseroomdev2-4-8.twist.com:443,https,,text/html,GET,13.224.189.119,/,1720713769,13.224.189.6,webpack,5,False,True,
00-1-okta-mfa-ackorigin---0-8-0ing0-01eth0houseroomdev2-4-82022.twist.com,Twist: Organized work communication for flexible teams,200,136989,00-1-okta-mfa-ackorigin---0-8-0ing0-01eth0houseroomdev2-4-82022.twist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-05-24T00:00:00Z,2024-06-21T23:59:59Z,CN=twist.com,twist.com,*.twist.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,55eddd79c1dbe887a25966eb4a2f963d,7bd96d29c3a47feb117f2728d9836dd65d22ea649d9f6777d5ef38dbb5b4e967,True,ctls,00-1-okta-mfa-ackorigin---0-8-0ing0-01eth0houseroomdev2-4-82022.twist.com,cloudfront,443,https://00-1-okta-mfa-ackorigin---0-8-0ing0-01eth0houseroomdev2-4-82022.twist.com:443,https,,text/html,GET,108.156.60.67,/,1720713769,108.156.60.111,webpack,5,False,True,
00-1-okta-mfa-ackorigin---0-8-0ing0-01eth0houseroomdev2-4-8logs.twist.com,Twist: Organized work communication for flexible teams,200,136989,00-1-okta-mfa-ackorigin---0-8-0ing0-01eth0houseroomdev2-4-8logs.twist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-05-24T00:00:00Z,2024-06-21T23:59:59Z,CN=twist.com,twist.com,*.twist.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,55eddd79c1dbe887a25966eb4a2f963d,7bd96d29c3a47feb117f2728d9836dd65d22ea649d9f6777d5ef38dbb5b4e967,True,ctls,00-1-okta-mfa-ackorigin---0-8-0ing0-01eth0houseroomdev2-4-8logs.twist.com,cloudfront,443,https://00-1-okta-mfa-ackorigin---0-8-0ing0-01eth0houseroomdev2-4-8logs.twist.com:443,https,,text/html,GET,108.156.60.67,/,1720713769,108.156.60.111,webpack,5,False,True,
00-1-okta-mfa-ackorigin---0-8-0ing0-01eth0houseroomdev2-4-8www.twist.com,Twist: Organized work communication for flexible teams,200,136989,00-1-okta-mfa-ackorigin---0-8-0ing0-01eth0houseroomdev2-4-8www.twist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-05-24T00:00:00Z,2024-06-21T23:59:59Z,CN=twist.com,twist.com,*.twist.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,55eddd79c1dbe887a25966eb4a2f963d,7bd96d29c3a47feb117f2728d9836dd65d22ea649d9f6777d5ef38dbb5b4e967,True,ctls,00-1-okta-mfa-ackorigin---0-8-0ing0-01eth0houseroomdev2-4-8www.twist.com,cloudfront,443,https://00-1-okta-mfa-ackorigin---0-8-0ing0-01eth0houseroomdev2-4-8www.twist.com:443,https,,text/html,GET,13.224.189.119,/,,13.224.189.6,webpack,5,False,True,
000-amd-int-eu-d23ekigfgt2mcdsshbe-okta-apposcommercetest.little.twist.com,ERROR: The request could not be satisfied,502,951,000-amd-int-eu-d23ekigfgt2mcdsshbe-okta-apposcommercetest.little.twist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-05-24T00:00:00Z,2024-06-21T23:59:59Z,CN=twist.com,twist.com,*.twist.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,55eddd79c1dbe887a25966eb4a2f963d,7bd96d29c3a47feb117f2728d9836dd65d22ea649d9f6777d5ef38dbb5b4e967,True,ctls,000-amd-int-eu-d23ekigfgt2mcdsshbe-okta-apposcommercetest.little.twist.com,cloudfront,443,https://000-amd-int-eu-d23ekigfgt2mcdsshbe-okta-apposcommercetest.little.twist.com:443,https,CloudFront,text/html,GET,13.224.189.119,/,-1403294760,13.224.189.6,Amazon Web Services,20,False,True,
069-client.twist.com,Twist: Organized work communication for flexible teams,200,136989,069-client.twist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-05-24T00:00:00Z,2024-06-21T23:59:59Z,CN=twist.com,twist.com,*.twist.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,55eddd79c1dbe887a25966eb4a2f963d,7bd96d29c3a47feb117f2728d9836dd65d22ea649d9f6777d5ef38dbb5b4e967,True,ctls,069-client.twist.com,cloudfront,443,https://069-client.twist.com:443,https,,text/html,GET,108.156.60.64,/,1720713769,108.156.60.67,webpack,5,False,True,
11-avira-free-antivirus.beta2.twist.com,ERROR: The request could not be satisfied,502,951,11-avira-free-antivirus.beta2.twist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-05-24T00:00:00Z,2024-06-21T23:59:59Z,CN=twist.com,twist.com,*.twist.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,55eddd79c1dbe887a25966eb4a2f963d,7bd96d29c3a47feb117f2728d9836dd65d22ea649d9f6777d5ef38dbb5b4e967,True,ctls,11-avira-free-antivirus.beta2.twist.com,cloudfront,443,https://11-avira-free-antivirus.beta2.twist.com:443,https,CloudFront,text/html,GET,108.156.60.111,/,-1766361446,108.156.60.64,Amazon Web Services,20,False,True,
1527058727.twist.com,Twist: Organized work communication for flexible teams,200,136989,1527058727.twist.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-05-24T00:00:00Z,2024-06-21T23:59:59Z,CN=twist.com,twist.com,*.twist.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,55eddd79c1dbe887a25966eb4a2f963d,7bd96d29c3a47feb117f2728d9836dd65d22ea649d9f6777d5ef38dbb5b4e967,True,ctls,1527058727.twist.com,cloudfront,443,https://1527058727.twist.com:443,https,,text/html,GET,13.224.189.119,/,1720713769,13.224.189.113,webpack,5,False,True,
