input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_subject_org_,tls_wildcard_certificate,cdn_name,cdn,final_url,csp_domains_
aims360-is-e100.cloud.aims360.com,403 - Forbidden: Access is denied.,403,1233,aims360-is-e100.cloud.aims360.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,,2022-10-18T00:00:00Z,2023-11-16T23:59:59Z,CN=*.cloud.aims360.com,*.cloud.aims360.com,cloud.aims360.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,2f0e9f6fdc4b9800e92b4871592cdf6f,440dd52d1a5bd952f8769b543c5d6dd97fc8be22c4fceb8b5e955f66c20ef48d,ctls,aims360-is-e100.cloud.aims360.com,443,https://aims360-is-e100.cloud.aims360.com:443,https,Microsoft-IIS/8.5,text/html,GET,13.90.89.130,/,1631801191,13.90.89.130,Windows Server,30,False,,True,azure,True,,
aims360-is-w102.cloud.aims360.com,403 - Forbidden: Access is denied.,403,1233,aims360-is-w102.cloud.aims360.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,,2022-10-18T00:00:00Z,2023-11-16T23:59:59Z,CN=*.cloud.aims360.com,*.cloud.aims360.com,cloud.aims360.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,2f0e9f6fdc4b9800e92b4871592cdf6f,440dd52d1a5bd952f8769b543c5d6dd97fc8be22c4fceb8b5e955f66c20ef48d,ctls,aims360-is-w102.cloud.aims360.com,443,https://aims360-is-w102.cloud.aims360.com:443,https,Microsoft-IIS/8.5,text/html,GET,20.245.180.235,/,1631801191,20.245.180.235,Windows Server,30,False,,True,,,,
api.aims360.com,AIMS360 Fashion ERP API,200,39896,api.aims360.io,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-05-24T04:53:17Z,2023-08-22T04:53:16Z,CN=api.aims360.io,api.aims360.io,api.aims360.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,71bebc4f1a9794d994a75b764e346aef,34522adb105f5ae064fcd2b6cba42a10ff4317f21e67c3ceb8757a8b2627972c,ctls,api.aims360.io,443,https://api.aims360.com:443,https,nginx,text/html,GET,96.45.83.211,/,-773137840,96.45.83.79,Nginx,5,False,,,,,https://api.aims360.io/,fonts.googleapis.com
autodiscover.aims360.com,Sign in to Outlook,200,38835,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-05-25T00:00:00Z,2024-05-25T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7c7414a61d2496accd312122c5241231,2c204118a10394b7abd4cd1f9d1a885acb273a1ebe0091f82e567b1137495fb7,ctls,login.microsoftonline.com,80,http://autodiscover.aims360.com:80,http,,text/html,GET,40.99.149.168,/,-1249852061,2603:1026:c0d:71::8,HSTS,95,False,Microsoft Corporation,,,,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=b701215e-8a4c-9df2-762d-dfee157d5746&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=aims360.com&nonce=638251576056314027.33577cdc-f9e8-4ba5-a32c-d59ffa1448d0&state=DctBDsIgEEBR0LvoinZgGKCLxrOMDCRNJCRtrdeXxfu7r5VS9-E2aBhRMWByZCkGoIDWg4sTIsWYJZu6lGT8m8kwumyEllrZep8E9Hifc__x_NoLf9rKWzswwJR7e1yy8vfssh25X2X_Aw,
az002.aims360.com,Microsoft Azure Web App - Error 404,404,2667,az002.aims360.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,True,2023-05-31T00:00:00Z,2024-05-31T23:59:59Z,"CN=*.msha-slice-1-am2-1-ase.p.azurewebsites.net, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",*.msha-slice-1-am2-1-ase.p.azurewebsites.net,msha-slice-1-am2-1-ase.scm.p.azurewebsites.net,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,d52b4e99230c8947ca571eaea1f9d742,5e9f89d62c2786db6283b1feb6c23d136ce588eaaeb7ff29ae72ae9da926ac7c,ctls,az002.aims360.com,443,https://az002.aims360.com:443,https,,text/html,GET,51.124.12.35,/,387302845,51.124.12.35,,87,False,Microsoft Corporation,True,azure,True,,
call.aims360.com,,200,867,call.aims360.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2023-03-03T00:00:00Z,2024-04-02T23:59:59Z,CN=*.dnsmadeeasy.com,*.dnsmadeeasy.com,*.dnsmadeeasy.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",1416407115db4c503c69527593375db9,020def703f1dfcb441fa10dc6a67e5362543cd430e51d1ec1da36afb71b42f32,ctls,call.aims360.com,443,https://call.aims360.com:443,https,DNSME HTTP Redirection,text/html,GET,96.45.83.79,/,700675211,96.45.82.158,,20,False,,True,,,,
connect.aims360.com,,200,2218,client.wvd.microsoft.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-05-31T14:51:22Z,2023-11-27T14:51:22Z,"CN=*.wvd.microsoft.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.wvd.microsoft.com,*.wvd.microsoft.com,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,b1861fcdc1a6a7a0177977759a4a4262,da42d8d5a4d0f4089186c17ef6c1ea0ada138ca0367a77ce89ec7806b3b0e1b1,ctls,client.wvd.microsoft.com,443,https://connect.aims360.com:443,https,Microsoft-IIS/10.0,text/html,GET,96.45.83.79,/,-1840324437,96.45.82.158,Windows Server,59,False,Microsoft Corporation,True,,,https://client.wvd.microsoft.com/arm/webclient/index.html,https:
creai.aims360.com,Microsoft Azure Web App - Error 404,404,2667,creai.aims360.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,True,2023-05-31T00:00:00Z,2024-05-31T23:59:59Z,"CN=*.msha-slice-1-am2-1-ase.p.azurewebsites.net, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",*.msha-slice-1-am2-1-ase.p.azurewebsites.net,msha-slice-1-am2-1-ase.scm.p.azurewebsites.net,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,d52b4e99230c8947ca571eaea1f9d742,5e9f89d62c2786db6283b1feb6c23d136ce588eaaeb7ff29ae72ae9da926ac7c,ctls,creai.aims360.com,443,https://creai.aims360.com:443,https,,text/html,GET,51.124.12.35,/,387302845,51.124.12.35,,87,False,Microsoft Corporation,True,azure,True,,
east.aims360.com,,200,2218,client.wvd.microsoft.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-05-31T14:51:22Z,2023-11-27T14:51:22Z,"CN=*.wvd.microsoft.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.wvd.microsoft.com,*.wvd.microsoft.com,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,b1861fcdc1a6a7a0177977759a4a4262,da42d8d5a4d0f4089186c17ef6c1ea0ada138ca0367a77ce89ec7806b3b0e1b1,ctls,client.wvd.microsoft.com,443,https://east.aims360.com:443,https,Microsoft-IIS/10.0,text/html,GET,96.45.82.36,/,-1840324437,96.45.82.158,Windows Server,59,False,Microsoft Corporation,True,,,https://client.wvd.microsoft.com/arm/webclient/index.html,https:
easyshopapi.aims360.com,403 - Forbidden: Access is denied.,403,1233,easyshopapi.aims360.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,,2023-06-16T00:00:00Z,2024-07-09T23:59:59Z,CN=*.aims360.com,*.aims360.com,aims360.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,a528b0ba8f1b741d9dd3bb28476e96b0,372fff00bd54a7b743bf7159e4a610796c1d4ce03c1d8b731eab72de804933bd,ctls,easyshopapi.aims360.com,443,https://easyshopapi.aims360.com:443,https,Microsoft-IIS/7.5,text/html,GET,104.45.233.248,/,1631801191,104.45.233.248,Windows Server,30,False,,True,azure,True,,
