new,host,ttl,a,soa,status_code,aaaa,cname,has_internal_ips,internal_ips,txt,caa,cdn,cdn-name,ns
[x],alt417121518.android.com,300,"142.250.141.147, 142.250.141.99, 142.250.141.103, 142.250.141.106, 142.250.141.104, 142.250.141.105","{'name': 'android.com', 'ns': 'ns1.google.com', 'mailbox': 'dns-admin.google.com', 'serial': 668368175, 'refresh': 900, 'retry': 900, 'expire': 1800, 'minttl': 60}, {'name': 'android.com', 'ns': 'ns1.google.com', 'mailbox': 'dns-admin.google.com', 'serial': 668858537, 'refresh': 900, 'retry': 900, 'expire': 1800, 'minttl': 60}",NOERROR,"2404:6800:4008:c13::69, 2404:6800:4008:c13::6a, 2404:6800:4008:c13::93, 2404:6800:4008:c13::63",,,,"v=spf1 include:_spf.google.com ~all, facebook-domain-verification=gj228nttbx7jhjxt8nywtlhoaf97eh",pki.goog,True,google,"ns3.google.com, ns4.google.com, ns2.google.com, ns1.google.com"
[x],api.dell.com,600,143.166.28.30,"{'name': 'ins.dell.com', 'ns': 'ps3-gtm03.us.dell.com', 'mailbox': 'dnsadmin.dell.com', 'serial': 2024082912, 'refresh': 28800, 'retry': 7200, 'expire': 604800, 'minttl': 60}, {'name': 'ins.dell.com', 'ns': 'ps3-gtm03.us.dell.com', 'mailbox': 'dnsadmin.dell.com', 'serial': 2024082912, 'refresh': 28800, 'retry': 7200, 'expire': 604800, 'minttl': 60}, {'name': 'ins.dell.com', 'ns': 'ps3-gtm03.us.dell.com', 'mailbox': 'dnsadmin.dell.com', 'serial': 2024082912, 'refresh': 28800, 'retry': 7200, 'expire': 604800, 'minttl': 60}, {'name': 'ins.dell.com', 'ns': 'ps3-gtm03.us.dell.com', 'mailbox': 'dnsadmin.dell.com', 'serial': 2024082917, 'refresh': 28800, 'retry': 7200, 'expire': 604800, 'minttl': 60}",NOERROR,,apiprx.ins.dell.com,,,,,,,
[x],app.quantshack.com,1800,,"{'name': 'quantshack.com', 'ns': 'bob.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349504547, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'quantshack.com', 'ns': 'bob.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349504547, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'quantshack.com', 'ns': 'bob.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349504547, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'quantshack.com', 'ns': 'bob.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349504547, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'quantshack.com', 'ns': 'bob.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349504547, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'quantshack.com', 'ns': 'bob.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349504547, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'quantshack.com', 'ns': 'bob.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349504547, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,,,
[x],atlas.avantgardportal.com,600,185.4.6.1,"{'name': 'avantgardportal.com', 'ns': 'a1-66.akam.net', 'mailbox': 'admin.dnstinations.com', 'serial': 1349, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 60}, {'name': 'avantgardportal.com', 'ns': 'a1-66.akam.net', 'mailbox': 'admin.dnstinations.com', 'serial': 1349, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 60}, {'name': 'avantgardportal.com', 'ns': 'a1-66.akam.net', 'mailbox': 'admin.dnstinations.com', 'serial': 1349, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 60}, {'name': 'avantgardportal.com', 'ns': 'a1-66.akam.net', 'mailbox': 'admin.dnstinations.com', 'serial': 1349, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 60}, {'name': 'avantgardportal.com', 'ns': 'a1-66.akam.net', 'mailbox': 'admin.dnstinations.com', 'serial': 1349, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 60}",NOERROR,,,,,,,,,
[x],atlas.dell.com,600,"10.143.18.36, 10.143.242.134","{'name': 'ins.dell.com', 'ns': 'ps3-gtm03.us.dell.com', 'mailbox': 'dnsadmin.dell.com', 'serial': 2024082917, 'refresh': 28800, 'retry': 7200, 'expire': 604800, 'minttl': 60}, {'name': 'ins.dell.com', 'ns': 'ps3-gtm03.us.dell.com', 'mailbox': 'dnsadmin.dell.com', 'serial': 2024082917, 'refresh': 28800, 'retry': 7200, 'expire': 604800, 'minttl': 60}, {'name': 'ins.dell.com', 'ns': 'ps3-gtm03.us.dell.com', 'mailbox': 'dnsadmin.dell.com', 'serial': 2024082912, 'refresh': 28800, 'retry': 7200, 'expire': 604800, 'minttl': 60}, {'name': 'ins.dell.com', 'ns': 'ps3-gtm03.us.dell.com', 'mailbox': 'dnsadmin.dell.com', 'serial': 2024082912, 'refresh': 28800, 'retry': 7200, 'expire': 604800, 'minttl': 60}, {'name': 'ins.dell.com', 'ns': 'ps3-gtm03.us.dell.com', 'mailbox': 'dnsadmin.dell.com', 'serial': 2024082912, 'refresh': 28800, 'retry': 7200, 'expire': 604800, 'minttl': 60}",NOERROR,,atlasapp.ins.dell.com,True,"10.143.18.36, 10.143.242.134",,,,,
[x],atlas.us.dell.com,600,"143.166.9.170, 143.166.99.170, 143.166.4.11","{'name': 'ins.dell.com', 'ns': 'ps3-gtm03.us.dell.com', 'mailbox': 'dnsadmin.dell.com', 'serial': 2024082912, 'refresh': 28800, 'retry': 7200, 'expire': 604800, 'minttl': 60}, {'name': 'ins.dell.com', 'ns': 'ps3-gtm03.us.dell.com', 'mailbox': 'dnsadmin.dell.com', 'serial': 2024082912, 'refresh': 28800, 'retry': 7200, 'expire': 604800, 'minttl': 60}, {'name': 'ins.dell.com', 'ns': 'ps3-gtm03.us.dell.com', 'mailbox': 'dnsadmin.dell.com', 'serial': 2024082912, 'refresh': 28800, 'retry': 7200, 'expire': 604800, 'minttl': 60}, {'name': 'ins.dell.com', 'ns': 'ps3-gtm03.us.dell.com', 'mailbox': 'dnsadmin.dell.com', 'serial': 2024082917, 'refresh': 28800, 'retry': 7200, 'expire': 604800, 'minttl': 60}, {'name': 'ins.dell.com', 'ns': 'ps3-gtm03.us.dell.com', 'mailbox': 'dnsadmin.dell.com', 'serial': 2024082912, 'refresh': 28800, 'retry': 7200, 'expire': 604800, 'minttl': 60}",NOERROR,,atlas.ins.dell.com,,,,,,,
[x],blog.dell.com,14400,147.75.0.72,"{'name': 'dell.com', 'ns': 'ns1ak.dell.com', 'mailbox': 'dnsadmin.dell.com', 'serial': 2023109777, 'refresh': 900, 'retry': 300, 'expire': 1209600, 'minttl': 3600}, {'name': 'dell.com', 'ns': 'ns1ak.dell.com', 'mailbox': 'dnsadmin.dell.com', 'serial': 2023109777, 'refresh': 900, 'retry': 300, 'expire': 1209600, 'minttl': 3600}, {'name': 'dell.com', 'ns': 'ns1ak.dell.com', 'mailbox': 'dnsadmin.dell.com', 'serial': 2023109777, 'refresh': 900, 'retry': 300, 'expire': 1209600, 'minttl': 3600}, {'name': 'dell.com', 'ns': 'ns1ak.dell.com', 'mailbox': 'dnsadmin.dell.com', 'serial': 2023109777, 'refresh': 900, 'retry': 300, 'expire': 1209600, 'minttl': 3600}, {'name': 'dell.com', 'ns': 'ns1ak.dell.com', 'mailbox': 'dnsadmin.dell.com', 'serial': 2023109777, 'refresh': 900, 'retry': 300, 'expire': 1209600, 'minttl': 3600}",NOERROR,,,,,,,,,
[x],blog.quantshack.com,1800,,"{'name': 'quantshack.com', 'ns': 'bob.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349504547, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'quantshack.com', 'ns': 'bob.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349504547, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'quantshack.com', 'ns': 'bob.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349504547, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'quantshack.com', 'ns': 'bob.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349504547, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'quantshack.com', 'ns': 'bob.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349504547, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'quantshack.com', 'ns': 'bob.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2349504547, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,google-site-verification=8Zs8dqR79HUaa4wHpQyqMnyy62cOkHUwLpCtmvOdx7Q,,,,
[x],catllr-bankconnector.avantgardportal.com,600,162.251.210.34,"{'name': 'avantgardportal.com', 'ns': 'a1-66.akam.net', 'mailbox': 'admin.dnstinations.com', 'serial': 1349, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 60}, {'name': 'avantgardportal.com', 'ns': 'a1-66.akam.net', 'mailbox': 'admin.dnstinations.com', 'serial': 1349, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 60}, {'name': 'avantgardportal.com', 'ns': 'a1-66.akam.net', 'mailbox': 'admin.dnstinations.com', 'serial': 1349, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 60}, {'name': 'avantgardportal.com', 'ns': 'a1-66.akam.net', 'mailbox': 'admin.dnstinations.com', 'serial': 1349, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 60}, {'name': 'avantgardportal.com', 'ns': 'a1-66.akam.net', 'mailbox': 'admin.dnstinations.com', 'serial': 1349, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 60}, {'name': 'avantgardportal.com', 'ns': 'a1-66.akam.net', 'mailbox': 'admin.dnstinations.com', 'serial': 1349, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 60}, {'name': 'avantgardportal.com', 'ns': 'a1-66.akam.net', 'mailbox': 'admin.dnstinations.com', 'serial': 1349, 'refresh': 10800, 'retry': 3600, 'expire': 2419200, 'minttl': 60}",NOERROR,,,,,,,,,
[x],cloud.dell.com,600,143.166.28.30,"{'name': 'ins.dell.com', 'ns': 'ps3-gtm03.us.dell.com', 'mailbox': 'dnsadmin.dell.com', 'serial': 2024082912, 'refresh': 28800, 'retry': 7200, 'expire': 604800, 'minttl': 60}, {'name': 'ins.dell.com', 'ns': 'ps3-gtm03.us.dell.com', 'mailbox': 'dnsadmin.dell.com', 'serial': 2024082917, 'refresh': 28800, 'retry': 7200, 'expire': 604800, 'minttl': 60}, {'name': 'ins.dell.com', 'ns': 'ps3-gtm03.us.dell.com', 'mailbox': 'dnsadmin.dell.com', 'serial': 2024082917, 'refresh': 28800, 'retry': 7200, 'expire': 604800, 'minttl': 60}, {'name': 'ins.dell.com', 'ns': 'ps3-gtm03.us.dell.com', 'mailbox': 'dnsadmin.dell.com', 'serial': 2024082912, 'refresh': 28800, 'retry': 7200, 'expire': 604800, 'minttl': 60}, {'name': 'ins.dell.com', 'ns': 'ps3-gtm03.us.dell.com', 'mailbox': 'dnsadmin.dell.com', 'serial': 2024082917, 'refresh': 28800, 'retry': 7200, 'expire': 604800, 'minttl': 60}, {'name': 'ins.dell.com', 'ns': 'ps3-gtm03.us.dell.com', 'mailbox': 'dnsadmin.dell.com', 'serial': 2024082917, 'refresh': 28800, 'retry': 7200, 'expire': 604800, 'minttl': 60}",NOERROR,,extcirrusapi.ins.dell.com,,,,,,,
