input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,csp_domains_,tls_subject_org_,final_url,cdn_name,cdn,tls_expired,tls_self_signed,location
acc.sram.surf.nl,Research Access Management,200,614,acc.sram.surf.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-01T00:00:00Z,2024-04-30T23:59:59Z,"CN=acc.sram.surf.nl, O=SURF B.V., ST=Utrecht, C=NL",acc.sram.surf.nl,www.acc.sram.surf.nl,"CN=GEANT OV RSA CA 4, O=GEANT Vereniging, C=NL",GEANT OV RSA CA 4,GEANT Vereniging,2491d1dc05419fe8799e6b0204918638,ee0d5b72ab20a09811d80313b1a56640eacb82c96cb059c4760cc29c0678411a,,ctls,acc.sram.surf.nl,443,https://acc.sram.surf.nl:443,https,nginx/1.18.0,text/html,GET,18.157.150.174,/,-1422597385,2a05:d014:81f:be00::20,Nginx:1.18.0,1,False,https://*.acc.sram.surf.nl,SURF B.V.,,,,,,
api.confluence.ia.surf.nl,403 Forbidden,403,199,api.confluence.ia.surf.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-06-05T00:00:00Z,2024-06-04T23:59:59Z,"CN=xws2.ia.surfsara.nl, O=SURF B.V., ST=Utrecht, C=NL",xws2.ia.surfsara.nl,xws2.ia.surf.nl,"CN=GEANT OV RSA CA 4, O=GEANT Vereniging, C=NL",GEANT OV RSA CA 4,GEANT Vereniging,7523587ffa905200fd9eb9bf052da0a5,27f99ba4315b1293bcbe3a36d93199d034b1521f38af1cdfd0233e9e4cbbac84,,ctls,api.confluence.ia.surf.nl,443,https://api.confluence.ia.surf.nl:443,https,Apache,text/html,GET,145.100.11.130,/,-674293492,2001:610:108:200f::130,Apache,8,False,,SURF B.V.,https://api.confluence.ia.surf.nl/rest,,,,,
api.confluence.test.ia.surf.nl,403 Forbidden,403,199,api.confluence.test.ia.surf.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-06-05T00:00:00Z,2024-06-04T23:59:59Z,"CN=xws2.ia.surfsara.nl, O=SURF B.V., ST=Utrecht, C=NL",xws2.ia.surfsara.nl,xws2.ia.surf.nl,"CN=GEANT OV RSA CA 4, O=GEANT Vereniging, C=NL",GEANT OV RSA CA 4,GEANT Vereniging,7523587ffa905200fd9eb9bf052da0a5,27f99ba4315b1293bcbe3a36d93199d034b1521f38af1cdfd0233e9e4cbbac84,,ctls,api.confluence.test.ia.surf.nl,443,https://api.confluence.test.ia.surf.nl:443,https,Apache,text/html,GET,145.100.11.130,/,-780928015,2001:610:108:200f::130,Apache,8,False,,SURF B.V.,,,,,,
api.dev.mijn.surf.nl,Mijn SURF,200,6875,api.dev.mijn.surf.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-11-15T00:00:00Z,2023-11-15T23:59:59Z,"CN=dev.mijn.surf.nl, O=SURF B.V., ST=Utrecht, C=NL",dev.mijn.surf.nl,shared-ws-dev.surf.nl,"CN=GEANT OV RSA CA 4, O=GEANT Vereniging, C=NL",GEANT OV RSA CA 4,GEANT Vereniging,7c8524a3174c7ef3130c751cdc757c2f,dbb1693c60acd3fd8da06bbeb5d394c40528abe92021f2dd0310b5b1af9a04ba,,ctls,api.dev.mijn.surf.nl,443,https://api.dev.mijn.surf.nl:443,https,Microsoft-IIS/10.0,text/html,GET,93.174.200.190,/,951218067,93.174.200.190,Windows Server,63,False,,SURF B.V.,,,,,,
api.exp.sram.lab.surf.nl,,404,19,api.exp.sram.lab.surf.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-06-13T07:45:09Z,2023-09-11T07:45:08Z,CN=api.exp.sram.lab.surf.nl,api.exp.sram.lab.surf.nl,api.exp.sram.lab.surf.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,5b9b2ac9193c9b80018ccc22a3f51bcd,34bd82200d083e72f5244199bc48349c2a80c718d4d34d077b2665d04b33764b,,ctls,api.exp.sram.lab.surf.nl,443,https://api.exp.sram.lab.surf.nl:443,https,,text/plain,GET,145.101.114.8,/,-138391155,145.101.114.8,,2,False,,,,,,,,
api.jira.test.ia.surf.nl,403 Forbidden,403,199,api.jira.test.ia.surf.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-06-05T00:00:00Z,2024-06-04T23:59:59Z,"CN=xws2.ia.surfsara.nl, O=SURF B.V., ST=Utrecht, C=NL",xws2.ia.surfsara.nl,xws2.ia.surf.nl,"CN=GEANT OV RSA CA 4, O=GEANT Vereniging, C=NL",GEANT OV RSA CA 4,GEANT Vereniging,7523587ffa905200fd9eb9bf052da0a5,27f99ba4315b1293bcbe3a36d93199d034b1521f38af1cdfd0233e9e4cbbac84,,ctls,api.jira.test.ia.surf.nl,443,https://api.jira.test.ia.surf.nl:443,https,Apache,text/html,GET,145.100.11.130,/,-780928015,2001:610:108:200f::130,Apache,8,False,,SURF B.V.,,,,,,
api.vault-wallet.exp.sram.lab.surf.nl,,404,19,,,,,,,,,,,,,,,,,,,,80,http://api.vault-wallet.exp.sram.lab.surf.nl:80,http,,text/plain,GET,145.101.114.8,/,-138391155,145.101.114.8,,2,False,,,,,,,,
auteursrechten.surf.nl,Homepage | Auteursrechten,200,36582,www.auteursrechten.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-06-24T00:00:00Z,2023-06-24T23:59:59Z,"CN=auteursrechten.nl, O=SURF B.V., ST=Utrecht, C=NL",auteursrechten.nl,www.auteursrechten.nl,"CN=GEANT OV RSA CA 4, O=GEANT Vereniging, C=NL",GEANT OV RSA CA 4,GEANT Vereniging,5b0e0d798012778a29326a7ec13089da,e8335e0bf5a3d0aaba073c5972153ab86eb07f3ff772d05cfffec4a2ac493603,,ctls,www.auteursrechten.nl,443,https://auteursrechten.surf.nl:443,https,nginx,text/html,GET,145.100.190.243,/,2112536445,2001:610:508:108:192:87:108:15,YouTube,525,False,www.youtube.com,SURF B.V.,https://www.auteursrechten.nl,,,,,
auth.exp.sram.lab.surf.nl,,404,19,auth.exp.sram.lab.surf.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-19T07:44:54Z,2023-08-17T07:44:53Z,CN=auth.exp.sram.lab.surf.nl,auth.exp.sram.lab.surf.nl,auth.exp.sram.lab.surf.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,bdb10aa00d59711164a96459db30822c,e7d2bd5af91139929ddbe24c9eb77f9bc7d14b97a8266663a32117d2663f1563,,ctls,auth.exp.sram.lab.surf.nl,443,https://auth.exp.sram.lab.surf.nl:443,https,,text/plain,GET,145.101.114.8,/,-138391155,145.101.114.8,,2,False,,,,,,,,
bitwarden.surf.nl,Bitwarden Web Vault,200,1238,bitwarden.surf.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-04-14T00:00:00Z,2024-04-13T23:59:59Z,"CN=bitwarden.surf.nl, O=SURF B.V., ST=Utrecht, C=NL",bitwarden.surf.nl,bitwarden01p.int.ia.surf.nl,"CN=GEANT OV RSA CA 4, O=GEANT Vereniging, C=NL",GEANT OV RSA CA 4,GEANT Vereniging,c698eacea4f769707bb701db633ea5b1,a30cde5deb92146cb3c59671814949539ec895a9e88f482947aeb3307e96f6fc,,ctls,bitwarden.surf.nl,443,https://bitwarden.surf.nl:443,https,nginx,text/html,GET,145.100.20.44,/,-873752011,145.100.20.44,Nginx,1,False,https://*.duofederal.com,SURF B.V.,,,,,,
