input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_subject_org_,tls_wildcard_certificate,tls_expired,tls_self_signed,content_type,tls_mismatched,csp_domains_,final_url,location
account-ut.merck.com,MSD Account | Log In,200,6569,account-ut.msd.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2024-01-19T23:59:59Z,CN=account-ut.msd.com,account-ut.msd.com,account-ut.msd.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,fe528730eea7a4db3c1f02fad8153c8a,e4f75590b3b1987bf7a8cea9d751ac47a7a3908a9aed9bbb128082ce0dfec673,ctls,account-ut.msd.com,cloudfront,443,https://account-ut.merck.com:443,https,,GET,108.138.7.104,/,-1984900566,108.138.7.18,Java,167,False,True,,,,,text/html,,,https://account-ut.msd.com/,
account-ut.msd.com,MSD Account | Log In,200,6569,account-ut.msd.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2024-01-19T23:59:59Z,CN=account-ut.msd.com,account-ut.msd.com,account-ut.msd.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,fe528730eea7a4db3c1f02fad8153c8a,e4f75590b3b1987bf7a8cea9d751ac47a7a3908a9aed9bbb128082ce0dfec673,ctls,account-ut.msd.com,cloudfront,443,https://account-ut.msd.com:443,https,,GET,13.32.121.64,/,-1984900566,13.32.121.95,Java,167,False,True,,,,,text/html,,,,
account.merck.com,MSD Account | Log In,200,6557,account.msd.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2024-01-19T23:59:59Z,CN=account.msd.com,account.msd.com,account.msd.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,50cd7aca9d81340836eb9a8656a5ab3f,ac87ec6f01e08027ed1691bd6a0b4bb50e334a9759f5dd7e3baa356327e9307d,ctls,account.msd.com,cloudfront,443,https://account.merck.com:443,https,,GET,13.32.99.11,/,1903530257,13.32.99.46,Java,167,False,True,,,,,text/html,,https://account-ut.merck.com/images/assets/img/logo_merck.png,https://account.msd.com/,
account.msd.com,MSD Account | Log In,200,6557,account.msd.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2024-01-19T23:59:59Z,CN=account.msd.com,account.msd.com,account.msd.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,50cd7aca9d81340836eb9a8656a5ab3f,ac87ec6f01e08027ed1691bd6a0b4bb50e334a9759f5dd7e3baa356327e9307d,ctls,account.msd.com,cloudfront,443,https://account.msd.com:443,https,,GET,18.66.122.114,/,1903530257,18.66.122.59,Java,167,False,True,,,,,text/html,,https://account-ut.merck.com/images/assets/img/logo_merck.png,,
adfs.ghhvpc.merck.com,IIS Windows Server,200,703,adfs.ghhvpc.merck.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-08T00:00:00Z,2024-03-08T23:59:59Z,CN=adfs.ghhvpc.merck.com,adfs.ghhvpc.merck.com,adfs.ghhvpc.merck.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,84e7cdb17d73a1ceb54eed41e43c167a,4bfb28e9e6d9ce34adaa699e57422f7f90e6c6e185fdfd4ca25a7f99512581cb,ctls,adfs.ghhvpc.merck.com,cloudfront,443,https://adfs.ghhvpc.merck.com:443,https,Microsoft-IIS/10.0,GET,13.32.121.14,/,1631801191,13.32.121.111,Windows Server,32,False,True,,,,,text/html,,,,
adp-aus.msd.com,Sign On Error,200,2362,pingfed.msd.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-15T00:00:00Z,2024-04-14T23:59:59Z,"CN=pingfed.merck.com, O=Merck Sharp & Dohme LLC, ST=New Jersey, C=US",pingfed.merck.com,www.pingfed.merck.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,ac402a968211649093b8e52da657ff94,642d75a967c92be4a5e4c2283872baed25ccd4f9cee8b63a531e9bcbfdd87b5b,ctls,pingfed.msd.com,,443,https://adp-aus.msd.com:443,https,,GET,99.83.236.178,/,-1864275281,75.2.16.51,,68,False,,Merck Sharp & Dohme LLC,,,,text/html,,https://*.kneatgxtest.com,https://pingfed.msd.com/idp/startSSO.ping?PartnerSpId=https://my.adppayroll.com.au,
adp.merck.com,Sign On,200,6446,pingfed.msd.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-15T00:00:00Z,2024-04-14T23:59:59Z,"CN=pingfed.merck.com, O=Merck Sharp & Dohme LLC, ST=New Jersey, C=US",pingfed.merck.com,www.pingfed.merck.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,ac402a968211649093b8e52da657ff94,642d75a967c92be4a5e4c2283872baed25ccd4f9cee8b63a531e9bcbfdd87b5b,ctls,pingfed.msd.com,,80,http://adp.merck.com:80,http,,GET,155.91.7.25,/,1995523324,155.91.7.25,,195,False,,Merck Sharp & Dohme LLC,,,,text/html,,https://*.kneatgx.com,https://pingfed.msd.com/idp/startSSO.ping?PartnerSpId=https%3A%2F%2Ffed.adp.com&TargetResource=https%3A%2F%2Ffed.adp.com%2Fsaml%2Ffedlanding.html%3FPORTAL,
agep.merck.com,Invalid Connection,403,8900,agep.merck.com,443,True,tls10,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,2018-04-27T00:00:00Z,2019-06-26T12:00:00Z,CN=agep.merck.com,agep.merck.com,agep.merck.com,"emailAddress=support@fortinet.com, CN=FortiGate CA, OU=Certificate Authority, O=Fortinet, L=Sunnyvale, ST=California, C=US, emailAddress=support@fortinet.com",FortiGate CA,Fortinet,6ecb7cf9d985bc2fb6ad38f6ee2f1eae,18592712986033caf9ef9b73cd5b2594408d4f949164a67dab2fd98876e84dd8,ctls,agep.merck.com,,443,https://agep.merck.com:443,https,,GET,212.89.10.121,/,-396808080,212.89.10.121,,220,False,,,,True,True,text/html,,,,
aim.msd.com,Sign in to your account,200,41400,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-06-01T00:00:00Z,2024-06-01T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,3e5363ca089bb6cd32f00c16e8c60c1d,722ffa737efee47ce8a79dd30a184c0967708de86a0c20d85e015d7c21075dee,ctls,login.microsoftonline.com,,443,https://aim.msd.com:443,https,,GET,76.223.76.171,/,-1842707879,13.248.206.15,HSTS,95,False,,Microsoft Corporation,,,,text/html,,,https://login.microsoftonline.com:443/a00de4ec-48a8-43a6-be74-e31274e2060d/oauth2/authorize?client%5Fid=00000003%2D0000%2D0ff1%2Dce00%2D000000000000&response%5Fmode=form%5Fpost&response%5Ftype=code%20id%5Ftoken&resource=00000003%2D0000%2D0ff1%2Dce00%2D000000000000&scope=openid&nonce=D41332B46107AE532B34A4F709307F54B04F6524A691B8AD%2D5BDFBFB2E9FC0AA97801FBCF4CDF5BE36C044098F25B6D82E8018EEFDD03CCF1&redirect%5Furi=https%3A%2F%2Fcollaboration%2Emerck%2Ecom%2F%5Fforms%2Fdefault%2Easpx&state=OD0w&claims=%7B%22id%5Ftoken%22%3A%7B%22xms%5Fcc%22%3A%7B%22values%22%3A%5B%22CP1%22%5D%7D%7D%7D&wsucxt=1&cobrandid=11bd8083%2D87e0%2D41b5%2Dbb78%2D0bc43c8a8e8a&client%2Drequest%2Did=768ac8a0%2Df095%2D3000%2De6ec%2D7f65ad430f49&popupui=1,
amplify.msd.com,Amplify: The Social Champions Network,200,89855,amplify.msd.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-03T00:00:00Z,2023-08-03T23:59:59Z,"CN=amplify.msd.com, O=Merck Sharp & Dohme LLC, ST=New Jersey, C=US",amplify.msd.com,www.amplify.msd.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,8978fb96318a6c94981e4234e6314a07,7ca867b45dffa4ee7d022e9e51e9db7dcd067d7d65818efd60c2efcbdd07680b,ctls,amplify.msd.com,,443,https://amplify.msd.com:443,https,,GET,161.129.72.21,/,1924873040,161.129.72.21,HSTS,46,False,,Merck Sharp & Dohme LLC,,,,text/html,,apigateway.voicestorm.biz,https://amplify.msd.com/member/,
api-pre-prod.merck.com,,204,,api-pre-prod.merck.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-08T00:00:00Z,2024-03-07T23:59:59Z,"CN=apigee.merck.com, O=Merck Sharp & Dohme LLC, ST=New Jersey, C=US",apigee.merck.com,webapi-prd-ro2.merck.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,b933ba4bfbda250f74f776d7ca444de3,4c59b67687b9ec5d2264d026083b1728c9e1290076dc197e7164c029dea293ee,ctls,api-pre-prod.merck.com,,443,https://api-pre-prod.merck.com:443,https,openresty,GET,52.223.61.181,/,962032174,35.71.154.34,OpenResty,1,False,,Merck Sharp & Dohme LLC,True,,,,,,,
