input,title,status_code,content_length,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,tls_subject_org_,final_url
*.storage.googleapis.com,,400,181,,storage.googleapis.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-10T08:24:27Z,2023-10-02T08:24:26Z,CN=storage.googleapis.com,storage.googleapis.com,storage.googleapis.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,39b2624db39d231dd7298e5567a7ce48,e16e029ef259f3cafc7a109b0115c21fa72edd79f32cca72f24fd029c1565507,,ctls,storage.googleapis.com,,443,https://storage.googleapis.com:443,https,UploadServer,application/xml,GET,142.250.185.144,/,1932894636,2a00:1450:4001:827::2010,HTTP/3,1,False,,,,
academy.securityscorecard.com,Become a certified risk intelligence expert | SecurityScorecard Academy,200,105407,https://*.vf.force.com,academy2.securityscorecard.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-05T00:00:00Z,2024-05-04T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.securityscorecard.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ded773f0b3a99e8cc40106bf2287d49f,0a70d5d1e26d8aff6f8927a115888358eb9992c55da2a97cf67855241332a514,True,ctls,academy2.securityscorecard.com,,443,https://academy.securityscorecard.com:443,https,cloudflare,text/html,GET,141.193.213.11,/,-1273809973,141.193.213.10,Ruby on Rails,234,False,,,"Cloudflare, Inc.",https://academy2.securityscorecard.com/certifications
academy2.securityscorecard.com,Become a certified risk intelligence expert | SecurityScorecard Academy,200,105407,https://*.vf.force.com,academy2.securityscorecard.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-05T00:00:00Z,2024-05-04T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.securityscorecard.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ded773f0b3a99e8cc40106bf2287d49f,0a70d5d1e26d8aff6f8927a115888358eb9992c55da2a97cf67855241332a514,True,ctls,academy2.securityscorecard.com,cloudflare,443,https://academy2.securityscorecard.com:443,https,cloudflare,text/html,GET,104.17.104.50,/,-1840324437,2606:4700::6811:6832,Ruby on Rails,234,False,True,,"Cloudflare, Inc.",https://academy2.securityscorecard.com/certifications
aig.atlas.securityscorecard.io,ATLAS,200,2573,https://fonts.gstatic.com/,aig.atlas.securityscorecard.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-28T00:00:00Z,2024-07-26T23:59:59Z,CN=*.atlas.securityscorecard.io,*.atlas.securityscorecard.io,atlas.securityscorecard.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,42c0a95a4909eaf0c37c5ad9258b5707,62dbd309117659b8d39187491d355a571e5847392bef7475a75a2994505bd0f4,True,ctls,aig.atlas.securityscorecard.io,cloudfront,443,https://aig.atlas.securityscorecard.io:443,https,AmazonS3,text/html,GET,65.9.66.6,/,1326708382,65.9.66.111,HSTS,1,False,True,,,
api.atlas.securityscorecard.io,404 Not Found,404,207,https://www.google-analytics.com,api.atlas.securityscorecard.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-28T00:00:00Z,2024-07-26T23:59:59Z,CN=*.atlas.securityscorecard.io,*.atlas.securityscorecard.io,atlas.securityscorecard.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,42c0a95a4909eaf0c37c5ad9258b5707,62dbd309117659b8d39187491d355a571e5847392bef7475a75a2994505bd0f4,True,ctls,api.atlas.securityscorecard.io,,443,https://api.atlas.securityscorecard.io:443,https,gunicorn/20.0.4,text/html,GET,35.168.174.37,/,1185329514,52.207.202.40,gunicorn:20.0.4,6,False,,,,
assets.securityscorecard.io,,200,302647,,assets.securityscorecard.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-24T23:59:59Z,CN=*.securityscorecard.com,*.securityscorecard.com,*.securityscorecard.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,1a5d463cd9354cf184efb568615acef7,3dff3e266d22cea2869c3b1ae5bbdc2c7fcf967faf51279000cdf70356a9fd65,True,ctls,assets.securityscorecard.io,cloudfront,443,https://assets.securityscorecard.io:443,https,AmazonS3,application/xml,GET,143.204.215.6,/,-1840324437,143.204.215.39,Amazon Web Services,2,False,True,True,,
atlas-backend.securityscorecard.io,404 Not Found,404,207,https://app.pendo.io,atlas-backend.securityscorecard.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2024-01-24T23:59:59Z,CN=*.securityscorecard.io,*.securityscorecard.io,*.securityscorecard.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,d1b78878b867666e944f607eb34969e1,05e94c01233a081ef5d6e2e212f1b00e0b5ca1c4944ba26a4469bc070183f277,True,ctls,atlas-backend.securityscorecard.io,,443,https://atlas-backend.securityscorecard.io:443,https,gunicorn/20.0.4,text/html,GET,35.168.174.37,/,1185329514,44.212.160.143,gunicorn:20.0.4,6,False,,,,
atlas.securityscorecard.io,ATLAS,200,2573,https://fonts.gstatic.com/,atlas.securityscorecard.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-28T00:00:00Z,2024-07-26T23:59:59Z,CN=*.atlas.securityscorecard.io,*.atlas.securityscorecard.io,atlas.securityscorecard.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,42c0a95a4909eaf0c37c5ad9258b5707,62dbd309117659b8d39187491d355a571e5847392bef7475a75a2994505bd0f4,True,ctls,atlas.securityscorecard.io,cloudfront,443,https://atlas.securityscorecard.io:443,https,AmazonS3,text/html,GET,65.9.66.6,/,1326708382,65.9.66.120,HSTS,1,False,True,,,
beta.atlas.securityscorecard.io,ATLAS,200,2573,https://heapanalytics.com,beta.atlas.securityscorecard.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-28T00:00:00Z,2024-07-26T23:59:59Z,CN=*.atlas.securityscorecard.io,*.atlas.securityscorecard.io,atlas.securityscorecard.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,42c0a95a4909eaf0c37c5ad9258b5707,62dbd309117659b8d39187491d355a571e5847392bef7475a75a2994505bd0f4,True,ctls,beta.atlas.securityscorecard.io,cloudfront,443,https://beta.atlas.securityscorecard.io:443,https,AmazonS3,text/html,GET,65.9.66.47,/,1326708382,65.9.66.6,HSTS,1,False,True,,,
blog.securityscorecard.com,Blog Posts Archive | SecurityScorecard,200,542593,https://*.browser-intake-datadoghq.com,securityscorecard.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-20T00:00:00Z,2024-06-18T23:59:59Z,"CN=securityscorecard.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",securityscorecard.com,securityscorecard.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4750b27e88b0b18e000eb1b437510ea5,f750d5b35b45e0fd823018a4c69bd4a4a691c9aee84d7b41926e80c85f34db78,,ctls,securityscorecard.com,cloudflare,443,https://blog.securityscorecard.com:443,https,cloudflare,text/html,GET,104.17.104.50,/,-476454734,2606:4700::6811:6832,WordPress,6622,False,True,,"Cloudflare, Inc.",https://securityscorecard.com/blog/
