input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_mismatched,cdn_name,cdn,final_url,tls_expired,tls_self_signed,csp_domains_,location
123.oppomobile.com,403 Forbidden,403,571,123.oppomobile.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-05-11T00:00:00Z,2023-06-11T23:59:59Z,"CN=www.oppomobile.com, O=广东欢太科技有限公司, L=东莞市, ST=广东省, C=CN",www.oppomobile.com,广东欢太科技有限公司,oppomobile.com,"CN=GeoTrust CN RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust CN RSA CA G1,DigiCert Inc,0668e3aa7d94eaabb0d1041532440a86,3017b8ccbf3e9bfe432a31f2caad01beeb72eb01ea5b6875948de14e741dc00f,True,ctls,123.oppomobile.com,443,https://123.oppomobile.com:443,https,nginx,text/html,GET,106.3.18.111,/,-1312282626,106.3.18.111,Nginx,14,False,,,,,,,,
a.browser.heytapmobi.com,,404,31,a.browser.heytapmobi.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-07-25T00:00:00Z,2023-08-25T23:59:59Z,"CN=www.heytap.com, O=广东欢太科技有限公司, L=东莞市, ST=广东省, C=CN",www.heytap.com,广东欢太科技有限公司,*.ocs-south3-cn.heytapcs.com,"CN=GeoTrust CN RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust CN RSA CA G1,DigiCert Inc,250ba0eff51c3bb2e95a7ca655958414,4f73f632504333fbf8f5aa837b852d79d51ebe63f47b6ff52422d9bd7dd56309,True,ctls,a.browser.heytapmobi.com,443,https://a.browser.heytapmobi.com:443,https,nginx,,GET,106.3.18.61,/,1401299030,106.3.18.61,Nginx,1,False,True,,,,,,,
ac.ads.heytapmobi.com,,404,31,ac.ads.heytapmobi.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-07-25T00:00:00Z,2023-08-25T23:59:59Z,"CN=www.heytap.com, O=广东欢太科技有限公司, L=东莞市, ST=广东省, C=CN",www.heytap.com,广东欢太科技有限公司,*.ocs-south3-cn.heytapcs.com,"CN=GeoTrust CN RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust CN RSA CA G1,DigiCert Inc,250ba0eff51c3bb2e95a7ca655958414,4f73f632504333fbf8f5aa837b852d79d51ebe63f47b6ff52422d9bd7dd56309,True,ctls,ac.ads.heytapmobi.com,443,https://ac.ads.heytapmobi.com:443,https,nginx,,GET,106.39.247.29,/,1401299030,106.39.247.29,Nginx,1,False,True,,,,,,,
acc.oppo.com,,404,24,acc.oppo.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-06-13T00:00:00Z,2023-07-14T23:59:59Z,"CN=www.oppo.com, O=GuangDong OPPO Mobile Telecommunications Corp.\, Ltd., L=DongGuan, ST=GuangDong Province, C=CN",www.oppo.com,"GuangDong OPPO Mobile Telecommunications Corp., Ltd.",*.allawno.com,"CN=GeoTrust CN RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust CN RSA CA G1,DigiCert Inc,d8115c8bfeaccbb8033bae7f7853a81f,2de56f5d3c9969957daa95a6867343b1153cb4b70bd595fa3f9ffd592ad609c8,True,ctls,acc.oppo.com,443,https://acc.oppo.com:443,https,nginx,,GET,13.228.178.160,/,-1392886021,52.74.113.194,Nginx,1,False,True,,,,,,,
actcpc.heytapimage.com,,403,294,actcpc.heytapimage.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-06-13T00:00:00Z,2023-07-14T23:59:59Z,"CN=nearme.com.cn, O=深圳市欢太科技有限公司, L=ShenZhen, ST=GuangDong Province, C=CN",nearme.com.cn,深圳市欢太科技有限公司,*.finshell.co.in,"CN=GeoTrust CN RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust CN RSA CA G1,DigiCert Inc,632048cb8591a88b8c43c50f3334f439,3a1fead44d899339dbce8f702e9c747d198d8ff15dcecb447c5fef4ff9ce7cbd,True,ctls,actcpc.heytapimage.com,443,https://actcpc.heytapimage.com:443,https,Tengine,application/xml,GET,101.226.27.238,/,-234896770,101.226.27.233,Tengine,9,False,True,,,,,,,
activity-cdo.heytapimage.com,,400,188,,,,,,,,,,,,,,,,,,,,80,http://activity-cdo.heytapimage.com:80,http,Tengine,application/octet-stream,GET,101.226.27.240,/,,101.226.27.236,Tengine,1,False,,,,,,,,
activity-cn.cdo.heytapmobi.com,,200,,activity-cn.cdo.heytapmobi.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-07-25T00:00:00Z,2023-08-25T23:59:59Z,"CN=www.heytap.com, O=广东欢太科技有限公司, L=东莞市, ST=广东省, C=CN",www.heytap.com,广东欢太科技有限公司,*.ocs-south3-cn.heytapcs.com,"CN=GeoTrust CN RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust CN RSA CA G1,DigiCert Inc,250ba0eff51c3bb2e95a7ca655958414,4f73f632504333fbf8f5aa837b852d79d51ebe63f47b6ff52422d9bd7dd56309,True,ctls,activity-cn.cdo.heytapmobi.com,443,https://activity-cn.cdo.heytapmobi.com:443,https,nginx,,GET,106.3.18.108,/,-1840324437,106.3.18.108,Nginx,1,False,True,,,,,,,
activity.finzfin.com,欢迎,200,287,activity.finzfin.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-05-17T00:00:00Z,2023-06-17T23:59:59Z,"CN=www.finzfin.com, O=深圳市欢太数字科技有限公司, L=深圳市, ST=广东省, C=CN",www.finzfin.com,深圳市欢太数字科技有限公司,finzfin.com,"CN=GeoTrust CN RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust CN RSA CA G1,DigiCert Inc,79b39fa7d6de845c72020878f6538c3f,41d31399a5806f84b85ba7778835a2bd410f188227ade939390118bf1a4529f6,True,ctls,activity.finzfin.com,443,https://activity.finzfin.com:443,https,nginx,text/html,GET,106.39.247.2,/,2093166741,106.39.247.2,Nginx,12,False,True,,,,,,,
ad-origin-fb9673.nearme.com.cn,,404,24,ad-origin-fb9673.nearme.com.cn,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-06-13T00:00:00Z,2023-07-14T23:59:59Z,"CN=nearme.com.cn, O=深圳市欢太科技有限公司, L=ShenZhen, ST=GuangDong Province, C=CN",nearme.com.cn,深圳市欢太科技有限公司,*.finshell.co.in,"CN=GeoTrust CN RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust CN RSA CA G1,DigiCert Inc,632048cb8591a88b8c43c50f3334f439,3a1fead44d899339dbce8f702e9c747d198d8ff15dcecb447c5fef4ff9ce7cbd,True,ctls,ad-origin-fb9673.nearme.com.cn,443,https://ad-origin-fb9673.nearme.com.cn:443,https,nginx,,GET,106.3.18.217,/,-1392886021,106.3.18.217,Nginx,1,False,True,,,,,,,
ad.nearme.com.cn,,400,192,ad.nearme.com.cn,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-06-13T00:00:00Z,2023-07-14T23:59:59Z,"CN=nearme.com.cn, O=深圳市欢太科技有限公司, L=ShenZhen, ST=GuangDong Province, C=CN",nearme.com.cn,深圳市欢太科技有限公司,*.finshell.co.in,"CN=GeoTrust CN RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust CN RSA CA G1,DigiCert Inc,632048cb8591a88b8c43c50f3334f439,3a1fead44d899339dbce8f702e9c747d198d8ff15dcecb447c5fef4ff9ce7cbd,True,ctls,ad.nearme.com.cn,443,https://ad.nearme.com.cn:443,https,Tengine,application/xml,GET,180.101.197.190,/,-635543669,180.101.197.192,Tengine,1,False,True,,,,,,,
