new,host,a,cname,soa,status_code,aaaa,cdn,cdn-name,mx,txt,ns,has_internal_ips,internal_ips,caa
[x],api-41-5-2-41-6-2.twitter.com,209.237.215.136,,"a.u06.twtrdns.net, noc.twitter.com",NOERROR,,,,,,,,,
[x],api-staging.mopub.com,0.0.0.0,,"ns.mydomain.com.mopub.com, hostmaster.mydomain.com",NOERROR,,,,,,,True,0.0.0.0,
[x],bloombergpolitics.twitter.com,104.244.42.195,s.twitter.com,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
[x],d2ij4hy8t61sc5.cloudfront.net,"18.66.112.23, 18.66.112.83, 18.66.112.18, 18.66.112.87",,"ns-1494.awsdns-58.org, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,,"ns-1494.awsdns-58.org, ns-1803.awsdns-33.co.uk, ns-335.awsdns-41.com, ns-527.awsdns-01.net",,,
[x],developers-mp-staging.twitter.com,,s.twitter.com,,NOERROR,,,,,,,,,
[x],em209089.twitter.com,"185.3.93.228, 170.187.131.209",return.smtp2go.net,"ns4.smtpcorp.com, hostmaster.smtp2go.com",NOERROR,,,,return.smtp2go.net,v=spf1 include:spf.smtp2go.com ~all,,,,
[x],essencefest.twitter.com,104.244.42.3,s.twitter.com,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
[x],exchangereporting.twitter.com,104.244.42.67,s.twitter.com,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
[x],geo0.tweet.twitter.com,,,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
[x],geo1.syndication.twitter.com,104.244.42.136,,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
[x],geo3.platform.twitter.com,93.184.220.66,"cs472.wac.edgecastcdn.net, cs1-apr-8315.wac.edgecastcdn.net, wac.apr-8315.edgecastdns.net, cs1-lb-eu.8315.ecdns.net, cs41.wac.edgecastcdn.net","ns1.edgecastcdn.net, noc.edgecast.com",NOERROR,2606:2800:234:59:254c:406:2366:268c,True,fastly,,,,,,
[x],geo3.syndication.twitter.com,"104.244.42.200, 104.244.42.8, 104.244.42.72, 104.244.42.136",,"a.u06.twtrdns.net, noc.twitter.com",NOERROR,,,,,,,,,
[x],geo4.platform.twitter.com,192.229.233.25,"cs472.wac.edgecastcdn.net, cs1-apr-8315.wac.edgecastcdn.net, wac.apr-8315.edgecastdns.net, cs1-lb-eu.8315.ecdns.net, cs491.wac.edgecastcdn.net, cs41.wac.edgecastcdn.net, platform.twitter.map.fastly.net","ns1.edgecastcdn.net, noc.edgecast.com, ns1.fastly.net, hostmaster.fastly.com",NOERROR,2606:2800:234:59:254c:406:2366:268c,,,,,,,,
[x],geo4.syndication.twitter.com,104.244.42.200,,"a.u06.twtrdns.net, noc\@twitter.com",NOERROR,,,,,,,,,
[x],ligamx.twitter.com,"104.244.42.131, 104.244.42.67, 104.244.42.195, 104.244.42.3",s.twitter.com,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
[x],livecampaign.twitter.com,"104.244.42.195, 104.244.42.67, 104.244.42.3, 104.244.42.131",s.twitter.com,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
[x],measure0.twitter.com,"104.244.42.195, 104.244.42.131, 104.244.42.3, 104.244.42.67","probe.twitter.com, probe-t.twitter.com","a.u06.twtrdns.net, noc.twitter.com",NOERROR,,,,,,,,,
[x],pdx-api.twitter.com,,,"a.u06.twtrdns.net, noc.twitter.com",NOERROR,,,,,,,,,
[x],prod-cloudfront-tn-us-west-2-live.video.periscope.tv,"13.225.34.34, 13.225.34.94, 13.225.34.18, 13.225.34.111",,"ns-599.awsdns-10.net, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,,"ns-1323.awsdns-37.org, ns-1733.awsdns-24.co.uk, ns-506.awsdns-63.com, ns-599.awsdns-10.net",,,
[x],sms-be-atl.twitter.com,,s.twitter.com,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
[x],staging-jobs.twitter.com,"104.244.42.131, 104.244.42.195, 104.244.42.3, 104.244.42.67",s.twitter.com,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
[x],staging1-atla-stream-data-api.twitter.com,"199.16.156.47, 199.16.156.28",,"a.u06.twtrdns.net, noc.twitter.com",NOERROR,,,,,,,,,
[x],stream-data-api.twitter.com,"104.244.42.195, 104.244.42.3, 104.244.42.131, 104.244.42.67",datastream.twitter.com,"a.u06.twtrdns.net, noc.twitter.com",NOERROR,,,,,,,,,
[x],support-dev.mopub.com,"192.48.236.4, 192.48.236.3, 192.48.236.1, 192.48.236.2",s.mopub.com,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,,,
[x],thedugout.twitter.com,"104.244.42.67, 104.244.42.195, 104.244.42.3, 104.244.42.131",s.twitter.com,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
[x],thestarters.twitter.com,"104.244.42.131, 104.244.42.3, 104.244.42.195, 104.244.42.67",s.twitter.com,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
[x],ton-vine.twitter.com,"199.16.156.83, 199.16.156.27, 199.59.148.74, 199.59.148.24",,"a.u06.twtrdns.net, noc.twitter.com",NOERROR,,,,,,,,,
[x],ukelections.twitter.com,,s.twitter.com,"a.u06.twtrdns.net, noc.twitter.com",NOERROR,,,,,,,,,
[x],upload-20-0-0.twitter.com,104.244.42.3,,"a.u06.twtrdns.net, noc.twitter.com, noc\@twitter.com",NOERROR,,,,,,,,,
[x],upload-29-0-0.twitter.com,104.244.42.3,,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
[x],upload-34-0-0.twitter.com,104.244.42.3,,"a.u06.twtrdns.net, noc\@twitter.com, noc.twitter.com",NOERROR,,,,,,,,,
