new,host,a,cname,soa,status_code,cdn,cdn-name,ns,has_internal_ips,internal_ips,aaaa,txt,mx,caa,ptr
[x],2048.mi.com,20.47.97.231,cname-app-com-amsproxy.w.mi-dun.com,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,True,azure,,,,,,,,
[x],3rd-party.miui.com,"183.84.7.187, 120.133.33.137, 124.251.34.42, 183.84.7.4",extranet-alllines-pub-c3-c4.alb.xiaomi.com,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,,,,,,,,,,
[x],7lcheck.pt.xiaomi.com,10.21.1.140,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,,,,True,10.21.1.140,,,,,
[x],a-hl.mi.com,,cname-app-com-amsproxy.w.mi-dun.com,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,True,azure,,,,,,,,
[x],accessdelmarcollege.elb.xiaomi.com,0.0.0.0,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,,,"ns3.dnsv5.com, ns4.dnsv5.com",True,0.0.0.0,,,,,
[x],admin-cloudctl-intl.inf.miui.com,10.58.78.58,intranet.ap-southeast-1.miui-l7-middle.xf0rzuab4j.elb.xiaomi.com,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,,,,True,10.58.78.58,,,,,
[x],alpha-cn-sjc1.ad.xiaomi.com,0.0.0.0,,"fake-for-negative-caching.adguard.com, hostmaster.alpha-cn-sjc1.ad.xiaomi.com",NOERROR,,,,True,0.0.0.0,::,,,,
[x],alpha-global-search.browser.miui.com,"124.251.100.130, 183.84.7.86",matrix-pub-c3-c4.alb.xiaomi.com,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,,,,,,,,,,
[x],ams-fs.buy.mi.com,20.47.115.118,matrixl-pri-azams.alb.xiaomi.com,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,True,azure,,,,,,,,
[x],ams.kefu.mi.com,"3.127.227.23, 18.194.222.150","ams.kefu.mi.com.v.mi-dun.com, cname-app-com.w.mi-dun.com, aws-fr-sec-midun-nlb-8db12722d067e399.elb.eu-central-1.amazonaws.com","ns-1390.awsdns-45.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api-flow-intl.10046.mi.com,"8.219.247.27, 47.241.97.200, 8.219.246.161",matrix-pri-alisgp.alb.xiaomi.com,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,,,,,,,,,,
[x],api-ipv4.browser.miui.com,"124.251.100.109, 183.84.5.11",browsers-pri-c3-c4.alb.xiaomi.com,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,,,,,,,,,,
[x],api-test.vip.miui.com,"10.132.107.134, 10.108.231.18",l7.c34.n.vip.miui.com,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,,,,True,"10.132.107.134, 10.108.231.18",,,,,
[x],api-translator.pandora.xiaomi.com,43.224.247.26,coml7.pandora.xiaomi.com,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,,,,,,,,,,
[x],apkpatch.g.mi.com,,"apkpatch.g.mi.com.download.ks-cdn.com, k1.gslb.ksyuncdn.com","ns1.ksyuncdn.com, dnsadmin",NOERROR,True,azure,,,,,,,,
[x],apm-ind.inf.miui.com,"10.75.50.17, 10.75.20.47","awsind.ingress.cc.d.xiaomi.net, internal-aws-ingress-1247733473.ap-south-1.elb.amazonaws.com","ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,True,"10.75.50.17, 10.75.20.47",,,,,
[x],apm-rum-sgp.inf.miui.com,"8.214.88.90, 8.219.219.212, 8.219.228.95, 8.214.39.79",extranet-ipv4-pub-alisgp.alb.xiaomi.com,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,,,,,,,,,,
[x],apm.inf.miui.com,10.108.238.61,c3.ingress.cc.d.xiaomi.net,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,,,,True,10.108.238.61,,,,,
