input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_expired,tls_self_signed,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_wildcard_certificate,cdn_name,cdn,final_url,csp_domains_
*.mi.com,Xiaomi Deutschland Offizielle Seite Mi.com -  Mi Deutschland,200,84063,www.mi.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,,,2022-09-27T00:00:00Z,2023-10-21T23:59:59Z,CN=www.mi.com,www.mi.com,,mi.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",71ca3ebf29f71dcadb6b1f4ea415f974,49fdce9298b6719674f44a4d9d91a30f695594a4c44401d5bf124bf896b441c9,ctls,www.mi.com,443,https://mi.com:443,https,,text/html,GET,20.47.97.231,/,-472588776,20.47.97.231,Google Tag Manager,4,False,,azure,True,https://www.mi.com/de/,*.mi.com
10.mi.com,Xiaomi Deutschland Offizielle Seite Mi.com -  Mi Deutschland,200,84063,www.mi.com,443,True,tls12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,,,,2022-09-27T00:00:00Z,2023-10-21T23:59:59Z,CN=www.mi.com,www.mi.com,,mi.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",71ca3ebf29f71dcadb6b1f4ea415f974,49fdce9298b6719674f44a4d9d91a30f695594a4c44401d5bf124bf896b441c9,ctls,www.mi.com,443,https://10.mi.com:443,https,,text/html,GET,20.47.97.231,/,-550020128,20.47.97.231,Google Tag Manager,4,False,,azure,True,https://www.mi.com/de/,*.mi.com
10.xiaomi.com,Xiaomi Deutschland Offizielle Seite Mi.com -  Mi Deutschland,200,84063,www.mi.com,443,True,tls12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,,,,2022-09-27T00:00:00Z,2023-10-21T23:59:59Z,CN=www.mi.com,www.mi.com,,mi.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",71ca3ebf29f71dcadb6b1f4ea415f974,49fdce9298b6719674f44a4d9d91a30f695594a4c44401d5bf124bf896b441c9,ctls,www.mi.com,443,https://10.xiaomi.com:443,https,,text/html,GET,20.47.97.231,/,-550020128,20.47.97.231,Google Tag Manager,4,False,,azure,True,https://www.mi.com/de/,*.mi.com
10046.mi.com,小米移动,200,13455,10046.mi.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,,,2022-10-05T00:00:00Z,2023-10-29T23:59:59Z,CN=*.mi.com,*.mi.com,,mi.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",027056bfd79babde7fbcd82e64678896,f6b6424fcf24751cd5771a25a3af47896a5ee1c16de259ec2b71a671894a59c2,ctls,10046.mi.com,443,https://10046.mi.com:443,https,MonKing/3.14,,GET,20.47.97.231,/,-1942583205,20.47.97.231,React,132,False,True,azure,True,,
11-c3.indiantechnical.bgp.neo.xiaomi.com,,404,21,11-c3.indiantechnical.bgp.neo.xiaomi.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,True,True,2023-04-22T15:56:06Z,2024-04-21T15:56:06Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,451190f0fdb2eb08b22138399c8d3c05,a59537b8f7d39aab249b8bdbeedc8b3881da8355ba49c3ffc6af77962b14d38c,ctls,11-c3.indiantechnical.bgp.neo.xiaomi.com,443,https://11-c3.indiantechnical.bgp.neo.xiaomi.com:443,https,nginx/1.17.10,text/html,GET,120.133.33.249,/,-1669793162,120.133.33.249,Nginx:1.17.10,1,False,,,,,
16-azureams.i18n.internet.neo.xiaomi.com,,404,21,16-azureams.i18n.internet.neo.xiaomi.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,True,True,2022-05-10T06:28:09Z,2023-05-10T06:28:09Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,6a37e34c5f45fcfef3c67a56efcc05ea,792aff3b5efd288d99b5e1acf5e290e3198194bcd323ff13a61c9567d968f582,ctls,16-azureams.i18n.internet.neo.xiaomi.com,443,https://16-azureams.i18n.internet.neo.xiaomi.com:443,https,nginx/1.17.10,text/html,GET,20.47.97.79,/,-1669793162,20.47.97.79,Nginx:1.17.10,1,False,,azure,True,,
16-azureams.mixms.internet.neo.xiaomi.com,,404,21,16-azureams.mixms.internet.neo.xiaomi.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,True,True,2022-05-10T06:29:37Z,2023-05-10T06:29:37Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,42bfe1f8a5e8a79e5dd42ebdafa8bf6a,b6892ecd48f0189dbccd6b6ec1de4904d1a664627b2ccebfe775cdc98c93dd12,ctls,16-azureams.mixms.internet.neo.xiaomi.com,443,https://16-azureams.mixms.internet.neo.xiaomi.com:443,https,nginx/1.17.10,text/html,GET,20.157.18.16,/,-1669793162,20.157.18.16,Nginx:1.17.10,1,False,,,,,
2048.mi.com,小米2048,200,3780,,,,,,,,,,,,,,,,,,,,,,443,https://2048.mi.com:443,https,MonKing/3.14,text/html,GET,20.47.97.231,/,-143005549,20.47.97.231,,86,False,,azure,True,http://2048.mi.com/index.html,
3rd-party.miui.com,小米开放平台 - MIUI 大屏适配,200,8869,3rd-party.miui.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,,,2022-11-27T00:00:00Z,2023-12-27T23:59:59Z,CN=*.miui.com,*.miui.com,,miui.com,"CN=TrustAsia RSA DV TLS CA G2, O=TrustAsia Technologies\, Inc., C=CN",TrustAsia RSA DV TLS CA G2,"TrustAsia Technologies, Inc.",f0e8dd8f30aeb30ad1d00f0e93683206,1e93b5160ac7d28d1948c2b1da8e742a6f6ce21c498257376040e04f450e25bf,ctls,3rd-party.miui.com,443,https://3rd-party.miui.com:443,https,,text/html,GET,120.133.33.137,/,-316624786,183.84.7.187,,1,False,True,,,,
5-c3.b2cback.bgp.neo.xiaomi.com,,404,21,5-c3.b2cback.bgp.neo.xiaomi.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,True,True,2022-12-06T02:07:39Z,2023-12-06T02:07:39Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,2c4e0d774c34276875676d08715a0c93,28fc50702a5f3314c47c8cf14fca8b7e450625b44e50b1bd3a9fd46dc631d36e,ctls,5-c3.b2cback.bgp.neo.xiaomi.com,443,https://5-c3.b2cback.bgp.neo.xiaomi.com:443,https,nginx/1.17.10,text/html,GET,124.251.58.55,/,-1669793162,124.251.58.55,Nginx:1.17.10,1,False,,,,,
5-c3.infoarch.bgp.neo.xiaomi.com,,404,21,5-c3.infoarch.bgp.neo.xiaomi.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,True,True,2022-09-14T08:10:43Z,2023-09-14T08:10:43Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,a12014d7d01cb88cdf1cd51baa2da84c,6ede5d64bc77c1ee3406916235057b3f05f715410fe3ade4fec5ddc5c73416a2,ctls,5-c3.infoarch.bgp.neo.xiaomi.com,443,https://5-c3.infoarch.bgp.neo.xiaomi.com:443,https,nginx/1.17.10,text/html,GET,124.251.58.228,/,-1669793162,124.251.58.228,Nginx:1.17.10,1,False,,,,,
5-c3.internation.bgp.neo.xiaomi.com,,404,21,5-c3.internation.bgp.neo.xiaomi.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,True,True,2022-11-28T10:06:50Z,2023-11-28T10:06:50Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,a418462e38c9e940aa047f8849762148,7af0d89c65abaa537b5c0846853195fb02df9dc529e069541ebcfe38a4306095,ctls,5-c3.internation.bgp.neo.xiaomi.com,443,https://5-c3.internation.bgp.neo.xiaomi.com:443,https,nginx/1.17.10,text/html,GET,124.251.100.96,/,-1669793162,124.251.100.96,Nginx:1.17.10,1,False,,,,,
5-c3.micharity.bgp.neo.xiaomi.com,,404,21,5-c3.micharity.bgp.neo.xiaomi.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,True,True,2022-11-23T08:26:56Z,2023-11-23T08:26:56Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,1fbb0ddf0b60e0d46c97c04988c53ad5,50ce99e7c0500aeb0c972d143e720fd0b9a89fe16c990a483f9013ab1008fb13,ctls,5-c3.micharity.bgp.neo.xiaomi.com,443,https://5-c3.micharity.bgp.neo.xiaomi.com:443,https,nginx/1.17.10,text/html,GET,124.251.100.2,/,-1669793162,124.251.100.2,Nginx:1.17.10,1,False,,,,,
