input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn_name,webserver,cdn,tls_mismatched,tls_wildcard_certificate,final_url,csp_domains_,location,tls_expired,tls_self_signed
101878-a-1.jpmorganchase.com,Request Denied,403,14195,101878-a-1.jpmorganchase.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-13T05:52:29Z,2024-04-12T05:52:29Z,"CN=101878-a-1.jpmorganchase.com, serialNumber=691011, businessCategory=Private Organization, O=JPMorgan Chase and Co., jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, L=New York, ST=New York, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",101878-a-1.jpmorganchase.com,JPMorgan Chase and Co.,101878-a-1.jpmorganchase.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",029fba996fc6d18c32e3917f17370adb,76cbfa949405396eee6175a925c1f9bcaa75c91c4a3edb4075582dccce0f75b1,ctls,101878-a-1.jpmorganchase.com,443,https://101878-a-1.jpmorganchase.com:443,https,text/html,GET,159.53.117.73,/,163005645,159.53.117.73,,145,False,,,,,,,,,,
101878-a-2-atlas.jpmorganchase.com,Request Denied,403,14291,101878-a-2-atlas.jpmorganchase.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-09T10:10:04Z,2024-01-09T10:10:04Z,"CN=101878-a-2-atlas.jpmorganchase.com, serialNumber=691011, businessCategory=Private Organization, O=JPMorgan Chase and Co., jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, L=New York, ST=New York, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",101878-a-2-atlas.jpmorganchase.com,JPMorgan Chase and Co.,101878-a-2-atlas.jpmorganchase.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",aba99c8cc709e9692b421218771b0ae9,cbad7542a94a86ae124832c1d3f62364a5f8ea19237e1a5083157a7fe3b8daa6,ctls,101878-a-2-atlas.jpmorganchase.com,443,https://101878-a-2-atlas.jpmorganchase.com:443,https,text/html,GET,159.53.117.66,/,928180150,159.53.117.66,,146,False,,,,,,,,,,
101878-a-4-atlas.jpmorganchase.com,Request Denied,403,14293,101878-a-4-atlas.jpmorganchase.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-09T10:09:41Z,2024-01-09T10:09:41Z,"CN=101878-a-4-atlas.jpmorganchase.com, serialNumber=691011, businessCategory=Private Organization, O=JPMorgan Chase and Co., jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, L=New York, ST=New York, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",101878-a-4-atlas.jpmorganchase.com,JPMorgan Chase and Co.,101878-a-4-atlas.jpmorganchase.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",72f213ba9c3b891f71e56565c4c0c5d0,2023bf6995c1cd833e6399422a885580cf050e21e686d1adab4ce24e176c6326,ctls,101878-a-4-atlas.jpmorganchase.com,443,https://101878-a-4-atlas.jpmorganchase.com:443,https,text/html,GET,159.53.117.105,/,-464095054,159.53.117.105,,146,False,,,,,,,,,,
101878-s-3-atlas.jpmorganchase.com,502 Bad Gateway,502,157,101878-s-3-atlas.jpmorganchase.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-09T09:52:54Z,2024-01-09T09:52:53Z,"CN=101878-s-3-atlas.jpmorganchase.com, serialNumber=691011, businessCategory=Private Organization, O=JPMorgan Chase and Co., jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, L=New York, ST=New York, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",101878-s-3-atlas.jpmorganchase.com,JPMorgan Chase and Co.,101878-s-3-atlas.jpmorganchase.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",f42ae53d5ef6967d7692e03063a5b3d8,ce34b102ea5745749617058a27d207ac01924a63904b67b0b794db915c0829dd,ctls,101878-s-3-atlas.jpmorganchase.com,443,https://101878-s-3-atlas.jpmorganchase.com:443,https,text/html,GET,159.53.66.22,/,1110460125,159.53.66.22,,8,False,,,,,,,,,,
aatcpc.chase.com,Chase Online,200,133528,secure04ea.chase.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-12T16:28:50Z,2024-04-11T16:28:50Z,"CN=secure04ea.chase.com, serialNumber=691011, businessCategory=Private Organization, O=JPMorgan Chase and Co., jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, L=New York, ST=New York, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",secure04ea.chase.com,JPMorgan Chase and Co.,secure04ea.chase.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",912453a01c16f640bf2f00eaa31c91bd,86679fd9da9c24bd51378fad87e67f8d87da003f88a6e400f07df9950c192d08,ctls,secure04ea.chase.com,443,https://aatcpc.chase.com:443,https,text/html,GET,159.53.98.115,/,1771837653,159.53.98.115,Zipkin,104,False,,,,,,https://secure04ea.chase.com/web/auth/dashboard?ReturnURL=%2f,,,,
about.jpmorganchase.com,JPMorgan Chase & Co.,200,119461,www.jpmorganchase.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-09T20:29:02Z,2024-01-09T20:29:02Z,"CN=www.jpmorganchase.com, serialNumber=691011, businessCategory=Private Organization, O=JPMorgan Chase and Co., jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, L=New York, ST=New York, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",www.jpmorganchase.com,JPMorgan Chase and Co.,jpmorganchase.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",3e40c22b2aec4ee12d2e50a6f19f8e7d,b535986a6f94f54c20eec77282a5eddadcb5f85dbfbb8b9d6530aaae2381cf56,ctls,www.jpmorganchase.com,443,https://about.jpmorganchase.com:443,https,text/html,GET,159.53.85.184,/,1427140067,159.53.85.184,Java,4402,False,,,,,,https://www.jpmorganchase.com/,,,,
account.chase.com,Chase Checking Accounts: Compare & Apply Today | Chase,200,276475,personal.chase.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-14T03:45:11Z,2024-04-13T03:45:11Z,"CN=personal.chase.com, serialNumber=691011, businessCategory=Private Organization, O=JPMorgan Chase and Co., jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, L=New York, ST=New York, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",personal.chase.com,JPMorgan Chase and Co.,personal.chase.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",168c90c91445cb0a30fd93f48a560da8,414a51344340ecf792033a76adb5e82cc172890adafb9163c0948b257a10e407,ctls,personal.chase.com,443,https://account.chase.com:443,https,text/html,GET,159.53.62.236,/,997500400,159.53.62.236,HSTS,3220,False,,,,,,https://personal.chase.com/personal/checking,,,,
accounts-sandbox.chase.com,Request Denied,403,14195,accounts-sandbox.chase.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-14T05:52:24Z,2023-10-14T05:52:24Z,"CN=accounts-sandbox.chase.com, serialNumber=691011, businessCategory=Private Organization, O=JPMorgan Chase and Co., jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, L=New York, ST=New York, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",accounts-sandbox.chase.com,JPMorgan Chase and Co.,accounts-sandbox.chase.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",59599d6d5217e62c3bfb3d624b5f8d87,f2bd53cea9cf03a7e2d32b54d73e575c0033ac925a27cc5f4eacafe748a43d5e,ctls,accounts-sandbox.chase.com,443,https://accounts-sandbox.chase.com:443,https,text/html,GET,159.53.76.116,/,1631801191,159.53.76.116,,145,False,,,,,,,,,,
accounts-uat.chase.com,Chase Checking Accounts: Compare & Apply Today | Chase,200,276475,personal.chase.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-14T03:45:04Z,2024-04-13T03:45:04Z,"CN=personal.chase.com, serialNumber=691011, businessCategory=Private Organization, O=JPMorgan Chase and Co., jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, L=New York, ST=New York, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",personal.chase.com,JPMorgan Chase and Co.,personal.chase.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",2453254e88308a1b285f0e8234da9fe1,aca7f704e1062f248fd16f7e70b99f7e77021a5c126b22383f4b65908b13d821,ctls,personal.chase.com,443,https://accounts-uat.chase.com:443,https,text/html,GET,159.53.83.232,/,-1596641190,159.53.83.232,HSTS,3220,False,,,,,,https://personal.chase.com/personal/checking,,,,
act.jpmorganchase.com,,404,,act.jpmorganchase.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-07-28T23:59:59Z,CN=*.p2a.co,*.p2a.co,,*.p2a.co,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,9891195ff94c41ca79099b9b46b2af44,238016f43d79630caab17d59d2e5c48e2dc7241788d7efe2e9cf74decae60eae,ctls,act.jpmorganchase.com,443,https://act.jpmorganchase.com:443,https,text/plain,GET,54.236.141.254,/,-1840324437,54.210.229.207,,1,False,,awselb/2.0,,True,True,,,,,
