input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_subject_org_,tls_wildcard_certificate,cdn_name,cdn,csp_domains_,final_url
adventure-valued.scholarfund.io,,200,43,adventure-valued.scholarfund.io,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-22T12:13:54Z,2023-10-20T12:13:53Z,CN=adventure-valued.scholarfund.io,adventure-valued.scholarfund.io,adventure-valued.scholarfund.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,a503c68d8d6ba2efe6c424e24e60e1a5,52c90e01ba5be62eb8006b6b66896c167c69d820114dde3150716d9fbe9d947b,ctls,adventure-valued.scholarfund.io,443,https://adventure-valued.scholarfund.io:443,https,BunnyCDN-DE1-1081,text/plain,GET,169.150.247.38,/,-1483709092,2400:52e0:1e00::1080:1,Bunny,1,False,,,,,,
pgadmin.scholarfund.io,Sign in ・ Cloudflare Access,200,30200,scholarfund.cloudflareaccess.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-11T00:00:00Z,2023-09-07T23:59:59Z,CN=ssl1075497.cloudflaressl.com,ssl1075497.cloudflaressl.com,cloudflareaccess.com,"CN=COMODO ECC Domain Validation Secure Server CA 2, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,87713b38da05acdabfe6e7ca7d9d65a8,20a161d033636d125bfd59b23b1d246dc3535ed149333b3dba97497ed105e8ad,ctls,scholarfund.cloudflareaccess.com,443,https://pgadmin.scholarfund.io:443,https,cloudflare,text/html,GET,104.26.10.120,/,-1329669409,2606:4700:20::681a:a78,HSTS,67,False,,True,cloudflare,True,http://127.0.0.1:*,https://scholarfund.cloudflareaccess.com/cdn-cgi/access/login/pgadmin.scholarfund.io?kid=f124d2f41496c47ab149a3da950f2864a0cce9dfe31053f440c3ecf7e12a52d7&redirect_url=%2F&meta=eyJraWQiOiIxNTMyMWUzNmJiMTE3NjZjOTIwMGIyNmU2Zjg4NjFiOTMzMjg3NmQ2YzczYjRkMGUyNGM2OTRlOGRjYmRmYjhiIiwiYWxnIjoiUlMyNTYiLCJ0eXAiOiJKV1QifQ.eyJzZXJ2aWNlX3Rva2VuX3N0YXR1cyI6ZmFsc2UsImlhdCI6MTY5MDQyNDgyMCwic2VydmljZV90b2tlbl9pZCI6IiIsImF1ZCI6ImYxMjRkMmY0MTQ5NmM0N2FiMTQ5YTNkYTk1MGYyODY0YTBjY2U5ZGZlMzEwNTNmNDQwYzNlY2Y3ZTEyYTUyZDciLCJob3N0bmFtZSI6InBnYWRtaW4uc2Nob2xhcmZ1bmQuaW8iLCJhcHBfc2Vzc2lvbl9oYXNoIjoiZTMwNGE1MjYzMzFkNTcxYTE0ZjdmODRkNTliYjQ3MGNkODRjOWFmMzA4ZGNiMDhiYTdlMTNiNjJmMmM0ZjJhNSIsIm5iZiI6MTY5MDQyNDgyMCwiaXNfd2FycCI6ZmFsc2UsImlzX2dhdGV3YXkiOmZhbHNlLCJ0eXBlIjoibWV0YSIsInJlZGlyZWN0X3VybCI6IlwvIiwibXRsc19hdXRoIjp7ImNlcnRfaXNzdWVyX3NraSI6IiIsImNlcnRfcHJlc2VudGVkIjpmYWxzZSwiY2VydF9zZXJpYWwiOiIiLCJjZXJ0X2lzc3Vlcl9kbiI6IiIsImF1dGhfc3RhdHVzIjoiTk9ORSJ9LCJhdXRoX3N0YXR1cyI6Ik5PTkUifQ.0zjVI4pktXh8EcsCgCuAMMLqE7_GSmqUumK0OhgLUcPk1fuOojUoYynFaxiDn0of5fi62h4-4S-VQueRz1lnfyb8Hka8OnpG9pEIZQYcQd1rgkVbhdvHRlMFVL2KsMl5wrrsrIclWuPm7daBims6vjvrhHQp89mflmzHlrygIGjNxqP7xihpgj3RKnFmYjqF_e2Wj9ti5BNP4wy9R-IMrH0eRcDYLNTYAe2iKvw70ZVVlJ3vRdfZg0VVKURA_iUm4xCdw6SR64SBc-ePsNR434NZjqualZmrlt5_ZOUTvNtzvVn9bEou9SiOI4QZ4u5Ino-In6h3RYPEO17b5eMIFg
portals-dev.scholarfund.io,Sign in ・ Cloudflare Access,200,30204,scholarfund.cloudflareaccess.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-11T00:00:00Z,2023-09-07T23:59:59Z,CN=ssl1075497.cloudflaressl.com,ssl1075497.cloudflaressl.com,cloudflareaccess.com,"CN=COMODO ECC Domain Validation Secure Server CA 2, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,87713b38da05acdabfe6e7ca7d9d65a8,20a161d033636d125bfd59b23b1d246dc3535ed149333b3dba97497ed105e8ad,ctls,scholarfund.cloudflareaccess.com,443,https://portals-dev.scholarfund.io:443,https,cloudflare,text/html,GET,104.26.10.120,/,1032213853,2606:4700:20::ac43:4480,HSTS,67,False,,True,cloudflare,True,https:,https://scholarfund.cloudflareaccess.com/cdn-cgi/access/login/portals-dev.scholarfund.io?kid=745499a8c6f153322de751538bcf2c53bbf8df28470723476d12e2f328fc50ec&redirect_url=%2F&meta=eyJraWQiOiIxNTMyMWUzNmJiMTE3NjZjOTIwMGIyNmU2Zjg4NjFiOTMzMjg3NmQ2YzczYjRkMGUyNGM2OTRlOGRjYmRmYjhiIiwiYWxnIjoiUlMyNTYiLCJ0eXAiOiJKV1QifQ.eyJzZXJ2aWNlX3Rva2VuX3N0YXR1cyI6ZmFsc2UsImlhdCI6MTY5MDQyNDgyMCwic2VydmljZV90b2tlbl9pZCI6IiIsImF1ZCI6Ijc0NTQ5OWE4YzZmMTUzMzIyZGU3NTE1MzhiY2YyYzUzYmJmOGRmMjg0NzA3MjM0NzZkMTJlMmYzMjhmYzUwZWMiLCJob3N0bmFtZSI6InBvcnRhbHMtZGV2LnNjaG9sYXJmdW5kLmlvIiwiYXBwX3Nlc3Npb25faGFzaCI6ImI2N2MzOGUwZjM1MzMzMGRjMDBhNTgzYTkwZWUyN2E2ZWI5NjE0MDk3NGE5ZTc2YzhhMjI2YmYzM2Y1YTBlOTQiLCJuYmYiOjE2OTA0MjQ4MjAsImlzX3dhcnAiOmZhbHNlLCJpc19nYXRld2F5IjpmYWxzZSwidHlwZSI6Im1ldGEiLCJyZWRpcmVjdF91cmwiOiJcLyIsIm10bHNfYXV0aCI6eyJjZXJ0X2lzc3Vlcl9za2kiOiIiLCJjZXJ0X3ByZXNlbnRlZCI6ZmFsc2UsImNlcnRfc2VyaWFsIjoiIiwiY2VydF9pc3N1ZXJfZG4iOiIiLCJhdXRoX3N0YXR1cyI6Ik5PTkUifSwiYXV0aF9zdGF0dXMiOiJOT05FIn0.ctNNhA1PuuJd6xA5yjIFtGfI_gKLqjdPznxa26Og3zCU9lzGF_Qg3mzgKR-BlVw6jJc-AjAzTWVGxd8qkK8x3cOOp30AGiOR65iv3mL3RUh7tjIgwXqkuPqbe9Cuf4lO3shqP3qgTaSF87BAy84GLTt2y79QsMIHXEHXz8Z_VLT0Y1UhbW_ijlKCMmjqq_ae1fOUBdvT0JRXDt_z7ucEFrsQvwo9D2I1hR9Coel6sRwICwpO4i81Ynd-PLUAmolpCMhuYk2S7B1caODRgloyWjX7cfAzFucWOopwIYiaUCCSUyx659ZJeKBb-giBn2uf81EldPt_xTA35gS7bb11GA
portals-prod.scholarfund.io,Home | Scholar Fund | Connecting Community Need to Opportunities and Resources,200,60156,www.scholarfundwa.org,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-09T02:17:15Z,2023-09-07T02:17:14Z,CN=www.scholarfundwa.org,www.scholarfundwa.org,www.scholarfundwa.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,1432913f69b7ec922abcfbeff197aabf,42cfab04f3cb9ff82b4676d761acd5b068aff1d59e75c111b70bb3cfda9830b4,ctls,www.scholarfundwa.org,443,https://portals-prod.scholarfund.io:443,https,,text/html,GET,104.26.10.120,/,1055024558,2606:4700:20::ac43:4480,Webflow,25,False,,,cloudflare,True,,https://www.scholarfundwa.org
portals.scholarfund.io,Home | Scholar Fund | Connecting Community Need to Opportunities and Resources,200,60156,www.scholarfundwa.org,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-09T02:17:15Z,2023-09-07T02:17:14Z,CN=www.scholarfundwa.org,www.scholarfundwa.org,www.scholarfundwa.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,1432913f69b7ec922abcfbeff197aabf,42cfab04f3cb9ff82b4676d761acd5b068aff1d59e75c111b70bb3cfda9830b4,ctls,www.scholarfundwa.org,443,https://portals.scholarfund.io:443,https,,text/html,GET,104.26.10.120,/,1055024558,2606:4700:20::ac43:4480,Webflow,25,False,,,cloudflare,True,,https://www.scholarfundwa.org
portals.scholarfundwa.org,,200,8697,portals.scholarfundwa.org,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-19T17:55:02Z,2023-10-17T17:55:01Z,CN=portals.scholarfundwa.org,portals.scholarfundwa.org,portals.scholarfundwa.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,1837d9666e0284d47c99f4f9a70db732,243bc8a3e6897409d92ee28126a21463ae8b6889eeeeda2345f4d615b131de0d,ctls,portals.scholarfundwa.org,443,https://portals.scholarfundwa.org:443,https,,text/html,GET,35.92.202.170,/,-200806306,35.92.202.168,HSTS,216,False,,,,,,
scholarfund.io,Home | Scholar Fund | Connecting Community Need to Opportunities and Resources,200,60156,www.scholarfundwa.org,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-09T02:17:15Z,2023-09-07T02:17:14Z,CN=www.scholarfundwa.org,www.scholarfundwa.org,www.scholarfundwa.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,1432913f69b7ec922abcfbeff197aabf,42cfab04f3cb9ff82b4676d761acd5b068aff1d59e75c111b70bb3cfda9830b4,ctls,www.scholarfundwa.org,443,https://scholarfund.io:443,https,,text/html,GET,104.26.11.120,/,1055024558,2606:4700:20::ac43:4480,Webflow,25,False,,,cloudflare,True,,https://www.scholarfundwa.org/
scholarfundwa.org,Home | Scholar Fund | Connecting Community Need to Opportunities and Resources,200,60156,www.scholarfundwa.org,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-09T02:17:15Z,2023-09-07T02:17:14Z,CN=www.scholarfundwa.org,www.scholarfundwa.org,www.scholarfundwa.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,1432913f69b7ec922abcfbeff197aabf,42cfab04f3cb9ff82b4676d761acd5b068aff1d59e75c111b70bb3cfda9830b4,ctls,www.scholarfundwa.org,443,https://scholarfundwa.org:443,https,,text/html,GET,75.2.70.75,/,1241276166,99.83.190.102,Webflow,25,False,,,,,,https://www.scholarfundwa.org/
tideswell-dev.scholarfund.io,Sign in ・ Cloudflare Access,200,30222,scholarfund.cloudflareaccess.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-11T00:00:00Z,2023-09-07T23:59:59Z,CN=ssl1075497.cloudflaressl.com,ssl1075497.cloudflaressl.com,cloudflareaccess.com,"CN=COMODO ECC Domain Validation Secure Server CA 2, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,87713b38da05acdabfe6e7ca7d9d65a8,20a161d033636d125bfd59b23b1d246dc3535ed149333b3dba97497ed105e8ad,ctls,scholarfund.cloudflareaccess.com,443,https://tideswell-dev.scholarfund.io:443,https,cloudflare,text/html,GET,104.26.10.120,/,-1707561049,2606:4700:20::ac43:4480,HSTS,67,False,,True,cloudflare,True,https:,https://scholarfund.cloudflareaccess.com/cdn-cgi/access/login/tideswell-dev.scholarfund.io?kid=43b9f86a683760ce6e82ed69210e6603bf9fc392ab1d645d88140be72790d065&redirect_url=%2F&meta=eyJraWQiOiIxNTMyMWUzNmJiMTE3NjZjOTIwMGIyNmU2Zjg4NjFiOTMzMjg3NmQ2YzczYjRkMGUyNGM2OTRlOGRjYmRmYjhiIiwiYWxnIjoiUlMyNTYiLCJ0eXAiOiJKV1QifQ.eyJzZXJ2aWNlX3Rva2VuX3N0YXR1cyI6ZmFsc2UsImlhdCI6MTY5MDQyNDgyMCwic2VydmljZV90b2tlbl9pZCI6IiIsImF1ZCI6IjQzYjlmODZhNjgzNzYwY2U2ZTgyZWQ2OTIxMGU2NjAzYmY5ZmMzOTJhYjFkNjQ1ZDg4MTQwYmU3Mjc5MGQwNjUiLCJob3N0bmFtZSI6InRpZGVzd2VsbC1kZXYuc2Nob2xhcmZ1bmQuaW8iLCJhcHBfc2Vzc2lvbl9oYXNoIjoiMWZmNGM1MGNlZWIyZDdmNjcyNzM2OWY5M2ZlMjcwYjQyNzhiZDAxOWI3ZGExNDUyOGYwMjE5ZDVhNDA2YjVlNiIsIm5iZiI6MTY5MDQyNDgyMCwiaXNfd2FycCI6ZmFsc2UsImlzX2dhdGV3YXkiOmZhbHNlLCJ0eXBlIjoibWV0YSIsInJlZGlyZWN0X3VybCI6IlwvIiwibXRsc19hdXRoIjp7ImNlcnRfaXNzdWVyX3NraSI6IiIsImNlcnRfcHJlc2VudGVkIjpmYWxzZSwiY2VydF9zZXJpYWwiOiIiLCJjZXJ0X2lzc3Vlcl9kbiI6IiIsImF1dGhfc3RhdHVzIjoiTk9ORSJ9LCJhdXRoX3N0YXR1cyI6Ik5PTkUifQ.UZf45UETkNBzCOnc_X07xt5vGlK0m55XgyDi8W_xgVbcuv7KH-UHyt6T6RNCNeryokKJmcQxFFQvStBycd4NCa3AKYYcbKh8PdxXlFilWetU7TSAIzUzsCp45olFMSC6FQVTx9dD-3vP-033_9ru-jSPrjpOv1HzEq_NbTd5CF3S9xehk0mm9360hinMcRjEJNUrgeWciZjxY99gUG4mA9ho9wh3BVAbNDVuse9rTHbI4HIJ_G72Mkcs9D9IAWwL3XHYHeLB8JN1Bm3igx-TQEDvyM8L26mFIVcR0wme7UUTcd84o850IB_6WpGKtlaNEpINEDIpM45_Kvjqs5fWLQ
tideswell.scholarfund.io,,404,1644,tideswell.scholarfund.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-16T00:00:00Z,2023-11-16T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",757a75037b78e46c662f35aa715bfadb,63c011f86330dd0388641fceb1ede074d59820e6334f735cbc272bed9f769bdc,ctls,tideswell.scholarfund.io,443,https://tideswell.scholarfund.io:443,https,cloudflare,text/html,GET,172.67.68.128,/,260951473,2606:4700:20::681a:a78,React,1,False,"Cloudflare, Inc.",True,cloudflare,True,,
