input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,csp_domains_,cdn_name,final_url,cdn,tls_subject_org_,tls_mismatched,tls_expired
17-121-112-20.cloud.arrival.com,,404,21,17-121-112-20.cloud.arrival.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-02T12:46:12Z,2023-08-31T12:46:11Z,CN=*.arrival.com,*.arrival.com,*.cloud.arrival.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,afd91caee3af24d8e03e40330c0d8a39,bf387630bb515b50ae4b9604f9230ae36fdc48bc5f2c08dc9c85679f9dc520af,True,ctls,17-121-112-20.cloud.arrival.com,443,https://17-121-112-20.cloud.arrival.com:443,https,nginx/1.19.1,text/plain,GET,52.51.224.239,/,-1669793162,54.171.157.32,Nginx:1.19.1,1,False,,,,,,,
66-7-81.cloud.arrival.com,,404,21,66-7-81.cloud.arrival.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-02T12:46:12Z,2023-08-31T12:46:11Z,CN=*.arrival.com,*.arrival.com,*.cloud.arrival.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,afd91caee3af24d8e03e40330c0d8a39,bf387630bb515b50ae4b9604f9230ae36fdc48bc5f2c08dc9c85679f9dc520af,True,ctls,66-7-81.cloud.arrival.com,443,https://66-7-81.cloud.arrival.com:443,https,nginx/1.19.1,text/plain,GET,54.171.157.32,/,-1669793162,52.51.224.239,Nginx:1.19.1,1,False,,,,,,,
account-customersmijn-repository-postgresmx.cloud.arrival.com,,404,21,account-customersmijn-repository-postgresmx.cloud.arrival.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-02T12:46:12Z,2023-08-31T12:46:11Z,CN=*.arrival.com,*.arrival.com,*.cloud.arrival.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,afd91caee3af24d8e03e40330c0d8a39,bf387630bb515b50ae4b9604f9230ae36fdc48bc5f2c08dc9c85679f9dc520af,True,ctls,account-customersmijn-repository-postgresmx.cloud.arrival.com,443,https://account-customersmijn-repository-postgresmx.cloud.arrival.com:443,https,nginx/1.19.1,text/plain,GET,52.51.224.239,/,-1669793162,54.171.157.32,Nginx:1.19.1,1,False,,,,,,,
adm.asp.arrival.co,Sign in ・ Cloudflare Access,200,29534,arrival.cloudflareaccess.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-11T00:00:00Z,2023-09-07T23:59:59Z,CN=ssl1075497.cloudflaressl.com,ssl1075497.cloudflaressl.com,cloudflareaccess.com,"CN=COMODO ECC Domain Validation Secure Server CA 2, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,87713b38da05acdabfe6e7ca7d9d65a8,20a161d033636d125bfd59b23b1d246dc3535ed149333b3dba97497ed105e8ad,True,ctls,arrival.cloudflareaccess.com,443,https://adm.asp.arrival.co:443,https,cloudflare,text/html,GET,104.18.37.13,/,-242074432,2606:4700:4400::ac40:96f3,HSTS,67,False,https:,cloudflare,https://arrival.cloudflareaccess.com/cdn-cgi/access/login/adm.asp.arrival.co?kid=1dde8f63f1d71c97c5ba1035bd6ddafa8a0ec7a892fbbfee473834246bda9e0c&redirect_url=%2F&meta=eyJraWQiOiJjYTkyYWEwMGViNTM0MjRlNzM5YjkzNzI4MDQxMDM4NDZiYWMwNzY4MTIwMTgzMTU4ZGVlZTMyZDJkOGI4OWEyIiwiYWxnIjoiUlMyNTYiLCJ0eXAiOiJKV1QifQ.eyJzZXJ2aWNlX3Rva2VuX3N0YXR1cyI6ZmFsc2UsImlhdCI6MTY4NjM2NTk2MSwic2VydmljZV90b2tlbl9pZCI6IiIsImF1ZCI6IjFkZGU4ZjYzZjFkNzFjOTdjNWJhMTAzNWJkNmRkYWZhOGEwZWM3YTg5MmZiYmZlZTQ3MzgzNDI0NmJkYTllMGMiLCJob3N0bmFtZSI6ImFkbS5hc3AuYXJyaXZhbC5jbyIsImFwcF9zZXNzaW9uX2hhc2giOiI1NmQ4ZTFlNmMyMzdhZGU2MzNlNDQwMDhiMmIzMjQzNjdmOWYwMjE1Y2Y2N2RmNjZjNzA5YjJkNzYzZDlhNDVlIiwibmJmIjoxNjg2MzY1OTYxLCJpc193YXJwIjpmYWxzZSwiaXNfZ2F0ZXdheSI6ZmFsc2UsInR5cGUiOiJtZXRhIiwicmVkaXJlY3RfdXJsIjoiXC8iLCJtdGxzX2F1dGgiOnsiY2VydF9pc3N1ZXJfc2tpIjoiIiwiY2VydF9wcmVzZW50ZWQiOmZhbHNlLCJjZXJ0X3NlcmlhbCI6IiIsImNlcnRfaXNzdWVyX2RuIjoiIiwiYXV0aF9zdGF0dXMiOiJOT05FIn0sImF1dGhfc3RhdHVzIjoiTk9ORSJ9.NCAzU3VoIjukx6hi3ouvnVwXne52kPHs9gPKty4244JPIT741_1AOkwvuhcF7MRtq2n4C-St9fNmPP8CQA1_5R9ANxCbhjcqgiGjyX6QPQXWGhmxc1WDWd9t_74o9GfbsYBFq3dD0xz640gvpMIxY_b3WMfZVVio0GJbDbtax8TC7vQIjtj9jUpZ_i5WGW_TWd6Y3uPtBMGrv1c0zfyh3S10OXYCOCW-00xs1Q1bDvYZDytZoCJprZHKLxvLTbg-4PN4MU5vAw45kTBMn9Rz-XeAkIWIWmPdM_WCC2ePsrzjfredLSq0aDv6yoLGT3hHW81SQxgBSEDNICS7PZbiYQ,True,,,
alme1.cloud.arrival.com,,404,21,alme1.cloud.arrival.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-02T12:46:12Z,2023-08-31T12:46:11Z,CN=*.arrival.com,*.arrival.com,*.cloud.arrival.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,afd91caee3af24d8e03e40330c0d8a39,bf387630bb515b50ae4b9604f9230ae36fdc48bc5f2c08dc9c85679f9dc520af,True,ctls,alme1.cloud.arrival.com,443,https://alme1.cloud.arrival.com:443,https,nginx/1.19.1,text/plain,GET,54.171.157.32,/,-1669793162,52.51.224.239,Nginx:1.19.1,1,False,,,,,,,
api.arrival.com,,404,,api.arrival.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-02T00:00:00Z,2024-06-01T23:59:59Z,"CN=arrival.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",arrival.com,*.api.arrival.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4f9128fd51bb3fa667ad8f98c072d54c,b138d49c8d5aed201a1ddb4d56a35350e084854ca7e514dcd9cbc4ed19c0fa63,True,ctls,api.arrival.com,443,https://api.arrival.com:443,https,cloudflare,,GET,104.18.38.227,/,-1840324437,2606:4700:4400::ac40:951d,Cloudflare Bot Management,1,False,,cloudflare,,True,"Cloudflare, Inc.",,
api.firstbus.device.arrival.co,Origin DNS error | api.firstbus.device.arrival.co | Cloudflare,530,6241,api.firstbus.device.arrival.co,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-16T00:00:00Z,2023-08-15T23:59:59Z,"CN=arrival.co, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",arrival.co,cloud-v2.staging-ups.device.arrival.co,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",81c73693b5d2d7f1a253f13f27c43e9c,f1ccdab9d2a793a20e1d6006e28419b8f99793444a8a203f70978de91989fa64,,ctls,api.firstbus.device.arrival.co,443,https://api.firstbus.device.arrival.co:443,https,cloudflare,text/html,GET,172.64.150.243,/,516414600,2606:4700:4400::ac40:96f3,Cloudflare,93,False,,cloudflare,,True,"Cloudflare, Inc.",,
api.fleet.arrival.com,Error,404,1324,api.fleet.arrival.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-06T00:00:00Z,2024-03-05T23:59:59Z,"CN=arrival.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",arrival.com,api.firstbus.fleet.arrival.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ea332177c649cf4dc69b174a6ea0e4d9,1af7d1b4065ed0258a5131cf5d5e5a931bb60142619c8eaa705ffbf15636c6ad,,ctls,api.fleet.arrival.com,443,https://api.fleet.arrival.com:443,https,cloudflare,text/html,GET,104.18.38.227,/,1593207841,2606:4700:4400::ac40:951d,Node.js,11,False,,cloudflare,,True,"Cloudflare, Inc.",,
api.fleetsim.arrival.com,,404,,api.fleetsim.arrival.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-13T00:00:00Z,2024-05-12T23:59:59Z,"CN=arrival.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",arrival.com,arrival.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",8677777a7edd9ca49449847c1d45c127,3788b178e99ddf459cff1ba1273a83c075ac09fb291bf5fa315579638593ec58,,ctls,api.fleetsim.arrival.com,443,https://api.fleetsim.arrival.com:443,https,cloudflare,,GET,104.18.38.227,/,-1840324437,2606:4700:4400::ac40:951d,Cloudflare Bot Management,1,False,,cloudflare,,True,"Cloudflare, Inc.",,
api.md.traceability.arrival.com,,404,,api.md.traceability.arrival.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-21T00:00:00Z,2023-08-21T23:59:59Z,"CN=arrival.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",arrival.com,dashboard.traceability.arrival.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",183dbb9c91ebef68de52772f5469fdb3,0ad711637d43053ec4e11550f9ba43f398455883de701f2d4b87e1f2f57bbacc,,ctls,api.md.traceability.arrival.com,443,https://api.md.traceability.arrival.com:443,https,cloudflare,,GET,104.18.38.227,/,-1840324437,2606:4700:4400::6812:26e3,Envoy,1,False,,cloudflare,,True,"Cloudflare, Inc.",,
