new,host,cname,soa,txt,status_code,a,mx,ns,aaaa,caa
[x],0.wordcamp.org,wordcamp.org,"ns1.wordpress.org, hostmaster.wordpress.org",v=spf1 ip4:66.155.40.205/32 ip4:66.155.40.24/32 ip4:66.155.40.234/32 ip4:198.143.164.0/24 include:helpscoutemail.com include:_spf.google.com ~all,NOERROR,198.143.164.106,"aspmx.l.google.com, alt3.aspmx.l.google.com, alt2.aspmx.l.google.com, alt4.aspmx.l.google.com, alt1.aspmx.l.google.com","ns2.wordpress.org, ns4.wordpress.org, ns3.wordpress.org, ns1.wordpress.org",,
[x],00.wordcamp.org,wordcamp.org,"ns1.wordpress.org, hostmaster.wordpress.org",v=spf1 ip4:66.155.40.205/32 ip4:66.155.40.24/32 ip4:66.155.40.234/32 ip4:198.143.164.0/24 include:helpscoutemail.com include:_spf.google.com ~all,NOERROR,"198.143.164.106, 198.181.116.10, 198.181.117.10, 192.0.74.10, 192.0.75.10","alt4.aspmx.l.google.com, alt2.aspmx.l.google.com, alt1.aspmx.l.google.com, aspmx.l.google.com, alt3.aspmx.l.google.com","ns1.wordpress.org, ns3.wordpress.org, ns2.wordpress.org, ns4.wordpress.org","2a04:fa87:ffff::c6b5:740a, 2a04:fa87:ffff::c6b5:750a, 2620:115:c00f::c000:4a0a, 2620:115:c00f::c000:4b0a",
[x],000.wordcamp.org,wordcamp.org,"ns1.wordpress.org, hostmaster.wordpress.org",v=spf1 ip4:66.155.40.205/32 ip4:66.155.40.24/32 ip4:66.155.40.234/32 ip4:198.143.164.0/24 include:helpscoutemail.com include:_spf.google.com ~all,NOERROR,198.143.164.106,"aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, alt3.aspmx.l.google.com, alt4.aspmx.l.google.com","ns1.wordpress.org, ns2.wordpress.org, ns3.wordpress.org, ns4.wordpress.org",,
[x],00001.wordcamp.org,wordcamp.org,"ns1.wordpress.org, hostmaster.wordpress.org",v=spf1 ip4:66.155.40.205/32 ip4:66.155.40.24/32 ip4:66.155.40.234/32 ip4:198.143.164.0/24 include:helpscoutemail.com include:_spf.google.com ~all,NOERROR,198.143.164.106,"aspmx.l.google.com, alt2.aspmx.l.google.com, alt4.aspmx.l.google.com, alt3.aspmx.l.google.com, alt1.aspmx.l.google.com","ns3.wordpress.org, ns4.wordpress.org, ns2.wordpress.org, ns1.wordpress.org",,
[x],000999888.wordcamp.org,wordcamp.org,"ns1.wordpress.org, hostmaster.wordpress.org",v=spf1 ip4:66.155.40.205/32 ip4:66.155.40.24/32 ip4:66.155.40.234/32 ip4:198.143.164.0/24 include:helpscoutemail.com include:_spf.google.com ~all,NOERROR,198.143.164.106,"alt3.aspmx.l.google.com, aspmx.l.google.com, alt1.aspmx.l.google.com, alt4.aspmx.l.google.com, alt2.aspmx.l.google.com","ns2.wordpress.org, ns4.wordpress.org, ns1.wordpress.org, ns3.wordpress.org",,
[x],001.wordcamp.org,wordcamp.org,"ns1.wordpress.org, hostmaster.wordpress.org",v=spf1 ip4:66.155.40.205/32 ip4:66.155.40.24/32 ip4:66.155.40.234/32 ip4:198.143.164.0/24 include:helpscoutemail.com include:_spf.google.com ~all,NOERROR,198.143.164.106,"aspmx.l.google.com, alt1.aspmx.l.google.com, alt4.aspmx.l.google.com, alt2.aspmx.l.google.com, alt3.aspmx.l.google.com","ns2.wordpress.org, ns4.wordpress.org, ns1.wordpress.org, ns3.wordpress.org",,
[x],002.wordcamp.org,wordcamp.org,"ns1.wordpress.org, hostmaster.wordpress.org",v=spf1 ip4:66.155.40.205/32 ip4:66.155.40.24/32 ip4:66.155.40.234/32 ip4:198.143.164.0/24 include:helpscoutemail.com include:_spf.google.com ~all,NOERROR,198.143.164.106,"alt3.aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx.l.google.com, alt4.aspmx.l.google.com","ns3.wordpress.org, ns1.wordpress.org, ns4.wordpress.org, ns2.wordpress.org",,
[x],003.wordcamp.org,wordcamp.org,"ns1.wordpress.org, hostmaster.wordpress.org",v=spf1 ip4:66.155.40.205/32 ip4:66.155.40.24/32 ip4:66.155.40.234/32 ip4:198.143.164.0/24 include:helpscoutemail.com include:_spf.google.com ~all,NOERROR,198.143.164.106,"aspmx.l.google.com, alt3.aspmx.l.google.com, alt1.aspmx.l.google.com, alt4.aspmx.l.google.com, alt2.aspmx.l.google.com","ns1.wordpress.org, ns4.wordpress.org, ns3.wordpress.org, ns2.wordpress.org",,
[x],004.wordcamp.org,wordcamp.org,"ns1.wordpress.org, hostmaster.wordpress.org",v=spf1 ip4:66.155.40.205/32 ip4:66.155.40.24/32 ip4:66.155.40.234/32 ip4:198.143.164.0/24 include:helpscoutemail.com include:_spf.google.com ~all,NOERROR,198.143.164.106,"alt1.aspmx.l.google.com, alt4.aspmx.l.google.com, alt3.aspmx.l.google.com, aspmx.l.google.com, alt2.aspmx.l.google.com","ns1.wordpress.org, ns3.wordpress.org, ns4.wordpress.org, ns2.wordpress.org",,
[x],005.wordcamp.org,wordcamp.org,"ns1.wordpress.org, hostmaster.wordpress.org",v=spf1 ip4:66.155.40.205/32 ip4:66.155.40.24/32 ip4:66.155.40.234/32 ip4:198.143.164.0/24 include:helpscoutemail.com include:_spf.google.com ~all,NOERROR,198.143.164.106,"alt1.aspmx.l.google.com, alt4.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx.l.google.com, alt3.aspmx.l.google.com","ns2.wordpress.org, ns3.wordpress.org, ns4.wordpress.org, ns1.wordpress.org",,
