input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,final_url,tls_mismatched,csp_domains_,location
*.authoritycrm.com,Homepage - The Authority on Workforce Optimization,200,100898,authoritysoftware.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-07T00:00:00Z,2023-06-05T23:59:59Z,CN=authoritysoftware.com,authoritysoftware.com,,www.authoritysoftware.com,"CN=cPanel\, Inc. Certification Authority, O=cPanel\, Inc., L=Houston, ST=TX, C=US","cPanel, Inc. Certification Authority","cPanel, Inc.",fc5ba9de5e9684699323de9a0ef28062,141983962c9b76614789abf6ebcddaadbd543f0e7c64bce15c8485b87dd4d7f4,,ctls,authoritysoftware.com,,443,https://authoritycrm.com:443,https,Apache,text/html,GET,198.46.93.91,/,,198.46.93.91,Yoast SEO:17.9,471,False,,https://authoritysoftware.com/,,,
*.elev.io,"More Customers, Less Support. Reduce Customer Effort with Elevio - Elevio",200,33120,elev.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-15T01:19:24Z,2023-06-13T01:19:23Z,CN=elev.io,elev.io,,www.elevio.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,34e68c0bebef4cd980fba3909310f356,c9419278e36b6aae0412e86725d86067c24908a5b2d25c74aecaad38a8a3bfc5,,ctls,elev.io,,443,https://elev.io:443,https,nginx,text/html,GET,159.65.56.159,/,-495262417,159.65.56.159,Nginx,717,False,,,,rsms.me,
*.google.ac,Google,200,201801,www.google.ac,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:02:24Z,2023-07-17T12:02:23Z,CN=*.google.ac,*.google.ac,,google.ac,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,7064630f2fd3274d637c5026cbcc7eb7,51cbd85b0d53f324fe915c3729ceeafc0947ba73e6a16aedb1ffd5bee7d0bd2e,True,ctls,www.google.ac,,443,https://google.ac:443,https,gws,text/html,GET,172.217.18.4,/,,2a00:1450:4001:80e::2004,HTTP/3,133,False,,https://www.google.ac/,,https://csp.withgoogle.com/csp/gws/other-hp,
*.google.ad,Google,200,10808,www.google.ad,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:02:26Z,2023-07-17T12:02:25Z,CN=*.google.ad,*.google.ad,,google.ad,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ed34912c930a258cb91fc8bedd108580,5ace21aaad3a7e604fe9e9a1068c78ef052f5950bac3ade780eb94ef7ba03032,True,ctls,www.google.ad,,443,https://google.ad:443,https,gws,text/html,GET,142.250.185.227,/,708578229,2a00:1450:4001:828::2003,HTTP/3,6,False,,https://www.google.ad/,,https://csp.withgoogle.com/csp/gws/other-hp,
*.google.ae,Google,200,260643,,,,,,,,,,,,,,,,,,,,,80,http://google.ae:80,http,gws,text/html,GET,142.250.181.227,/,708578229,2a00:1450:4001:80f::2003,Google Web Server,571,False,,http://www.google.ae/,,http:,
*.google.al,Google,200,1870,,,,,,,,,,,,,,,,,,,,,80,http://google.al:80,http,gws,application/xhtml+xml,GET,142.250.186.68,/,,2a00:1450:4001:831::2004,Google Web Server,1,False,,http://www.google.al/,,https://csp.withgoogle.com/csp/gws/other-hp,
*.google.as,Google,200,257276,,,,,,,,,,,,,,,,,,,,,80,http://google.as:80,http,gws,text/html,GET,172.217.18.3,/,708578229,2a00:1450:4001:828::2003,Google Web Server,571,False,,http://www.google.as/,,https://csp.withgoogle.com/csp/gws/other-hp,
*.google.at,Google,200,201792,www.google.at,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:01:46Z,2023-07-17T12:01:45Z,CN=*.google.at,*.google.at,,google.at,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,0d453fe09cc7e9d497491ebcbfdc2222,02020c6f7a0a8a763e10f60f769233bf4a2bec30d07ab06ad338a0b50a7fe1f0,True,ctls,www.google.at,,443,https://google.at:443,https,gws,text/html,GET,142.250.186.67,/,,2a00:1450:4001:82b::2003,HTTP/3,133,False,,https://www.google.at/,,https:,
*.google.be,Google,200,1870,,,,,,,,,,,,,,,,,,,,,80,http://google.be:80,http,gws,application/xhtml+xml,GET,142.250.74.195,/,,2a00:1450:4001:831::2003,Google Web Server,1,False,,http://www.google.be/,,https://csp.withgoogle.com/csp/gws/other-hp,
*.google.bg,Google,200,1923,,,,,,,,,,,,,,,,,,,,,80,http://google.bg:80,http,gws,application/xhtml+xml,GET,172.217.16.131,/,708578229,2a00:1450:4001:808::2003,Google Web Server,1,False,,http://www.google.bg/,,https://csp.withgoogle.com/csp/gws/other-hp,
