input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,tls_wildcard_certificate,csp_domains_,tls_self_signed,final_url,tls_expired
admin.merchant.razer.com,,404,13,admin.merchant.razer.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-27T00:00:00Z,2024-03-27T23:59:59Z,CN=*.merchant.razer.com,*.merchant.razer.com,,merchant.razer.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,98817429830726af5f518c3c05d63888,3a76a82dda788713bd9944ea3a054180ddb47f9449aa4e96c9bafe62a7b6bb85,ctls,admin.merchant.razer.com,,443,https://admin.merchant.razer.com:443,https,awselb/2.0,text/plain,GET,52.74.88.145,/,285775083,13.228.218.88,,1,False,,,True,,,,
agreements.gold.razer.com,,200,17,agreements.gold.razer.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-30T00:00:00Z,2024-07-28T23:59:59Z,CN=gold.razer.com,gold.razer.com,,silver.razer.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,88f6d9b8ea0f780511bbdf3b9581bb86,e6b16b78985c0061fb6028b9b03f1cc46b63a6e3578e9f756bc85214f7590ea2,ctls,agreements.gold.razer.com,cloudfront,443,https://agreements.gold.razer.com:443,https,AmazonS3,text/html,GET,108.138.7.118,/,-724387551,2600:9000:2490:a800:12:9d5c:eb40:93a1,Amazon Web Services,1,False,True,True,True,,,,
amp.razer.com,MediaValet,200,2845,resource.razer.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-10-18T00:00:00Z,2023-11-07T23:59:59Z,CN=resource.razer.com,resource.razer.com,,www.resource.razer.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,9f7c43598cb38047295bf16a84814db0,0ca34aac15966590f809ef7a1935c5edeaf1f8149b1b5fc6afb43d2936d1be86,ctls,resource.razer.com,,443,https://amp.razer.com:443,https,,text/html,GET,96.45.82.208,/,-666934459,96.45.82.22,HSTS,56,False,,,,login.live.com,,https://resource.razer.com/,
ap3.razer.com,Razer Asia Pacific | For Gamers. By Gamers.,200,57917,www.razer.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-13T00:00:00Z,2024-05-12T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",www.razer.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",489be1d31a575a836f6f1ebabbb5e25e,2c1dfd0838964c35201a12de26b28f4b7554d55d49c129914e0e454f5b40104a,ctls,www.razer.com,,443,https://ap3.razer.com:443,https,cloudflare,text/html,GET,96.45.82.208,/,,96.45.82.22,HSTS,723,False,,,,https://www.razer.com,,https://www.razer.com/ap-en,
api-distribution.gold.razer.com,,404,,api-distribution.gold.razer.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-12T00:00:00Z,2024-06-13T23:59:59Z,"CN=gold.razer.com, O=Razer (Asia-Pacific) Pte. Ltd., L=Singapore, C=SG",gold.razer.com,Razer (Asia-Pacific) Pte. Ltd.,zmerchant.gold.razer.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f9d2190633a090a506628c3a39101b1c,0a5ec07b5efc4b2579b792f0204df60afe17ede0b1e8130bae6f0b212d81dec9,ctls,api-distribution.gold.razer.com,,443,https://api-distribution.gold.razer.com:443,https,awselb/2.0,text/plain,GET,95.101.111.151,/,-1840324437,2a02:26f0:480:23::1726:62b8,,1,False,,,,,,,
api-distribution.zgold-dev.razer.com,,404,,api-distribution.zgold-dev.razer.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-15T00:00:00Z,2024-05-13T23:59:59Z,CN=*.zgold-dev.razer.com,*.zgold-dev.razer.com,,*.zgold-dev.razer.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,62ed96437f2863ace869624ccb2eab08,c13429bf7b33de3669f603bb2afe44fd1b780ab4a0233686bd0cf42d14338119,ctls,api-distribution.zgold-dev.razer.com,,443,https://api-distribution.zgold-dev.razer.com:443,https,awselb/2.0,text/plain,GET,52.74.230.76,/,-1840324437,52.76.242.113,,1,False,,,True,,,,
api-distribution.zgold-qa.razer.com,,404,,api-distribution.zgold-qa.razer.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-07-17T00:00:00Z,2024-08-14T23:59:59Z,CN=zgold-qa.razer.com,zgold-qa.razer.com,,*.zgold-qa.razer.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,7f502855ec5fee08e3035ac7e8cec952,ce3595afde3af3b9db06dc679841731626d74aa6ad8a914405da6b13db6f4bdb,ctls,api-distribution.zgold-qa.razer.com,,443,https://api-distribution.zgold-qa.razer.com:443,https,awselb/2.0,text/plain,GET,52.4.6.68,/,-1840324437,3.233.126.229,,1,False,,,True,,,,
api-easy2pay.zgold-qa.razer.com,502 Bad Gateway,502,150,api-easy2pay.zgold-qa.razer.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-20T16:24:38Z,2023-08-18T16:24:37Z,CN=api-easy2pay.zgold-qa.razer.com,api-easy2pay.zgold-qa.razer.com,,sea-sdk-molthailand.zgold-qa.razer.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,108405c66ece62efe42404463cfe8599,3e96b93fd0a4c18b55b9618097ab27200aec983eeb3f2d53dfc4647dfe60cd2b,ctls,api-easy2pay.zgold-qa.razer.com,,443,https://api-easy2pay.zgold-qa.razer.com:443,https,nginx,text/html,GET,61.47.41.163,/,-803400545,61.47.41.163,Nginx,8,False,,,,,,,
api-p1.phoenix.razer.com,HTTP Status 404 – Not Found,404,427,api-p1.phoenix.razer.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-05T00:00:00Z,2024-05-04T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",7ecd56c35df742af28ac278bc71485a6,d95bf854aaabdc91d9ea4fc01c52e8a635e488570d1ad5c59bd2ede093681def,ctls,api-p1.phoenix.razer.com,cloudflare,443,https://api-p1.phoenix.razer.com:443,https,cloudflare,text/html,GET,104.16.190.67,/,-230353730,2606:4700::6810:bf43,HSTS,1,False,True,,,,,,
api-p4.phoenix.razer.com,,403,16,api-p4.phoenix.razer.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-17T00:00:00Z,2024-04-16T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",api-p4.phoenix.razer.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",2cd0cd4e4a7b42e7bcd6848456f8c407,82ce9a00be7973f18473421ad14cdda48a12225bf44cc5fb834e1d3a2dbdea40,ctls,api-p4.phoenix.razer.com,cloudflare,443,https://api-p4.phoenix.razer.com:443,https,cloudflare,text/plain,GET,104.16.190.67,/,1268003052,2606:4700::6810:bf43,Cloudflare,1,False,True,,,,,,
api-uat.merchant.razer.com,,503,,api-uat.merchant.razer.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-27T00:00:00Z,2024-03-27T23:59:59Z,CN=*.merchant.razer.com,*.merchant.razer.com,,merchant.razer.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,98817429830726af5f518c3c05d63888,3a76a82dda788713bd9944ea3a054180ddb47f9449aa4e96c9bafe62a7b6bb85,ctls,api-uat.merchant.razer.com,,443,https://api-uat.merchant.razer.com:443,https,awselb/2.0,text/plain,GET,52.76.37.104,/,-1840324437,52.77.121.13,,1,False,,,True,,,,
api.merchant.razer.com,403 Forbidden,403,588,api.merchant.razer.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-01T00:00:00Z,2024-02-01T23:59:59Z,"CN=*.merchant.razer.com, O=Razer Merchant Services SDN. BHD., ST=Selangor, C=MY",*.merchant.razer.com,Razer Merchant Services SDN. BHD.,merchant.razer.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,ad76e87c2331bc901c2e713ff92d30b8,2766bc6e3ab1cc8b54d69204e40cd6a8157bab660d4ca42585ce6827e2b798d4,ctls,api.merchant.razer.com,cloudflare,443,https://api.merchant.razer.com:443,https,cloudflare,text/html,GET,104.22.66.239,/,-1850522872,2606:4700:10::ac43:621,HSTS,10,False,True,,True,,,,
app-assets.razer.com,,403,255,app-assets.razer.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-06T00:00:00Z,2024-05-05T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",8603dd16dc8879da785b41a49e2cad61,7401b8b6f836673ef1ec7edbb2ca0b7c67a9c08586d8bb68998a1c3e1b3220b8,ctls,app-assets.razer.com,cloudflare,443,https://app-assets.razer.com:443,https,cloudflare,application/xml,GET,104.16.190.67,/,1083694465,2606:4700::6810:bf43,Cloudflare,2,False,True,,,,,,
app-console.gold.razer.com,Sign in to your account,200,41737,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-25T00:00:00Z,2024-05-25T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7c7414a61d2496accd312122c5241231,2c204118a10394b7abd4cd1f9d1a885acb273a1ebe0091f82e567b1137495fb7,ctls,login.microsoftonline.com,,443,https://app-console.gold.razer.com:443,https,,text/html,GET,95.101.111.165,/,680347721,2a02:26f0:ab00::5c7a:d722,HSTS,95,False,,,,,,https://login.microsoftonline.com/fdadce6e-7f5e-49db-8f22-6a87331a9135/oauth2/authorize?client_id=4f3bf107-edb5-4202-b990-b233d075462e&redirect_uri=https%3A%2F%2Fapp-console.gold.razer.com%2Foauth2%2Fidpresponse&response_type=code&scope=openid&state=NavF%2B4pKNhQadBbbnPyZ1GL9ue3RCUKd6UkJsT7pExEx%2FZQkQjrJ6AE2VOXHDmomoQ9sZLvb8vyE7Rfdalz6HVELgIPqspBH%2BA8b0GPTon3SG6NcI3yovqq6cUli45Wqi3F3zeM4REVwxD9dZ1zzutI%2FBbDpWkrNNTixzooabp4t%2Fg6qyYChtnSZ3%2BUuFrH751frDHhqYNTfE3Tyahg17fvFZOQ1bRnnu8xiRtetpRIXWSYyeOU%3D,
